upgrade_animal_cages;Animal Cages;Cages d'animaux;Tierkäfige;;Jaulas de animales;;;;;;;;;x
upgrade_animal_cages_desc;Allows for battles with exotic beasts, imported from distant lands.;Permet des batailles avec des bêtes exotiques, importées de pays lointains.;Ermöglicht Schlachten mit exotischen Tieren, die aus fernen Ländern importiert werden.;;Permite batallas con bestias exóticas importadas de tierras lejanas.;;;;;;;;;x
upgrade_armory;Armory;Dépôt d'armes;Waffenkammer;;Armería;;;;;;;;;x
upgrade_armory_desc;An expansion to the [FromFrom.GetWonderTypeShortCap], providing ample storage for armor and weaponry.;Une extension du monument, offrant un espace de stockage suffisant pour les armures et les armes.;Eine Erweiterung des [FromFrom.GetWonderTypeShortCap], die ausreichend Platz für Rüstungen und Waffen bietet.;;Una expansión del [FromFrom.GetWonderTypeShortCap] que ofrece un amplio espacio para armaduras y armamento.;;;;;;;;;x
upgrade_artificial_islands;Artificial Islands;Îles artificielles;Künstliche Inseln;;Islas artificiales;;;;;;;;;;x
upgrade_artificial_islands_desc;Redirect local rivers and channel defensive islands out of the sea itself, adding a naval element to any siege that few attackers are equipped to deal with.;Redirigez les rivières locales et concentrez des îles défensives hors de la mer, afin d'ajouter un élément naval à chaque siège, ce que peu d'assaillants sont en mesure de gérer.;Leitt lokale Flüsse um und schafft so verteidigbare Inseln mittem im Meer heraus, womit jeder Belagerung ein neues Element hinzugefügt wird, mit dem nur wenige Angreifer klarkommen werden.;;Redirige los ríos de la zona y saca islas defensivas del mismo mar, añadiendo un elemento naval a cualquier asedio con el que pocos atacantes están acostumbrados a tratar.;;;;;;;;;;x
upgrade_automata_throne;Automata Throne;Trône automate;Automatischer Thron;;Trono autómata;;;;;;;;;x
upgrade_automata_throne_desc;By some complex machinery this throne can raise itself up and down at will.;Par des mécanismes complexes, ce trône peut monter et descendre à volonté.;Durch einige komplexe Maschinen kann sich dieser Thron nach Belieben auf und ab bewegen.;;Mediante una maquinaria compleja, este trono puede levantarse y descender solo.;;;;;;;;;x
upgrade_ballroom;Ballroom;Salle de bal;Ballsaal;;Salón de baile;;;;;;;;;x
upgrade_ballroom_desc;A place for the nobility to meet, dance and scheme at feasts;Un lieu où la noblesse peut se rencontrer, danser et comploter.;Ein Ort, an dem der Adel sich zu Festen treffen, tanzen und intrigieren kann;;Un lugar donde la nobleza puede encontrarse, bailar e intrigar durante los festejos;;;;;;;;;x
upgrade_bells;Bells;Cloches;Glocken;;Campanas;;;;;;;;;x
upgrade_bells_desc;While intended for ceremony, the bells can also be rung in times of danger, a warning which would be heard all over the province.;Bien que destinées aux cérémonies, les cloches peuvent également sonner en cas de danger, un avertissement qui serait entendu partout dans la province.;Die Glocken sind zwar für Zeremonien bestimmt, können jedoch auch in Gefahrensituationen geläutet werden und bietetn so eine Warnung, die in der gesamten Provinz zu hören ist.;;Si bien las campanas están destinadas a las ceremonias, también pueden sonar en tiempos de peligro, una advertencia que se oiría en toda la provincia.;;;;;;;;;x
upgrade_bells_golden;Golden Bells;Cloches en or;Goldene Glocken;;Campanas doradas.;;;;;;;;;x
