#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME8603;Castle of Beit Dejan;Château de Bayt Dajan;Burg Beit Dejan;;Castillo de Beit Dejan;;;;;;;;;x
EVTNAME8608;Castle of Belfort;Château de Belfort;Burg Belfort;;Castillo de Belfort;;;;;;;;;x
EVTNAME8613;Castle of Athlith;Château d'Athlith;Burg Athlith;;Castillo de Athlith;;;;;;;;;x
EVTNAME8618;Castle of La Feve;Château de La Fève;Burg La Feve;;Castillo de La Feve;;;;;;;;;x

EVTDESC8600;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Jaffa seems like a good candidate for this. I should ask the ruling Count there for permission.;Pour contribuer à défendre la Terre sainte des infidèles, notre ordre doit y établir des châteaux. Le comté de Jaffa semble parfait pour cela, mais je dois d'abord obtenir l'autorisation du comte local.;Zur Unterstützung der Verteidigung des Heiligen Landes vor den Ungläubigen sollte unser Orden dort Burgen errichten. Die Provinz Jaffa scheint dafür gut geeignet zu sein. Ich sollte den dort herrschenden Graf um Erlaubnis bitten.;;Para colaborar en la defensa de Tierra Santa, nuestra orden debería construir castillos allí. La provincia de Jaffa parece un buen lugar para ello. Debería pedir permiso al Conde que manda allí.;;;;;;;;;x
EVTDESC8601;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights Templar ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Jaffa.;À l'éminent[Root.Get_E] [Root.GetTitledFirstName],\nVotre sagesse et votre miséricorde sont légendaires. Les Templiers sollicitent votre aide dans le cadre de la guerre sainte menée contre les infidèles. Pour nous assister dans notre lutte, nous vous demandons humblement la permission d'établir un nouveau château dans le comté de Jaffa.;Oh [Root.GetTitledFirstName],\nEure Weisheit und Gnade sind legendär. Die Tempelritter möchten Euch um Eure Hilfe im Krieg gegen die Ungläubigen bitten: Zur Unterstützung unseres Kampfes ersuchen wir Euch demütig um Erlaubnis, in der Grafschaft Jaffa eine neue Burg zu errichten.;;Al gran [Root.GetTitledFirstName],\nTu sabiduría y clemencia son legendarias. Los Caballeros Templarios te piden ayuda en la Guerra Santa contra los infieles. Para ayudarnos en nuestra lucha pedimos permiso humildemente para construir un nuevo castillo en el Condado de Jaffa.;;;;;;;;;x
EVTDESC8602;The Knights Templar have erected the castle of Beit Dejan in [Root.GetName].;Les Templiers ont érigé le château de Bayt Dajan à [Root.GetName].;Die Tempelritter haben in [Root.GetName] die Burg Beit Dejan gebaut.;;Los Caballeros Templarios han erigido el castillo de Beit Dejan en [Root.GetName].;;;;;;;;;x
EVTDESC8603;The Knights Templar have established a new holding in the [From.County.GetFullName]. Permission to settle there was granted to them by the noble [FromFrom.GetTitledName]. Their mighty castle will henceforth be known as Beit Dejan.;Les Templiers ont établi une nouvelle propriété dans [From.County.Get_le_RealmFull]. [FromFrom.GetLeLaCap] généreu[FromFrom.GetXSe] [FromFrom.GetTitledName] leur a donné la permission de s'y installer. Leur puissant château sera désormais connu sous le nom de Bayt Dajan.;Die Tempelritter haben in [From.County.GetFullName] ein neues Besitztum etabliert. Die Siedlungserlaubnis wurde ihnen vom edlen [FromFrom.GetTitledName] gewährt. Ihre mächtige Burg wird fürderhin unter dem Namen Beit Dejan bekannt sein.;;Los Caballeros Templarios han fundado una nueva posesión en el [From.County.GetFullName]. El noble [FromFrom.GetTitledName] les permitió establecerse ahí. Su poderoso castillo será conocido en adelante Beit Dejan.;;;;;;;;;x
EVTDESC8605;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Tyrus seems like a good candidate for this. I should ask the ruling Count there for permission.;Pour contribuer à défendre la Terre sainte des infidèles, notre ordre doit y établir des châteaux. Le comté de Tyrus semble parfait pour cela, mais je dois d'abord obtenir l'autorisation du comte local.;Zur Unterstützung der Verteidigung des Heiligen Landes vor den Ungläubigen sollte unser Orden dort Burgen errichten. Die Provinz Tyrus scheint dafür gut geeignet zu sein. Ich sollte den dort herrschenden Graf um Erlaubnis bitten.;;Para colaborar en la defensa de Tierra Santa, nuestra orden debería construir castillos allí. La provincia de Tyrus parece un buen lugar para ello. Debería pedir permiso al Conde que manda allí.;;;;;;;;;x
EVTDESC8606;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights Templar ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Tyrus.;À l'éminent[Root.Get_E] [Root.GetTitledFirstName],\nVotre sagesse et votre miséricorde sont légendaires. Les Templiers sollicitent votre aide dans le cadre de la guerre sainte menée contre les infidèles. Pour nous assister dans notre lutte, nous vous demandons humblement la permission d'établir un nouveau château dans le comté de Tyrus.;Oh [Root.GetTitledFirstName],\nEure Weisheit und Gnade sind legendär. Die Tempelritter möchten Euch um Eure Hilfe im Krieg gegen die Ungläubigen bitten: Zur Unterstützung unseres Kampfes ersuchen wir Euch demütig um Erlaubnis, in der Grafschaft Tyrus eine neue Burg zu errichten.;;Al gran [Root.GetTitledFirstName],\nTu sabiduría y clemencia son legendarias. Los Caballeros Templarios te piden ayuda en la Guerra Santa contra los infieles. Para ayudarnos en nuestra lucha pedimos permiso humildemente para construir un nuevo castillo en el Condado de Tyrus.;;;;;;;;;x
