#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
AI_ACCEPTANCE_HUMAN_MAYBE;Being a player, how they will respond is unknown;Puisque c'est un joueur, on ne peut prédire sa réponse;Da es sich um einen Spieler handelt, ist die Reaktion unbekannt;;Al ser jugadores, no sabemos cómo responderán;;;;;;;;;x
AI_ACCEPTANCE_MAYBE_DESC;§YThey will maybe accept this interaction§!;§YCette relation sera peut-être acceptée§!;§GSie werden diese Interaktion eventuell akzeptieren§!;;§YPuede que acepten esta interacción§!;;;;;;;;;x
AI_ACCEPTANCE_NO_DESC;§RThey will NOT accept this interaction§!;§RCette relation sera refusée§!;§GSie werden diese Interaktion NICHT akzeptieren§!;;§RNO aceptarán esta interacción§!;;;;;;;;;x
AI_ACCEPTANCE_TOTAL;Acceptance Score: $TOTAL|+0$;Score d'acceptation: $TOTAL|+0$;Akzeptanzwert: $TOTAL|+0$;;Porcentaje de aceptación: $TOTAL|+0$;;;;;;;;;x
AI_ACCEPTANCE_YES_DESC;§GThey will accept this interaction§!;§GCette relation sera acceptée§!;§GSie werden diese Interaktion akzeptieren§!;;§GAceptarán esta interacción§!;;;;;;;;;x
AIREASON_EXCOM_TARGET_HAS_REPENTED_SINS;[FromFrom.GetTitledFirstName] has been already absolved of [FromFrom.GetHerHis] sins;[FromFrom.Get_Le_TitledFirstName] a déjà été absout[FromFrom.Get_E] de ses péchés;[FromFrom.GetTitledFirstName] wurde bereits von [FromFrom.GetHerHis]en Sünden befreit;;[FromFrom.GetTitledFirstName] ya recibió la absolución de sus pecados;;;;;;;;x
ALL_KILL_LIST_CHARACTER;All characters in Kill List:;Tous les personnages dans la liste de tués :;Alle Charaktere in Tötungsliste:;;Todos los personajes de la lista de muertes:;;;;;;;;;x
ALL_PROVINCES_CONVERT_TOOLTIP;All of §Y[Root.GetTitledFirstName]'s§! demesne provinces will become §Y[sponsoring_king.Religion.GetName]§!.;Toutes les provinces du domaine [Root.Get_du_TitledFirstNameJ] adopteront la religion §Y[sponsoring_king.Religion.GetName]§!;Alle in der Domäne befindlichen Provinzen von §Y[Root.GetTitledFirstName]§! werden §Y[sponsoring_king.Religion.GetName]§!.;;Todos las provincias de los dominios de §Y[Root.GetTitledFirstName]§! serán §Y[sponsoring_king.Religion.GetName]§!.;;;;;;;;;x
ALTERNATE_START;Alternate Start;Départ alternatif;Alternativer Start;;Inicio alternativo;;;;;;;;;x
ALTERNATE_START_PARAMETER_TRIGGER;The $KEY|Y$ parameter has the value $VALUE|Y$ set;Le paramètre '$KEY|Y$' a $VALUE|Y$ comme valeur;Der Parameter $KEY|Y$ hat den Wert $VALUE|Y$ gesetzt;;El parámetro $KEY|Y$ tiene el conjunto de valores $VALUE|Y$;;;;;;;;;x
ALTERNATE_START_SETTING_TRIGGER;The $SETTING|Y$ setting matches the given parameters;Le réglage '$SETTING|Y$' correspond aux paramètres;Die Einstellung $SETTING|Y$ stimmt mit den gegebenen Parametern überein;;Los ajustes $SETTING|Y$ se ajustan con los parámetros dados;;;;;;;;;x
ALTERNATE_START_TOOLTIP;§YAlternate Start§!;§YDémarrage alternatif§!;§YAlternativer Start§!;;§YInicio alternativo§!;;;;;;;;;x
ALTERNATE_START_TOOLTIP_DELAYED;Shake up the game by shattering the world, or generating an alternate realm setup.;Bouleverser le jeu en détruisant le monde ou en créant une configuration alternative de pays.;Lockert das Spiel auf, indem ihr die historische Welt zerschmettert oder für alternative Reichserstellungen sorgt.;;Dale un vuelco al juego deshaciendo el mundo o generando una disposición de reinos alternativa.;;;;;;;;;x
ALTERNATE_START_TRIGGER;Is an Alternate Start;Est un départ alternatif;Ist ein alternativer Start;;Es un Inicio alternativo;;;;;;;;;x
ANTIPOPE_COUNT_OR_ABOVE;§RCan't make someone below Count level antipope§!;§RQuelqu'un en dessous du niveau de comte ne peut pas devenir un antipape§!;§RJemand unter dem Rang eines Grafen kann nicht zum Gegenpapst gemacht werden§!;;§RNo se puede nombrar antipapa a alguien por debajo del nivel conde§!;;;;;;;;x
ANY_ARTIFACT_OWNER_STARTS;Any Past or Present Artifact Owner;Tout précédent ou actuel détenteur de l'artefact;Jeder vorherige oder gegenwärtige Artefaktbesitzer;;Todo propietario de artefacto pasado o presente;;;;;;;;;x
ANY_BLOODLINE_MEMBER_STARTS;Any Bloodline Member;N'importe quel membre de la lignée;Beliebiges Mitglied der Blutlinie;;Todo miembro del linaje;;;;;;;;;x
ANY_BLOODLINE_STARTS;Any Bloodline;N'importe quelle lignée;Beliebige Blutlinie;;Cualquier linaje;;;;;;;;;x
ANY_CRUSADE_DEFENDER_STARTS;Any Crusade Defender;Tout défenseur à une croisade;Beliebiger Verteidiger eines Kreuzzugs;;Cualquier defensor contra la cruzada;;;;;;;;;x
ANY_CRUSADE_PARTICIPANT_STARTS;Any Crusade Participant;Tout participant à une croisade;Beliebiger Teilnehmer eines Kreuzzugs;;Cualquier participante de la cruzada;;;;;;;;;x
ANY_ELDERSHIP_TITLE_STARTS;Any Title of Eldership Representation;Tout titre du Conseil des Anciens;Beliebiger Titel der Ältestenherrschaft;;Todo título de representación por antigüedad;;;;;;;;;x
ANY_ELECTOR_CHARACTER_STARTS;Any Succession Elector;Tout électeur de la succession;Beliebiger Nachfolgewähler;;Todo elector de sucesión;;;;;;;;;x
ANY_KILL_LIST_CHARACTER_START;Any character in Kill List;N'importe quel personnage dans la liste de tués;Beliebiger Charakter in Tötungsliste;;Todo personaje en la lista de muertes;;;;;;;;;x
ANY_OWNED_BLOODLINE_STARTS;Any Possessed Bloodline;N'importe quelle lignée possédée;Beliebige besessene Blutlinie;;Cualquier linaje poseído;;;;;;;;;x
ANY_UNIT_LEADERS_STARTS;Any Unit Leader;Tout commandant d'unité;Beliebiger Einheitenanführer;;Cualquier líder de unidad;;;;;;;;;x
ARTIFACT_MODIFIER_HEADER;§YEffect of Artifacts§!;§YEffet des artefacts§!;§YEffekte von Artefakten§!;;§YEfecto de artefactos§!;;;;;;;;;x
AUTOCEPHALOUS_REL_HEAD_TITLE_FEMALE;Matriarch;Matriarche;Matriarch;;Matriarca;;;;;;;;;x
AUTONOMOUS_ATTR_RELIGION;Autonomous Leadership;Hiérarchie autonome;Autonome Führung;;Liderazgo autónomo;;;;;;;;x
AZTEC_RELENTLESS_RELIGION;Eternal Riders;Chevaucheurs éternels;Ewige Reiter;;Jinetes eternos;;;;;;;;x
