#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

begin_fast;Let the fast commence!;Que le jeûne commence !;Möge die Fastenzeit beginnen!;;¡Que comience el ayuno!;;;;;;;;;x
coa_plain_muslim;Plain;Plain;Einfach;;Simple;;;;;;;;;x
go_on_hajj;Go on Hajj to Mecca;Partir en pèlerinage à La Mecque;Geht auf Haddsch nach Mekka;;Ir al Hajj a La Meca;;;;;;;;;x
go_on_hajj_desc;Going on a pilgrimage to Mecca is one of the pillars of Islam, and this is something every able-bodied Muslim is expected to do once in their life. Decadent characters will get rid of the trait.;Réaliser un pèlerinage à La Mecque fait partie des cinq piliers de l'islam. C'est une chose que tout musulman valide se doit de faire au moins une fois dans sa vie. Les personnages décadents se déferont de leur trait.;Auf Pilgerreise nach Mekka zu gehen, ist eine der Säulen des Islam und es ist etwas, was von jedem nicht beeinträchtigten Moslem einmal in seinem Leben erwartet wird.;;Ir de peregrinación hacia La Meca es uno de los pilares del islam, y es algo que todo musulmán que esté en condiciones físicas de hacerlo debe hacer una vez en su vida.;;;;;;;;;x
hold_a_furusiyya;Hold a Furusiyya Tournament;Organiser un tournoi de Furûsiyya;Furusiyya-Turnier abhalten;;Celebrar un torneo Furusiyya;;;;;;;;;x
hold_a_furusiyya_desc;We shall hold a Furusiyya martial competition to determine once and for all who the best fighters of the land are.;Nous allons organiser une Furûsiyya pour déterminer une bonne fois pour toutes qui est le plus grand guerrier du pays.;Wir sollten einen Furusiyya, also einen kriegerischen Wettbewerb abhalten, um endgültig festzustellen, wer die besten Kämpfer des Landes sind.;;Organizaremos una competición marcial Furusiyya para determinar de una vez por todas quienes son los mejores luchadores de la tierra.;;;;;;;;;x
INTER_MUSLIM_WAR_PIETY_PENALTY;Attacking fellow $RELIGION$: §R$VALUE$§!;Attaquer un frère de foi $RELIGION$ : §R$VALUE$§!;Angriff auf $RELIGION$en Kameraden: §R$VALUE$§!;;Atacar a hermanos $RELIGION$ : §R$VALUE$§!;;;;;;;;;x
MUSLIM_TEMPLE_HOLDING_PIETY;§Y$NUM$§! Mosques in Demesne: §G+$VALUE$§!;§Y$NUM$§! mosquées du domaine : §G+$VALUE$§!;§Y$NUM$§! Moscheen im Gebiet: §G+$VALUE$§!;;¡§Y$NUM$§! Mezquitas en dominios: §G+$VALUE$§!;;;;;;;;;x
observe_ramadan;Observe Ramadan;Observer le ramadan;Verfolgt aufmerksam den Ramadan;;Observar el Ramadán;;;;;;;;;x
observe_ramadan_desc;As a Muslim you observe the fast of Ramadan every year, but you will be paying particular adherence to it this time. Upon its conclusion, a great banquet will be held to celebrate the Eid ul-Fitr holiday.;En tant que musulman, vous observez le jeûne du ramadan depuis toujours mais cette année, vous ressentez le besoin de vous investir encore plus. Et pour conclure ce mois en beauté, un grand banquet sera organisé pour fêter l'Aïd al-Fitr. ;Als Moslem nehmt Ihr wie in jedem Jahr an der Fastenzeit des Ramadan teil, doch Ihr werdet in diesem Jahr besondere Beachtung darauf legen. Am Ende wird es ein großes Bankett geben, um den Feiertag des Eid ul-Fitr zu feiern.;;Como musulmán, observas el ayuno del Ramadán cada año, pero este año vas a esforzarte especialmente en hacerlo bien. Cuando concluya, se celebrará un gran banquete para celebrar el Eid al-Fitr.;;;;;;;;;x
sadaqah_saddka_desc;I will give voluntarily of my wealth and hope Allah and the Caliph will hear of my piety;En donnant un peu de ma richesse, j'espère qu'Allah et le Calife apprécieront ma générosité.;Ich werde freiwillig meinen Reichtum geben und hoffe, dass Allah und die Kalifen von meiner Frömmigkeit hören werden.;;Daré voluntariamente de mi riqueza y espero que Alá y el Califa oigan acerca de mi piedad;;;;;;;;;x
sadaqah_voluntary_charity;The Caliph will hear of my charity, my sins will be forgiven and my piety increased;Le Calife entendra parler de ma charité, mes péchés seront expiés et ma piété sera ravivée;Der Kalif wird von meiner Barmherzigkeit erfahren, meine Sünden werden mir vergeben und meine Frömmigkeit erhöht sich;;El Califa oirá acerca de mi caridad, mis pecados serán perdonados y aumentará mi piedad.;;;;;;;;;x
TOOLTIP_LISTEN_TO_HADITH;You listen carefully to the old man's hadith.\n;Vous écoutez attentivement le hadith du vieil homme.\n;Ihr hört dem Hadith des alten Mannes genau zu.\n;;Escuchas con cuidado el jadiz del anciano.\n;;;;;;;;;x
vassal_fatwa_decision;Suggest Fatwa Against [Root.GetTitledFirstName];Proposer une fatwa à l'encontre [Root.Get_du_TitledFirstName];Schlagt ein Fatwa gegen [Root.GetTitledFirstName] vor;;Sugerir una fetua contra [Root.GetTitledFirstName];;;;;;;;;x
