#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC8300;Our armies now stand poised to take part in the [Root.Religion.GetCrusadeName] for the [Root.Location.Kingdom.GetFullBaseName].;Nos armées, assurées de la victoire, sont prêtes à prendre part à la [Root.Religion.GetCrusadeName] pour [Root.Location.Kingdom.GetFullBaseName]'.;Unsere Armeen stehen bereit, um sich am [Root.Religion.GetCrusadeName] vom [Root.Location.Kingdom.GetFullBaseName] zu beteiligen.;;Nuestros ejercitos se encuentran preparados para formar parte en la [Root.Religion.GetCrusadeName] por [Root.Location.Kingdom.GetFullBaseName].;;;;;;;;;x
EVTDESC8305;I finally stand before the destination of the crusade. With sword in hand I am ready to storm the walls of [Root.Location.GetName]!;J'ai enfin atteint la destination de notre croisade. Mon épée à la main, je suis prêt[Root.Get_E] à donner l'assaut contre les remparts de [Root.Location.GetName] !;Endlich stehe ich am Ziel des Kreuzzuges. Mit meinem Schwert in der Hand bin ich nun bereit, die Mauern von [Root.Location.GetName] zu erstürmen!;;Por fin vislumbro el destino de la cruzada. ¡Con la espada empuñada me dispongo a asaltar los muros de [Root.Location.GetName]!;;;;;;;;;x
EVTDESC8310;Fighting the infidels has brought out the warrior in me!;En combattant les infidèles, le guerrier qui sommeillait en moi s'est réveillé !;Der Kampf gegen die Ungläubigen hat den Krieger in mir hervorgebracht!;;¡Combatir a los infieles ha sacado a la luz el guerrero que soy!;;;;;;;;;x
EVTDESC8320;How can God let the infidels defeat us...?;Comment Dieu peut-il laisser les infidèles nous battre ?;Wie kann Gott den Ungläubigen den Sieg schenken?;;¿Cómo puede Dios dejar que nos derroten los infieles?;;;;;;;;;x
EVTDESC8330;The target of our crusade, the [From.County.GetFullName], has finally fallen to our mighty arms and the wrath of God!;La cible de notre croisade, [From.County.Get_le_RealmFull], est enfin tombée sous nos puissantes armes et sous la colère de Dieu !;Das Ziel unseres Kreuzzugs, [From.County.GetFullName], hat endlich dem Zorn Gottes nachgegeben und ist in unsere starken Hände gefallen!;;¡El objetivo de la cruzada, el [From.County.GetFullName], ha caído por fin ante nuestros poderosos brazos y la ira de Dios!;;;;;;;;;x
EVTDESC8331;Good news! My brave knights have captured the target of the crusade, [From.Location.GetName]!\n\nSigned,\n[From.GetTitledName];Bonne nouvelle ! Mes braves chevaliers ont capturé [From.Location.GetName], la cible de la croisade !\n\nSigné,\n[From.GetTitledName];Gute Nachrichten! Meine tapferen Ritter haben [From.Location.GetName], das Ziel des Kreuzzugs, erobert!\n\nGezeichnet,\n[From.GetTitledName];;¡Buenas noticias! Mis bravos caballeros han conquistado el objetivo de la cruzada, [From.Location.GetName]!\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTDESC8340;Pillaging through the ruins of a temple in Jerusalem I stumbled across the pieces of a very old lance...;En fouillant les ruines d'un temple de Jérusalem, j'ai découvert les vestiges d'une très vieille lance...;Beim Durchstöbern einiger Tempelruinen in Jerusalem stieß ich auf Stücke einer sehr alten Lanze ...;;Saqueando entre las ruinas de un templo de Jerusalén encontré los trozos de una lanza muy antigua...;;;;;;;;;x
EVTDESC8342;Prying open a tomb in Caesarea that had been sealed for centuries, I found a very old wooden chalice...;À Césarée, en fouillant un tombeau scellé depuis des siècles, j'ai trouvé un très vieux calice en bois...;Beim Öffnen eines Jahrhunderte lang versiegelten Grabes in Caesarea fand ich einen sehr alten hölzernen Kelch ...;;Abriendo una tumba en Cesárea que llevaba siglos sellada hallé un cáliz de madera muy antiguo...;;;;;;;;;x
EVTDESC8345;Jerusalem is finally ours after a horrific siege. Entering the city we rode in the blood of the infidels up to the knees of our horses.;Après un terrible siège, Jérusalem est enfin à nous. Lorsque nous sommes entrés dans la cité, nos chevaux avaient du sang jusqu'aux genoux... le sang des infidèles.;Nach einer schrecklichen Belagerung ist Jerusalem endlich unser. Beim Eintritt in die Stadt wateten unsere Pferde knietief durch das Blut der Ungläubigen.;;Tras un horrible asedio, Jerusalén ha caído por fin. Al entrar en la ciudad la sangre de los infieles llegaba hasta las rodillas de los caballos.;;;;;;;;;x
EVTDESC8350;I have lost the siege of [From.GetName] and let the infidels take back the very target of our crusade.;J'ai perdu le siège de [From.GetName] et les infidèles ont repris la cible de notre croisade.;Ich habe die Belagerung von [From.GetName] verloren und den Ungläubigen erlaubt, das Ziel unseres Kreuzzugs wieder einzunehmen.;;He fracasado en el asedio de [From.GetName] y los infieles han recuperado el objetivo de la cruzada.;;;;;;;;;x
