#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC69000;The lifestyle of a childless courtier has made me suspect that he fancies other men!;Compte tenu de la vie qu'il mène, je soupçonne un courtisan sans enfant de préférer les autres hommes !;Die Lebensweise eines kinderlosen Höflings lässt mich vermuten, dass er Männern zugeneigt ist!;;¡Sospecho que un cortesano que no tiene hijos se siente atraído por otros hombres!;;;;;;;;;x
EVTDESC69001;[From.GetTitledFirstName] asked me today if I really fancied men over women!;[From.Get_Le_TitledFirstName] m'a aujourd'hui demandé si je préférais les hommes aux femmes !;[From.GetTitledFirstName] fragte mich heute, ob ich wirklich Männer Frauen vorzöge!;;¡[From.GetTitledFirstName] me preguntó hoy si prefería los hombres a las mujeres!;;;;;;;;;x
EVTDESC69002;A note left on my table by an unseen visitor told me that if I did not deliver fifty gold within one hour to [From.GetTitledFirstName], my secret would be a secret no more. A small post scriptum wrote: 'the secret is that you are a sodomite'.;Un mot déposé sur ma table par un visiteur invisible m'apprend que si je ne remets pas dans l'heure la somme de cinquante pièces d'or [From.Get_au_TitledFirstName], mon secret sera dévoilé. En post-scriptum, il est écrit : 'Ce secret est le suivant : vous êtes sodomite'.;Ein unbekannter Besucher hatte eine Nachricht auf meinem Tisch hinterlassen: Wenn ich nicht fünfzig Goldstücke an [From.GetTitledFirstName] zahlen würde, wäre mein Geheimnis bald publik. Ein kurzes Post Skriptum fügte hinzu: "Das Geheimnis ist, dass Ihr ein Sodomit seid".;;Una nota que alguien dejó en mi mesa decía que si no entregaba cincuenta monedas de oro en una hora a [From.GetTitledFirstName], mi secreto dejaría de ser un secreto. Una pequeña posdata decía: 'el secreto es que eres un sodomita'.;;;;;;;;;x
EVTDESC69003;A childless courtier with a strange choice of lifestyle has shown men a bit more attention than the women at court. Might it be that he is a sodomite?;Un courtisan sans enfant ayant adopté un curieux mode de vie se montre plus attentif aux hommes qu'aux femmes à la Cour. Serait-ce un sodomite ?;Ein kinderloser Höfling mit einer merkwürdigen Lebensweise schenkt den Männern am Hof etwas zu viel Beachtung. Könnte es wohl sein, dass er ein Sodomit ist?;;Un cortesano sin hijos y con un extraño estilo de vida presta más atención a los hombres que a las mujeres de la corte. Quizá sea un sodomita.;;;;;;;;;x
EVTDESC69004;[From.GetTitledFirstName] started questioning my lifestyle, asked why I didn't have any children and made me feel incredibly awkward. My answers did not seem to satisfy [From.GetHerHim] and finally [From.GetSheHe] blurted out [From.GetHerHis] question: was I or was I not a sodomite?;[From.Get_Le_TitledFirstName] m'interroge sur mon mode de vie, me demande pourquoi je n'ai pas d'enfants et me met incroyablement mal à l'aise. Mes réponses ne semblent pas lui convenir et [From.GetIlElle] finit par laisser échapper la question qui [From.GetLeLa] taraude : suis-je un sodomite ?;[From.GetTitledFirstName] begann, nach meiner Lebensweise zu fragen und warum ich keine Kinder hätte. Die Fragen waren mir unglaublich peinlich. Da [From.GetHerHim] meine Antworten nicht befriedigten, platzte es schließlich aus [From.Getihmihr] heraus. [From.GetSheHeCap] fragte, ob ich ein Sodomit sei!;;[From.GetTitledFirstName] empezó a cuestionar mi estilo de vida, me preguntó por qué no tenía hijos y me hizo sentir muy incómodo. Mis respuestas no parecieron satisfacerle y al final [From.GetSheHe] espetó la pregunta: '¿eres o no eres un sodomita?';;;;;;;;;x
EVTDESC69005;I need to prove to everyone who thinks I prefer men over women that I am not a sodomite!;Je dois prouver à tous ceux qui pensent que je préfère les hommes que je ne suis pas sodomite !;Ich muss all denen beweisen, die glauben, ich würde Männer Frauen vorziehen, dass ich kein Sodomit bin!;;¡Debo probar a todos los que creen que prefiero los hombres a las mujeres que no soy un sodomita!;;;;;;;;;x
EVTDESC69006;An unfriendly [Root.Religion.GetPriestTitle] denounced me in front of everyone today because of the silly rumors about me being a sodomite!;Un [Root.Religion.GetPriestTitle] me condamne ouvertement aujourd'hui à cause de ces stupides rumeurs qui me font passer pour un sodomite !;Ein [Root.Religion.GetPriestTitle] denunzierte mich heute vor allen. Es ging um die dummen Gerüchte, ich sei ein Sodomit!;;¡Un [Root.Religion.GetPriestTitle] me denunció hoy delante de todos debido a los estúpidos rumores de que soy un sodomita!;;;;;;;;;x
EVTDESC69007;I have started to doubt myself, might it be that the rumors are true? Am I a sodomite, attracted to men rather than women?;Je commence à douter de moi-même. Ces rumeurs seraient-elles fondées ? Suis-je sodomite ? Suis-je attiré par les hommes ?;Ich habe begonnen, an mir selbst zu zweifeln. Was wäre, wenn die Gerüchte wahr sind? Bin ich ein Sodomit und eher Männern als Frauen zugetan?;;He empezado a dudar de mí mismo. ¿Serán ciertos los rumores? ¿Acaso soy un sodomita que prefiere los hombres a las mujeres?;;;;;;;;;x
EVTDESC69010;The affection a courtier shows his sister is unnatural. I have begun to suspect they might be having a incestuous affair!;L'affection d'un courtisan envers sa soeur est contre-nature. Je commence à les soupçonner d'avoir une relation incestueuse !;Die Zuneigung, die ein Höfling seiner Schwester gegenüber zeigt, wirkt unnatürlich. So langsam beginne ich zu vermuten, dass sie eine blutschänderische Beziehung haben!;;El afecto que profesa un cortesano a su hermana es antinatural. ¡Comienzo a pensar que tienen una relación incestuosa!;;;;;;;;;x
EVTDESC69011;When [From.GetTitledFirstName] started implying that I and my sister had an incestuous affair I could do nothing but deny, deny and deny. No matter what 'evidence' [From.GetFirstName] think [From.GetSheHe] has, [From.GetSheHe] cannot prove anything!;Quand [From.Get_le_TitledFirstName] a commencé à sous-entendre que j'entretenais une relation incestueuse avec ma soeur, je n'ai rien pu faire d'autre que de nier. Quelle que soit la 'preuve' que [From.GetFirstName] croit avoir, [From.GetIlElle] ne peut rien démontrer !;Als [From.GetTitledFirstName] anzudeuten begann, dass ich und meine Schwester eine blutschänderische Beziehung hätten, könnte ich nichts anderes tun, als immerzu abzustreiten. Egal, welche "Beweise" [From.GetFirstName] glaubt zu haben, [From.GetSheHe] kann nichts beweisen!;;Cuando [From.GetTitledFirstName] sugirió que mi hermana y yo teníamos una relación incestuosa no pude sino negarlo repetidamente. ¡No importa las 'pruebas' que crea tener [From.GetFirstName], no puede demostrar nada!;;;;;;;;;x
EVTDESC69012;[From.GetTitledFirstName] asked me what [From.GetHerHis] silence was worth to me, and when I asked [From.GetHerHim] what in the world [From.GetSheHe] was talking about, [From.GetTitledFirstName] told me [From.GetSheHe] knows about my incestuous affair with my sister. If I did not pay [From.GetHerHim], there would be nothing stopping [From.GetHerHim] from telling everybody about our forbidden love.;[From.Get_Le_TitledFirstName] me demande à combien j'évalue son silence et lorsque je lui demande de quoi [From.GetIlElle] parle, [From.GetIlElle] me répond qu'[From.GetIlElle] est au courant de ma relation incestueuse avec ma soeur. Il a fallu que je [From.GetLeLa] paie, sans quoi [From.GetIlElle] aurait révélé notre amour interdit au grand jour.;[From.GetTitledFirstName] fragte mich, was mir [From.GetHerHis] Schweigen wohl wert wäre. Als ich [From.GetHerHim] fragte, von was in aller Welt [From.GetSheHe] reden würde, erzählte mir [From.GetTitledFirstName], dass [From.GetSheHe] er von meiner blutschänderischen Beziehung zu meiner Schwester wüsste. Wenn ich [From.GetHerHim] nicht bezahlen würde, könnte [From.GetHerHim] nichts aufhalten, jedermann von unserer verbotenen Liebe zu erzählen.;;[From.GetTitledFirstName] me preguntó cuánto valía para mí su silencio, y cuando le pregunté de qué diablos hablaba, [From.GetTitledFirstName] me dijo que sabía que tenía una relación incestuosa con mi hermana. Si no le pagaba, hablaría a todos de nuestro amor prohibido.;;;;;;;;;x
EVTDESC69013;I did not know [From.GetTitledFirstName] could be so charming, and I had never really noticed how handsome [From.GetSheHe] is...;Je ne savais pas que [From.Get_le_TitledFirstName] pouvait avoir autant de charme et je n'avais jamais vraiment remarqué sa beauté...;Ich wusste gar nicht, dass [From.GetTitledFirstName] so charmant sein könnte. Ich hatte auch noch nie bemerkt, wie gut aussehend [From.GetSheHe] ist ...;;No sabía que [From.GetTitledFirstName] podía tener tanto encanto, y nunca me había dado cuenta de su gran atractivo...;;;;;;;;;x
EVTDESC69015;The rumors about my supposed incestuous love affair with my sister has reached the ears of my confessor.;Les rumeurs sur ma soi-disant relation incestueuse avec ma soeur sont arrivées aux oreilles de mon confesseur.;Die Gerüchte über meine vermeintliche blutschänderische Affäre mit meiner Schwester sind meinem Beichtvater zu Ohren gekommen.;;Los rumores de mi incesto con mi hermana han llegado a oídos de mi confesor.;;;;;;;;;x
EVTDESC69016;My sister and I enjoyed a few hours together in the high, abandoned tower of [Root.Location.GetName] when a child's face appeared in one of the windows...;Ma soeur et moi passions quelques heures ensemble dans la haute tour abandonnée de [Root.Location.GetName] lorsque le visage d'un enfant est apparu à l'une des fenêtres...;Meine Schwester und ich genossen ein paar ruhige Stunden im hohen, verlassenen Turm zu [Root.Location.GetName], als plötzlich in einem der Fenster das Gesicht eines Kindes erschien ...;;Mi hermana y yo disfrutábamos unas horas en la torre abandonada de [Root.Location.GetName] cuando apareció el rostro de un niño en una ventana...;;;;;;;;;x
EVTDESC69017;I should have killed the child when I had the chance! The child told everyone about me and my sister in the tower, describing in detail what it had seen...;J'aurais dû tuer l'enfant quand il en était encore temps ! Il a raconté à tout le monde qu'il m'avait surpris avec ma soeur dans la tour, en décrivant en détail ce qu'il avait vu...;Ich hätte das Kind töten sollen, als ich die Gelegenheit hatte! Es hat allen von mir und meiner Schwester im Turm erzählt, und zwar jede Einzelheit ...;;¡Debería haber matado al niño cuando tuve la oportunidad! El niño habló a todos de mi hermana y de mí, describiendo detalladamente lo que había visto...;;;;;;;;;x
EVTDESC69020;Everyone knows how deep and passionate the love between one of the courtiers and his wife are, but sadly it has not resulted in any children. I have heard the wife asking the other wives about cures and ways to get with child but to no avail.;Chacun sait que l'un des courtisans et sa femme s'aiment profondément et passionnément, mais hélas ils n'ont pas d'enfants. Il paraît que la femme demande aux autres épouses des remèdes et des trucs pour concevoir, mais en vain.;Jedermann weiß, wie tief und leidenschaftlich die Liebe zwischen einem der Höflinge und seiner Frau sind, doch leider sind daraus noch keine Kinder entsprungen. Ich habe die Frau andere Frauen über Heilmittel und Empfängnis fragen hören, aber nichts scheint geholfen zu haben.;;Todos conocen el profundo y apasionado amor de un cortesano y su mujer, pero por desgracia no han concebido hijos. He sabido que la esposa preguntaba a las otras mujeres por curas y modos de quedarse encinta, pero todo fue inútil. ;;;;;;;;;x
EVTDESC69021;The biggest grief in our lives is the absence of children so when [From.GetTitledFirstName] stuck [From.GetHerHis] long nose in our private life the longing and sorrow returned with full force.;L'absence d'enfants est le drame de notre vie. Alors quand [From.Get_le_TitledFirstName] a fourré son long nez dans notre vie privée, notre ardent désir et notre chagrin nous ont explosé à la figure.;Unsere Kinderlosigkeit ist der größte Kummer unseres Lebens. Als [From.GetTitledFirstName] [From.GetHerHis]e lange Nase in unser Eheleben steckte, kehrten die Sehnsüchte und die Trauer mit voller Kraft zurück.;;La mayor pena de nuestras vidas es no tener hijos, así que cuando [From.GetTitledFirstName] metió las narices en nuestra vida privada el anhelo y la amargura volvieron con toda su fuerza.;;;;;;;;;x
EVTDESC69022;I would never have thought anyone would try to profit off our grief, our sorrow that we have failed to conceive a child. The demand for gold or the secret about our trouble conceiving would be out in the open made me furious.;C'est vrai, nous ne pouvons pas avoir d'enfants, mais je n'aurais jamais cru que quelqu'un essaierait de profiter ainsi de notre chagrin. Comment cette personne peut-elle nous réclamer de l'or en échange de son silence ? Je suis hors de moi !;Ich hätte niemals gedacht, dass jemand versuchen würde, aus unserem Kummer, kein Kind zeugen zu können, Kapital zu schlagen. Die Drohung, beim Ausbleiben einer Goldzahlung unsere Empfängnisschwierigkeiten zu veröffentlichen, machte mich rasend vor Wut.;;Nunca habría creído que alguien tratase de aprovecharse de la tristeza que sentimos por no tener hijos. La exigencia de oro a cambio de guardar en secreto nuestros problemas para concebir me enfureció.;;;;;;;;;x
EVTDESC69024;It seems as if the rumor about me being impotent has spread throughout the court. People are laughing behind my back, or so my so-called 'friends' tell me.;Apparemment, la rumeur de mon impuissance s'est propagée à toute la Cour. Les gens rient derrière mon dos. Du moins, c'est ce que me disent mes soi-disant 'amis'.;Anscheinend hat sich das Gerücht über meine Impotenz am ganzen Hof verbreitet. Man lacht hinter meinem Rücken, sagen mir zumindest meine so genannten "Freunde".;;El rumor de mi impotencia se ha extendido por toda la corte. La gente se ríe a mis espaldas, o eso me dicen mis supuestos 'amigos'.;;;;;;;;;x
EVTDESC69030;The lingering looks, the small, almost inappropriate touches, the secret smiles given to someone other than his wife... A courtier is having an affair!;Les regards appuyés, les frôlements presque déplacés, les sourires secrets adressés à une autre que sa femme... Un courtisan a une liaison !;Die ständigen Blicke, die kleinen, fast unangemessenen Berührungen, das heimliche Anlächeln einer anderen Frau ... Ein Höfling hat eine Affäre!;;Las miradas persistentes, los inapropiados contactos, las sonrisas secretas dedicadas a otras mujeres... ¡Un cortesano tiene una aventura!;;;;;;;;;x
EVTDESC69031;We hadn't been as discreet as we had hoped, [Root.GetTitledFirstName] confronted me about the adultery I had committed with the beautiful lady at the court.;Nous n'avons pas été suffisamment discrets. [Root.Get_Le_TitledFirstName] m'a interrogé sur ma liaison adultère avec la belle dame de la Cour.;Wir waren nicht so diskret, wie wir gehofft hatten: [Root.GetTitledFirstName] konfrontierte mich wegen des Ehebruchs, den ich mit der schönen Dame am Hof begangen hatte.;;No hemos sido todo lo discretos que debíamos, [Root.GetTitledFirstName] me interrogó acerca del adulterio que cometí con una hermosa dama de la corte.;;;;;;;;;x
EVTDESC69032;When [From.GetTitledFirstName] denied that [From.GetSheHe] had committed adultery I was stunned, I had been so sure of what I had seen that it had never occurred to me that I might be wrong. I apologised and [From.GetTitledFirstName] accepted the apology with a frown.;Je ne m'attendais pas à ce que [From.Get_le_TitledFirstName] nie avoir commis un adultère. J'étais tellement sûr[Root.Get_E] de ce que j'avais vu qu'il ne m'est jamais venu à l'idée que je pouvais me tromper. J'ai présenté mes excuses [From.Get_au_TitledFirstName] qui les a acceptées en me regardant de travers.;Als [From.GetTitledFirstName] leugnete, Ehebruch begangen zu haben, war ich völlig vor den Kopf gestoßen. Meine Beobachtungen schienen mir so klar, dass ich gar nicht auf den Gedanken kam, Unrecht haben zu können. Ich bot meine Entschuldigung an und [From.GetTitledFirstName] nahm sie mit finsterem Blick an.;;Cuando [From.GetTitledFirstName] negó haber cometido adulterio me quedé pasmado, estaba tan seguro de lo que había visto que nunca habría pensado que me equivocaba. Me disculpé y [From.GetTitledFirstName] aceptó la disculpa de mala gana.;;;;;;;;;x
