#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

evt_TITLE_LT_20010;The Lost Book;Le livre perdu;Das verlorene Buch;;El libro perdido;;;;;;;;x
evt_TITLE_LT_20011;Search Ended;Recherche terminée;Suche beendet;;Búsqueda terminada;;;;;;;;;x
evt_TITLE_LT_20020;The Lost Book;Le livre perdu;Das verlorene Buch;;El libro perdido;;;;;;;;x
evt_TITLE_LT_20035;The Lost Book;Le livre perdu;Das verlorene Buch;;El libro perdido;;;;;;;;x
evt_TITLE_LT_20036;The Lost Book;Le livre perdu;Das verlorene Buch;;El libro perdido;;;;;;;;x
evt_TITLE_LT_20040;The Lost Book!;Le livre perdu !;Das verlorene Buch;;¡El libro perdido!;;;;;;;;x
evt_TITLE_LT_20050;The Lost Book is a Fake!;Le livre perdu est un faux !;Das verlorene Buch ist eine Fläschung!;;¡El libro perdido es falso!;;;;;;;;x
evt_TITLE_LT_20055;This book seems to be a forgery!;Ce livre semble être un faux !;Dieses Buch scheint eine Fälschung zu sein;;¡Este libro parece una falsificación!;;;;;;;;x
evt_TITLE_LT_20060;The Lost Book;Le livre perdu;Das verlorene Buch;;El libro perdido;;;;;;;;x
evt_TITLE_LT_20101;A Discovery;Une découverte;Eine Entdeckung;;Un descubrimiento;;;;;;;;x
evt_TITLE_LT_20510;Honor the Dead;Honorer les morts;Ehre den Toten;;Honrar a los muertos;;;;;;;;;x
evt_TITLE_LT_20700;The [target_upgrade.GetName] are Done!;Les [target_upgrade.GetName] sont terminées !;Bau des [target_upgrade.GetName] abgeschlossen!;;¡El/La [target_upgrade.GetName] está terminado!;;;;;;;;;x
evt_TITLE_LT_20820;Great Work Looted;Grand ouvrage pillé;Großes Bauwerk geplündert;;Gran obra saqueada;;;;;;;;;x

EVTDESC_LT_20010.1;A visitor to my court told me that in [book_province.GetName], in the [book_province_realm.GetFullBaseName] he heard rumors that a rich merchant had acquired an unheard of [Root.GetBookTheme] by the famous [Root.GetAuthorNationAdj] [Root.GetAuthorTitle] [Root.GetAuthorName].;Un visiteur à ma Cour m'a dit qu'en [book_province.GetName], province [book_province_realm.Get_only_du_RealmFull][book_province_realm.GetFullBaseName], avoir entendu des rumeurs concernant un riche marchand qui aurait acquis [Root.GetBookTheme] incroyable du célèbre [Root.GetAuthorTitle] [Root.GetAuthorNationAdj] [Root.GetAuthorName] .;Ein Besucher an meinem Hof erzählte mir, dass er in [book_province.GetName], in [book_province_realm.GetFullBaseName], Gerüchte hörte, dass ein reicher Händler ein [Root.GetBookTheme] des/der berühmten [Root.GetAuthorNationAdj]en [Root.GetAuthorTitle] [Root.GetAuthorName] erworben hatte.;;Un visitante en mi corte me dice que ha oído rumores de que en [book_province.GetName], en el [book_province_realm.GetFullBaseName], un rico mercader ha adquirido un [Root.GetBookTheme] inédito del célebre [Root.GetAuthorTitle] [Root.GetAuthorNationAdj] [Root.GetAuthorName].;;;;;;;;x
EVTDESC_LT_20010.2;I received a letter from someone in [book_province.GetName], in the [book_province_realm.GetFullBaseName], claiming that he has in his possession a copy of [Root.GetBookThemeWithArticle] by the famous [Root.GetAuthorNationAdj] [Root.GetAuthorTitle] [Root.GetAuthorName]. But that work was unknown until now!;J'ai reçu une lettre de quelqu'un en [book_province.GetName], province [book_province_realm.Get_only_du_RealmFull][book_province_realm.GetFullBaseName], affirmant avoir en sa possession une copie de [Root.GetBookThemeWithArticle] du célèbre [Root.GetAuthorTitle] [Root.GetAuthorNationAdj] [Root.GetAuthorName] .;Ich habe einen Brief von jemandem aus [book_province.GetName], in [book_province_realm.GetFullBaseName], erhalten, der behauptet, dass er eine Kopie von einem [Root.GetBookTheme] des/der berühmten [Root.GetAuthorNationAdj]en [Root.GetAuthorTitle] [Root.GetAuthorName] hat, dieses Werk bisher aber unbekannt war!;;He recibido una carta de alguien de [book_province.GetName], en el [book_province_realm.GetFullBaseName], afirmando poseer un ejemplar de [Root.GetBookThemeWithArticle] del célebre [Root.GetAuthorTitle] [Root.GetAuthorNationAdj] [Root.GetAuthorName]. ¡Pero se trata de una obra desconocida hasta ahora!;;;;;;;;x
