#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC80000;The peasant army ravaging the county of [Root.GetName] is burning down buildings!;L'armée de paysans qui ravage le comté de [Root.GetName] incendie les édifices !;Die Bauernarmee, die gerade die Provinz [Root.GetName] verwüstet, brennt nun auch Gebäude nieder!;;¡El ejército de campesinos que asola la provincia de [Root.GetName] está quemando edificios!;;;;;;;;;x
EVTDESC80001;The peasant army ravaging the county of [From.GetName] is burning down my buildings!;L'armée de paysans qui ravage le comté de [From.GetName] incendie mes édifices !;Die Bauernarmee, die gerade die Provinz von [From.GetName] verwüstet, brennt nun auch Gebäude nieder!;;¡El ejército de campesinos que asola la provincia de [From.GetName] está quemando edificios!;;;;;;;;;x
EVTDESC80005;I have been attacked by the peasants rebels in [Root.Location.GetName]!;Les paysans rebelles de [Root.Location.GetName] s'en sont pris à moi !;Die Bauernrebellen haben mich in [Root.Location.GetName] angegriffen!;;¡Los campesinos rebeldes me han atacado en [Root.Location.GetName]!;;;;;;;;;x
EVTDESC80050;[From.GetTitledName] has been captured and killed by peasant rebels!;Les paysans rebelles ont capturé et tué [From.Get_le_TitledName] !;[From.GetTitledName] wurde von Bauernrebellen gefangen und hingerichtet!;;¡[From.GetTitledName] ha sido capturado y asesinado por campesinos rebeldes!;;;;;;;;;x
EVTDESC80051;My liege,\nI was ambushed by a mob of peasant rebels and barely got away with my life. The attack has left me maimed and I fear for the life of me and those around me in [From.Location.GetName]. These rebels must be stopped.\n\nSigned,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nJ'ai échappé de peu à la mort suite à une embuscade par une foule de paysans rebelles. L'événement me laisse une mutilation et je crains désormais pour ma vie et pour celle de ceux qui m'entourent à [From.Location.GetName]. Il faut absolument arrêter ces rebelles.\n\nSigné,\n[From.GetTitledName];Mein Lehnsherr,\nEine Schar Bauernrebellen hat mir einen Hinterhalt gelegt. Ich bin gerade so mit dem Leben davongekommen, wurde aber verstümmelt. Nun sorge ich mich um mein Leben und um das meiner Begleiter in [From.Location.GetName]. Diese Rebellen müssen aufgehalten werden.\n\nGezeichnet,\n[From.GetTitledName];;Mi señor,\nFui emboscado por una turba de campesinos rebeldes y logré huir a duras penas. El ataque me dejó lisiado y temo por mi vida y la de los que me rodean en [From.Location.GetName]. Hay que parar a esos rebeldes.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTDESC80052;My liege,\nAlthough I escaped with my life, the mob of peasant rebels that attacked me managed to wound me. I fear these attacks will only increase until the revolt in [From.Location.GetName] is put down.\nSigned,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nJ'ai survécu, mais les paysans rebelles qui s'en sont pris à moi ont réussi à me blesser. Je crains que ces attaques ne s'intensifient tant que la révolte de [From.Location.GetName] ne sera pas matée.\n\nSigné,\n[From.GetTitledName];Mein Lehnsherr,\nIch entkam zwar mit meinem Leben, aber die Schar angreifender Bauernrebellen hat mich verwundet. Wenn die Revolte in [From.Location.GetName] nicht niedergeschlagen wird, werden diese Angriffe wohl noch zunehmen.\nGezeichnet\n[From.GetTitledName];;Mi señor,\nAunque logré huir, la turba de campesinos rebeldes que me atacó logró herirme. Me temo que estos ataques no harán más que aumentar hasta que la revuelta en [From.Location.GetName] sea sofocada.\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTDESC80053;Tired of their old ruler [From.GetTitledName], the peasant rebels of [Root.GetName] have defected and sworn allegiance to me!;Lassés de leur ancie[From.GetNNne] [From.GetTitledName], les paysans rebelles de [Root.GetName] ont déserté pour me prêter serment d'allégeance !;Des alten Herrschers [From.GetTitledName] überdrüssig sind die bäuerlichen Rebellen von [Root.GetName] übergelaufen und schworen mir die Treue!;;¡Cansados del antiguo gobernante [From.GetTitledName], los campesinos rebeldes de [Root.GetName] han desertado y me han jurado lealtad!;;;;;;;;;x
EVTDESC80054;The peasant rebels of [From.GetName] have defected and sworn allegiance to [From.County.Holder.GetTitledName]!;Les paysans rebelles de [From.GetName] ont fait défection et ont prêté allégeance [From.County.Holder.Get_au_TitledName] !;Die Bauernrebellen von [From.GetName] sind abtrünnig geworden und haben [From.County.Holder.GetTitledName] Gefolgschaft geschworen!;;¡Los rebeldes campesinos de [From.GetName] han desertado y juran lealtad a [From.County.Holder.GetTitledName]!;;;;;;;;;x
EVTDESC80055;The people in [From.GetName] will no longer let themselves be ruled by someone of another religion! The peasant rebels controlling the county have defected and sworn allegiance to [From.County.Holder.GetTitledName]!;La population de [From.GetName] ne veut plus être gouvernée par quelqu'un appartenant à une autre religion ! Les paysans rebelles contrôlant le comté ont fait défection et ont prêté allégeance [From.County.Holder.Get_au_TitledName] !;Die Menschen in [From.GetName] möchten sich nicht länger der Herrschaft eines ‚ungläubigen‘ Fürsten beugen! Die aufständischen Bauern, welche die Provinz kontrollieren, sind abtrünnig geworden und haben [From.County.Holder.GetTitledName] Gefolgschaft geschworen!;;¡La gente de [From.GetName] no permitirá que siga gobernándolos un líder que pertenece a otra religión! ¡Los campesinos rebeldes que controlan la provincia han desertado y juran lealtad a [From.County.Holder.GetTitledName]!;;;;;;;;;x
EVTDESC80056;Feeling estranged due to cultural differences in [FromFrom.Holder.Liege.PrimaryTitle.GetName], the peasant rebels of [FromFrom.GetName] have defected and sworn allegiance to [From.County.Holder.GetTitledName]!;Se sentant mis à l'écart à cause de différences culturelles au coeur [FromFrom.Holder.Liege.PrimaryTitle.Get_du_Realm], les paysans rebelles de [FromFrom.GetName] ont fait défection et ont prêté allégeance [From.County.Holder.Get_au_TitledName] !;Aufgrund der unüberbrückbaren kulturellen Unterschiede in [FromFrom.Holder.Liege.PrimaryTitle.GetName] haben die aufständischen Bauern in [FromFrom.GetName] einem neuen Fürsten, [From.County.Holder.GetTitledName], die Treue geschworen!;;¡Marginados por las diferencias culturales en [FromFrom.Holder.Liege.PrimaryTitle.GetName], los campesinos rebeldes de [FromFrom.GetName] han desertado y juran lealtad a [From.County.Holder.GetTitledName]!;;;;;;;;;x
EVTDESC80057;Feeling little loyalty to their previous far off ruler, the peasant rebels of [FromFrom.GetName] have defected and sworn allegiance to [From.County.Holder.GetTitledName]!;Se sentant légèrement loyaux envers leur précédent souverain, les paysans rebelles de [FromFrom.GetName] se sont enfuis et ont prêté allégeance [From.County.Holder.Get_au_TitledName] !;Ohne große Loyalität gegenüber ihrem vorherigen, weit entfernten Herrscher, sind die rebellischen Bauern von [FromFrom.GetName] übergelaufen und haben [From.County.Holder.GetTitledName] ihre Treue geschworen!;;La lealtad al lejano gobernante se ha debilitado. ¡Los rebeldes del ejército de [From.GetName] han desertado y jurado lealtad a [From.County.Holder.GetTitledName]!;;;;;;;;;x
