arctic;Arctic;Arctique;Arktis;;Ártico;;;;;;;;;xx
coastal_desert;Ocean;Océan;Ozean;;Océano;;;;;;;;;x
desert;Desert;Désert;Wüste;;Desierto;;;;;;;;;x
farmlands;Farmlands;Terres arables;Ackerland;;Tierras de cultivo;;;;;;;;;x
forest;Forest;Forêts;Wald;;Bosque;;;;;;;;;x
hills;Hills;Collines;Hügel;;Colinas;;;;;;;;;x
jungle;Jungle;Jungle;Dschungel;;Jungla;;;;;;;;;x
marsh;Marsh;Marais;Marais;;marisma;;;;;x
mountain;Mountains;Montagnes;Berge;;Montañas;;;;;;;;;x
plains;Plains;Plaines;Ebenen;;Llanura;;;;;;;;;
pti;Mare incognitum;Mare incognitum;Mare incognitum ;;Mare incognitum;;;;;;;;;x
steppe;Steppe;Steppe;Steppe;;Estepa;;;;;;;;;x
woods;Woods;Bois;Wald;;Bosque;;;;;;;;x
