cheng_china;Cheng;Chine Cheng;Cheng;;Cheng;;;;;;;;;x
china_china;China;Chine;China;;China;;;;;;;;;x
china_china_full;Chinese Empire;Empire chinois;Chinesisches Kaiserreich;;Imperio chino;;;;;;;;;x
china_civil_war;Civil War;Guerre civile;Bürgerkrieg;;Guerra civil;;;;;;;;;x
china_civil_war_desc;Civil war has erupted in the [Root.GetName], and trade with the East suffers as a result. The Empire's armies are arrayed against one another, and the ruling dynasty itself is threatened. Intrepid generals may well seek their fortune in the West, beyond China's borders.;La guerre civile a éclaté dans l'[Root.GetName], et le commerce avec l'Orient souffre en conséquence. Les armées de l'Empire sont opposées les unes aux autres, et la dynastie dominante est elle-même menacée. Les généraux intrépides pourraient bien franchir les frontières de la Chine pour chercher la fortune en Occident.;Im [Root.GetName] ist ein Bürgerkrieg ausgebrochen und der Handel mit dem Osten leidet als Folge dessen. Die Armeen des Reiches stehen sich gegenüber und die herrschende Dynastie selbst ist bedroht. Furchtlose Generäle könnten auch einfach ihr Glück im Westen, jenseits von Chinas Grenzen suchen.;;La guerra civil ha estallado en el [Root.GetName] y como resultado, el comercio con Oriente sufre. Los ejércitos del imperio se enfrentan entre sí, y la dinastía gobernante se ve amenazada. Generales intrépidos pueden buscar su fortuna en el Oeste, más allá de las fronteras chinas.;;;;;;;;;x
china_civil_war_effect_desc;§Y*§! The value of the Silk Road is reduced by §R50%§!\n§Y*§! Imperial Tributaries can §RNOT§! raise Chinese Regiments\n§Y*§! Imperial Tributaries can Break Free without opposition from China\n§Y*§! Might end with China getting a §RNew Dynasty§!, resetting all §YGrace§!;§Y*§! La valeur de la Route de la Soie est réduite de §R50%§!\n§Y*§! Les tributaires impériaux ne peuvent pas lever des régiments chinois pour les aider dans les guerres\n§Y*§! Les tributaires impériaux peuvent se libérer sans opposition de la part de la Chine\n§Y*§! Pourrait aboutir à une §Rnouvelle dynastie§! en Chine, effaçant toute Grâce;§Y*§! Der Wert der Seidenstraße ist um §R50%§! reduziert\n§Y*§! Kaiserliche Tributstaaten können §RKEINE§! chinesische Regimenter ausheben, die ihnen in Kriegen helfen\n§Y*§! Kaiserliche Tributstaaten können ohne Einwirken von China ihre Unabhängigkeit erlangen\n§Y*§! Kann mit einer §RNeuen Dynastie§! in China enden, was jegliche §YGunst§! zurücksetzt;;§Y*§! El valor de la Ruta de la Seda se reduce en un §R50%§!\n§Y*§! Los tributarios imperiales pueden reclutar regimientos chinos para sus guerras\n§Y*§! Los tributarios imperiales pueden liberarse sin oposición china\n§Y*§! Puede provocar que China tenga una §RNueva dinastía§!, rese teando todas las §Ygracias§!;;;;;;;;;x
china_expansionist;Expansionist;Expansionniste;Expansionist;;Expansionista;;;;;;;;;x
china_expansionist_desc;The Emperor is showing a rare interest in the rest of the world. China might aggressively seek to gain new Tributary states, or even stage a major invasion to 'pacify the West'.;L'empereur présente un intérêt rare pour le reste du monde. La Chine pourrait chercher énergiquement à gagner de nouveaux États tributaires, ou même lancer une invasion majeure pour « pacifier l'Occident ».;Der Kaiser zeigt ein seltenes Interesse am Rest der Welt. China könnte aggressiv versuchen, neue Tributstaaten zu gewinnen, oder sogar eine große Invasion zur "Beschwichtigung des Westens" einläuten.;;El Emperador muestra un raro interés por el resto del mundo. China puede buscar ganar nuevos tributarios agresivamente o incluso lanzar una gran invasión para 'pacificar Occidente'.;;;;;;;;;x
china_expansionist_effect_desc;§Y*§! The Silk Road is §GOpen§!\n§Y*§! China might stage §YMajor Invasions§!;§Y*§! La Route de la Soie est §Gouverte§!\n§Y*§! La Chine pourrait planifier des §Yinvasions majeures§!;§Y*§! Die Seidenstraße ist §Yoffen§!\n§Y*§! China könnte §YGroße Invasionen§! durchführen;;§Y*§! La Ruta de la Seda está §Yabierta§!\n§Y*§! China puede lanzar §Ygrandes invasiones§!;;;;;;;;;x
china_famine;Great Famine;Grande famine;Große Hungersnot;;Gran hambruna;;;;;;;;;x
china_golden_age;Golden Age;Age d'or;Goldenes Zeitalter;;Edad de Oro;;;;;;;;;x
china_golden_age_desc;The [Root.GetName] has reached untold power and wealth. As China flourishes, the trade routes with the East bring not only valuable goods in previously unheard-of quantities, but also rich and abundant examples of Chinese culture. An Emperor of China in this Golden Age may well rightfully consider [Root.Ruler.GetHerselfHimself] the [Root.Ruler.GetMasterMistress] of the known world.;L'[Root.GetName] a atteint une puissance et une richesse incalculables. Au fur et à mesure que la Chine prospère, les routes commerciales avec l'Orient apportent non seulement des biens précieux dans des quantités sans précédent, mais aussi de nombreux exemples de la culture chinoise. Un empereur de Chine dans cet âge d'or pourrait bien se considérer comme [Root.Ruler.GetLeLa] [Root.Ruler.GetMasterMistress] du monde connu.;Das [Root.GetName] hat unermessliche Macht und Reichtum erreicht. Während China blüht, bringen die Handelswege mit dem Osten nicht nur wertvolle Güter in undenklichen Mengen, sondern auch reichhaltige und üppige Beispiele chinesischer Kultur. Ein Kaiser eines solch goldenen Zeitalters kann mit Recht als [Root.Ruler.GetMasterMistress] der bekannten Welt betrachtet werden.;;El [Root.GetName] ha alcanzado poder y riqueza nunca visto. Con el florecimiento de China, las rutas comerciales con Oriente no solo traen bienes valiosos en cantidades nunca vistas, sino también ejemplos ricos y abundantes de la cultura china. Por lo tanto, quien gobierne el Imperio de China en esta Edad de Oro se puede considerar [Root.Ruler.GetMasterMistress] del mundo conocido.;;;;;;;;;x
china_golden_age_effect_desc;§Y*§! The value of the Silk Road is §GDoubled§!\n§Y*§! The effects of Chinese §YStrategists§!, §YScholar-Bureaucrats§! and §YMaster Engineers§! are §GDoubled§!\n§Y*§! The armies of China are significantly stronger;§Y*§! La valeur de la Route de la Soie est §Gdoublée§!\n§Y*§! Les effets des §Ystratèges§!, §Yérudits-bureaucrates§! et §Ymaîtres ingénieurs§! sont §Gdoublés§!\n§Y*§! Les armées de Chine sont nettement plus fortes;§Y*§! Der Wert der Seidenstraße wird §Gverdoppelt§!\n§Y*§! Die Auswirkung von chinesischen §YStrategen§!, §YBeamtengelehrten§! und §YMeisteringenieuren§! ist §Gverdoppelt§!\n§Y*§! Die Armeen Chinas sind deutlich stärker;;§Y*§! Se §Gdobla§! el valor de la Ruta de la Seda\n§Y*§! Se §Gdoblan§! los efectos del §Yestratega§!, §Yburócrata eruditos§! y §Ymaestro ingeniero§! chinos\n§Y*§! Los ejércitos de China son considerablemente más fuertes;;;;;;;;;x
china_isolationist;Isolationist;Isolationniste;Isolationist;;Aislacionista;;;;;;;;;x
china_isolationist_desc;China has turned inward and is mostly ignoring its primitive neighbors. All actions to gain the Emperor's Grace or request boons are invalid. New Tributary states will likely not be accepted.;La Chine est tournée vers l'intérieur et ignore ses voisins. Toutes les actions pour gagner la Grâce de l'Empereur ou demander des faveurs sont invalides. De nouveaux États tributaires ne seraient probablement pas acceptés.;China hat sich nach innen gewandt und ignoriert weitgehend seine primitiven Nachbarn. Keine der Handlungen, um die Gunst des Kaisers zu erlangen oder um Segen zu bitten, stehen zur Verfügung. Neue Tributstaaten werden wahrscheinlich nicht akzeptiert.;;China se ha vuelto sobre sí misma y sobre todo ignora a sus vecinos primitivos. Todas las acciones para ganar gracia del Emperador o solicitar regalos son inválidas. Es improbable que se acepten nuevos tributarios.;;;;;;;;;x
china_isolationist_effect_desc;§Y*§! The Silk Road is §RClosed§!\n§Y*§! China will §YNOT§! declare any wars\n§Y*§! The §YSend Tribute§! and §YRequest Boon§! decisions are §RDisabled§!;§Y*§! La Route de la Soie est §Rfermée§!\n§Y*§! La Chine ne déclarera pas de guerre\n§Y*§! Les décisions §YEnvoyer un tribut§! et §YDemander une faveur§! sont §Rinaccessibles§!;§Y*§! Die Seidenstraße ist §Rgeschlossen§!\n§Y*§! China wird §YKEINE§! Kriege erklären\n§Y*§! Die Entscheidungen für §YTribut senden§! und §YGefallen anfragen§! sind §Rdeaktiviert§!;;§Y*§! La Ruta de la Seda está §Rcerrada§!\n§Y*§! China §YNO§! declarará guerras\n§Y*§! Las decisiones §Yenviar tributo§! Y §Ysolicitar regalo§! están §Rdesactivadas§!;;;;;;;;;x
china_jurchen_invasion;Being Invaded by Jurchens;Invasion par les Jurchen;Wird von Jurchen überfallen;;Invadidos por los yurchen;;;;;;;;;x
