desc_job_chancellor;The §Y$JOB$§! is your advisor on matters of diplomacy. The position is traditionally considered the highest on the council.;Votre §Y$JOB$§! est votre conseiller en matière de diplomatie. Ce poste est traditionnellement considéré comme le plus élevé du Conseil.;Der §Y$JOB$§! ist Euer Berater für diplomatische Angelegenheiten. Traditionell wird das als die höchste Position im Rat betrachtet.;;El §Y$JOB$§! es tu asesor en cuestiones de diplomacia. Por tradición, se considera el puesto más alto del Consejo.;;;;;;;;;x
desc_job_marshal;The §Y$JOB$§! is the councillor in charge of the military. When the ruler cannot or will not command armies, the §Y$JOB$§! will do it.;Le §Y$JOB$§! est le conseiller en charge des affaires militaires. Lorsqu'un dirigeant ne peut pas commander ses armées, c'est au §Y$JOB$§! que revient cette responsabilité.;Der §Y$JOB$§! ist für militärische Angelegenheiten zuständig. Wenn der Herrscher nicht zur Kriegsführung abkömmlich oder gewillt ist, so übernimmt der §Y$JOB$§! diese Aufgabe.;;El §Y$JOB$§! es el consejero encargado del ejército. Si el gobernante no quiere o no puede liderar los batallones, el §Y$JOB$§! lo hará.;;;;;;;;;x
desc_job_spiritual;The §Y$JOB$§! is your personal advisor on matters of the faith, but does not necessarily have to belong to the clergy.;Votre §Y$JOB$§! est votre conseiller personnel en matière de religion, mais il n'appartient pas forcément au clergé.;Der §Y$JOB$§! ist Euer persönlicher Berater in religiösen Fragen. Er gehört aber nicht notwendigerweise dem Klerus an.;;El §Y$JOB$§! es tu asesor personal en temas de fe, pero no debe pertenecer al clero necesariamente.;;;;;;;;;x
desc_job_spymaster;§Y$JOB$§! is an unofficial position on the council. The office holder is responsible for all matters of intrigue and skullduggery.;§Y$JOB$§! est un poste officieux du Conseil qui s'occupe des intrigues et autres filouteries.;§Y$JOB$§! ist eine inoffizielle Ratsposition. Wer immer sie bekleidet, der ist verantwortlich für Intrige und Komplott.;;§Y$JOB$§! es una posición no oficial del consejo. Quien ostenta el cargo es responsable de los asuntos de intriga y conspiración.;;;;;;;;;x
desc_job_treasurer;The §Y$JOB$§! helps you collect taxes and administer your demesne.;Votre §Y$JOB$§! vous aide à collecter l'impôt et à administrer votre domaine.;Der §Y$JOB$§! ist für die Steuereintreibung und für die Verwaltung Eurer Domäne zuständig.;;El §Y$JOB$§! te ayuda a recolectar impuestos y a administrar tu feudo.;;;;;;;;;x
city_job_chancellor_arabic;Grand Vizier;Grand vizir;Großwesir;;Gran Visir;;;;;;;;;x
city_job_chancellor_aztec;Cihuacoatl;;;;;;;;;;;;;x
city_job_chancellor_greek;Magistros;;;;;;;;;;;;;x
city_job_chancellor_iranian;Grand Vizier;Grand vizir;Großwesir;;Gran Visir;;;;;;;;;x
city_job_chancellor_turkish;Grand Vizier;Grand vizir;Großwesir;;Gran Visir;;;;;;;;;x
city_job_chancellor_west_african;Grand Vizier;Grand vizir;Großwesir;;Gran Visir;;;;;;;;;x
city_job_chancellor_zoroastrian_group;Astabadh;;;;;;;;;;;;;x
city_job_marshal_aztec;Tlacateccatl;;;;;;;;;;;;;x
city_job_marshal_greek;Protostrator;;;;;;;;;;;;;x
city_job_marshal_zoroastrian_group;Eran Spahbod;Eran spahbod;;;;;;;;;;;;x
city_job_spiritual_aztec;Sahagun;Sahagún;;;;;;;;;;;;x
city_job_spiritual_baltic_pagan;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
city_job_spiritual_baltic_pagan_reformed;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
city_job_spiritual_christian;Court Chaplain;Chapelain;Hofprediger;;Capellán;;;;;;;;;x
city_job_spiritual_female_norse_pagan;Seeress;Voyante;Seherin;;Vidente;;;;;;;;;x
city_job_spiritual_female_norse_pagan_reformed;Seeress;Voyante;Seherin;;Vidente;;;;;;;;;x
city_job_spiritual_finnish_pagan;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
city_job_spiritual_finnish_pagan_reformed;Diviner;Devin ;Wahrsager;;Augur;;;;;;;;;x
city_job_spiritual_muslim;Court Imam;Imam de la Cour;Hof-Imam;;Imán de la corte;;;;;;;;;x
city_job_spiritual_norse_pagan;Seer;Voyant;Seher;;Vidente;;;;;;;;;x
city_job_spiritual_norse_pagan_reformed;Seer;Voyant;Seher;;Vidente;;;;;;;;;x
city_job_spiritual_orthodox;Ecclesiarch;Ecclesiarque;Ekklesiarch;;Eclesiarca;;;;;;;;;x
city_job_spiritual_pagan;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
city_job_spiritual_pagan_group;Chief Diviner;Devin;Oberster Wahrsager;;Gran Chamán;;;;;;;;;x
city_job_spiritual_shiite;Court Mullah;Mollah de la Cour;Hof-Mullah;;Mulá de la corte;;;;;;;;;x
city_job_spiritual_slavic_pagan;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
city_job_spiritual_slavic_pagan_reformed;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
city_job_spiritual_tengri_pagan;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
city_job_spiritual_tengri_pagan_reformed;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
city_job_spiritual_zoroastrian;Mobad;;Mobed;;;;;;;;;;;x
city_job_spiritual_zoroastrian_group;Mobad;;;;;;;;;;;;;x
city_job_spymaster_aztec;Tillancalqui;;;;;;;;;;;;;x
city_job_spymaster_greek;Mystikos;;;;;;;;;;;;;x
city_job_treasurer_aztec;Petlacalcatl;;;;;;;;;;;;;x
city_job_treasurer_greek;Sakellarios;;;;;;;;;;;;;x
city_job_treasurer_zoroastrian_group;Darik-Pat;Darik-pat;;;;;;;;;;;;x
job_chancellor;Chancellor;Chancelier;Kanzler;;Canciller;;;;;;;;;x
job_chancellor_arabic;Grand Vizier;Grand vizir;Großwesir;;Gran Visir;;;;;;;;;x
job_chancellor_aztec;Cihuacoatl;;;;;;;;;;;;;x
job_chancellor_bodpa;Lönchen;;;;;;;;;;;;;x
job_chancellor_female_bodpa;Lönchen;;;;;;;;;;;;;x
job_chancellor_female_tangut;Lönchen;;;;;;;;;;;;;x
job_chancellor_greek;Magistros;Maître des offices;;;;;;;;;;;;x
job_chancellor_han;Chief Minister;Ministre en chef;Hauptminister;;Ministro jefe;;;;;;;;;x
job_chancellor_iranian;Grand Vizier;Grand vizir;Großwesir;;Gran Visir;;;;;;;;;x
job_chancellor_jurchen;Chief Minister;Ministre en chef;Hauptminister;;Ministro jefe;;;;;;;;;x
job_chancellor_tangut;Lönchen;;;;;;;;;;;;;x
job_chancellor_taoist;Chief Minister;Ministre en chef;Hauptminister;;Ministro jefe;;;;;;;;;x
job_chancellor_turkish;Grand Vizier;Grand vizir;Großwesir;;Gran Visir;;;;;;;;;x
job_chancellor_west_african;Grand Vizier;Grand vizir;Großwesir;;Gran Visir;;;;;;;;;x
job_chancellor_zoroastrian_group;Astabadh;;;;;;;;;;;;;x
job_commander;Commander;Commandant;Kommandant;;Comandante;;;;;;;;;x
job_marshal;Marshal;Maréchal;Marschall;;Mariscal;;;;;;;;;x
job_marshal_aztec;Tlacateccatl;;;;;;;;;;;;;x
job_marshal_greek;Protostrator;;;;;;;;;;;;;x
job_marshal_han;Xingjun Sima;Xingjun sima;;;;;;;;;;;;x
job_marshal_jurchen;Marshal;Maréchal;Marschall;;Mariscal;;;;;;;;;x
