##############################################
### 01_customizable_localisation_cooldowns ###
##############################################

# GetRaidCD
string_raid_cd; - expires on: §Y[This.china_raid_grace_cd.GetExpiryDate]§!; - expire le §Y[This.china_raid_grace_cd.GetExpiryDate]§!; - läuft aus am: §Y[This.china_raid_grace_cd.GetExpiryDate]§!;; - expira el §Y[This.china_raid_grace_cd.GetExpiryDate]§!;;;;;;;;;x

# GetNegotiateCD
string_negotiate_cd; - you can negotiate again on: §Y[This.adventurer_negotiate_cd.GetExpiryDate]§!; - vous pourrez de nouveau négocier le §Y[This.adventurer_negotiate_cd.GetExpiryDate]§!; - Ihr könnt weitere Verhandlungen führen am: §Y[This.adventurer_negotiate_cd.GetExpiryDate]§!;; - podrás negociar de nuevo el: §Y[This.adventurer_negotiate_cd.GetExpiryDate]§!;;;;;;;;;x

# GetSmithCD
string_smith_cd; - you can employ a smith again on: §Y[This.employ_a_smith_cd.GetExpiryDate]§!; - vous pourrez de nouveau employer un forgeron le §Y[This.employ_a_smith_cd.GetExpiryDate]§!; - Ihr könnt einen neuen Schmied einstellen am: §Y[This.employ_a_smith_cd.GetExpiryDate]§!;; - podrás contratar un herrero de nuevo en: §Y[This.employ_a_smith_cd.GetExpiryDate]§!;;;;;;;;;x

# GetShatteredInfo
shattered_limited_info;This Casus Belli will become unavailable after §Y25 years§! have passed since the game started.;Ce casus belli sera indisponible §Y25§! ans après le démarrage de la partie.;Dieser Kriegsgrund wird §Y25 Jahre§! nach Start des Spiels nicht mehr verfügbar sein.;;Este casus belli no estará disponible §Y25 años§! después del inicio de la partida.;;;;;;;;;x
shattered_long_info;This Casus Belli will become unavailable after §Y100 years§! have passed since the game started.;Ce casus belli sera indisponible §Y100§! ans après le démarrage de la partie.;Dieser Kriegsgrund wird §Y100 Jahre§! nach Start des Spiels nicht mehr verfügbar sein.;;Este casus belli no estará disponible §Y100 años§! después del inicio de la partida.;;;;;;;;;x

# GetShatteredJadeInfo
shattered_jade_info;For as long as this Casus Belli is available, the §YBorder Dispute§! Casus Belli will be unavailable.;Tant que ce casus belli est disponible, le casus belli '§YDispute frontalière§!' est indisponible.;Solange dieser Kriegsgrund verfügbar ist, steht der Kriegsgrund §YGrenzdisput§! nicht zur Verfügung.;;Mientras este casus belli esté disponible, no lo estará el de §Ydisputa fronteriza§!.;;;;;;;;;x

# GetHolyOrderDonationCD
donate_to_holy_order_cd; - you can donate to a Holy Order again on: §Y[This.donate_to_holy_order_cooldown.GetExpiryDate]§!; - vous pourrez faire un don à un ordre sacré le §Y[This.donate_to_holy_order_cooldown.GetExpiryDate]§!; - Ihr könnt erneut an einen Ritterorden spenden am: §Y[This.donate_to_holy_order_cooldown.GetExpiryDate]§!;; - puedes volver a donar a una orden sagrada el: §Y[This.donate_to_holy_order_cooldown.GetExpiryDate]§!;;;;;;;;x

# GetCrusadePledgeCD
string_pledged_to_crusade_cooldown; - you can remove your pledge after: §Y[This.recently_pledged_to_crusade_cooldown.GetExpiryDate]§!; - vous pouvez retirer votre promesse d'engagement après le §Y[This.recently_pledged_to_crusade_cooldown.GetExpiryDate]§!; - Ihr könnt Eure Verpflichtung entfernen nach: §Y[This.recently_pledged_to_crusade_cooldown.GetExpiryDate]§!;; - puedes retirar el apoyo después de: §Y[This.recently_pledged_to_crusade_cooldown.GetExpiryDate]§!;;;;;x

# GetCrusadeUnpledgeCD
string_unpledged_to_crusade_cooldown; - you can make a new pledge after: §Y[This.recently_unpledged_to_crusade_cooldown.GetExpiryDate]§!; - vous pouvez faire une nouvelle promesse d'engagement après le §Y[This.recently_pledged_to_crusade_cooldown.GetExpiryDate]§!; - Ihr könnt erneut ein Versprechen geben nach: §Y[This.recently_unpledged_to_crusade_cooldown.GetExpiryDate]§!;; - puedes hacer una nueva promesa después de: §Y[This.recently_unpledged_to_crusade_cooldown.GetExpiryDate]§!;;;;;x
