obj_amass_wealth_desc;[This.GetTitledFirstName] wants to amass a substantial amount of wealth;[This.Get_Le_TitledFirstName] souhaite amasser de nombreuses richesses;[This.GetTitledFirstName] will großen Reichtum anhäufen;;[This.GetTitledFirstName] quiere acumular riqueza en abundancia.;;;;;;;;;x
obj_amass_wealth_title;Amass Wealth;Amasser des richesses;Reichtum anhäufen;;Acumular riqueza;;;;;;;;;x
obj_become_chancellor_desc;[This.GetTitledFirstName] would like to treat with foreign dignitaries in the court of [This.GetPossPronoun] liege.;[This.Get_Le_TitledFirstName] aimerait traiter avec des dignitaires étrangers à la Cour de son seigneur lige.;[This.GetTitledFirstName] möchte am Hof [This.GetPossPronoun]es Lehnsherrn mit auswärtigen Würdenträgern verhandeln.;;A [This.GetTitledFirstName] le gustaría relacionarse con dignatarios extranjeros en la corte de su señor.;;;;;;;;;x
obj_become_chancellor_title;Become [This.GetChancellorName];Devenir [This.GetChancellorName];[This.GetChancellorName] werden;;Convertirse en [This.GetChancellorName];;;;;;;;;x
obj_become_council_member_desc;[This.GetTitledFirstName] would like a seat on the [This.Liege.GetCouncilName] of [This.GetHerHis] liege.;[This.Get_Le_TitledFirstName] aimerait siéger au [This.Liege.GetCouncilName] de s[This.Liege.GetOnA] [This.Liege.GetLordLady] lige.;[This.GetTitledFirstName] möchte gerne einen Sitz im Rat [This.GetHerHis]es Lehnsherrn.;;A [This.GetTitledFirstName] le gustaría tener un asiento en el Consejo de [This.GetHerHis] señor.;;;;;;;;;x
obj_become_council_member_title;Become a Councillor;Devenir un conseiller;Werdet ein Ratsmitglied;;Convertirse en Consejero;;;;;;;;;x
obj_become_exalted_desc;[This.GetTitledFirstName] wants [This.GetHerHis] name to live forever in the annals of history.;[This.Get_Le_TitledFirstName] veut que son nom s'inscrive à jamais sur le glorieux marbre blanc de l'Histoire.;[This.GetTitledFirstName] will, dass [This.GetHerHis] Name für immer in die Annalen der Geschichte eingeht.;;[This.GetTitledFirstName] quiere que [This.GetHerHis] nombre viva para siempre en los anales de la historia.;;;;;;;;;x
obj_become_exalted_title;Become Exalted among Men;Rayonner par son prestige;Ruhm erlangen;;Ser glorificado entre los hombres;;;;;;;;;x
obj_become_heir_desc;With the current heir being ill fit to rule, [This.GetTitledFirstName] thinks [This.GetSubjectPronoun] should be the prime candidate in line.;L'héritier actuel n'étant pas vraiment fait pour régner, [This.Get_le_TitledFirstName] pense que sa candidature devrait être la première sur la liste.;Da der derzeitige Nachfolger sich nicht für das Regierungsgeschäft eignet, denkt [This.GetTitledFirstName], dass [This.GetSubjectPronoun] der Hauptkandidat dafür sein sollte.;;Dado que el heredero actual está enfermo, [This.GetTitledFirstName] cree que se le debería considerar principal aspirante al trono.;;;;;;;;;x
obj_become_heir_title;Become Heir;Devenir héritier;Nachfolger werden;;Ser heredero;;;;;;;;;x
obj_become_king_desc;[This.GetTitledFirstName] wants to become [Root.GetKingQueen] of [This.Capital.Kingdom.GetName]. If pagan, with succession laws set to Elective Gavelkind, it allows [This.GetObjectPronoun] the unlimited use of the Subjugation Casus Belli within the kingdom. If the Fabricate Claims councilor mission is available, it may acquire a claim on [This.Capital.Kingdom.GetName] with this ambition. There is also a reduced cost for creating the [This.Capital.Kingdom.GetTier] if it does not yet exist.;[This.Get_Le_TitledFirstName] désire devenir [Root.GetKingQueen] [This.Capital.Kingdom.Get_du_Realm]. [This.GetSilSielleCap] est de religion païenne et qu'[This.GetIlElle] a le partage salique électif comme loi de succession, [This.GetIlElle] peut user autant que nécessaire du casus belli d'assujettissement au sein du royaume. Si la mission du conseiller visant à fabriquer une revendication est disponible, elle permettra d'en obtenir une sur [This.Capital.Kingdom.Get_le_Realm] avec cette ambition. Et en cas de création d'un [This.Capital.Kingdom.GetTier], son coût est réduit.;[This.GetTitledFirstName] möchte [Root.GetKingQueen] von [This.Capital.Kingdom.GetName] werden. Bei heidnischer Herrschaft mit wahlweise Erbteilung als Nachfolgegesetz erlaubt dies den unbegrenzten Gebrauch des Kriegsgrunds "Unterwerfung" innerhalb des Königreiches. Wenn die Berater-Mission "Anspruch stellen" verfügbar ist, gibt diese Ambition einen Anspruch auf [This.Capital.Kingdom.GetName]. Zusätzlich sind die Kosten für die Erstellung von [This.Capital.Kingdom.GetTier] reduziert, sollte der Titel noch nicht existieren.;;[This.GetTitledFirstName] quiere convertirse en [Root.GetKingQueen] de [This.Capital.Kingdom.GetName]. Si es pagan[This.GetOA], fijar leyes de sucesión equitativas electivas le permitirá el uso ilimitado del casus belli de subyugación dentro del reino. Si está disponible la misión del consejero Inventar derechos, puede adquirir derechos sobre [This.Capital.Kingdom.GetName] con esta ambición. También se reduce el costo para crear el [This.Capital.Kingdom.GetTier] si aún no existe.;;;;;;;;;x
