caught_with_forgery;Forgery Discovered;Contrefaçon découverte;Fälschung entdeckt;;Falsificación descubierta;;;;;;;;x
ate_beating_heart;Heart-Eater;Mange des coeurs;Herzfresser;;Comecorazones;;;;;;;;x
religious_tolerance;Religious Tolerance;Tolérance religieuse;Religiöse Toleranz;;Tolerancia religiosa;;;;;;;;x
religious_tolerance_desc;The Ruler has given signs of Religious Tolerance to the population.;Le dirigeant a donné des signes de tolérance religieuse à la population.;Der Herrscher hat der Bevölkerung Zeichen religiöser Toleranz gegeben.;;El gobernante ha dado a la población señales de tolerancia religiosa.;;;;;;;;x
weak_leader_modifier;Weak Leader;Chef faible;Schwacher Anführer;;Líder débil;;;;;;;;x
weak_leader_modifier_desc;Could not control [GetHerHis] own troops.;N'a pas pu contrôler ses propres troupes.;Dieser Anführer konnte nicht einmal die eigenen Truppen kontrollieren.;;No pudo controlar sus propias tropas;;;;;;;;x
strong_leader_modifier;Strong Leader;Chef fort;Starker Anführer;;Líder fuerte;;;;;;;;x
strong_leader_modifier_desc;Does not tolerate indiscipline in the army.;Ne tolère pas l'indiscipline dans son armée.;Duldet keine Undiszipliniertheit in der Armee.;;No tolera la indisciplina en el ejército.;;;;;;;;x
plundering_leader_modifier;Plundering Leader;Chef pillard;Plündernder Anführer;;Líder saqueador;;;;;;;;x
plundering_leader_modifier_desc;Likes to sack and plunder.;Aime piller.;Mag es zu brandschatzen und zu plündern.;;Le gusta saquear y rapiñar.;;;;;;;;x
burghers_appeased;Burghers Appeased;Citadins apaisés;Beschwichtigte Bürger;;Burgueses aplacados;;;;;;;;;x
burghers_appeased_desc;This ruler respects the third estate, and has won their favor.;Ce dirigeant respecte le tiers état et a gagné sa faveur.;Dieser Herrscher respektiert den dritten Landstand und hat ihre Gunst gewonnen.;;Este gobernante respeta al tercer estado y se ha ganado su favor.;;;;;;;;;x

# Hardcoded
the_dungeon;In the Dungeon;Au cachot;Im Kerker;;En el calabozo;;;;;;;;;x
the_oubliette;In the Oubliette;Dans une oubliette;Im Verlies;;En la mazmorra;;;;;;;;;x
house_arrest;Under House Arrest;En résidence surveillée;Unter Hausarrest;;Bajo arresto domiciliario;;;;;;;;;x
truce_breaker;Truce Breaker;Briseur de trêve;Brecher der Waffenruhe;;Rompe Tregua;;;;;;;;;x
nomad_agitation;Nomad Agitation;Agitation nomade;Aufgebrachte Nomaden;;Inquietud nómada;;;;;;;;;x
nomad_agitation_desc;This county used to belong to free-spirited nomads. The formerly nomadic population of the county is displeased with having to stay in one place.;Ce comté appartenait à des nomades à l'esprit libre. La population anciennement nomade est mécontente d'avoir à rester au même endroit.;Diese Provinz gehörte früher freidenkerischen Nomaden. Die einstmalig nomadische Bevölkerung der Provinz ist aufgebracht darüber, an nur einem Ort verbleiben zu müssen.;;Esta provincia solía pertenecer a nómadas de espíritu libre. La antigua población nómada está disgustada por tener que permanecer en un mismo lugar.;;;;;;;;;x
negative_money;Lack of Funds;Manque de fonds;Fehlende Geldmittel;;Falta de fondos;;;;;;;;;x
negative_money_desc;Our coffers are empty and we cannot afford to pay our troops properly.;Nos coffres sont vides et nous ne pouvons plus payer correctement nos troupes.;Unsere Truhen sind leer. Wir können unsere Truppen nicht gebührend bezahlen.;;Nuestros cofres están vacíos y no podemos pagar debidamente a nuestras tropas.;;;;;;;;;x

# Character relations modifiers
promised_a_title;Promised a Title;A promis un titre;Versprach einen Titel;;Prometió un título;;;;;;;;;x
promised_a_marriage;Promised a Marriage;A promis un mariage;Versprach eine Heirat;;Prometió un matrimonio;;;;;;;;;x

# Medieval Legends Events
the_merciful;Merciful;Miséricordieux;Gnädig;;Compasivo;;;;;;;;;x
the_bountiful;Bountiful;Bienfaisant;Freigiebig;;Generoso;;;;;;;;;x
illumination;Illumination;Illumination;Erleuchtung;;Iluminación;;;;;;;;;x
aspiring_poet;Aspiring Poet;Aspirant poète;Ehrgeiziger Dichter;;Aspirante a poeta;;;;;;;;;x
aspiring_duelist;Aspiring Duelist;Aspirant duelliste;Ehrgeiziger Duellant;;Aspirante a duelista;;;;;;;;;x
aspiring_falconer;Aspiring Falconer;Aspirant fauconnier;Ehrgeiziger Falkner;;Aspirante a cetrero;;;;;;;;;x
aspiring_hunter;Aspiring Hunter;Aspirant chasseur;Ehrgeiziger Jäger;;Aspirante a cazador;;;;;;;;;x
sweet_temptation;Sweet Temptation;Douce tentation;Süße Versuchung;;Dulce tentación;;;;;;;;;x
stay_strong;Stay Strong;Ne pas céder;Stark bleiben;;Sé fuerte;;;;;;;;;x
no_green_man;No Green Man;Aucun homme vert;Keiner Grüner Mann;;Ningún hombre verde;;;;;;;;;x
dead_green_man;Dead Green Man;Homme vert mort;Toter Grüner Mann;;Hombre verde muerto;;;;;;;;;x
hidden_green_man;Hidden Green Man;Homme vert caché;Verborgener Grüner Mann;;Hombre verde oculto;;;;;;;;;x
headof_green_man;The Head of The Green Man;La tête de l'homme vert;Der Kopf des Grünen Mannes;;La cabeza del hombre verde;;;;;;;;;x
green_man;Green Man;Homme vert;Grüner Mann;;Hombre verde;;;;;;;;;x
green_mans_ghost;The Ghost of the Green Man;Le fantôme de l'homme vert;Der Geist des Grünen Mannes;;El fantasma del hombre verde;;;;;;;;;x
noble_heart;Noble Heart;Coeur noble ;Edelherz;;Corazón noble;;;;;;;;;x
fear_of_the_stag;Fear of the Stag;Peur du cerf ;Angst vor dem Hirsch;;Miedo al venado;;;;;;;;;x
fear_of_the_stag_desc;Some call you craven for your wise decision to avoid the unusually large stag. Still those fools have never counted up the number of nobles killed and injured in hunting accidents every year.;Certains vous croient lâche pour avoir sagement choisi d'éviter ce cerf particulièrement imposant. Mais ces imbéciles n'ont jamais réfléchi au nombre de nobles qui meurent ou sont blessés chaque année lors d'accidents de chasse.;Einige mögen Euch ja für Eure kluge Entscheidung, den ungewöhnlich großen Hirsch auf der Jagd zu meiden, einen Feigling nennen. Diese Narren scheinen die Zahl der Edelmänner zu vergessen, die jedes Jahr bei Jagdunfällen getötet und verwundet werden.;;Algunos te llaman cobarde por tu sabia decisión de evitar al venado inusualmente grande. Pero esos necios nunca han dado importancia al número de nobles muertos y heridos en accidentes de caza cada año.;;;;;;;;;x
a_mighty_trophy;A Mighty Trophy;Un imposant trophée;Eine mächtige Trophäe;;Un formidable trofeo;;;;;;;;;x
a_mighty_trophy_desc;The head of the mighty stag now hangs proudly above your fireplace and word has spread far and wide about your prowess with arms.;La tête de l'imposant cerf trône fièrement près de votre cheminée et votre aptitude à manier les armes est sur toutes les lèvres.;Der Kopf des mächtigen Hirsches thront nun stolz über Eurem Kamin. Weit und breit weiß man um Euer Waffengeschick.;;La cabeza del poderoso venado se yergue orgullosa sobre tu chimenea y las nuevas sobre tu destreza con las armas han llegado muy lejos.;;;;;;;;;x
one_celibate;Pleasures in the after-life: Celibacy;Plaisirs de l'au-delà : célibat;Vergnügen im Nachleben: Das Zölibat;;Placeres en la otra vida: Celibato;;;;;;;;;x
one_hedonist;Pleasures in life: Hedonism;Plaisirs de la vie : hédonisme;Vergnügen im Leben: Hedonismus;;Placeres en vida: Hedonismo;;;;;;;;;x
true_christian_knight;True Christian Knight;Véritable chevalier chrétien;Wahrhaft christlicher Ritter ;;Auténtico caballero cristiano;;;;;;;;;x
true_christian_knight_desc;Bravery and no mortal sins gives a true Christian knight respect from the church.;La bravoure et l'absence de péchés mortels valent à un véritable chevalier chrétien le respect de l'Église.;Tapferkeit und Freisein von Todsünden bringt einem wahrhaft christlichen Ritter den Respekt der Kirche ein.;;El valor y no cometer pecado mortal concede a un auténtico caballero cristiano respeto de la iglesia.;;;;;;;;;x
diligent_on_cost;Diligent on Cost;Diligence pour le coût;Tüchtig bzgl. Baukosten;;Diligente en coste;;;;;;;;;x
diligent_on_time;Diligent on Time;Diligence pour la durée;Tüchtig bzgl. Bauzeit;;Diligente en tiempo;;;;;;;;;x
diligent_liege_morale;Diligent Liege;Seigneur lige diligent;Guter Lehnsherr;;Señor diligente;;;;;;;;;x
diligent_liege_size;Diligent Liege;Seigneur lige diligent;Guter Lehnsherr;;Señor diligente;;;;;;;;;x
mercy_to_sinners;Mercy to Sinners;Pitié pour les pécheurs;Gnade gegenüber den Sündern;;Piedad para los pecadores;;;;;;;;;x

# Married Life
unrighteous_spouse;Unrighteous Spouse;Conjoint illégitime;Unrechtmäßiger Ehepartner;;Cónyuge perverso;;;;;;;;;x
offended_moneylenders;Offended Moneylenders;A offensé les prêteurs;Beleidigte Geldverleiher;;Prestamistas ofendidos;;;;;;;;;x
offended_moneylenders_desc;Has horribly offended the moneylenders, causing harm to the whole economy.;A terriblement offensé les prêteurs, portant préjudice à toute l'économie.;Hat die Geldverleiher furchtbar beleidigt und dadurch die gesamte Wirtschaft geschädigt.;;Ha ofendido terriblemente a los prestamistas, dañando toda la economía.;;;;;;;;;x
diplomacy_advice;Diplomacy Advice;Conseil diplomatique;Diplomatischer Rat;;Consejo diplomático;;;;;;;;;x
martial_advice;Martial Advice;Conseil martial;Kriegskunstrat;;Consejo militar;;;;;;;;;x
stewardship_advice;Stewardship Advice;Conseil d'intendance;Verwaltungsrat;;Consejo administrativo;;;;;;;;;x
intrigue_advice;Intrigue Advice;Conseil d'intrigue;Intrigenrat;;Consejo de intriga;;;;;;;;;x
learning_advice;Learning Advice;Conseil d'érudition;Bildungsrat;;Consejo de aprendizaje;;;;;;;;;x
for_the_sake_of_love;For the sake of love;Par amour;Um der Liebe willen;;Por amor;;;;;;;;;x

# Trait effects
chaste_learning;Chastity Learning;Apprentissage de la chasteté;Erlernen der Keuschheit;;Enseñanza de la castidad;;;;;;;;;x
defer_to_church_decision;Defers to Church;Se range du côté de l'Église;Fügt sich der Kirche;;Se somete a la Iglesia;;;;;;;;;x

# Feudal Life
imprison_lawbreakers;Imprison Lawbreakers;Emprisonner les transgresseurs de la loi;Gesetzesbrecher inhaftieren;;Arresta delincuentes;;;;;;;;;x
kill_lawbreakers;Kill Lawbreakers;Tuer les transgresseurs de la loi;Gesetzesbrecher töten;;Mata delincuentes;;;;;;;;;x
modifier_witch;Found a Witch!;A trouvé une sorcière !;Hexe gefunden!;;¡Bruja descubierta!;;;;;;;;;x
tortured_witch;Tortured Witch;Sorcière torturée;Gefolterte Hexe;;Bruja torturada;;;;;;;;;x
punish_cook;Punish the Cook;Punir le cuisinier;Koch bestrafen;;Castiga al cocinero;;;;;;;;;x
the_strong;Strong;Force;Stark;;Fuerte;;;;;;;;;x
spy_imprison;A Spy in your Prison;Un espion dans votre prison;Ein Spion in Eurem Kerker;;Un espía en tu prisión;;;;;;;;;x
the_content;The Contented One;Celui qui est satisfait;Der Zufriedengestellte;;El Satisfecho;;;;;;;;;x
the_fainthearted;Fainthearted;Timoré(e);Mutlos;;Medroso;;;;;;;;;x
mod_poachers;Poachers;Braconniers;Wilderer;;Cazadores furtivos;;;;;;;;;x
the_cynical;Cynical;Cynique;Zynisch;;Cínico;;;;;;;;;x
the_pompous;Pompous;Affiche de la suffisance;Pompös;;Pomposo;;;;;;;;;x
the_pitiful;Pitiful;Pitoyable;Kläglich;;Lamentable;;;;;;;;;x
the_judger;Just;Juste;Gerecht;;Justo;;;;;;;;;x
mod_ashamed;Ashamed;Honte;Beschämt;;Avergonzado;;;;;;;;;x
the_greedy;Greedy One;Avare;der Gierige;;Avaricioso;;;;;;;;;x
the_suspicious;Suspicious;Méfiance;der Misstrauische;;Suspicaz;;;;;;;;;x
the_kind;Kind;Aimable;der Gütige;;Amable;;;;;;;;;x
the_sullen;Sullen;Morose;der Mürrische;;Hosco;;;;;;;;;x
the_prude;Prude;Prude;der Prüde;;Mojigato;;;;;;;;;x
the_reveller;Reveller;Aime faire la fête;der Nachtschwärmer;;Jaranero;;;;;;;;;x
the_compassionate;Compassionate;Compatissant(e);Mitfühlend;;Compasivo;;;;;;;;;x
church_unfunny;Unfunny Church;Désapprobation du clergé;Unlustige Kirche;;Iglesia seria;;;;;;;;;x
mod_confused;Confused;Embarras;Verwirrt;;Confuso;;;;;;;;;x
the_vicious;Vicious;Brutalité;der Bösartige;;Vicioso;;;;;;;;;x
the_impaler;Impaler;Pratique l'empalement;der Pfähler;;Empalador;;;;;;;;;x
the_gardener;Gardener;Jardine;der Gärtner;;Jardinero;;;;;;;;;x
kings_stipend;The King's Stipend;Les appointements du roi;Des Königs Pfründe;;El estipendio del rey;;;;;;;;;x
emperors_stipend;The Emperor's Stipend;Les appointements de l'empereur;Des Kaisers Pfründe;;El estipendio del emperador;;;;;;;;;x
wine_meat;Wine and Meat;Vin et viande;Wein und Fleisch;;Vino y carne;;;;;;;;;x
modifier_positive;Positive Trait;Trait positif;Positive Eigenschaft;;Rasgo positivo;;;;;;;;;x
modifier_negative;Negative Trait;Trait négatif;Negative Eigenschaft;;Rasgo negativo;;;;;;;;;x
mod_interrogated;Interrogated;Intérrogé(e);Verhört;;Interrogado;;;;;;;;;x
interrogation_success;Successful interrogation of prisoner!;Interrogatoire réussi du captif !;Erfolgreiches Gefangenenverhör!;;¡Prisionero interrogado con éxito!;;;;;;;;;x
evil_rumours;Evil Rumors;Rumeurs maléfiques;Böse Gerüchte;;Rumores malvados;;;;;;;;;x
iron_shackles;Iron Shackles;Chaînes en fer;Eiserne Fußeisen;;Grilletes de hierro;;;;;;;;;x
lighter_shackles;Lighter Shackles;Chaînes plus légères;Leichtere Fußeisen;;Grilletes ligeros;;;;;;;;;x
no_shackles;No Shackles;Aucune chaîne;Keine Fußeisen;;Sin grilletes;;;;;;;;;x
master_builder;Master Builder;Maître bâtisseur;Baumeister;;Maestro de obras;;;;;;;;;x
sabotaged_building;Sabotaged Building;Bâtiment saboté;Sabotiertes Gebäude;;Edificio saboteado;;;;;;;;;x
