#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC1000;A pretty wench is throwing herself at you.;Une jolie jeune fille s'offre à vous.;Eine hübsche Magd macht Euch schöne Augen.;;Una moza de buen ver se arroja en tus brazos.;;;;;;;;;x
EVTDESC1001;The cook has prepared a fine meal, but the priest preached about temperance...;Le cuisinier a préparé un très bon repas, mais le prêtre a prêché la tempérance...;Der Koch hat ein wahres Festmahl aufgetischt, der Priester jedoch von Enthaltsamkeit gepredigt ...;;El cocinero ha preparado una buena comida, pero el sacerdote nos dio un sermón sobre la moderación...;;;;;;;;;x
EVTDESC1002;The cook had prepared a magnificent meal, with lots of different fruits, various kinds of meat, plenty of freshly baked bread and several mature cheeses.;Le cuisinier a préparé un repas fabuleux, agrémenté de nombreuses variétés de fruits, de viandes, d'une montagne de pains tout juste sortis du four et de plusieurs fromages délicieusement parfumés.;Der Koch hat ein hervorragendes Mahl vorbereitet, mit vielen verschiedenen Früchten, verschiedenen Fleischsorten, reichlich frisch gebackenem Brot und verschiedenen reifen Käsesorten.;;El cocinero había preparado una magnifica comida, con montones de frutas diferentes, varios tipos de carnes, mucho pan recién horneado y muchos quesos maduros.;;;;;;;;;x
EVTDESC1003;After giving my advice on a delicate matter, the courtier asked me to accept a small gift of gold as thanks for my help;Après lui avoir prodigué des conseils sur un sujet délicat, un courtisan m'a prié d'accepter un peu d'or en cadeau pour me remercier de mon aide.;Nachdem ich in einer heiklen Angelegenheit Hilfestellung gegeben hatte, bot mir ein Höfling eine ‚kleine Erkenntlichkeit‘ an;;Tras haberle ofrecido mi consejo sobre un asunto delicado, el cortesano me pidió que aceptase un pequeño regalo de oro en recompensa por mi ayuda;;;;;;;;;x
EVTDESC1004;Work can be tedious and when one problem is solved another one pops up. I tire of having to complete the same tasks over and over again.;Un travail peut être fastidieux et dès qu'un problème est résolu, un autre surgit. Cela me lasse de devoir sans cesse effectuer les mêmes tâches.;Die Arbeit scheint mühsam und endlos zu sein. Es langweilt mich, dass ich mich immerzu mit den gleichen Aufgaben herumschlagen muss.;;El trabajo puede ser aburrido y cada vez que resolvemos un problema aparece otro. Estoy harto de cumplir una y otra vez las mismas tareas.;;;;;;;;;x
EVTDESC1005;Her hair is always perfect, men love her charm and looks but she is also intelligent and well-spoken. She has been blessed with beauty, intelligence and success in all things.;Ses cheveux sont toujours parfaitement coiffés, son charme et ses traits séduisent les hommes, et elle est également intelligente et s'exprime bien. Dieu lui a accordé la beauté, l'intelligence et le succès dans tout ce qu'elle entreprend.;Ihr Haar ist immer eine Augenweide, die Männer erliegen reihenweise ihrem Charme und intelligent und beredt ist sie ebenfalls. Gott schenkte ihr Schönheit, Intelligenz und Glück in allem, was sie anfasst.;;Su cabello siempre está impecable, los hombres adoran su encanto y su apariencia pero además es inteligente y culta en el hablar. Le han sido concedidas la belleza, la inteligencia y el éxito en todo.;;;;;;;;;x
EVTDESC1006;It feels like everyone is trying to trump me! My huntsman killed more prey than I, my councillors found a better solution to the rebellious peasants than mine and I started to feel that everyone was better than I am, no matter what.;J'ai le sentiment que tout le monde essaie de me surpasser ! Mes chasseurs ont abattu plus de proies que moi, mes conseillers ont trouvé une solution à la révolte paysanne bien meilleure que la mienne et j'ai l'impression que tout le monde me surpasse, quel que soit le domaine.;Mir scheint, ein jeder hat nichts anderes im Sinn, als mich zu übertreffen! Meine Jagdhelfer erlegen mehr Wild als ich selbst, meine Berater finden bessere Lösungen als ich und allmählich kommt es mir vor, als sei überall jeder viel besser als ich.;;¡Es como si todo el mundo intentase superarme! Mi cazador mató más presas que yo, mis consejeros encontraron una mejor solución que la mía a la rebelión de los campesinos, y empecé a sentir que los demás eran mejores que yo en todos los aspectos.;;;;;;;;;x
EVTDESC1007;I don't think it was meant to hurt me, but the criticism still stung harder than it should have.;Je ne pense pas que le but était de me faire souffrir, mais les critiques me blessent plus qu'elles ne devraient.;Vielleicht war es nicht einmal gegen meine Person gerichtet, aber die Kritik hat mich dennoch hart getroffen.;;No creo que fuera su intención lastimarme, pero aun así la crítica hirió más de lo necesario.;;;;;;;;;x
EVTDESC1008;I took a good look at myself and thought about my weaknesses and strengths. After many hours of soul-searching, I realized:;Lors de mon autocritique, j'ai pensé à mes forces et à mes faiblesses. Après avoir sondé mon âme pendant de maintes heures, j'ai conclu que...;Ich habe mich einer eingehenden Selbstprüfung unterzogen und meine Stärken und Schwächen analysiert. Nach vielen Stunden der Einkehr erkannte ich dann:;;Me miré largamente y pensé sobre mis fortalezas y mis debilidades. Tras reflexionar durante muchas horas , me di cuenta:;;;;;;;;;x
EVTDESC1009;It was one of those situations where you didn't want to tell the truth in case it would hurt the person, but in the same time, honesty is a virtue...;C'était l'une de ces situations où l'on ne veut pas dire la vérité au cas où cela blesserait la personne, mais en même temps, l'honnêteté est une vertu...;Es war eine dieser Situationen, wo man unmöglich die Wahrheit sagen kann, ohne jemanden zu verletzen. Doch Aufrichtigkeit ist und bleibt eine Tugend...;;Era una de esas situaciones en las que uno no se arriesga a decir la verdad para no herir a la otra persona, pero por otro lado la honestidad es una virtud...;;;;;;;;;x
EVTDESC1010;I imagined a situation which became more and more intimidating, with an outcome that could mean life or death. I swallowed hard and decided that I would...;J'ai imaginé une situation très périlleuse qui pourrait me coûter la vie. J'ai ravalé la boule qui se formait dans ma gorge et décidé de...;Ich stellte mir eine Situation vor, in der ich immer einschüchternder wurde, mit einem Ergebnis, das Leben oder Tod bedeuten würde. Ich schluckte hart und entschied...;;Imaginé una situación cada vez más intimidante, con un desenlace que podía significar la vida o la muerte. Tragué con dificultad y decidí que…;;;;;;;;;x
EVTDESC1011;It started as an uneasiness around guests and strangers, then evolved into awkwardness and a strong feeling of discomfort.;Au début, j'étais mal à l'aise en présence d'invités et d'inconnus, puis cela s'est transformé en malaise et en sensation pénible.;Begonnen hatte es mit einer Art Gehemmtheit in der Gegenwart von Gästen und Fremden, später kamen starkes Unwohlsein und deutliches Unbehagen hinzu.;;Empezó como un recelo hacia los invitados y los extranjeros, y después fue transformándose en torpeza y una fuerte sensación de incomodidad.;;;;;;;;;x
EVTDESC1012;I could strive to become better, or I can be satisfied with who I am and what I have.;Je pourrais m'efforcer à devenir meilleur[Root.Get_E], ou bien me contenter de qui je suis et de ce que j'ai.;Ich könnte versuchen, mich zu vervollkommnen, oder ich könnte zufrieden sein mit dem, was ich bin.;;Podría esforzarme por ser mejor, o contentarme con lo que soy y lo que tengo.;;;;;;;;;x
EVTDESC1013;If my opinion ruled, the world would be a more chaotic but fun place. If I keep following the laws, the world would have less chaos but also be less fun.;Si mon opinion prévalait, le monde serait certes plus chaotique, mais également plus intéressant. Si je continue à obéir aux lois, le monde sera moins chaotique, mais aussi moins intéressant.;Ginge es nur nach meinem Willen, dann wäre die Welt ein spaßiger, wenn auch chaotischer Ort. Halte ich mich hingegen weiterhin an die Gesetze, wäre die Welt zwar weniger chaotisch, dafür aber auch deutlich langweiliger.;;Si mi opinión fuera la regla del reino, el mundo sería un lugar más caótico pero también más divertido. Si continúo siguiendo las reglas, el mundo será menos caótico pero habrá menos diversión.;;;;;;;;;x
EVTDESC1014;If there is a God, why is the world filled with hardships, grief and heretics?;S'il existe un Dieu, pourquoi le monde est-il rempli d'épreuves, de chagrin et d'hérétiques ?;Wenn es einen Gott gibt, wieso gibt es dann all die Not, Trauer und lästerliche Ketzerei?;;Si existe un dios, ¿por qué está el mundo tan lleno de privaciones, de dolor y de herejes?;;;;;;;;;x
