HF_100_DESC;A wandering warrior has requested an audience. It appears as if the entire court is abuzz with stories of [invited_character.GetHerHis] exploits, this [invited_character.GetFirstNameWithNick] is seemingly of great renown. [invited_character.GetSheHeCap] wishes to swear fealty to me, having heard of my relation to the legendary [target_bloodline_founder.GetFullName]! I truly am blessed by my blood.;Un[invited_character.Get_E] guerri[invited_character.GetErEre] itinérant[invited_character.Get_E] a demandé une audience. Il semble que toute la cour soit en effervescence avec les histoires de ses exploits, c[invited_character.GetEEtte] [invited_character.GetFirstNameWithNick] ayant apparemment une grande renommée. [invited_character.GetIlElleCap] veut me jurer fidélité, ayant entendu parler de ma parenté avec [target_bloodline_founder.GetLeLa] légendaire [target_bloodline_founder.GetFullName] ! Je suis vraiment béni[Root.Get_E] par mon sang.;Ein reisender Krieger hat um Audienz gebeten. Es scheint, dass der gesamte Hof von [invited_character.GetHerHis]en Geschichten begeistert ist. Diese[invited_character.GetrMale] [invited_character.GetFirstNameWithNick] genießt anscheinend großes Ansehen. [invited_character.GetSheHeCap] möchte mir die Treue schwören, nachdem [invited_character.GetSheHe] von meiner Verbindung zum legendären [target_bloodline_founder.GetFullName] gehört hat! Ich bin wahrlich durch mein Blut gesegnet.;;Un guerrero errante ha solicitado audiencia. La corte parece agitada con las historias de sus hazañas, pues se ve que [invited_character.GetFirstNameWithNick] tiene gran renombre. Tras haberse enterado de mi relación con el legendario [target_bloodline_founder.GetFullName], desea jurarme lealtad. ¡Mi linaje es una bendición!;;;;;;;;;x
HF_110_DESC;The blood of [target_bloodline_founder.GetFullName] flows through my veins. Since the days [target_bloodline_founder.GetSheHe] walked the earth we have abandoned our old [target_bloodline_founder.Religion.GetName] faith, though I do see merit in the ways that helped shape such a legend...;Le sang de [target_bloodline_founder.GetFullName] coule dans mes veines. Nous avons abandonné notre ancienne foi [target_bloodline_founder.Religion.GetName] entre temps, mais je saisis la valeur des croyances qui ont contribué à façonner une telle légende...;Das Blut von [target_bloodline_founder.GetFullName] fließt durch meine Adern. Seitdem [target_bloodline_founder.GetSheHe] auf der Erde wandert, haben wir unseren alten [target_bloodline_founder.Religion.GetName]en Glauben aufgegeben, obwohl ich einen Nutzen in den Wegen sehe, die dazu beigetragen haben, eine solche Legende zu schaffen... ;;La sangre de [target_bloodline_founder.GetFullName] corre por mis venas. Hemos abandonado nuestra antigua fe [target_bloodline_founder.Religion.GetName] desde que [target_bloodline_founder.GetFullName] recorrió la tierra, aunque veo mérito en cómo esta le ayudó a forjar su leyenda…;;;;;;;;;x
HF_120_DESC;There are many legends about the great [target_bloodline_founder.GetManWoman] whose blood I share. A particular story has been circulating at court lately. It focuses on an epic feat where [target_bloodline_founder.GetFirstName] proves [target_bloodline_founder.GetHerHis] strength of character. The more I hear, the more I wish to emulate [target_bloodline_founder.GetHerHim]...;Il y a beaucoup de légendes sur l'éminent[target_bloodline_founder.Get_E] [target_bloodline_founder.GetManWoman] dont je suis [Root.GetLeLa] descendant[Root.Get_E]. Un récit en particulier a circulé à la cour ces derniers temps sur un exploit épique lors duquel [target_bloodline_founder.GetFirstName] a démontré sa force de caractère. Plus j'en entends parler, plus je souhaite l'imiter...;Es gibt viele Legenden über [target_bloodline_founder.Getdendie] große[target_bloodline_founder.GetnMale] [target_bloodline_founder.GetManWoman] [target_bloodline_founder.Getdessenderen] Blut ich teile. Eine besondere Geschichte macht momentan an meinem Hof die Runde. Es beschreibt die epische Heldentat, in der [target_bloodline_founder.GetFirstName] die Stärke [target_bloodline_founder.GetHerHis]es Charakters bewies. Je mehr ich davon höre, desto mehr möchte ich [target_bloodline_founder.GetHerHim] nacheifern...;;Cuentan muchas leyendas sobre [target_bloodline_founder.GetElLa] gran [target_bloodline_founder.GetManWoman] cuya sangre comparto. Últimamente circula por la corte una historia en particular centrada en una hazaña gloriosa en la que [target_bloodline_founder.GetFirstName] mostró la fuerza de su carácter. Cuanto más la oigo, más deseo emular[target_bloodline_founder.GetRleRla]…;;;;;;;;;x

EVTOPTA_HF_110;We were once like them, we should not judge their ways.;Nous étions autrefois comme eux, nous ne devrions pas les juger.;Wir waren einst wie sie. Wir sollten sie nicht verurteilen.;;Antaño fuimos como ellos, no juzguemos sus costumbres.;;;;;;;;;x
EVTOPTA_HF_120;I shall strive to be more like [target_bloodline_founder.GetHerHim]!;Je vais m'efforcer de lui ressembler !;Ich strebe danach mehr wie [target_bloodline_founder.GetSheHe] zu sein!;;¡Me esforzaré para ser más como [target_bloodline_founder.GetElElla];;;;;;;;;x

EVTOPTB_HF_100;Who invited [invited_character.GetHerHim]? Begone!;Qui l'a invité[invited_character.Get_E] ? Partez !;Wer hat [invited_character.Getihnsie] eingeladen? Verschwindet!;;¿Quién le ha invitado? ¡Largo!;;;;;;;;;x
EVTOPTB_HF_110;No, the ways of old belong in the past.;Les croyances des anciens appartiennent au passé.;Die alten Wege gehören der Vergangenheit an.;;No, las costumbres del pasado pertenecen al pasado.;;;;;;;;;x
EVTOPTB_HF_120;No, I make my own fate.;Non, je vais suivre ma propre destinée.;Nein! Ich muss meine eigene Geschichte schreiben.;;No, yo creo mi propio destino.;;;;;;;;;x

EVTOPTC_HF_110;[target_bloodline_founder.Religion.GetHighGodName] speaks directly through my blood! I repent!;[target_bloodline_founder.Religion.GetHighGodName] parle directement à travers mon sang ! Je me repens !;[target_bloodline_founder.Religion.GetHighGodName] spricht direkt durch mein Blut!;;¡[target_bloodline_founder.Religion.GetHighGodName] me habla a través de mi linaje! ¡Me arrepiento!;;;;;;;;;x
EVTOPTC_HF_120;I know EXACTLY what they are referring to!;Je sais exactement ce à quoi ils font allusion !;Ich weiß GENAU, worauf sie sich beziehen.;;¡Sé PERFECTAMENTE de qué hablan!;;;;;;;;;x

EVTTITLEHF24000;Tyrant of Trinacria;Tyran de Trinacrie;Tyrann von Trinacria;;Tirano de Trinacria;;;;;;;;;x
EVTTITLEHF24011;Queen of Illyria;Reine d'Illyrie;Königin von Illyrien;;Reina de Iliria;;;;;;;;;x
EVTTITLEHF24012;Queen of Illyria;Reine d'Illyrie;Königin von Illyrien;;Reina de Iliria;;;;;;;;;x
EVTTITLEHF24026;The happy [Root.GetSonDaughter] of [Root.Capital.GetName];L'heureu[Root.GetXSe] [Root.GetSonDaughter] de [Root.Capital.GetName];[Root.GetDerDie] glückliche [Root.GetSonDaughter] von [Root.Capital.GetName];;[Root.GetElLa] [Root.GetSonDaughter] feliz de [Root.Capital.GetName];;;;;;;;x
EVTTITLEHF24028;The Macabre Banquet;Le banquet macabre;Das blutige Bankett;;El banquete macabro;;;;;;;;x
EVTTITLEHF24029;The Silent Killer of [Root.Capital.GetName];[Root.GetLeLaCap] tueu[Root.GetRSe] silencieu[Root.GetXSe] de [Root.Capital.GetName];Der stille Mörder aus [Root.Capital.GetName];;[Root.GetElLaCap] asesin[Root.GetOA] silencios[Root.GetOA] de [Root.Capital.GetName];;;;;;;;x
EVTTITLEHF24030;The Butcher of [Root.Capital.GetName];Le Boucher de [Root.Capital.GetName];Der Schlächter von [Root.Capital.GetName];;[Root.GetElLaCap] Carnicer[Root.GetOA] de [Root.Capital.GetName];;;;;;;;x
EVTTITLEHF24032;The Warrior Child of [Root.Capital.GetName];L'enfant guerri[Root.GetErEre] de [Root.Capital.GetName];Das Kriegerkind von [Root.Capital.GetName];;[Root.GetElLaCap] niñ[Root.GetOA] guerrer[Root.GetOA] de [Root.Capital.GetName];;;;;;;;x
EVTTITLEHF24034;The Perfect Knight;Le chevalier parfait;Der perfekte Ritter;;[Root.GetElLaCap] caballer[Root.GetOA] perfect[Root.GetOA];;;;;;;;x
EVTTITLEHF24035;The Warlord from [Root.Capital.GetName];Le seigneur de guerre de [Root.Capital.GetName];Die Kriegsherren von [Root.Capital.GetName];;[Root.GetElLa] caudillo de [Root.Capital.GetName];;;;;;;;x
EVTTITLEHF24036;The Philosophy of War;La philosophie de la guerre;Die Philosophie des Krieges;;La filosofía de la guerra;;;;;;;;x
EVTTITLEHF24038;The Heavenly Child of [Root.Capital.GetName];L'enfant céleste de [Root.Capital.GetName];Das himmlische Kind von [Root.Capital.GetName];;[Root.GetElLaCap] niñ[Root.GetOA] celestial de [Root.Capital.GetName];;;;;;;;x
EVTTITLEHF24040;The Protector of [Root.Capital.GetName];[Root.GetLeLaCap] protect[Root.GetEurRice] de [Root.Capital.GetName];Der Beschützer von [Root.Capital.GetName];;[Root.GetElLaCap] protector[Root.GetXA] de [Root.Capital.GetName];;;;;;;;x
EVTTITLEHF24041;The Benefactor of [Root.Capital.GetName];[Root.GetLeLaCap] bienfait[Root.GetEurRice] de [Root.Capital.GetName];Der Wohltäter von [Root.Capital.GetName];;[Root.GetElLa] benefactor[Root.GetXA] de [Root.Capital.GetName];;;;;;;;x
EVTTITLEHF24042;The Great Architect;[Root.GetLeLaCap] grand[Root.Get_E] architecte;Der große Architekt;;[Root.GetElLa] gran arquitect[Root.GetOA] reino];;;;;;;;x
EVTTITLEHF24043;The Realm of Stone;Le pays de pierre;Das Reich aus Stein;;El reino de la piedra;;;;;;;;x
EVTTITLEHF24044;The Consecrated Realm;Le pays consacré;Das Heilige Reich;;El reino consagrado;;;;;;;;x
EVTTITLEHF24045;The Bloodhound of [Root.Capital.GetName];Le Limier de [Root.Capital.GetName];Der Bluthund von [Root.Capital.GetName];;El sabueso de [Root.Capital.GetName];;;;;;;;x
EVTTITLEHF24046;The Silent Realm;Le royaume silencieux;Das stille Reich;;El reino silencioso;;;;;;;;x
EVTTITLEHF24047;The Great Builder;[Root.GetLeLaCap] grand[Root.Get_E] baptiseu[Root.GetRSe];Der große Baumeister;;[Root.GetElLa] gran constructor[Root.GetXA];;;;;;;;x
EVTTITLEHF24048;The bones beneath the pillar;Les os sous le pilier;Die Knochen unter der Säule;;Los huesos bajo el pilar;;;;;;;;x
EVTTITLEHF24049;The Peaceful Architect;L'architecte paisible;Der friedliebende Architekt;;[Root.GetElLa] arquitect[Root.GetOA] pacífic[Root.GetOA];;;;;;;;x
EVTTITLEHF24050;The Staunch Defender;L'ardent[Root.Get_E] défenseu[Root.GetRSe];Der überzeugte Verteidiger;;[Root.GetElLa] defensor[Root.GetXA] acérrim[Root.GetOA] ;;;;;;;;x
EVTTITLEHF24051;The Holy Mason of [Root.Capital.GetName];[Root.GetLeLaCap] saint[Root.Get_E] maço[Root.GetNNne] de [Root.Capital.GetName];Die heiligen Maurer von [Root.Capital.GetName];;[Root.GetElLaCap] albañil sant[Root.GetOA] de [Root.Capital.GetName];;;;;;;;x
EVTTITLEHF24052;A [Root.GetTitle] to Remember;Un[Root.Get_E] [Root.GetTitle] dont on se souviendra;[Root.GetEinEine] [Root.GetTitle], an [Root.Getdendie] man sich erinnert;;Un[Root.GetXA] [Root.GetTitle] que recordar.;;;;;;;;x
EVTTITLEHF24056;The Benevolent Ruler;[Root.GetLeLaCap] bienveillant[Root.Get_E] dirigeant[Root.Get_E];Der gütige Herrscher;;El gobernante benévolo;;;;;;;;x
EVTTITLEHF24059;The Roots of [Root.GetHerHis] legend;Les racines de ma légende;Die Wurzeln [Root.GetHerHis]er Legende;;El origen de su leyenda;;;;;;;;x
EVTTITLEHF24062;A realm of Heaven;Un Royaume du Ciel;Ein Reich des Himmels;;Un reino del Cielo;;;;;;;;x
EVTTITLEHF24065;The Patron of the Arts;Le patron des arts;Förderer der Künste;;Mecenas de las artes;;;;;;;;x
EVTTITLEHF24068;The sword of [Root.Religion.GetHighGodName];L'épée [Root.Get_du_HighGod];Das Schwert von [Root.Religion.GetHighGodName];;La espada de [Root.Religion.GetHighGodName];;;;;;;;x
EVTTITLEHF24071;The Iron [Root.GetTitle] of [Root.Capital.GetName];[Root.Get_only_Le_Title][Root.GetTitle] de fer de [Root.Capital.GetName];[Root.GetDerDie] eiserne [Root.GetTitle] von [Root.Capital.GetName];;[Root.GetTitle] de hierro de [Root.Capital.GetName];;;;;;;;x
EVTTITLEHF24200;The Blood of Alexander;Le sang d'Alexandre;Das Blut Alexanders;;La sangre de Alejandro;;;;;;;;;x
EVTTITLEHF24201;The Tomb of Alexander;La tombe d'Alexandre;Das Grab Alexanders;;La tumba de Alejandro;;;;;;;;;x
EVTTITLEHF24203;Forging the Ancestry;Fabriquer l'ascendance;Das Schmieden der Herkunft;;Falsificando ascendencia;;;;;;;;;x
EVTTITLEHF24208;The Heir of Alexander;L'héritier d'Alexandre;Der Nachkomme Alexanders;;Heredero de Alejandro;;;;;;;;;x
EVTTITLEHF24210;The Heir of Alexander;L'héritier d'Alexandre;Der Nachkomme Alexanders;;Heredero de Alejandro;;;;;;;;;x
EVTTITLEHF24220;Ashoka's Form;Incarnation d'Ashoka;Ashokas Reinkarnation;;La forma de Ashoka;;;;;;;;;x
EVTTITLEHF24222;Ashoka's Bravery;La bravoure d'Ashoka;Ashokas Tapferkeit;;El coraje de Ashoka;;;;;;;;;x
EVTTITLEHF24224;Ashoka's Humility;L'humilité d'Ashoka;Ashokas Menschlichkeit;;La humildad de Ashoka;;;;;;;;;x
EVTTITLEHF24226;Ashoka's Charity;Charité d'Ashoka;Ashokas Großzügigkeit;;La caridad de Ashoka;;;;;;;;;x
EVTTITLEHF24228;Ashoka's New Form;La nouvelle réincarnation d'Ashoka;Ashokas neue Inkarnation;;La nueva forma de Ashoka;;;;;;;;;x
EVTTITLEHF24231;The Dragon-[Root.GetTitle];[Root.Get_only_Le_Title][Root.GetTitle]-Drago[Root.GetNNne];[Root.GetDerDie] Drachen-[Root.GetTitle];;[Root.GetElLa] [Root.GetTitle] drag[Root.GetOnOna];;;;;;;;x
EVTTITLEHF24240;The Eternal [Root.GetTitle];[Root.Get_only_Le_Title][Root.GetTitle] éterne[Root.GetLLle];[Root.GetDerDie] ewige [Root.GetTitle];;[Root.GetTitle] etern[Root.GetOA];;;;;;;;;x
EVTTITLEHF24251;Protector of the Church;Protecteur de l'Église;Beschützer der Kirche;;Protector de la Iglesia;;;;;;;;;x
EVTTITLEHF24252;Bane of the Empire;Fléau de l'Empire;Fluch des Imperiums;;La ruina del imperio;;;;;;;;;x

EVTDESCHF24000;Since [FromFrom.GetTitledFirstName]'s gruesome execution, the most baffling rumor has been spreading throughout my realm. People around [Root.PrimaryTitle.GetName] have come to believe that the traits I share with the old tyrant of Akragas are no mere coincidence, but rather the proof that I must be a descendant of the infamous Phalaris.\n\nIf I allow such rumors to keep spreading, my entire dynasty's reputation might be stained forever.;Depuis l'exécution horrible [FromFrom.Get_du_TitledFirstName], la rumeur la plus déconcertante s'est propagée dans mes terres. Les gens en sont venus à croire que les traits de caractère que je partage avec l'ancien tyran d'Acragas ne sont pas une simple coïncidence, mais plutôt la preuve que je suis un[Root.Get_E] descendant[Root.Get_E] de l'infâme Phalaris.\n\nSi je permets à de telles rumeurs de se répandre, la réputation de ma dynastie pourrait être ternie pour toujours.;Seit der grausamen Hinrichtungen von [FromFrom.GetTitledFirstName] breiten sich die merkwürdigsten Gerüchte im ganzen Reich aus. Die Bewohner von [Root.PrimaryTitle.GetName] sind zu der Überzeugung gelangt, dass die Eigenschaften, die ich mit dem alten Tyrannen von Akragas teile, keine Zufälle sind, sondern ein Beweis dafür, dass ich ein Nachfahre des berüchtigten Phalaris sein muss.\n\nWenn ich die Verbreitung solcher Gerüchte erlaube, könnte der Ruf meiner ganzen Dynastie für immer beschmutzt werden.;;Desde la horrible ejecución de [FromFrom.GetTitledFirstName], corre un rumor desconcertante por el reino. La gente que rodea a [Root.PrimaryTitle.GetName] se han convencido de que los rasgos que comparto con el antiguo tirano de Acragas no son mera coincidencia, sino la prueba de que soy descendiente del famoso Falaris.\n\nSi dejo que se sigan extendiendo tales rumores, la reputación de toda mi dinastía quedará mancillada para siempre.;;;;;;;;;x
EVTDESCHF24001;I was shocked to hear what fate [From.GetTitledFirstName] has in store for me. This deranged lunatic plans to lock me inside a brazen bull and cook me alive!;J'ai été choqué[Root.Get_E] d'apprendre quel sort me réserve [From.Get_le_TitledFirstName]. C[From.GetEEtte] lunatique prévoie de m'enfermer dans un taureau d'airain et me cuire vivant[Root.Get_E] !;Ich war schockiert zu erfahren, welches Schicksal [From.GetTitledFirstName] für mich bereithält. Dieser gestörte Wahnsinnige plant, mich in einen bronzenen Stier einzusperren und mich lebendig zu kochen!;;Me ha conmocionado saber lo que [From.GetTitledFirstName] me tiene reservado. ¡Es[From.GetEA] lunátic[From.GetOA] enloquecid[From.GetOA] quiere encerrarme en un toro de bronce y cocinarme viv[Root.GetOA]!;;;;;;;;;x
EVTDESCHF24003;I was shocked to hear what fate [FromFrom.GetTitledFirstName] has in store for me. This deranged lunatic plans to lock me inside a brazen bull and cook me alive!;J'ai été choqué[Root.Get_E] d'apprendre quel sort me réserve [FromFrom.Get_le_TitledFirstName]. C[FromFrom.GetEEtte] lunatique prévoie de m'enfermer dans un taureau d'airain et me cuire vivant[Root.Get_E] !;Ich war schockiert zu erfahren, welches Schicksal [FromFrom.GetTitledFirstName] für mich bereithält. Dieser gestörte Wahnsinnige plant, mich in einen bronzenen Stier einzusperren und mich lebendig zu kochen!;;Me ha conmocionado saber lo que [FromFrom.GetTitledFirstName] me tiene reservado. ¡Es[FromFrom.GetEA] lunátic[FromFrom.GetOA] enloquecid[FromFrom.GetOA] quiere encerrarme en un toro de bronce y cocinarme viv[Root.GetOA];;;;;;;;;x
EVTDESCHF24004;[From.GetTitledFirstName] is pushed screaming and kicking inside the brazen bull in the middle of the throne room, under the silent watch of all my courtiers. The [From.GetManWoman]'s desperate shrieking as [From.GetSheHe] is roasted alive inside the contraption soon turns into harmonious bellowing.;[From.Get_Le_TitledFirstName], criant et se débattant, est traîné[From.Get_E] jusqu'au taureau d'airain au milieu de la salle du trône, sous le regard silencieux de mes courtisans. Les cris désespérés de [From.GetLLa][From.GetManWoman] tandis qu'[From.GetIlElle] rôtit vivant[From.Get_E] dans l'engin se transforment bientôt en mugissements harmonieux.;[From.GetTitledFirstName] wird schreiend und tretend in den Bronzestier in der Mitte des Thronsaals gezerrt, unter den stillen Augen all meiner Höflinge. Das verzweifelte Kreischen als [From.GetSheHe] lebendig in der Apparatur gerötet wird, wird schon bald zu einem harmonischen Brüllen.;;Se mete a [From.GetTitledFirstName] chillando y pataleando en el toro de bronce en medio del salón del trono, bajo la mirada silenciosa de todos mis cortesanos. Los gritos desesperados de esta persona mientras se asa viva dentro del artilugio pronto se convierten en mugidos armoniosos.;;;;;;;;;x
EVTDESCHF24005;The guards drag me out of the dungeon and to [FromFrom.GetTitledFirstName]'s court. My hopes for freedom vanish quickly as I see the imposing figure of the brass bull staring at me from the middle of the hall, surrounded by fearful courtiers. The guards drag me towards the statue while the executioner starts stoking the fires beneath it.;Les gardes me traînent hors du cachot jusqu'à la cour [FromFrom.Get_du_TitledFirstName]. Mes espoirs de liberté s'évanouissent rapidement lorsque je vois l'imposante silhouette du taureau en cuivre qui me regarde depuis le milieu de la salle, entouré de courtisans craintifs. Les gardes me traînent vers lui tandis que le bourreau commence à attiser le feu situé en dessous.;Die Wachen ziehen mich aus dem Verlies und bringen mich an den Hof von [FromFrom.GetTitledFirstName]. Meine Hoffnung auf Freiheit schwindet schnell, als ich die imposante Gestalt des Bronzestiers in der Mitte der Halle erblickte, umgeben von ängstlichen Höflingen die mich anstarren. Die Wachen zerren mich in Richtung der Statue, während der Scharfrichter das Feuer entflammt.;;Los guardias me sacaron del calabozo y me llevaron a la corte de [FromFrom.GetTitledFirstName]. Mis esperanzas de libertad se desvanecen rápidamente al ver la imponente figura del toro de bronce contemplándome desde el centro de la sala, rodeado de cortesanos atemorizados. Los guardias me arrastran hacia la estatua mientras el verdugo empieza a avivar el fuego debajo de ella.;;;;;;;;;x
