#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

evt_DESC_JD_60312;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe heavenly [offmap_china.Ruler.GetLongChineseEmperorName], is most sorry to hear about the death of [FromFrom.GetTitledName], your [FromFrom.GetChineseCharacterRole], and offers you [offmap_china.Ruler.GetHerHis] most sincere condolences.;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\n[offmap_china.Ruler.GetLeLaCap] Céleste [offmap_china.Ruler.GetLongChineseEmperorName], est désolé[offmap_china.Ruler.Get_E] d'apprendre la mort [FromFrom.Get_du_TitledName], votre [FromFrom.GetChineseCharacterRole], et vous adresse ses plus sincères condoléances.;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n[offmap_china.Ruler.GetDerDie] himmlische [offmap_china.Ruler.GetLongChineseEmperorName] bedauert vom Tod Eures [FromFrom.GetChineseCharacterRole] [FromFrom.GetTitledName] zu hören und bietet [offmap_china.Ruler.GetHerHis] aufrichtiges Beileid an.;;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nEl celeste [offmap_china.Ruler.GetLongChineseEmperorName] lamenta profundamente enterarse de la muerte de [FromFrom.GetTitledName], tu [FromFrom.GetChineseCharacterRole] y te ofrece su más sentido pésame.;;;;;;;;;x
evt_DESC_JD_60314;The [offmap_china.Governor.GetTitle] of the [offmap_china.Ruler.GetChineseComplimentAdjective] [offmap_china.Ruler.GetTitle] addresses a letter to the [Root.GetTitle] of the [Root.PrimaryTitle.GetFullName].\n\nYou squander the gifts of the heavenly [offmap_china.Ruler.GetLongChineseEmperorName]. We know that the death of [FromFrom.GetChineseCharacterRole] [FromFrom.GetTitledName] was by your hands. Do not think that the [offmap_china.Ruler.GetTitle] will look lightly upon this.;[offmap_china.Governor.Get_only_Le_Title][offmap_china.Governor.GetTitle] de l'[offmap_china.Ruler.GetTitle] [offmap_china.Ruler.GetChineseComplimentAdjective] adresse une lettre [Root.Get_only_au_Title][Root.GetTitle] [Root.PrimaryTitle.Get_du_RealmFull].\n\nVous avez gaspillé le cadeau de [offmap_china.Ruler.GetLongChineseEmperorName]. Nous savons que la mort de votre [FromFrom.GetChineseCharacterRole] [FromFrom.GetTitledName] est de votre fait. N'imaginez pas que l'[offmap_china.Ruler.GetTitle] prendra ceci à la légère.;[offmap_china.Governor.GetDerDie] [offmap_china.Governor.GetTitle] des [offmap_china.Ruler.GetChineseComplimentAdjective]en [offmap_china.Ruler.GetTitle] addressiert einen Brief an [Root.Getdendie] [Root.GetTitle] von [Root.PrimaryTitle.GetFullName].\n\nIhr vergeudet die Geschenkte [offmap_china.Ruler.Getdesder] [offmap_china.Ruler.GetLongChineseEmperorName][offmap_china.Ruler.GetsMale]. Wir wissen, dass der Tod von [FromFrom.GetChineseCharacterRole] [FromFrom.GetTitledName] durch Eure Hände stattfand. Glaubt nicht, dass [offmap_china.Ruler.Getderdie] [offmap_china.Ruler.GetTitle] dies hinnehmen wird.;;El [offmap_china.Governor.GetTitle] del [offmap_china.Ruler.GetChineseComplimentAdjective] [offmap_china.Ruler.GetTitle] envía una carta al [Root.GetTitle] del [Root.PrimaryTitle.GetFullName].\n\nDerrochas los regalos del celestial [offmap_china.Ruler.GetLongChineseEmperorName]. Hemos sabido que [FromFrom.GetChineseCharacterRole] [FromFrom.GetTitledName] murió a tus manos. No creas que el [offmap_china.Ruler.GetTitle] se tomará esto a la ligera.;;;;;;;;;x

evt_OPTA_JD_60312;[From.GetSheHeCap] will be missed.;[From.GetIlElleCap] manquera.;Wir werden [From.Getihnsie] vermissen.;;Se le echará de menos.;;;;;;;;;x

evt_OPTA_60306;I shall not press the matter...;Je ne devrais pas insister sur la question...;Ich werde der Sache nicht weiter nachgehen...;;No insistiré sobre esto…;;;;;;;;;x
evt_OPTA_60307;That sounds like a reasonable request.;Cela ressemble à une demande raisonnable.;Das klingt vernünftig.;;Parece una petición razonable.;;;;;;;;;x

evt_OPTB_60306;Then war it must be!;Dans ce cas, c'est la guerre !;Dann muss wohl Krieg sein!;;¡Entonces, que haya guerra!;;;;;;;;;x
evt_OPTB_60307;I was a fool to think this was possible!;J'étais f[Root.GetOuOlle] de penser que c'était possible !;Ich war ein Narr zu glauben, es sei möglich!;;¡Fui idiota la creer que era posible!;;;;;;;;;x
evt_OPTC_60307;These demands are absolutely unacceptable! The Silk Road will be taken by force!;Ces exigences sont inacceptables ! La Route de la Soie sera prise par la force !;Inakzeptabel. Wir übernehmen die Seidenstraße gewaltsam!;;¡Estas peticiones son totalmente inaceptables! ¡Tomaremos la Ruta de la Seda a la fuerza!;;;;;;;;;x

EVTDESC_JD_3001;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe heavenly [offmap_china.Ruler.GetLongChineseEmperorName], has graciously fulfilled your wish. War Engineer [chinese_siege_engineer_1.GetDynName] along with two of [chinese_siege_engineer_1.GetHerHis] apprentices, [chinese_siege_engineer_2.GetDynName] and [chinese_siege_engineer_3.GetDynName], have been dispatched to your court.;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\n[offmap_china.Ruler.GetLeLaCap] Céleste [offmap_china.Ruler.GetLongChineseEmperorName] a gracieusement accédé à votre demande. L'ingénieur de guerre [chinese_siege_engineer_1.GetDynName] et deux apprentis, [chinese_siege_engineer_2.GetDynName] et [chinese_siege_engineer_3.GetDynName], ont été envoyés à votre cour.;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n[offmap_china.Ruler.GetDerDie] himmlische [offmap_china.Ruler.GetLongChineseEmperorName] hat Euren Wunsch barmherzig erfüllt. Kriegsingenieur [chinese_siege_engineer_1.GetDynName] zusammen mit zwei [chinese_siege_engineer_1.GetHerHis]er Gehilfen, [chinese_siege_engineer_2.GetDynName] und [chinese_siege_engineer_3.GetDynName], wurden an Euren Hof beordert.;;"[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nEl celeste [offmap_china.Ruler.GetLongChineseEmperorName] ha accedido gentilmente tu deseo. Se ha enviado a tu corte al ingeniero militar [chinese_siege_engineer_1.GetDynName] junto con sus aprendices, [chinese_siege_engineer_2.GetDynName] y [chinese_siege_engineer_3.GetDynName].";;;;;;;;;x
