# GetWonderName
String_special_wonder_name;[GetSpecialWonderName];[GetSpecialWonderName];[GetSpecialWonderName];;[GetSpecialWonderName];;;;;;;;x
String_adj_statue_wonder_type_in_location;[This.GetWonderAdjCap] [This.GetWonderTypeShortCap] in [target_province.GetName];[This.GetWonderTypeShortCap] de [target_province.GetName];[This.GetWonderAdjCap]e [This.GetWonderTypeShortCap] in [target_province.GetName];;[This.GetWonderAdjCap] [This.GetWonderTypeShortCap] en [target_province.GetName];;;;;;;;;x
String_adj_statue_wonder_type;[This.GetWonderTypeShortCap] in [target_province.GetName];[This.GetWonderTypeShortCap] de [target_province.GetName];[This.GetWonderTypeShortCap] in [target_province.GetName];;[This.GetWonderTypeShortCap] en [target_province.GetName];;;;;;;;;x
String_statue_wonder_type;[This.GetWonderTypeShortCap];[This.GetWonderTypeShortCap];[This.GetWonderTypeShortCap];;[This.GetWonderTypeShortCap];;;;;;;;x
String_adj_wondertype_of_noun;[This.GetWonderAdjCap] [This.GetWonderTypeShortCap] of [This.GetWonderFluffNounCap];[This.GetWonderTypeShortCap] [This.GetWonderFluffNounCap];[This.GetWonderAdjCap]e(s) [This.GetWonderTypeShortCap] des/der [This.GetWonderFluffNounCap];;[This.GetWonderTypeShortCap] [This.GetWonderAdjCap] de [This.GetWonderFluffNounCap];;;;;;;;;x
String_adj_wondertype_of_location;[This.GetWonderAdjCap] [This.GetWonderTypeShortCap] of [target_province.GetName];[This.GetWonderTypeShortCap] de [target_province.GetName];[This.GetWonderAdjCap]e(r) [This.GetWonderTypeShortCap] von [target_province.GetName];;[This.GetWonderTypeShortCap] [This.GetWonderAdjCap] de [target_province.GetName];;;;;;;;;x
String_location_wondertype;[target_province.GetName] [This.GetWonderTypeShortCap];[This.GetWonderTypeShortCap] de [target_province.GetName];[This.GetWonderTypeShortCap] von [target_province.GetName];;[target_province.GetName] [This.GetWonderTypeShortCap];;;;;;;;;x

# GetSpecialWonderName
String_the_evil_god_names_workshop;[Root.Religion.GetRandomEvilGodNameCap]'s Workshop;Atelier [Root.GetRandomEvilGodName];Werkstatt des [Root.Religion.GetRandomEvilGodNameCap]s;;Taller de [Root.Religion.GetRandomEvilGodNameCap];;;;;;;;x
String_jewel_of_the_province;The Jewel of [target_province.GetName];Le joyau de [target_province.GetName];Das Juwel von [target_province.GetName];;La joya de [target_province.GetName];;;;;;;;x

# GetWonderAdjCap
String_Ancient;Ancient;;Uralt;;Antiguo;;;;;;;;x
String_Glorious;Glorious;;Prächtig;;Glorioso;;;;;;;;;x
String_Magnificent;Magnificent;magnifique;Schön;;Magnífico;;;;;;;;;x
String_Bloody;Bloody;;Blutig;;Sangriento;;;;;;;;;x
String_Fortified;Fortified;;Befestigt;;Fortificado;;;;;;;;;x
String_Royal;Royal;;Königlich;;Real;;;;;;;;;x
String_Grand_Royal;Grand Royal;;Großköniglich;;Gran real;;;;;;;;;x
String_Silent;Silent;;Ruhig;;Silencioso;;;;;;;;;x
String_Golden;Golden;;Golden;;Dorado;;;;;;;;;x
String_Verdant;Verdant;;Begrünt;;Verde;;;;;;;;x
String_Looming;Looming;Imminent;Bedrohliche;;Amenazante;;;;;;;;x
String_Soaring;Soaring;;Aufragend;;Elevado;;;;;;;;x
String_Hallowed;Hallowed;;Geheiligt;;Sagrado;;;;;;;;x
String_Divine;Divine;;Göttlich;;Divino;;;;;;;;x
String_Holy;Holy;;Heilig;;Santo;;;;;;;;;x
String_Towering;Towering;Grandiose;emporragende;;Imponente;;;;;;;;x
String_Grand;Grand;;Groß;;Gran;;;;;;;;;x
String_Great;Great;Grand[This.Get_E];Riesig;;Grandios[This.GetOA];;;;;;;;;x
String_Old;Old;;Alt;;Viejo;;;;;;;;x
String_Cool;Cool;;Schöne;;Frío;;;;;;;;;x

# GetWonderAdj
String_ancient;ancient;;uralte;;antiguo;;;;;;;;x
String_glorious;glorious;de grand renom;prächtige;;glorioso;;;;;;;;;x
String_bloody;bloody;mémorable;blutige;;sangriento;;;;;;;;;x
String_iron;iron;en fer;Eisern;;férreo;;;;;;;;x
String_fortified;fortified;fortifiée;befestigte;;fortificado;;;;;;;;;x
String_royal;royal;royal;königliche;;real;;;;;;;;;x
String_grand_royal;grand royal;royal;großkönigliche;;gran real;;;;;;;;;x
String_silent;silent;silencieux;stille;;silencioso;;;;;;;;;x
String_golden;golden;en or;goldene;;dorado;;;;;;;;;x
String_verdant;verdant;;begrünte;;verde;;;;;;;;x
String_looming;Looming;imminent;bedrohlich;;Amenazante;;;;;;;;x
String_soaring;soaring;;aufragende;;elevado;;;;;;;;x
String_hallowed;hallowed;;geheiligte;;sagrado;;;;;;;;x
String_divine;divine;;göttliche;;divino;;;;;;;;x
String_holy;holy;;heilige;;santo;;;;;;;;;x
String_towering;towering;grandiose;Emporragend;;imponente;;;;;;;;x
String_grand;grand;;groß;;gran;;;;;;;;;x

# GetWonderTypeShortCap
String_Cathedral;Cathedral;Cathédrale;Kathedrale;;Catedral;;;;;;;;;x
String_Mosque;Mosque;Mosquée;Moschee;;Mezquita;;;;;;;;;x
String_Synagogue;Synagogue;Synagogue;Synagoge;;Sinagoga;;;;;;;;;x
String_Statue;Statue;Statue;Statue;;Estatua;;;;;;;;;x
String_Statue_Ruler;Statue of [wonder_owner_original.GetTitledFirstName];Statue [wonder_owner_original.Get_du_TitledFirstName];Statue von [wonder_owner_original.GetTitledFirstName];;Estatua de [wonder_owner_original.GetTitledFirstName];;;;;;;;x
String_Stallion;Stallion;Étalon;Hengst;;Semental;;;;;;;;x
String_Mare;Mare;Jument;Stute;;Yegua;;;;;;;;x
String_Citadel;Citadel;Citadèle;Zitadelle;;Ciudadela;;;;;;;;x
String_Colossus;Colossus;Colosse;Colossus;;Coloso;;;;;;;;x
String_Castle;Castle;Château;Burg;;Castillo;;;;;;;;x
String_Keep;Keep;Fort;Bergfried;;Torreón;;;;;;;;x
String_Fortress;Fortress;Forteresse;Festung;;Fortaleza;;;;;;;;;x
String_Underground_City;Underground City;Ville souterraine;Untergrundstadt;;Ciudad subterránea;;;;;;;;;x
String_Shield;Shield;Bouclier;Schild;;Escudo;;;;;;;;x
String_Walls;Walls;Muraille;Mauer;;Murallas;;;;;;;;;x
String_Harbor;Harbor;Port;Hafen;;Puerto;;;;;;;;;x
String_Lighthouse;Lighthouse;Phare;Leuchtturm;;Faro;;;;;;;;;x
String_Amphitheater;Amphitheater;Amphithéâtre;Amphitheater;;Anfiteatro;;;;;;;;;x
String_Palace;Palace;Palais;Palast;;Palacio;;;;;;;;;x
String_Garden;Garden;Jardin;Palast;;Jardín;;;;;;;;;x
String_University;University;Université;Universität;;Universidad;;;;;;;;;x
String_Library;Library;Bibliothèque;Bibliothek;;Biblioteca;;;;;;;;;x
String_Mausoleum;Mausoleum;Mausolée;Mausoleum;;Mausoleo;;;;;;;;;x
String_Monolith;Monolith;Monolithe;Monolith;;Monolito;;;;;;;;;x
String_Pyramid;Pyramid;Pyramide;Pyramide;;Pirámide;;;;;;;;;x
String_Stonehenge;Stonehenge;Stonehenge;Stonehenge;;Stonehenge;;;;;;;;;x
String_Great_Work;Great Work;Grand ouvrage;Großes Bauwerk;;Gran obra;;;;;;;;;x

# GetWonderTypeShort
String_cathedral;cathedral;a cathédrale;Kathedrale;;catedral;;;;;;;;;x
String_mosque;mosque;a mosquée;Moschee;;mezquita;;;;;;;;;x
String_synagogue;synagogue;a synagogue;Synagoge;;sinagoga;;;;;;;;;x
String_statue;statue;a statue;Statue;;estatua;;;;;;;;;x
String_statue_ruler;Statue of [wonder_owner_original.GetTitledFirstName];a statue [wonder_owner_original.Get_du_TitledFirstName];Statue von [wonder_owner_original.GetTitledFirstName];;Estatua de [wonder_owner_original.GetTitledFirstName];;;;;;;;x
String_citadel;citadel;citadèle;Zitadelle;;ciudadela;;;;;;;;x
String_castle;castle;e château;Schloss;;castillo;;;;;;;;;x
String_keep;keep;e donjon;Bergfried;;torre;;;;;;;;;x
String_fortress;fortress;a forteresse;Festung;;fortaleza;;;;;;;;;x
String_underground_city;underground city;a ville souterraine;Untergrundstadt;;ciudad subterránea;;;;;;;;;x
String_walls;walls;a muraille;Mauer;;murallas;;;;;;;;;x
String_harbor;harbor;e port;Hafen;;puerto;;;;;;;;;x
String_lighthouse;lighthouse;e phare;leuchtturm;;faro;;;;;;;;x
String_amphitheater;amphitheater;’amphithéâtre;Amphitheater;;anfiteatro;;;;;;;;;x
String_palace;palace;e palais;Palast;;palacio;;;;;;;;;x
String_university;university;’université;Universität;;universidad;;;;;;;;;x
String_mausoleum;mausoleum;e mausolée;Mausoleum;;mausoleo;;;;;;;;;x
String_monolith;monolith;e monolithe;Monolith;;monolito;;;;;;;;;x
String_pyramid;pyramid;a pyramide;Pyramide;;pirámide;;;;;;;;;x
String_stone_formation;stone formation;'ensemble de pierres;Steinformation;;formación rocosa;;;;;;;;;x
String_great_work;great work;e grand ouvrage;Große Bauwerk;;gran obra;;;;;;;;;x

# GetWonderFluffNounCap
String_Shadows;Shadows;des Ombres;Schattens;;maravilloso;;;;;;;;;x
String_Light;Light;de la Lumière;Lichtes;;Luz;;;;;;;;;x
String_Secrets;Secrets;des Secrets;Geheimnisse;;Secretos;;;;;;;;;x
String_Death;Death;de la Mort;Todes;;Muerte;;;;;;;;x
String_Pain;Pain;des Souffrances;Schmerzes;;Dolor;;;;;;;;x
String_Screams;Screams;des Cris;Schreie;;Gritos;;;;;;;;x
String_Romance;Romance;des Idylles;Romanze;;Romance;;;;;;;;x
String_Treasures;Treasures;aux Trésors;Schatzes;;Tesoros;;;;;;;;x
String_Wonder_Province;[target_province.GetName];de [target_province.GetName];[target_province.GetName];;[target_province.GetName];;;;;;;;;x

# GetWonderDesc
String_Wonder_Desc00;[target_wonder.GetDesc]. The [upgrade_00.GetRandomUpgradeDesc].;[target_wonder.GetDesc]. [upgrade_00.GetRandomUpgradeDesc].;[target_wonder.GetDesc]. [upgrade_00.GetRandomUpgradeDesc];;[target_wonder.GetDesc]. El/La [upgrade_00.GetRandomUpgradeDesc].;;;;;;;;;x
String_Wonder_Desc01;[target_province.GetInOnWonderTerrainCap] the [target_province.GetWonderTerrain] of [target_province.GetName], the [target_wonder.GetWonderAdj] [target_wonder.GetWonderTypeShort] has, for [target_wonder.GetWonderAgeDesc], [target_wonder.GetWonderPurpose].;Depuis [target_wonder.GetWonderAgeDesc] dans [target_province.GetWonderTerrain] de [target_province.GetName], l[target_wonder.GetWonderTypeShort] [target_wonder.GetWonderPurpose].;Seit [target_wonder.GetWonderAgeDesc] hat [target_wonder.GetWonderTypeShort_derdiedas] [target_wonder.GetWonderAdj] [target_wonder.GetWonderTypeShort] [target_province.GetInOnWonderTerrainCap] [target_province.GetTerrainWonderDE] [target_wonder.GetWonderPurpose].;;[target_province.GetInOnWonderTerrainCap] el/la [target_province.GetWonderTerrain] de [target_province.GetName], el/la [target_wonder.GetWonderTypeShort] [target_wonder.GetWonderAdj] tiene, para [target_wonder.GetWonderAgeDesc], [target_wonder.GetWonderPurpose].;;;;;;;;;x
String_Wonder_Desc02;The [target_wonder.GetWonderAdj] [target_wonder.GetWonderTypeShort] has [target_wonder.GetWonderPurpose], for [target_wonder.GetWonderAgeDesc]. The [upgrade_00.GetRandomUpgradeDesc].;L[target_wonder.GetWonderTypeShort] [target_wonder.GetWonderPurpose] depuis [target_wonder.GetWonderAgeDesc]. [upgrade_00.GetRandomUpgradeDesc].;Seit [target_wonder.GetWonderAgeDesc] hat [target_wonder.GetWonderTypeShort_derdiedas] [target_wonder.GetWonderTypeShort] [target_wonder.GetWonderPurpose]. [upgrade_00.GetRandomUpgradeDesc].;;El/La [target_wonder.GetWonderAdj] [target_wonder.GetWonderTypeShort] tiene [target_wonder.GetWonderPurpose], para [target_wonder.GetWonderAgeDesc]. El/La [upgrade_00.GetRandomUpgradeDesc].;;;;;;;;;x
String_Wonder_Desc03;The [upgrade_00.GetRandomUpgradeDesc]. For [target_wonder.GetWonderAgeDesc], the [target_wonder.GetWonderTypeShort] has [target_wonder.GetWonderPurpose].;[upgrade_00.GetRandomUpgradeDesc]. Depuis [target_wonder.GetWonderAgeDesc], l[target_wonder.GetWonderTypeShort] [target_wonder.GetWonderPurpose].;[upgrade_00.GetRandomUpgradeDesc]. Seit [target_wonder.GetWonderAgeDesc] hat [target_wonder.GetWonderTypeShort_derdiedas] [target_wonder.GetWonderTypeShort] [target_wonder.GetWonderPurpose].;;El/La [upgrade_00.GetRandomUpgradeDesc]. Para [target_wonder.GetWonderAgeDesc], el/la [target_wonder.GetWonderTypeShort] tiene [target_wonder.GetWonderPurpose].;;;;;;;;;x

# GetWonderAgeDesc
String_months;months;des mois;Monaten;;meses;;;;;;;;;x
String_years;years;des années;Jahren;;años;;;;;;;;;x
