# Vanilla
alcohol_gift_decision;Send Alcohol Gift;Offrir de l'alcool;Alkohol-Geschenk schicken;;Enviar regalo de alcohol;;;;;;;;;x
alcohol_gift_decision_desc;As you have a §YBrewery§!, you can send [Root.GetTitledFirstName] a [Root.GetAlcoholContainerType] of [Root.GetAlcohol].;Puisque vous possédez une §Ybrasserie§!, vous pouvez envoyer [Root.Get_au_TitledFirstName] [Root.GetAlcoholContainerType] [Root.GetAlcohol].;Da Ihr über eine §YBrauerei§! verfügt, könnt Ihr [Root.GetTitledFirstName] ein(e) [Root.GetAlcoholContainerType] [Root.GetAlcohol] schicken.;;Como tienes una §Ydestilería§!, puedes enviar a [Root.GetTitledFirstName] un/a [Root.GetAlcoholContainerType] de [Root.GetAlcohol].;;;;;;;;;x
ask_help_to_manage_titles;Ask for Help with Managing your Titles;Avoir de l'aide pour gérer les titres;Bittet für die Verwaltung Eurer Titel um Hilfe;;Pedir Ayuda para Gestionar tus Títulos;;;;;;;;;x
ask_help_to_manage_titles_desc;Ask your chancellor to help you take care of your newly acquired titles.;Demander à votre chancelier de vous aider à gérer vos nouveaux titres.;Bittet Euren Kanzler für die Verwaltung Eurer neu erworbenen Titel um Hilfe.;;Pedir ayuda a tu canciller para que se haga cargo de tus títulos recientemente adquiridos.;;;;;;;;;x
become_genghis_khan;Become Greatest of Khans;Devenir le khan des khans;Werdet zum Großkhan;;Convertido en el más grande de los kanes;;;;;;;;;x
become_genghis_khan_desc;A Mongolian ruler who manages to unite the clans of the Great Steppe may claim the title of Genghis Khan, Greatest of Khans. While unifying the people of the step is quite a challenge, fullfilling the prophecy of ultimately becoming the leader of the world may prove to be even harder.;Un chef mongol qui parvient à unir les clans de la Grande Steppe peut revendiquer le titre de Genghis Khan, le khan des khans. Si le fait d'unir les peuples des steppes est tout un défi en soi, accomplir la prophétie de devenir le souverain du monde peut s'avérer plus difficile encore.;Ein mongolischer Herrscher, dem es gelingt, die Klans der Steppe zu einen, kann für sich den Titel Dschingis Khan, Großkhan, beanspruchen. Die Einigung der Steppenbewohner für sich genommen stellt bereits eine Herausforderung dar. Von der Erfüllung der Prophezeiung, zum Herrscher über die Welt zu werden, ganz zu schweigen.;;Un gobernante mongol que logra unir a los clanes de la gran estepa puede reclamar el título de Gengis Kan, el más grande de los kanes. Mientras que unir a la gente de la estepa es un auténtico desafío, cumplir la profecía de convertirse finalmente en el líder del mundo podría ser aún más difícil.;;;;;;;;;x
become_genghis_khan_tribal;Become Greatest of Khans;Devenir le khan des khans;Werdet zum Großkhan;;Convertido en el más grande de los kanes;;;;;;;;;x
become_genghis_khan_tribal_desc;A Mongolian ruler who manages to unite the clans of the Great Steppe may claim the title of Genghis Khan, Greatest of Khans. While unifying the people of the steppe is quite a challenge, fullfilling the prophecy of ultimately becoming the leader of the world may prove to be even harder.;Un chef mongol qui parvient à unir les clans de la Grande Steppe peut revendiquer le titre de Genghis Khan, le khan des khans. Si le fait d'unir les peuples des steppes est tout un défi en soi, accomplir la prophétie de devenir le souverain du monde peut s'avérer plus difficile encore.;Ein mongolischer Herrscher, dem es gelingt, die Klans der Steppe zu einen, kann für sich den Titel Dschingis Khan, Großkhan, beanspruchen. Die Einigung der Steppenbewohner für sich genommen stellt bereits eine Herausforderung dar. Von der Erfüllung der Prophezeiung, zum Herrscher über die Welt zu werden, ganz zu schweigen.;;Un gobernante mongol que logra unir a los clanes de la gran estepa puede reclamar el título de Gengis Kan, el más grande de los kanes. Mientras que unir a la gente de la estepa es un auténtico desafío, cumplir la profecía de convertirse finalmente en el líder del mundo podría ser aún más difícil.;;;;;;;;;x
buy_indulgence_for_sins;Buy Indulgence for my Sins;Acheter une indulgence pour mes péchés;Kauft Ablass für eure Sünden;;Comprar indulgencia para mis pecados;;;;;;;;;x
buy_indulgence_for_sins_desc;Send a letter to the Pope in the hope of getting our sins forgiven and increasing our piety.;Envoyons une lettre au Pape en espérant que nos péchés seront pardonnés et que notre piété s'améliorera.;In der Hoffnung einen Brief an den Papst schicken, dass uns unsere Sünden erlassen werden und unsere Pietät steigt.;;Envía una carta al papa con la esperanza de redimir pecados y aumentar nuestra piedad.;;;;;;;;;x
celibate_mom_dec;Become Celibate;Devenir chaste.;Zölibatär werden;;Adopta el celibato;;;;;;;;;x
