abuse_of_office;Abuse of Office;Abus d'autorité;Amtsmissbrauch;;Abuso de autoridad;;;;;;;;;x
accused_of_murder;Accused of Murder;Accusation de meurtre;Des Mordes beschuldigt;;Acusad[This.GetOA] de asesinato;;;;;;;;;x
acknowledged_bastard;Acknowledged Bastard;Bâtard reconnu;Anerkannter Bastard;;Bastard reconocido;;;;;;;;;x
acknowledged_child;Acknowledged Child;Enfant reconnu;Anerkanntes Kind;;Hijo reconocido;;;;;;;;;x
ally_inactive_in_war;Didn't fight in the war;N'a pas combattu pendant la guerre;Hat im Krieg nicht gekämpft;;No luchó en la guerra;;;;;;;;;x
ambitious_neg;Despises Ambition;Méprise la forte ambition;Verachtet Ambition;;Desprecia la ambición;;;;;;;;;x
ambitious_pos;Approves of Ambition;Approuve la forte ambition;Schätzt Ambition;;Aprueba la ambición;;;;;;;;;x
approves_of_my_behaviour;Feels accepted;Ressent l'approbation;Fühlt sich akzeptiert;;Se siente aceptado;;;;;;;;;x
arbitrary_neg;Despises Arbitrariness;Méprise la partialité;Verachtet Willkür;;Desprecia la arbitrariedad;;;;;;;;;x
arbitrary_pos;Approves of Arbitrariness;Approuve la partialité;Schätzt Willkür;;Aprueba la arbitrariedad;;;;;;;;;x
asked_for_claim;Asked for Claim;Revendication demandée;Um Anspruch gebeten;;Solicitó derecho;;;;;;;;;x
asked_for_crusade;Asked for Religious War;A demandé une guerre religieuse;Hat um Religiösen Krieg gebeten;;Solicitud de Guerra confesional;;;;;;;;;x
asked_for_divorce;Asked for divorce;A demandé un divorce;Bat um Scheidung;;Solicitud de divorcio;;;;;;;;;x
asked_for_excommunication;Asked for excommunication;A demandé une excommunication;Bat um Exkommunikation;;Solicitud de excomunión;;;;;;;;;x
asked_for_invasion;Asked for invasion;A demandé une invasion;Bat um Invasion;;Solicitud de invasión;;;;;;;;;x
asked_for_money;Asked for Money;A demandé de l'argent;Hat um Geld gebeten;;Solicitud de dinero;;;;;;;;;x
asked_to_lift_excommunication;Asked to lift excommunication;A demandé la levée d'une excommunication;Bat um Aufhebung der Exkommunikation;;Solicitud de levantar excomunión;;;;;;;;;x
asked_to_nominate_bishop;Asked to Nominate Bishop;A demandé de nommer un évêque;Bat um Nominierung eines Bischofs;;Solicitud de nombramiento de Obispo;;;;;;;;;x
attempted_murder;Attempted Murder;Tentative de meurtre;Versuchter Mord;;Intento de asesinato;;;;;;;;;x
attempted_murder_of_child;Attempted Murder of Child;Tentative de meurtre d'un enfant;Versuchter Kindsmord;;Intento de asesinato de hijo;;;;;;;;;x
attempted_murder_of_parent;Attempted Murder of Parent;Tentative de meurtre sur un parent;Versuchter Elternmord;;Intento de parricidio;;;;;;;;;x
attempted_murder_of_sibling;Attempted Murder of Sibling;Tentative de meurtre sur frère ou soeur;Versuchter Geschwistermord;;Intento de asesinato de un/a hermano/a;;;;;;;;;x
attempted_murder_of_spouse;Attempted Murder of Spouse;Tentative de meurtre d'un conjoint;Versuchter Gattenmord;;Intento de asesinato de cónyuge;;;;;;;;;x
attempted_murder_of_spouse_vassal;Attempted Murder of Spouse;Tentative de meurtre du conjoint d'un vassal;Versuchter Gattenmord;;Intento de asesinato de cónyuge;;;;;;;;;x
attempted_murder_of_vassal;Attempted Murder of Vassal;Tentative de meurtre d'un vassal;Versuchter Vasallenmord;;Intento de asesinato de vasallo;;;;;;;;;x
bad_succ_law_change;Outraged by Succession Law Change;Indignation face à la nouvelle loi de succession;Schockiert durch Nachfolgerechtsänderung;;Indignado por el cambio en la ley de sucesión;;;;;;;;;x
bishop_bribed_by_pope;Follows Papal Instructions;Suit les instructions papales;Folgt päpstlichen Anweisungen;;Sigue instrucciones del papa;;;;;;;;;x
black_honor;Breaking Feudal Obligations;Contrevenir aux obligations féodales;Lehensverpflichtungen nicht erfüllen;;Rompiendo las Obligaciones Feudales;;;;;;;;;x
blasphemous_pyromaniac;Blasphemous Pyromaniac;Pyromanie blasphématoire;Blasphemischer Pyromane;;Pirómano blasfemo;;;;;;;;x
bought_indulgences;Bought Indulgences;Indulgences achetées;Gekaufte Ablässe;;Indulgencias compradas;;;;;;;;;x
brave_neg;Envies Bravery;Envie la bravoure;Beneidet Tapferkeit;;Envidia la bravura;;;;;;;;;x
brave_pos;Approves of Bravery;Approuve la bravoure;Schätzt Tapferkeit;;Aprueba la bravura;;;;;;;;;x
broke_alliance;Dishonored Alliance;Alliance déshonorée;Entehrtes Bündnis;;Alianza deshonrada;;;;;;;;;x
broke_truce;Broke a Truce;Trêve rompue;Brach einen Waffenstillstand;;Tregua rota;;;;;;;;;x
broken_non_aggression_pact;Broken pact;Pacte rompu;Gebrochener Pakt;;Pacto roto;;;;;;;;;x
called_into_war;Called into War;Appelé à rejoindre une guerre;In den Krieg gerufen;;Llamado a la guerra;;;;;;;;;x
campaign_friend;Common History in Campaigns;Histoire commune des campagnes;Kriegskamerad;;Historia común en campañas;;;;;;;;;x
campaign_rival;Bad history in campaigns;Mauvaise histoire des campagnes;Wurde im Krieg zum Feind;;Historia errónea en campañas;;;;;;;;;x
charitable_neg;Despises Charity;Méprise la charité;Verachtet Wohltätigkeit;;Desprecia la caridad;;;;;;;;;x
charitable_pos;Approves of Charity;Approuve la charité;Schätzt Wohltätigkeit;;Aprueba la caridad;;;;;;;;;x
charitable_to_you;Showed Charity;A fait preuve de charité;Zeigte Wohltätigkeit;;Caridad mostrada;;;;;;;;;x
childhood_sweetheart;Childhood Sweetheart;Amour d'enfance;Erste Jugendliebe;;Amor de juventud;;;;;;;;;x
claimant_vs_holder;Title Claimant;Revendication du titre;Titelforderer;;Pretendiente del título;;;;;;;;;x
clan_opinion_absorbed_blood_brother_clan;Absorbed the Clan of my Blood Brother;A absorbé le clan de mon frère de sang;Gliederte den Klan meines Blutsbruders ein;;Absorber el clan de mi hermano de sangre;;;;;;;;x
clan_opinion_absorbed_clan;Absorbed Clan;Clan absorbé;Gliederte Klan ein;;Clan absorbido;;;;;;;;x
clan_opinion_absorbed_my_clan;Tried to Absorb My Clan;A tenté d'absorber mon clan;Versuchte meinen Klan einzugliedern;;Intentó absorber mi clan;;;;;;;;x
clan_opinion_attempted_splitted_my_clan;Tried To Split My Clan;A essayé de scinder mon clan;Versuchte meinen Klan zu teilen;;Dividir el Clan;;;;;;;;x
clan_opinion_blood_oath;Blood Brothers;Frères de sang;Blutsbrüder;;Hermanos de sangre;;;;;;;;;x
clan_opinion_created;Loyal Clan;Clan loyal;Loyaler Klan;;Clan leal;;;;;;;;x
clan_opinion_feud;Feud;Querelle;Fehde;;Enemistad;;;;;;;;;x
clan_opinion_feud_blood_brother;Feud with Blood Brothers;Querelle avec des frères de sang;Fehde mit Blutsbrüdern;;Enemistad con hermanos de sangre;;;;;;;;;x
clan_opinion_feud_leader_has_job;$WHO|Y$ is a Councillor;$WHO|Y$ occupe un poste au Conseil;$WHO|Y$ hat Position im Rat;;$WHO|Y$ tiene la posición del consejo;;;;;;;;;x
clan_opinion_no_job;Is not a Councillor;N'occupe aucun poste au conseil;Hat keine Position im Rat;;No tiene posición del consejo;;;;;;;;;x
clan_opinion_splitted_blood_brother_clan;Split the Clan of my Blood Brother;A scindé le clan de mon frère de sang;Teilte den Klan meines Blutsbruders;;Dividir el clan de mi hermano de sangre;;;;;;;;x
clan_opinion_splitted_my_clan;Split My Clan;A scindé mon clan;Teilte meinen Klan;;Dividir el Clan;;;;;;;;x
clan_propaganda_effort;Propaganda Effort;Efforts de propagande;Propagandamaßnahme;;Esfuerzo de propaganda;;;;;;;;;x
clever_deceive;Clever deception;Brillante duperie;Clevere Täuschung;;Engaño astuto;;;;;;;;;x
coerced_into_council_position;Was forced to give a Council Position;A dû octroyer un poste au Conseil;Wurde gezwungen, eine Ratsposition zu vergeben;;Se vio obligado a dar un puesto del Consejo;;;;;;;;;x
comforted_opinion;Comforted;Réconfort;Getröstet;;Reconfortad[This.GetOA];;;;;;x
committed_adultery_rumour;Rumored to have committed adultery;Aurait commis un adultère;Gerüchten zufolge Ehebrecher;;Se dice que ha cometido adulterio;;;;;;;;;x
common_interests_opinion;Common Interests;Intérêts en commun;Gemeinsame Interessen;;Intereses comunes;;;;;;;;;x
content_neg;Despises Content;Méprise la satisfaction;Verachtet Zufriedenheit;;Desprecia la felicidad;;;;;;;;;x
content_pos;Approves of Content;Approuve le contentement;Schätzt Zufriedenheit;;Aprueba la felicidad;;;;;;;;;x
craven_neg;Despises Cowardice;Méprise la lâcheté;Verachtet Feigheit;;Desprecia la cobardía;;;;;;;;;x
craven_pos;Approves of Cowardice;Approuve la lâcheté;Schätzt Feigheit;;Aprueba la cobardía;;;;;;;;;x
cruel_neg;Disapproves of Cruelty;Désapprouve la cruauté;Verachtet Grausamkeit;;Desaprueba la crueldad;;;;;;;;;x
cruel_parent;Cruel Parent;Cruauté du parent;Grausame Eltern;;Progenitor[From.GetOA] cruel;;;;;;;;;x
cruel_pos;Approves of Cruelty;Approuve la cruauté;Billigt Grausamkeit;;Aprueba la crueldad;;;;;;;;;x
cynical_neg;Despises Cynicism;Méprise le cynisme;Verachtet Zynismus;;Desprecia el cinismo;;;;;;;;;x
