#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAMELoR.1;The Province of Syria Palaestina;La province de Syria Palaestina;Die Provinz Syria Palaestina;;La provincia de Siria Palestina;;;;;;;;;x
EVTNAMELoR.2;The Province of Aegyptus;La province d'Aegyptus;Die Provinz Aegyptus;;La Provincia de Aegyptus;;;;;;;;;x
EVTNAMELoR.3;The Province of Cyrenaica;La province de Cyrenaica.;Die Provinz Kyrenaika;;La provincia de Cirenaica;;;;;;;;;x
EVTNAMELoR.4;The Province of Africa;La province d'Africa;Die Provinz Africa;;La provincia de África;;;;;;;;;x
EVTNAMELoR.5;The Province of Illyricum;La province d'Illyricum;Die Provinz Illyricum;;La provincia de Iliria;;;;;;;;;x
EVTNAMELoR.6;The Province of Italia;La province d'Italia;Die Provinz Italia;;La provincia de Italia;;;;;;;;;x
EVTNAMELoR.7;The Province of Gallia;La province de Gallia;Die Provinz Gallia;;La provincia de Galia;;;;;;;;;x
EVTNAMELoR.8;The Province of Germania;La province de Germania;Die Provinz Germania;;La provincia de Germania;;;;;;;;;x
EVTNAMELoR.9;The Province of Britannia;La province de Brittania;Die Provinz Britannia;;La provincia de Britania;;;;;;;;;x
EVTNAMELoR.10;The Province of Hispania;La province d'Hispania;Die Provinz Hispania;;La provincia de Hispania;;;;;;;;;x
EVTNAMELoR.11;The Province of Mauretania;La province de Mauretania;Die Provinz Mauretania;;La provincia de Mauritania;;;;;;;;;x
EVTNAMELoR.12;The Province of Mesopotamia;La province de Mesopotamia;Die Provinz Mesopotamia;;La provincia de Mesopotamia;;;;;;;;;x
EVTNAMELoR.13;The Province of Caledonia;La province de Caledonia;Die Provinz Caledonia;;La provincia de Caledonia;;;;;;;;;x
EVTNAMELoR.14;The Province of Hibernia;La province d'Hibernia;Die Provinz Hibernia;;La provincia de Hibernia;;;;;;;;;x
EVTNAMELoR.20;The Dawn of a New Era;L'Aube d'une ère nouvelle;Der Aufbruch in eine neue Ära.;;El amanecer de una Nueva Era;;;;;;;;;x
EVTNAMELoR.21;The Second Age of Rome;Le Second Âge de Rome;Die zweite Ära Roms;;La Segunda Edad de Roma;;;;;;;;;x
EVTNAMELoR.40;The Imperial Borders Are Restored;Frontières impériales rétablies;Die Grenzen des Imperiums;;Las fronteras Imperiales han Sido Restablecidas;;;;;;;;;x

