#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

PROV0;Unknown;Inconnu(e);Unbekannt;;Desconocido;;;;;;;;;x

## Owned provinces
# Ireland
PROV1;Tyrconnell;;;;;;;;;;;;;x
PROV2;Tyrone;;;;;;;;;;;;;x
PROV3;Ulster;;;;Úlster;;;;;;;;;x
PROV4;Oriel;;;;;;;;;;;;;x

PROV5;Meath;;;;;;;;;x
PROV6;Dublin;;;;Dublín;;;;;;;;;x
PROV7;Kildare;;;;;;;;;;;;;x
PROV8;Westmeath;;;;;;;;;x

PROV9;North Connacht;Nord-Connacht;Nordconnacht;;Connacht norte;;;;x
PROV10;Breifne;;;;;;;;;;;;;x
PROV11;West Connacht;;West-Connacht;;;;;;;x
PROV12;Hy-Many;;;;;;;;;x

PROV13;Thomond;;;;;;;;;;;;;x
PROV14;Iarmond;;;;;;;;;x
PROV15;Desmond;;;;;;;;;;;;;x
PROV16;Ormond;;;;;;;;;;;;;x

PROV17;Ossory;Osraige;;;;;;;;;;;;x
PROV18;Leix;;;;;;;;;x
PROV19;Leinster;;;;;;;;;;;;;x

# Wales
PROV20;Dyfed;;;;;;;;;;;;;x
PROV21;Gower;;;;;;;;;x
PROV22;Ceredigion;;;;;;;;;x

PROV23;Gwynedd;;;;;;;;;;;;;x
PROV24;Anglesey;;;;;;;;;x
PROV25;Perfeddwlad;;;;;;;;;;;;;x

PROV26;Shrewsbury;;;;;;;;;;;;;x
PROV27;Hereford;;;;;;;;;;;;;x
PROV28;Powys;;;;;;;;;;;;x
PROV29;Builth;;;;;;;;;x

PROV30;Brycheiniog;;;;;;;;;x
PROV31;Glamorgan;;;;;;;;;;;;;x
PROV32;Gwent;;;;;;;;;;;;;x

PROV33;Cornwall;Cornouailles;;;Cornualles;;;;;;;;;x
PROV34;Devon;;;;;;;;;;;;;x

# England
PROV35;Somerset;;;;;;;;;;;;;x
PROV36;Bath;;;;;;;;;x

PROV37;Gloucester;;;;;;;;;;;;;x
PROV38;Oxford;;;;;;;;;;;;;x
PROV39;Wiltshire;;;;;;;;;;;;;x

PROV40;Dorset;;;;;;;;;;;;;x
PROV41;Winchester;;;;;;;;;;;;;x
PROV42;Wight;;;;;;;;;x

PROV43;Sussex;;;;;;;;;;;;;x
PROV44;Kent;;;;;;;;;;;;;x
PROV45;Surrey;;;;;;;;;;;;;x

PROV46;Middlesex;;;;;;;;;;;;;x
PROV47;Essex;;;;;;;;;;;;;x
PROV48;Bedford;;;;;;;;;;;;;x
PROV49;Northampton;;;;;;;;;;;;;x

PROV50;Suffolk;;;;;;;;;;;;;x
PROV51;Norfolk;;;;;;;;;;;;;x

PROV52;Lincoln;;;;;;;;;;;;;x
PROV53;Leicester;;;;;;;;;;;;;x
PROV54;Warwick;;;;;;;;;;;;;x
PROV55;Worcester;;;;;;;;;;;;;x

PROV56;Derby;;;;;;;;;;;;;x
PROV57;Chester;;;;;;;;;;;;;x
PROV58;Lancaster;;;;;;;;;;;;;x

PROV59;Hull;;;;;;;;;x
PROV60;Leeds;;;;;;;;;x
PROV61;York;;;;;;;;;;;;;x
PROV62;Yoredale;;;;;;;;;x

PROV63;Cumberland;;;;;;;;;;;;;x
PROV64;Westmorland;;;;;;;;;;;;;x

PROV65;Northumberland;;;;;;;;;;;;;x
PROV66;Lindisfarne;;;;;;;;;x
PROV67;Durham;;;;;;;;;;;;;x

# Scotland
PROV68;Dunbar;;;;;;;;;;;;;x
PROV69;Lothian;;;;;;;;;;;;;x
PROV70;Teviotdale;;;;;;;;;;;;;x

PROV71;Isle of Man;Île de Man;Insel Man;;Isla de Man;;;;;;;;;x

PROV72;Galloway;;;;;;;;;;;;;x
PROV73;Carrick;;;;;;;;;;;;;x
PROV74;Clydesdale;;;;;;;;;;;;;x

PROV75;Argyll;;;;;;;;;;;;;x
PROV76;Iona;;;;;;;;;x
PROV77;The Hebrides;Les Hébrides;Die Hebriden;;Las Hébridas;;;;;;;;;x

PROV78;Strathearn;;;;;;;;;;;;;x
PROV79;Fife;;;;;;;;;;;;;x
PROV80;Gowrie;;;;;;;;;;;;;x
PROV81;Atholl;;;;;;;;;;;;;x

PROV82;Buchan;;;;;;;;;;;;;x
PROV83;Moray;;;;;;;;;;;;;x
PROV84;Ross;;;;;;;;;;;;;x
PROV85;Caithness;;;;;;;;;;;;;x

# Norway
PROV86;Orkney;Orcades;;;;;;;;;;;;x
PROV87;Shetland;;;;;;;;;;;;;x
PROV88;Færeyar;Féroé;Färöer;;;;;;;;;;;x

PROV89;Suðurland;;;;;;;;;;;;;x
PROV90;Vestisland;Vesturland;;;Isla Vest;;;;;;;;;x
PROV91;Norðurland;;;;;;;;;;;;;x
PROV92;Austisland;Austurland;;;;;;;;;;;;x

PROV93;Baahuslen;;;;;;;;;x
PROV94;Akershus;;;;;;;;;;;;;x
PROV95;Vestfold;;;;;;;;;;;;;x

PROV96;Telemark;;;;;;;;;;;;;x
PROV97;Agder;;;;;;;;;;;;;x
PROV98;Rogaland;;;;;;;;;;;;;x

PROV99;Bergenhus;;;;;;;;;;;;;x
PROV100;Sogn;;;;;;;;;x
PROV101;Førde;;;;;;;;;x
PROV102;Sunnmøre;;;;;;;;;x
PROV103;Romsdal;;;;;;;;;x

PROV104;Gudbrandsdalen;;;;;;;;;x
PROV105;Hedmark;;;;;;;;;x
PROV106;Romerike;;;;;;;;;x
PROV107;Østerdalen;;;;;;;;;x

PROV108;Herjedalen;Härjedalen;;;;;;;;;;;;x
PROV109;Jämtland;;;;Jemtia;;;;;;;;;x

PROV110;Nidaros;;;;;;;;;;;;;x
PROV111;Naumadal;Namdale;;;;;;;;;;;;x
PROV112;Hålogaland;;;;;;;;;;;;;x

# Sapmi
PROV113;Nordland;;;;;;;;;;;;;x
PROV114;Finnmark;;;;;;;;;;;;;x

PROV115;Kola;;;;;;;;;;;;;x
PROV116;Kantalahti;Kandalakcha;;;;;;;;;;;;x
PROV117;Rovaniemi;;;;;;;;;;;;;x
PROV118;Kemi;;;;;;;;;;;;;x

PROV119;Lappland;Laponie;;;Laponia;;;;;;;;;x
PROV120;Västerbotten;Westrobothnie;Västerbotten;;Vestrobothnia;;;;;;;;;x

# Finland
PROV121;Österbotten;Ostrobotnie;Pohjanmaa;;Pohjanmaa;;;;;;;;;x
PROV122;Oulu;;;;;;;;;;;;;x
PROV123;Kainuu;;;;;;;;;;;;;x

PROV124;Kem;;;;;;;;;;;;;x
PROV125;Pomorye;;;;;;;;;;;;;x
PROV126;Olonets;;;;;;;;;;;;;x
PROV127;Sortavala;;;;;;;;;;;;;x
PROV128;Käkisalmi;;;;;;;;;;;;;x

PROV129;Savo;Savonie;;;;;;;;;;;;x
PROV130;Joensuu;;;;;;;;;;;;;x
PROV131;Kuopio;;;;;;;;;;;;;x
PROV132;Laukaa;;;;;;;;;;;;;x

PROV133;Satakunta;;;;;;;;;;;;;x
PROV134;Tavastia;Tavastie;Häme;;Häme;;;;;;;;;x
PROV135;Uusimaa;;;;;;;;;;;;;x
PROV136;Karjaa;;;;;;;;;;;;;x
PROV137;Suomi;;;;;;;;;;;;;x

# Sweden
PROV138;Ångermanland;;;;Angermannia;;;;;;;;;x
PROV139;Medelpad;;;;;;;;;;;;;x
PROV140;Hälsingland;;;;Helsingia;;;;;;;;;x

PROV141;Järnbäraland;;;;;;;;;;;;;x
PROV142;Värmland;Wermelandie;;;;;;;;;;;;x
PROV143;Västmanland;;;;Vestmania;;;;;;;;;x

PROV144;Gästrikland;;;;;;;;;;;;;x
PROV145;Uppland;;;;Uplandia;;;;;;;;;x
PROV146;Södermanland;Sudermanie;;;;;;;;;;;;x
PROV147;Åland;;;;Alandia;;;;;;;;;x

PROV148;Gotland;;;;;;;;;;;;;x

PROV149;Öland;;;;;;;;;;;;;x
PROV150;Möre;;;;;;;;;;;;;x
PROV151;Sevede;;;;;;;;;;;;x
PROV152;Tjust;;;;;;;;;;;;;x

PROV153;Kinda;;;;;;;;;;;;x
PROV154;Vista;;;;;;;;;;;;x
PROV155;Östergötland;Ostrogothie;;;;;;;;;;;;x

PROV156;Närke;;;;;;;;;;;;;x
PROV157;Skara;;;;;;;;;;;;x
PROV158;Dal;;;;;;;;;;;;;x
PROV159;Västergötland;Westrogothie;;;Westtrogothia;;;;;;;;;x

PROV160;Finnveden;;;;;;;;;;;;x
PROV161;Njudung;;;;;;;;;;;;x
PROV162;Värend;;;;;;;;;;;;;x

# Denmark
PROV163;Blekinge;;;;;;;;;;;;;x
PROV164;Bornholm;;;;;;;;;;;;;x
PROV165;Scania;Scanie;Skåne;;Escania;;;;;;;;;x
PROV166;Halland;;;;;;;;;;;;;x

PROV167;Sjælland;Seeland;;;Selandia;;;;;;;;;x
PROV168;Lolland;;;;;;;;;x
PROV169;Fyn;Fionie;;;Fionia;;;;;;;;;x

PROV170;Aarhus;;;;;;;;;x
PROV171;Aalborg;;;;;;;;;x
PROV172;Skagen;;;;;;;;;x
PROV173;Varde;;;;;;;;;x

PROV174;Slesvig;Schleswig;Schleswig;;Schleswig;;;;;;;;;x
PROV175;Holstein;;;;;;;;;;;;;x
PROV176;Dithmarschen;;;;;;;;;x

# Saxony
PROV177;Hadeln;;;;;;;;;x
PROV178;Bremen;;;;;;;;;x

PROV179;Oldenburg;Oldenbourg;;;Oldemburgo;;;;;;;;;x
PROV180;Osnabrück;;;;;;;;;;;;;x
PROV181;Minden;;;;;;;;;x

PROV182;Münster;;;;;;;;;;;;;x
PROV183;Paderborn;;;;;;;;;x

PROV184;Braunschweig;Brunswick;;;Brunswick;;;;;;;;;x
PROV185;Verden;;;;;;;;;x
PROV186;Lüneburg;Lunebourg;;;Luneburgo;;;;;;;;;x
PROV187;Werben;;;;;;;;;x
PROV188;Magdeburg;;;;;;;;;x

# Germany
PROV189;Weimar;;;;;;;;;;;;;x
PROV190;Thüringen;Thuringe;;;;;;;;;;;;x

PROV191;Fritzlar;;;;;;;;;x
PROV192;Marburg;;;;;;;;;x
PROV193;Frankfurt;;;;;;;;;x

PROV194;Mainz;Mayence;;;Maguncia;;;;;;;;;x
PROV195;Worms;;;;;;;;;x

PROV196;Weinsberg;;;;;;;;;x
PROV197;Aschaffenburg;;;;;;;;;x
PROV198;Würzburg;Wurtzbourg;;;Würzburgo;;;;;;;;;x
PROV199;Bamberg;;;;;;;;;;;;;x

# Bavaria
PROV200;Nürnberg;Nuremberg;;;Nuremberg;;;;;;;;;x
PROV201;Eichstadt;;;;;;;;;x

PROV202;Cham;;;;;;;;;x
PROV203;Passau;;;;;;;;;;;;;x
PROV204;Regensburg;;;;;;;;;x
PROV205;Freising;;;;;;;;;x

PROV206;Pongau;;;;;;;;;x
PROV207;Salzburg;Salzbourg;;;Salzburgo;;;;;;;;;x

PROV208;Traungau;;;;;;;;;x
PROV209;Steyr;;;;;;;;;x
PROV210;Freistadt;;;;;;;;;x
PROV211;Krems;;;;;;;;;x
PROV212;Medelike;;;;;;;;;x
PROV213;Wien;;;;;;;;;x

PROV214;Pitten;;;;;;;;;x
PROV215;Eppenstein;;;;;;;;;x
PROV216;Graz;;;;;;;;;x

# Carinthia
PROV217;Friesach;;;;;;;;;x
PROV218;Villach;;;;;;;;;x

PROV219;Pettau;;;;;;;;;x
PROV220;Krain;;;;;;;;;x
PROV221;Istria;Istrie;Istrien;;;;;;;;;;;x

PROV222;Aquileia;Aquilée;;;Aquilea;;;;;;;;;x
PROV223;Udine;;;;;;;;;x
PROV224;Treviso;Trévise;;;;;;;;;;;;x

# Germany/Bavaria (remainder)
PROV225;Trent;Trente;;;Trento;;;;;;;;;x
PROV226;Bolzano;;;;;;;;;x
PROV227;Innsbruck;;;;;;;;;;;;;x
PROV228;Landeck;;;;;;;;;x

PROV229;Chur;Coire;;;Coira;;;;;;;;;x
PROV230;Schwyz;;;;;;;;;x

PROV231;Zurichgau;;;;;;;;;x
PROV232;Thurgau;;;;;;;;;x

PROV233;Schwaben;Souabe;;;;;;;;;;;;x
PROV234;Augsburg;Augsbourg;;;;;;;;x
PROV235;Ulm;;;;;;;;;;;;;x
PROV236;Württemberg;Wurtemberg;;;;;;;;;;;;x
PROV237;Fürstenberg;;;;;;;;;;;;;x

PROV238;Baden;Bade;;;;;;;;;;;;x
PROV239;Breisgau;Brisgau;;;Brisgovia;;;;;;;;;x

PROV240;Sundgau;;;;;;;;;;;;;x
PROV241;Nordgau;;;;;;;;;;;;;x

# Lotharingia/Frisia
PROV242;Saarbrücken;;;;;;;;;x
PROV243;Trier;Trèves;;;Tréveris;;;;;;;;;x
PROV244;Metz;;;;;;;;;;;;;x

PROV245;Lorraine;;Lothringen;;Lorena;;;;;;;;;x
PROV246;Saintois;;;;;;;;;;;;;x
PROV247;Bar;;;;;;;;;;;;;x
PROV248;Verdun;;;;Verdún;;;;;;;;;x

PROV249;Luxembourg;;Luxemburg;;Luxemburgo;;;;;;;;;x
PROV250;Liege;Liège;Lüttich;;Lieja;;;;;;;;;x
PROV251;Loon;Looz;;;;;;;;;;;;x
PROV252;Jülich;Juliers;;;;;;;;;;;;x

PROV253;Cologne;;Köln;;Colonia;;;;;;;;;x
PROV254;Berg;;;;;;;;;x
PROV255;Kleve;Clèves;;;Cléveris;;;;;;;;;x

PROV256;Gelre;Gueldre;Geldern;;;;;;;;;;;x
PROV257;Overijssel;;;;;;;;;x
PROV258;Ostfriesland;Frise orientale;;;;;;;;;;;;x
PROV259;Friesland;Frise;;;;;;;;;;;;x

PROV260;Westfriesland;Frise occidentale;;;;;;;;;;;;x
PROV261;Holland;Hollande;;;Holanda;;;;;;;;;x
PROV262;Zeeland;;;;;;;;;;;;;x
PROV263;Sticht;;;;;;;;;;;;;x

PROV264;Breda;Bréda;;;;;;;;;;;;x
PROV265;Brabant;;;;Brabante;;;;;;;;;x
PROV266;Hainaut;;Hennegau;;Henao;;;;;;;;;x

# France
PROV267;Gent;Gand;;;Gante;;;;;;;;;x
PROV268;Brugge;Bruges;;;Brujas;;;;;;;;;x
PROV269;Yperen;Ypres;Ypern;;;;;;;;;;;x
PROV270;Guines;Guînes;;;Güines;;;;;;;;;x
PROV271;Boulogne;;;;Boloña;;;;;;;;;x
PROV272;Artois;;;;;;;;;;;;;x

PROV273;Ponthieu;;;;;;;;;x
PROV274;Clermont;;;;;;;;;x
PROV275;Amiens;;;;;;;;;;;;;x
PROV276;Vermandois;;;;;;;;;;;;;x

PROV277;Reims;;;;;;;;;;;;;x
PROV278;Troyes;;;;;;;;;;;;;x
PROV279;Brie;;;;;;;;;x

PROV280;Senlis;;;;;;;;;x
PROV281;Paris;;;;;;;;;;;;;x
PROV282;Sens;;;;;;;;;;;;;x
PROV283;Orléans;;;;;;;;;;;;;x

PROV284;Blois;;;;;;;;;;;;;x
PROV285;Dunois;;;;;;;;;x
PROV286;Chartres;;;;;;;;;;;;;x

PROV287;Sancerre;;;;;;;;;x
PROV288;Bourges;Berry;;;;;;;;;;;;x
