heir_flavor_desc_1;Ascending to the throne at age [GetAgeYears] is;Monte sur le trône à l'âge de [GetAgeYears] ans;Thronbesteigung im Alter von [GetAgeYears];;Asciende al trono a los [GetAgeYears] años;;;;;;;;x
heir_flavor_desc_default;Ascending to the throne at age [GetAgeYears] is;Monte sur le trône à l'âge de [GetAgeYears] ans;Thronbesteigung im Alter von [GetAgeYears];;Asciende al trono a los [GetAgeYears] años;;;;;;;;x
heir_text_bastard;Being an illegitimate child, [GetFirstName] will surely set out to make [GetHerHis] mark on destiny;, enfant illégitime, lui succède. [GetIlElleCap] voudra sans doute graver son nom dans l'Histoire;Als uneheliches Kind wird [GetFirstName] sicherlich danach streben, das Schicksal nach eigenem Gutdünken zu beeinflussen.;;Al ser hij[GetOA] ilegítim[GetOA], [GetFirstName] probablemente esté dispuest[GetOA] a dejar una marca en su destino.;;;;;;;;;x
heir_text_children;A prolific [GetManWoman], [GetSheHe] has already produced numerous potential heirs for the realm; lui succède. Un[Get_E] [GetManWoman] prolifique qui a déjà donné naissance à de nombreux héritiers potentiels pour le pays;Da [GetSheHe] mit Fruchtbarkeit gesegnet ist, hat [GetSheHe] schon mehrere potenzielle Thronfolger für das Reich hervorgebracht.;;[GetManWoman] prolífic[GetOA], ya ha dado numerosos posibles herederos al reino;;;;;;;;;x
heir_text_combat_skill;A formidable duelist, we expect [GetHerHim] to excel in tournaments and personal combat alike; lui succède. Formidable duelliste, nous nous attendons à ce qu'[GetIlElle] excelle dans les tournois et les combats personnels;[GetSheHeCap] hat schon mehrere Duelle für sich entschieden und sollte sowohl bei Turnieren als auch im Einzelkampf triumphieren können.;;Duelista formidable, esperamos ver[GetRleRla] destacar en torneos y combate personal por igual;;;;;;;;;x
heir_text_crusader;Having led men against the infidel, [GetFirstName]'s name is surely beloved in the eyes of [Religion.GetHighGodName]; lui succède. Ayant mené des hommes contre les infidèles, son nom est apprécié par [Religion.GetHighGodName];[GetFirstName] hat schon Kreuzzüge gegen die Ungläubigen angeführt und genießt daher sicherlich das Wohlwollen von [Religion.GetHighGodName].;;Habiendo dirigido hombres contra los infieles, seguro que el nombre de [GetFirstName] es grato a los ojos de [Religion.GetHighGodName],;;;;;;;;;x
heir_text_default;An enigma even to those who know [GetHerHim], [GetHerHis] rule may doom or save us all;, une énigme même pour ceux qui [GetLeLa] connaissent, lui succède. Son règne pourrait être voué à l'échec ou bien tous nous sauver;[GetSheHeCap] ist ein Rätsel selbst für die, die [GetHerHim] kennen. [GetSheHeCap] könnte unser Untergang oder unsere Rettung sein.;;Un enigma hasta para quienes [GetRleRla] conocen, su gobierno puede condenarnos o salvarnos a todos;;;;;;;;;x
heir_text_demon;Being the child of [Religion.GetRandomEvilGodName], [GetFirstName]'s rule is sure to usher in a new age of terror and despair; lui succède. Étant l'enfant envoyé[Get_E] par [Religion.GetRandomEvilGodName], son règne sera celui de la terreur et du désespoir;Als Kind von [Religion.GetRandomEvilGodName] wird die Herrschaft von [GetFirstName] sicherlich ein neues Zeitalter des Grauens und der Hoffnungslosigkeit einläuten.;;Hij[GetOA] de [Religion.GetRandomEvilGodName], el reinado de [GetFirstName] seguramente traiga una nueva era de terror y desesperación;;;;;;;;;x
heir_text_diplomacy;An accomplished diplomat, vassals and foreign rulers alike are sure to respect [GetHerHim]; lui succède. Un[Get_E] diplomate accompli[Get_E] que les vassaux et les souverains étrangers respecteront;Da [GetSheHe] mit diplomatischem Talent gesegnet ist, werden [GetHerHim] sowohl Vasallen als auch fremdländische Herrscher respektieren.;;Diplomátic[GetOA] consumad[GetOA], gobernantes vasallos y extranjeros [GetRleRla] respetarán por igual;;;;;;;;;x
heir_text_five_skills;Blessed with awesome knowledge of all things between heaven and earth, [GetFirstName]'s rule is sure to be legendary; lui succède. Doté[Get_E] d'une connaissance impressionnante de toute chose entre ciel et terre, son règne deviendra probablement légendaire;[GetFirstName] ist mit beeindruckendem Wissen über alles Mögliche zwischen Himmel und Erde gesegnet und wird sicherlich zu einer Legende.;;Bendecid[GetOA] con un conocimiento asombroso de todas las cosas del mundo, seguro que el reinado de [GetFirstName] será legendario;;;;;;;;;x
heir_text_friends;Blessed with an abundance of friends, [GetFirstName] is likely to find strong support for [GetHerHis] rule; lui succède. Ayant une abondance d'amis, [GetIlElle] trouvera probablement du soutien pour son règne;[GetFirstName] hat eine Menge Freunde und wird sich sicherlich die Unterstützung vieler sichern können.;;Bendecid[GetOA] con una abundancia de amigos, es probable que [GetFirstName] tenga un fuerte apoyo para su reinado;;;;;;;;;x
heir_text_intrigue;A crafty and perceptive [GetManWoman], [GetSheHe] will have no problem gaining leverage where needed; lui succède. Un[Get_E] [GetManWoman] perspicace qui n'aura pas de problème à influencer les gens si nécessaire;[GetSheHeCap] zeichnet sich durch List und Scharfsinn aus und sollte daher stets die Oberhand gewinnen, wenn es darauf ankommt.;;[GetManWoman] astut[GetOA] y perspicaz, no le costará ejercer influencia cuando sea necesario;;;;;;;;;x
