#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ABSORB_CLAN_INTERACTION_0;This will lower §Y[Recipient.GetTitledFirstName]§!'s opinion of you by §R$VAL$§!.;Cela diminuera l'opinion que [Recipient.Get_le_TitledFirstNameJ] a de vous de §R$VAL$§!.;Hierdurch verringert sich die Meinung, die §Y[Recipient.GetTitledFirstName]§! von Euch hat, um §R$VAL$§!.;;Esto reducirá la opinión de §Y[Recipient.GetTitledFirstName]§! sobre ti en §R$VAL$§!.;;;;;;;;x
ABSORB_CLAN_INTERACTION_1;[Recipient.GetHerHis] Blood Brother §Y$BLOOD_BROTHER$§!'s Clan Sentiment towards you will also be lowered by §R$VAL$§!.;Le sentiment du clan de son frère de sang §Y$BLOOD_BROTHER$§! à votre égard baissera également de §R$VAL$§!.;Die Klanmeinung des Bruderklans §Y$BLOOD_BROTHER$§! wird Euch gegenüber ebenfalls um §R$VAL$§! sinken.;;Los sentimiento de clan de [Recipient.GetHerHis] hermano de sangre §Y$BLOOD_BROTHER$§! también se reducirán en §R$VAL$§!.;;;;;;;;x
ABSORB_CLAN_INTERACTION_2;Other clan vassals will see this as a tyrannical act, decreasing their Sentiment towards you by §R$VAL$§!.;Les autres clans vassaux y verront une décision tyrannique et leur sentiment vis-à-vis de vous baissera de §R$VAL$§!.;Andere Klans werden dies für einen Akt der Tyrannei halten. Ihre Meinung von Euch wird um §R$VAL$§! sinken.;;Otros vasallos del clan verán esto como un acto tiránico, disminuyendo su sentimiento hacia ti en §R$VAL$§!.;;;;;;;;x
ABSORB_CLAN_INTERACTION_3;Other clan vassals will not mind, as they think there are too many clans in the realm.;Les autres clans vassaux pourraient ne pas réagir car ils pensent que le royaume comporte trop de clans.;Andere Klans wird dies nicht kümmern, denn sie sind der Ansicht, es gebe zu viele Klans im Reich.;;A otros vasallos del clan no les importará, porque creen que hay demasiados clanes en el reino.;;;;;;;;x
ABSORB_CLAN_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! absorbed the §Y[Recipient.GetOnlyDynastyName]§! clan from §Y[Recipient.GetBestName]§!;[Actor.Get_only_Le_Title]§Y[Actor.GetBestName]§! a absorbé le clan §Y[Recipient.GetOnlyDynastyName]§! qui appartenait [Recipient.Get_only_au_Title]§Y[Recipient.GetBestName]§!;§Y[Actor.GetBestName]§! gliederte den Klan §Y[Recipient.GetOnlyDynastyName]§! von §Y[Recipient.GetBestName]§! ein.;;§Y[Actor.GetBestName]§! absorbe el clan §Y[Recipient.GetOnlyDynastyName]§! de §Y[Recipient.GetBestName]§!;;;;;;;;x
ABSORB_CLAN_INTERACTION_ACCEPT_SETUP;Clan Absorbed;Clan absorbé;Klan eingliedern;;Clan absorbido;;;;;;;;x
ABSORB_CLAN_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§! refused the absorption of the §Y[Recipient.Clan.GetName]§! clan, requested by §Y[Actor.GetBestName]§!;[Recipient.Get_only_Le_Title]§Y[Recipient.GetBestName]§! a refusé l'absorption du clan §Y[Recipient.Clan.GetName]§! demandée par [Actor.Get_only_le_Title]§Y[Actor.GetBestName]§!;§Y[Recipient.GetBestName]§! lehnte die von §Y[Actor.GetBestName]§! vorgeschlagene Eingliederung des Klans §Y[Recipient.Clan.GetName]§! ab.;;§Y[Recipient.GetBestName]§! se negó a la absorción de clan §Y[Recipient.Clan.GetName]§!, solicitada por §Y[Actor.GetBestName]§!;;;;;;;;x
ABSORB_CLAN_INTERACTION_DECLINE_SETUP;Clan Absorption Refused;Absorption de clan rejetée;Eingliederung des Klans abgelehnt;;Rechazada absorción de clan;;;;;;;;x
ABSORB_CLAN_INTERACTION_LETTER;I have decided to seize your lands and merge your clan with mine. Failure to hand over your lands peacefully will lead to war.;J'ai décidé de prendre possession de vos terres et de fusionner votre clan au mien. Si ces terres ne sont pas abandonnées sans discuter, ce sera la guerre.;Ich habe entschieden, Eure Ländereien zu übernehmen und Euren Klan mit meinem zu vereinen. Solltet Ihr mir Euer Land nicht bereitwillig übergeben, wird Krieg die Folge sein.;;He decidido tomar tus tierras y combinar tu clan con el mío. No ser capaz de entregarme tus tierras en paz llevará a la guerra.;;;;;;;;;x
ABSORB_CLAN_INTERACTION_TITLE;Absorb Clan;Absorber clan;Klan eingliedern;;Absorber el clan;;;;;;;;x
adopt_faith;Adopt Religion;Adopter la religion;Religion übernehmen;;Adoptar la religión;;;;;;;;x
adopt_tribalism;Settle as Tribe;Implanter la tribu;Als Stamm sesshaft werden;;Establecerse como tribu;;;;;;;;;x
adopt_tribalism_desc;I can choose to settle my tribe permanently.;Je peux fixer ma tribu de manière permanente.;Ich kann beschließen, meinen Stamm permanent sesshaft werden zu lassen.;;Puedo elegir establecer a mi tribu permanentemente.;;;;;;;;;x
adopt_wolf_child;The child is adopted with full right of inheritance.;L'enfant est adopté et jouit de son droit entier de succession.;Das Kind wird mit allen Erbrechten adoptiert.;;El niño es adoptado con pleno derecho de la herencia.;;;;;;;;;x
AI_AMBITION_AT_LEAST;AI Ambition at least ;Ambition de l'IA au moins égale à ;AI-Ehrgeiz mindestens ;;AI ambición por lo menos;;;;;;;;x
AI_AMBITION_LESS_THAN;AI Ambition less than ;Ambition de l'IA inférieure à ;AI-Ehrgeiz weniger als ;;AI ambición menos de;;;;;;;;x
AI_GREED_AT_LEAST;AI Greed at least ;Avidité de l'IA au moins égale à ;AI-Gier mindestens ;;AI codicia por lo menos;;;;;;;;x
AI_GREED_LESS_THAN;AI Greed less than ;Avidité de l'IA inférieure à ;AI-Gier weniger als ;;AI codicia menos de;;;;;;;;x
AI_HONOR_AT_LEAST;AI Honor at least ;Honneur de l'IA au moins égal à ;AI-Ehre mindestens ;;AI honor por lo menos;;;;;;;;x
AI_HONOR_LESS_THAN;AI Honor less than ;Honneur de l'IA inférieur à ;AI-Ehre weniger als ;;AI honor menos de;;;;;;;;x
AI_RATIONALITY_AT_LEAST;AI Rationality at least ;Rationalité de l'IA au moins égale à ;AI-Rationalität mindestens ;;AI racionalidad por lo menos;;;;;;;;x
AI_RATIONALITY_LESS_THAN;AI Rationality less than ;Rationalité de l'IA inférieure à ;AI-Rationalität weniger als ;;AI racionalidad menos de;;;;;;;;x
AI_ZEAL_AT_LEAST;AI Zeal at least ;Zèle de l'IA au moins égal à ;AI-Fanatismus mindestens ;;AI celo por lo menos;;;;;;;;x
AI_ZEAL_LESS_THAN;AI Zeal less than ;Zèle de l'IA inférieur à ;AI-Fanatismus weniger als ;;AI celo menos de;;;;;;;;x
AIREASON_BLOOD_BROTHER;[GetTitledFirstName] is my Blood Brother;[GetTitledFirstName] est mon frère de sang;[GetTitledFirstName] ist mein Blutsbruder;;[GetTitledFirstName] es mi hermano de sangre;;;;;;;;x
AIREASON_CLAN_OPINION;Clan Sentiment of §Y[Clan.GetName]§!;Sentiment du clan §Y[Clan.GetName]§!;Klanmeinung von §Y[Clan.GetName]§!;;Sentimiento del clan de §Y[Clan.GetName]§!;;;;;;;;x
AIREASON_FEUD;At feud with [GetTitledFirstName];Querelle avec [GetTitledFirstName];In einer Fehde mit [GetTitledFirstName];;En enemistad con [GetTitledFirstName];;;;;;;;x
