#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
COUNCIL;Council;Conseil;Rat;;Consejo;;;;;;;;;x
desc_maintaining_mercenary_band_2;This holding is used to refill mercenary bands;Cette propriété est utilisée pour réapprovisionner en hommes une bande de mercenaires;Dieses Besitztum wird verwendet, um Söldnertrupps aufzufüllen.;;Esta posesión es usada para rellenar compañías mercenarias;;;;;;;;;x
desc_maintaining_mercenary_band_3;This holding is used to refill mercenary bands;Cette propriété est utilisée pour réapprovisionner en hommes une bande de mercenaires;Dieses Besitztum wird verwendet, um Söldnertrupps aufzufüllen.;;Esta posesión es usada para rellenar compañías mercenarias;;;;;;;;;x
desc_maintaining_mercenary_band_4;This holding is used to refill mercenary bands;Cette propriété est utilisée pour réapprovisionner en hommes une bande de mercenaires;Dieses Besitztum wird verwendet, um Söldnertrupps aufzufüllen.;;Esta posesión es usada para rellenar compañías mercenarias;;;;;;;;;x
desc_maintaining_mercenary_band_5;This holding is used to refill mercenary bands;Cette propriété est utilisée pour réapprovisionner en hommes une bande de mercenaires;Dieses Besitztum wird verwendet, um Söldnertrupps aufzufüllen.;;Esta posesión es usada para rellenar compañías mercenarias;;;;;;;;;x
desc_maintaining_mercenary_band_6;This holding is used to refill mercenary bands;Cette propriété est utilisée pour réapprovisionner en hommes une bande de mercenaires;Dieses Besitztum wird verwendet, um Söldnertrupps aufzufüllen.;;Esta posesión es usada para rellenar compañías mercenarias;;;;;;;;;x
desc_maintaining_mercenary_band_7;This holding is used to refill mercenary bands;Cette propriété est utilisée pour réapprovisionner en hommes une bande de mercenaires;Dieses Besitztum wird verwendet, um Söldnertrupps aufzufüllen.;;Esta posesión es usada para rellenar compañías mercenarias;;;;;;;;;x
MAKE_GREY;$TEXT|G$;$TEXT|G$;$TEXT|G$;;$TEXT|G$;;;;;;;;;x
SUPPLY_LIMIT_TOOLTIP;Supply Limit: $VALUE|Y$;Capacité de ravitaillement: $VALUE|Y$;Nachschublimit: $VALUE|Y$;Limit zapasów: $VALUE|Y$;Límite de suministros: $VALUE|Y$;Limite rifornimenti: $VALUE|Y$;Készlethatár: $VALUE|Y$;Limit dodávek: $VALUE|Y$;;;;;;x
TRIGGER_LEADER;Leader;;Anführer;;;;;;;;;;;x
UNIT_INVERTREINFORCE_EFFECT;$PERC$ of commanded troops are killed.\n;$PERC$ des troupes commandées sont éliminées.\n;$PERC$ der befehligten Truppen sind gefallen.\n;;$PERC$ de los soldados comandados es asesinado.\n;;;;;;;;;x
UNIT_MORALE_EFFECT;Troops gets $PERC$ morale.\n;Les troupes bénéficient de $PERC$ en moral.\n;Truppen erhalten $PERC$ Moral.\n;;Los soldados logran $PERC$ moral.\n;;;;;;;;;x
UNIT_REINFORCE_EFFECT;Commanded troops are reinforced by $PERC$.\n;Les troupes commandées obtiennent $PERC$ de renforts.\n;Befehligte Truppen werden um $PERC$ verstärkt.\n;;Los soldados comandados son reforzados por $PERC$.\n;;;;;;;;;x
WOE;Woe!;Malheur !;Oh weh!;;¡Ay!;;;;;;;;;x
Zeus;Conclave;Le Conseil;Conclave;;Conclave;;;;;;;;;x
