#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
break_up_with_lover_named;Break up with [Root.GetFirstName];Rompre avec [Root.GetFirstName];Von [Root.GetFirstName] trennen;;Romper la relación con [Root.GetFirstName];;;;;;;;;x
CAN_CALL_VASSALS_TO_WAR;All of our Vassals;Tous nos vassaux;Alle unsere Vasallen;;Todos nuestros vasallos;;;;;;;;;x
CIW_GOTOCHARREL_DEL;Explore other characters' opinions of this character.;Voir les opinions envers ce personnage.;Zeige die Meinungen anderer Charaktere zu diesem Charakter.;;Ver las opiniones de otros personajes sobre este personaje.;;;;;;;;;x
CIW_GOTOLOCATION_DEL;Zoom to the character's location on the map.;Trouver l'emplacement du personnage sur la carte.;Gehe auf der Karte zum Charakter.;;Encontrar a la ubicación del personaje en el mapa.;;;;;;;;;x
comfort_of_lover;Comforted by Lover;Trouve du réconfort auprès de son amant(e);Von seiner Geliebten getröstet;;Consolado por su Amante;;;;;;;;;x
desc_comfort_of_lover;[GetFirstName] has found solace from [GetPossPronoun] tempestuous marriage in the arms of a lover.;[GetFirstName] souffre d'un mariage tumultueux et trouve réconfort dans les bras de son amant(e).;[GetFirstName] flüchtet aus [GetPossPronoun]er stürmischen Ehe und findet Trost in den Armen [GetPossPronoun]er Geliebten.;;[GetFirstName], sufriendo un matrimonio tempestuoso, ha encontrado consuelo en los brazos de un amante.;;;;;;;;;x
desc_thrill_of_lover;[GetFirstName] has found escape from a tempestuous marriage by [GetPossPronoun] thrilling affair with a lover.;[GetFirstName] souffre d'un mariage tumultueux et retrouve l'excitation dans une liaison.;[GetFirstName] flüchtet aus [GetPossPronoun]er stürmische Ehe und findet ein Abenteuer in den Armen [GetPossPronoun]er Geliebten.;;[GetFirstName], sufriendo un matrimonio tempestuoso, ha encontrado la emoción en los brazos de un amante.;;;;;;;;;x
EVENT_SPAWNED;Event Spawned;Créé par un évènement;Durch Ereignis erschienen;;Creado por Evento;;;;;;;;;x
IberianPortraitsDLC;Iberian Portraits;Portraits ibériques;Iberian Portraits;;Retratos ibéricos;;;;;;;;;x
IberianUnitPackDLC;Iberian Unit Pack;Pack d'unités ibériques;Iberian Unit Pack;;Pack de Unidades ibéricos;;;;;;;;;x
IS_A_FOE_OF;Is a Foe of ;Est un adversaire de ;Ist ein Feind von ;;Es un enemigo de ;;;;;;;;;x
IS_NOT_A_FOE_OF;Is NOT a Foe of ;N'est pas un adversaire de ;Ist NICHT ein Feind von ;;NO es un enemigo de ;;;;;;;;;x
known_sodomite_pagan;Effeminate Man Lover;Amant efféminé;Weibischer Liebhaber;;Amante Afeminado;;;;;;;;;x
RCLK_TO_SELECT;§GRight-click to Select§!;§GClic droit pour sélectionner§!;§GZur Auswahl rechtsklicken§!;;§GHaz clic derecho para seleccionar§!;;;;;;;;;x
thrill_of_lover;Thrill of Illicit Love;Le frisson de l'amour interdit;Nervenkitzel verbotener Liebe;;Emoción de Amor Ilícito;;;;;;;;;x
TRIBAL_TAX_MODIFIER;Tribal Tax;Impôt tribal;Stammessteuer;;Impuesto tribu;;;;;;;;;x
tut_0a_7b;Note that you can also right click the portrait of characters to open a diplomacy menu with that character.;Vous pouvez également faire un clic droit sur le portrait d'un personnage pour accéder à un menu de diplomatie avec ce personnage.;Sie können auch durch einen Rechtsklick auf das Charakterportrait ein Diplomatiemenü für diesen Charakter öffnen.;;También puedes hacer clic derecho sobre el retrato de un personaje para abrir el menu de diplomacia para ese personaje.;;;;;;;;;x
tut_4a_4;To get started, right click your half-brother, Earl Malmure of Atholl. You will find him at the bottom left of the family tab, under the header 'siblings'. (The portrait you see here is just an example, not the actual Earl.);Pour commencer, faites un clic droit sur votre demi-frère, le comte Malmure d'Atholl. Il se trouve en bas à gauche de l'arbre généalogique, sous la dénomination 'frères et soeurs'. (Le portrait du comte est juste un exemple, il ne s'agit pas du véritable comte);Klickt als Erstes bitte auf Euren Stiefbruder, Graf Malmure von Atholl. Ihr findet ihn unten links im Familienreiter, unter der Überschrift "Geschwister". (Das hier angezeigte Bild hat nur Beispielfunktion und zeigt nicht den echten Grafen.);;Para comenzar, haz clic sobre tu hermanastro, Earl Malmure de Atholl, con el botón derecho. Le encontrarás en la parte inferior izquierda de la pestaña Familia, bajo el encabezado 'hermanos'. (El retrato que aquí ves es solo un ejemplo, no es el Conde.);;;;;;;;;x
tut_4a_5;To the left, we see a list of possible diplomatic actions. To the right you will be able to adjust the diplomatic choices and see what effect they will net once you have decided. Click next to continue.;Pour la gauche, vous voyez une liste d'actions diplomatiques possibles. Pour la droite, vous pouvez ajuster les choix diplomatiques et voir quel effet qu'ils auront. Cliquez sur 'Suivant' pour continuer.;Auf der linken Seite sehen Sie eine Liste der möglichen diplomatischen Aktionen. Auf der rechten Seite können Sie die diplomatischen Möglichkeiten anpassen und sehen, welche Wirkung sie haben. Klicken Sie auf "Weiter", um fortzufahren.;;A la izquierda ves una lista de posibles acciones diplomáticas. A la derecha puedes ajustar las opciones diplomaticas y ver que efecto tendrán una vez que hayas decidido. Haz clic en 'Siguiente' para seguir.;;;;;;;;;x
tut_4c_9;Consider carefully who would be the best choice for you, and keep in mind that dynasty and her rank will matter for your prestige gain or loss when entering the marriage. When you have made your choice, right-click her portrait to continue.;Réfléchissez bien avant de faire votre choix et n'oubliez pas que la dynastie et le rang de la personne influeront sur votre prestige lors du mariage. Après avoir fait votre choix, cliquez droit sur le portrait correspondant pour continuer.;Zieht in Betracht, wer für Euch die beste Wahl ist. Behaltet dabei im Hinterkopf, dass die Dynastie und der Rang Eurer zukünftigen Ehefrau für Euren Prestigegewinn oder -verlust bei Eheschluss Bedeutung hat. Wenn Ihr Eure Auswahl getroffen habt, rechtsklickt zum Fortfahren auf ihr Portrait.;;Sopesa cuidadosamente la mejor elección para ti, y ten presente que la dinastía y su rango afectarán a tu ganancia o pérdida de prestigio cuando inicies el matrimonio. Cuando hayas elegido, haz clic derecho en su imagen para continuar.;;;;;;;;;x
