getDuelTitle;[Root.GetDuelTitle];;;;;;;;;;;;;x
GetRelation_Acquaintance;acquaintance;connaissance;Bekannte(r);;conocido;;;;;;;;;x
GetRelation_antagonist;antagonist;antagoniste;Widersacher;;antagonista;;;;;;;;;x
GetRelation_Aunt;aunt;tante;Tante;;tía;;;;;;;;;x
GetRelation_Brother;brother;frère;Bruder;;hermano;;;;;;;;;x
GetRelation_BrotherHusband;brother-husband;frère-époux;Ehemann und Bruder;;hermano-esposo;;;;;;;;;x
GetRelation_BrotherInLaw;brother-in-law;beau-frère;Schwager;;cuñado;;;;;;;;;x
GetRelation_Concubine;concubine;;Konkubine;;concubina;;;;;;;;;x
GetRelation_Consort;Consort;concubin;Günstling;;concubino;;;;;;;;;x
GetRelation_Courtier;courtier;courtisan(e);Höfling;;cortesano;;;;;;;;;x
GetRelation_Courtier_Female;courtier;courtisane;Kurtisane;;cortesana;;;;;;;;;x
GetRelation_Courtier_Male;courtier;courtisan;Höfling;;cortesano;;;;;;;;;x
GetRelation_Cousin;cousin;cousin(e);Cousin(e);;primo;;;;;;;;;x
GetRelation_Cousin_Female;cousin;cousine;Cousine;;prima;;;;;;;;;x
GetRelation_Cousin_Male;cousin;;Cousin;;primo;;;;;;;;;x
GetRelation_Daughter;daughter;fille;Tochter;;hija;;;;;;;;;x
GetRelation_DaughterWife;daughter-wife;fille-épouse;Ehefrau und Tochter;;hija-esposa;;;;;;;;;x
GetRelation_enemy;enemy;ennemi;Feind;;enemigo;;;;;;;;;x
GetRelation_Father;father;père;Vater;;padre;;;;;;;;;x
GetRelation_FatherHusband;father-husband;père-époux;Ehemann und Vater;;padre-esposo;;;;;;;;;x
GetRelation_FatherInLaw;Father-in-Law;beau-père;Schwiegervater;;Suegro;;;;;;;;;x
GetRelation_fellow_member;fellow member of [This.Society.GetName];[This.GetBrotherSister] [This.Get_du_Society];geschätzter Kollege von [This.Society.GetName];;compañero de [This.Society.GetName];;;;;;;;;x
GetRelation_Friend;friend;ami(e);Freund(in);;amigo;;;;;;;;;x
GetRelation_Friend_Female;friend;amie;Freundin;;amiga;;;;;;;;;x
GetRelation_Friend_Male;friend;ami;Freund;;amigo;;;;;;;;;x
GetRelation_Granddaughter;granddaughter;petite-fille;Enkelin;;nieta;;;;;;;;;x
GetRelation_Grandfather;grandfather;grand-père;Großvater;;abuelo;;;;;;;;;x
GetRelation_Grandmother;grandmother;grand-mère;Großmutter;;abuela;;;;;;;;;x
GetRelation_Grandson;grandson;petit-fils;Enkel;;nieto;;;;;;;;;x
GetRelation_Husband;husband;mari;Ehemann;;esposo;;;;;;;;;x
GetRelation_Kinsman;kinsman;parent;Verwandter;;pariente;;;;;;;;;x
GetRelation_Kinswoman;kinswoman;parente;Verwandte;;pariente;;;;;;;;;x
GetRelation_Liege;liege;seigneur (dame) lige;Lehnsherr(in);;señor/a;;;;;;;;;x
GetRelation_Liege_Female;liege;dame lige;Lehnsherrin;;señora;;;;;;;;;x
GetRelation_Liege_Male;liege;seigneur lige;Lehnsherr;;señor;;;;;;;;;x
GetRelation_Lover;lover;amant(e);Liebschaft;;amante;;;;;;;;;x
GetRelation_Lover_Female;lover;amante;Geliebte;;amante;;;;;;;;;x
GetRelation_Lover_Male;lover;amant;Geliebter;;amante;;;;;;;;;x
GetRelation_Mother;mother;mère;Mutter;;madre;;;;;;;;;x
GetRelation_MotherInLaw;Mother-in-Law;belle-mère;Schwiegermutter;;Suegra;;;;;;;;;x
GetRelation_MotherWife;mother-wife;mère-épouse;Ehefrau und Mutter;;madre-esposa;;;;;;;;;x
GetRelation_Nephew;nephew;neveu;Neffe;;sobrino;;;;;;;;;x
GetRelation_Niece;niece;nièce;Nichte;;sobrina;;;;;;;;;x
