abrahamic_antihellenic_revolt;Hellenic Civil War;Guerre civile hellénique;Hellenistischer Bürgerkrieg;;Guerra civil helénica;;;;;;;;x
abrahamic_antihellenic_revolt_desc;The decision to reinstate a dead, heathen cult in place of the worship of the Abrahamic god has dragged the newly-reformed Empire into civil war.;La décision de rétablir un ancien culte païen à la place de celui du dieu abrahamique a entraîné l'Empire nouvellement réformé dans la guerre civile.;Die Entscheidung einen toten, heidnischen Kult anstelle des abrahamischen Gottes wiedereinzusetzen, hat das kürzlich reformierte Reich in einen Bürgerkrieg gezogen.;;La decisión de restaurar un culto muerto y pagano en lugar de adorar al dios abrahámico ha molestado a muchos vasallos por todo el Imperio.;;;;;;;;x
bid_for_independence_desc;§Y$CLAIMANT$§! can attempt to declare independence from §Y$TARGET$§!;§Y$CLAIMANT$§! peut tenter de déclarer son indépendance vis-à-vis de §Y$TARGET$§!;§Y$CLAIMANT$§! kann versuchen, von §Y$TARGET$§! die Unabhängigkeit zu erlangen;;§Y$CLAIMANT$§! puede intentar declarar la independencia de §Y$TARGET$§!;;;;;;;;;x
buddhist_holy_war_desc;§Y$CLAIMANT$§! can use this Casus Belli to seize the §Y$TITLE$§!.;§Y$CLAIMANT$§! peut utiliser ce casus belli pour s'emparer du titre de §Y$TITLE$§!.;§Y$CLAIMANT$§! kann diesen Kriegsgrund nutzen, um §Y$TITLE$§! an sich zu reißen.;;§Y$CLAIMANT$§! puede usar este Casus Belli para apoderarse de §Y$TITLE$§!.;;;;;;;;;x
caliphal_subjugation_desc;For §Y200§! Piety, Caliphs are allowed to subjugate all other Muslim rulers of the same denomination once per §Y10§! years.;Pour §Y200§! de piété, les califes sont autorisés à assujettir un autre souverain musulman de la même confession une fois tous les §Y10§! ans.;Für §Y200§! Pietät können Kalifen andere muslimische Herrscher derselben Konfession einmal alle §Y10§! Jahre unterwerfen.;;Por §Y200§! Piedad, los Califas pueden someter a todos los demás gobernantes Musulmanes de la misma denominación una vez cada §Y10§! años.;;;;;;;;;x
CB_ANTIHELLENIC_WAR;Hellenic Civil War;Guerre civile hellénique;Hellenistischer Bürgerkrieg;;Guerra civil helénica;;;;;;;;x
cb_decadence_usurption_desc;Muslims can use this Casus Belli to usurp titles from their decadent dynasty members.;Les musulmans peuvent utiliser ce casus belli pour usurper des titres aux membres décadents de leur dynastie.;Muslime können diesen Kriegsgrund verwenden, um Titel einer dekadenten Dynastie zu übernehmen.;;Los musulmanes pueden usar este Casus Belli para usurpar títulos de sus miembros dinásticos decadentes.;;;;;;;;;x
cb_faction_independence_desc;The members of the Independence faction, led by §Y$CLAIMANT$§!, can collectively attempt to declare independence from §Y$TARGET$§!;Les membres de la faction d'indépendance, dirigée par §Y$CLAIMANT$§!, peuvent tenter de proclamer collectivement l'indépendance de §Y$TARGET$§!.;Die Mitglieder der Unabhängigkeitsfraktion, die §Y$CLAIMANT$§! anführt, können gemeinsam versuchen, die Unabhängigkeit von §Y$TARGET$§! zu erklären!;;Los miembros de la Facción Independencia, liderada por §Y$CLAIMANT$§!, pueden intentar declararse colectivamente independientes de §Y$TARGET$§!;;;;;;;;;x
cb_install_khan_desc;The clans can forcefully depose the Khagan and replace him with someone more powerful.;Les clans peuvent destituer un khan de force et le remplacer par un individu plus puissant.;Die Klans können den Khagan gewaltsam absetzen und durch einen mächtigeren Kandidaten ersetzen.;;Los clanes pueden deponer a la fuerza al kagan y sustituirlo por alguien más poderoso.;;;;;;;;;x
cb_liberate_nomad_duchy_desc;§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by the savage, §Y$TARGET$§!, within the de jure §Y$TITLE$§!.;§Y$CLAIMANT$§! peut utiliser ce casus belli pour s'emparer de tous les titres que possède l'infâme §Y$TARGET$§! au sein de §Y$TITLE$§! de jure.;§Y$CLAIMANT$§! kann diesen Kriegsgrund dazu benutzen, den Wilden in §Y$TARGET$§! sämtliche Titel unter dem De-jure-Titel §Y$TITLE$§! abzunehmen.;;§Y$CLAIMANT$§! Puede utilizar este casus belli para aprovechar todos los títulos que tengan los salvajes, §Y$TARGET$§!, dentro del §Y$TITLE$§! de jure.;;;;;;;;;x
cb_minor_clan_revolt_desc;Powerful 'minor' clans can rise up in revolt, demanding a place among the major clans.;Les clans « mineurs » puissants peuvent se révolter et exiger une place au sein des clans majeurs.;Kleine, aber mächtige Stämme können eine Revolte beginnen und einen Platz in den Reihen der mächtigeren Klans fordern.;;Poderosos clanes 'menores' pueden alzarse en rebelión, exigiendo un lugar entre los clanes principales.;;;;;;;;;x
CB_NAME_CLAIM;Claim [Title.GetBaseName];Revendiquer [Title.GetBaseName];[Title.GetBaseName] beanspruchen;;Reclama [Title.GetBaseName];;;;;;;;;x
CB_NAME_CLAIM_ALL;Press all Claims;Appuyer toutes les revendications;Alle Ansprüche anführen;;Instar todas las reclamaciones;;;;;;;;;x
CB_NAME_CLAIM_VASSAL;Revoke [Title.GetBaseName];Révoquer [Title.GetBaseName];Entzieht den Titel [Title.GetBaseName];;Revocar [Title.GetBaseName];;;;;;;;;x
CB_NAME_CLAN_REVOLT;Clan Revolt for [Title.GetBaseName];Révolte de clan pour [Title.GetBaseName];Klanrevolte für [Title.GetBaseName];;Rebelión del clan por [Title.GetBaseName];;;;;;;;;x
CB_NAME_COASTAL_COUNTY_REPUBLIC;Seize [Title.GetBaseName];S'emparer des côtes de [Title.GetBaseName];Erobert [Title.GetBaseName];;Arrasar [Title.GetBaseName];;;;;;;;;x
CB_NAME_COASTAL_REPUBLIC;Seize the City of [Title.GetBaseName];S'emparer de la cité de [Title.GetBaseName];Erobert die Stadt von [Title.GetBaseName];;Arrasar la ciudad de [Title.GetBaseName];;;;;;;;;x
CB_NAME_COUNTY_CONQUEST;Conquest of [Title.GetBaseName];Conquête de [Title.GetBaseName];Eroberung von [Title.GetBaseName];;Conquista del [Title.GetBaseName];;;;;;;;;x
CB_NAME_CRUSADE;$HOLY_WAR$ for [Title.GetBaseName];$HOLY_WAR$ pour [Title.GetBaseName];$HOLY_WAR$ um [Title.GetBaseName];;$HOLY_WAR$ por [Title.GetBaseName];;;;;;;;;x
CB_NAME_DECADENCE_USURPTION;Decadence Usurption;Usurpation par décadence;Dekadenz-Usurpation;;Usurpación de Decadencia;;;;;;;;;x
CB_NAME_DEJUREBARONYCLAIM;[Title.GetBaseName] Holdings;Propriétés de [Title.GetBaseName];[Title.GetBaseName] Besitztümer;;Posesiones de [Title.GetBaseName];;;;;;;;;x
CB_NAME_DEJURECLAIM;De Jure Claim on [Title.GetBaseName];Revendication de jure sur [Title.GetBaseName];De-jure-Anspruch auf [Title.GetBaseName];;Reclamar el [Title.GetBaseName] de facto;;;;;;;;;x
CB_NAME_DEPOSE_ANTIPOPE;Depose Antipope;Déposer l'antipape;Gegenpapst entthronen;;Deponer Antipapa;;;;;;;;;x
CB_NAME_DEPOSE_IMPIOUS_POPE;Depose Impious Pope;Déposer le pape impie;Gottlosen Papst absetzen;;Destronar papa impío;;;;;x
CB_NAME_DEPOSE_LIEGE;Depose liege;Renverser le seigneur lige;Den Lehnsherren absetzen;;Destituir al señor feudal;;;;;;;;;x
CB_NAME_DESTABILIZATION_CHINA;Shatter Realm;Démembrer le pays;Reich zerschlagen;;Romper reino;;;;;;;;;x
CB_NAME_DISMANTLE_PRETENDER_CHINA;Dismantle Pretender;Démanteler le prétendant;Anwärter zerschlagen;;Eliminar pretendiente;;;;;;;;x;
CB_NAME_DISPUTE;Dispute [Title.GetBaseName];Contester [Title.GetBaseName];[Title.GetBaseName] anfechten;;Disputa [Title.GetBaseName];;;;;;;;;x
CB_NAME_DUCALCOUNTYCONQUEST;Ducal Conquest of [Title.GetBaseName];Conquête ducale de [Title.GetBaseName];Herzogliche Eroberung von [Title.GetBaseName];;Conquista ducal de [Title.GetBaseName];;;;;;;;;x
