#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ADD_AGE_EFFECT;$CHARACTER|Y$ becomes $AGE|Y$ years older;$CHARACTER|Y$ vieillit de $AGE|Y$ ans;$CHARACTER|Y$ wird $AGE|Y$ Jahre älter;;$CHARACTER|Y$ se vuelve $AGE|Y$ años mayor;;;;;;;;;x
ADD_AGE_EFFECT_NEGATIVE;$CHARACTER|Y$ becomes $AGE|Y$ years younger;$CHARACTER|Y$ rajeunit de $AGE|Y$ ans;$CHARACTER|Y$ wird $AGE|Y$ Jahre jünger;;$CHARACTER|Y$ se vuelve $AGE|Y$ años más joven;;;;;;;;;x
argent_blood_vessels;Argent Blood Vessels;Veines d'argent;Silberblut;;Vasos sanguíneos plateados;;;;;;;;;x
argent_blood_vessels_desc;A faint shade of silver can be seen flowing through the veins of this character;On peut voir une faible nuance d'argent couler dans les veines de ce personnage.;Ein schwacher Silberton fließt durch die Adern dieses Charakters.;;Por las venas de este personaje se puede ver una leve sombra plateada.;;;;;;;;;x
ASK_TO_DECLARE_WAR_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! declared $CB$ on §Y[Recipient.GetBestName]§!.;[Actor.Get_only_Le_Title]§Y[Actor.GetBestName]§! a déclaré la $CB$ [Recipient.Get_only_au_Title]§Y[Recipient.GetBestName]§!.;§Y[Actor.GetBestName]§! hat §Y[Recipient.GetBestName]§! $CB$ erklärt.;;§Y[Actor.GetBestName]§! declaró $CB$ a §Y[Recipient.GetBestName]§!.;;;;;;;;;x
ASK_TO_DECLARE_WAR_INTERACTION_ACCEPT_SETUP;Ask to press claim;Demander d'appuyer une revendication;Bittet darum den Anspruch durchzudrücken;;Pide presionar una reclamación;;;;;;;;;x
axe_of_perkunas_desc;This stone axe strongly resembles the axe of Perkunas himself, as described in myth. While a prestigious artifact in itself, merely holding it seems to also instill military confidence and bravado in its wielder...;Cette hache de pierre ressemble fortement à la hache de Perkunas, telle que décrite dans le mythe. Bien qu’il s’agisse d’un prestigieux artefact, le seul fait de la tenir semble également inspirer confiance et bravoure à son détenteur...;Diese Steinaxt ähnelt stark der Axt von Perkunas selbst, wie im Mythos beschrieben. Obwohl es ein prestigeträchtiges Artefakt ist, scheint das bloße Festhalten auch militärisches Selbstbewusstsein und Mut zu erzeugen.;;Esta hacha de piedra recuerda a la del mismo Perkunas, como aparece en los mitos. Aunque es un artefacto prestigioso en sí mismo, el solo hecho de tenerlo también inspira confianza militar y fanfarronería en su poseedor…;;;;;;;;;x
baron_female_hellenic_pagan;Legata;Legata;Legata;;Legada;;;;;;;;;x
baron_female_hellenic_pagan_reformed;Legata;Legata;Legata;;Legada;;;;;;;;;x
baron_hellenic_pagan;Legatus;Legatus;Legatus;;Legado;;;;;;;;;x
baron_hellenic_pagan_reformed;Legatus;Legatus;Legatus;;Legado;;;;;;;;;x
