#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

evt_MNM_20003_TT;Demonic orgies can be rewarding, but remember that [Root.Religion.GetRandomEvilGodName] is a cruel master...;Les orgies démoniaques peuvent être gratifiantes, mais souvenez-vous que [Root.Religion.GetRandomEvilGodName] est un maître cruel...;Dämonische Orgien haben ihren Reiz, aber vergesst nicht, dass [Root.Religion.GetRandomEvilGodName] ein grausamer Herr sein kann ...;;Puede que las orgías demoníacas sean gratificantes, pero recuerda que [Root.Religion.GetRandomEvilGodName] es cruel...;;;;;;;;;x
evt_MNM_20013_TT;Demonic outings can be rewarding, but remember that [Root.Religion.GetRandomEvilGodName] is a cruel master...;Les sorties démoniaques peuvent être enrichissantes, mais rappelez-vous que [Root.Religion.GetRandomEvilGodName] est un maître cruel...;Dämonische Ausflüge haben ihren Reiz, aber vergesst nicht, dass [Root.Religion.GetRandomEvilGodName] ein grausamer Herr sein kann ...;;Puede que los paseos demoníacos sean gratificantes, pero recuerda que [Root.Religion.GetRandomEvilGodName] es cruel...;;;;;;;;;x
evt_MNM_20015_TT;You picked the wrong neighbor, my friends...;Il semble que vous ayez choisi le mauvais voisin...;Ihr habt euch die falschen Nachbarn ausgesucht, meine Freunde ...;;Escogisteis a la persona equivocada...;;;;;;;;;x
evt_MNM_20016_TT;The locals will surely be... upset.;Les habitants seront assurément... contrariés.;Das Volk würde ... ungehalten sein.;;Los lugareños seguro que se sentirán... molestos.;;;;;;;;;x
evt_MNM_20017_TT;The locals will surely be... upset.;Les habitants seront assurément... contrariés.;Das Volk würde ... ungehalten sein.;;Los lugareños seguro que se sentirán... molestos.;;;;;;;;;x
evt_MNM_20022_TT;That drug can ruin the mind permanently!;Cette drogue peut altérer l'esprit définitivement !;Diese Droge kann schwere bleibende Schäden hinterlassen!;;¡Esa droga puede dañar el cerebro permanentemente!;;;;;;;;;x
evt_MNM_20033_TT;Summoning rituals of this magnitude carry serious risks...;Les rituels d'invocation de cette ampleur comportent de sérieux risques...;Beschwörungsrituale dieser Größenordnung sind nicht ganz risikolos ...;;Invocar rituales de esta magnitud conlleva graves riesgos...;;;;;;;;;x
evt_MNM_20044_TT;That is outside my Realm so we can safely stir up some real trouble!;C'est en dehors de mes terres, donc nous pouvons attiser des conflits sans crainte.;Das ist außerhalb meines Reiches. Wir müssen uns also nicht einmal zurückhalten!;;Queda fuera de mi reino, ¡así que podemos meternos en líos!;;;;;;;;;x
evt_MNM_20046_TT;With baggy clothes and enough grime on the face, one of us can probably manage a passing likeness...;Avec des vêtements larges et assez de crasse sur le visage, l'un de nous peut probablement réussir une ressemblance passagère...;Mit der richtigen Kleidung und einer gehörigen Portion Dreck im Gesicht könnte einer von uns ihm wahrscheinlich sogar ähnlich sehen ...;;Con ropa holgada y suficiente suciedad en la cara, uno de nosotros probablemente logre hacerse pasar por él/ella...;;;;;;;;;x
evt_MNM_20047_TT;We shall discredit the local clergy with a party that will live in infamy!;Nous discréditerons le clergé local avec une fête qui restera marquée par l'infamie !;Wir werden die örtliche Priesterschaft mit einer Party, die ans Infame grenzt, in Verruf bringen!;;¡Desacreditaremos al clero local con una fiesta absolutamente infame!;;;;;;;;;x
