#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME8703;The Teutonic Order;L'Ordre teutonique;Der Deutsche Orden;;La Orden Teutónica;;;;;;;;;x

EVTDESC8700;Several Kingdoms in Europe are fighting to keep the pagans back and try to spread Christianity eastwards. The Teutonic Order should assist them by offering to settle on their borders.;Plusieurs royaumes d'Europe combattent pour repousser les païens et tenter de propager le christianisme vers l'est. L'Ordre teutonique devrait les assister en leur proposant de s'installer sur leur frontière.;Mehrere europäische Königreiche kämpfen gegen den Vormarsch der Heiden und versuchen, das Christentum in östlicher Richtung zu verbreiten. Der Deutsche Orden sollte sie unterstützen, indem er seine Ansiedlung an ihren Grenzen anbietet.;;Varios reinos de Europa luchan por detener a los paganos e intentan difundir el cristianismo hacia el este. La Orden Teutónica debería ayudarles permitiéndoles asentarse en sus fronteras.;;;;;;;;;x
EVTDESC8701;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Teutonic Order wishes to assist you in your valiant struggle against the pagans. By transfering a border County to the order, we will be able to establish a local presence and fight these heathens.;À l'éminent[Root.Get_E] [Root.GetTitledFirstName],\nVotre sagesse et votre miséricorde sont légendaires. L'Ordre Teutonique souhaite vous aider dans votre vaillant combat contre les païens. Le transfert d'un comté frontalier en faveur de notre Ordre nous permettra d'établir une présence locale durable et de combattre ces barbares.;Oh [Root.GetTitledFirstName],\nEure Weisheit und Gnade sind legendär. Der Deutsche Orden möchte Euch bei Eurem heldenhaften Kampf gegen die Heiden unterstützen. Durch die Abtretung einer Grenzgrafschaft könnten wir eine lokale Präsenz etablieren und diese Ungläubigen bekämpfen.;;Al gran [Root.GetTitledFirstName],\nTu sabiduría y clemencia son legendarias. La Orden Teutónica desea ayudarte en tu valerosa lucha contra los paganos. Cediendo un condado fronterizo a la orden podremos establecer una presencia local y combatir a esos paganos.;;;;;;;;;x
EVTDESC8702;[From.GetTitledName] has graciously seceded the [Root.County.GetFullName] to us. The Teutonic Order will now be able to effectively fight the heathens in this region.;[From.Get_Le_TitledName] nous a gracieusement cédé [Root.County.Get_le_RealmFull]. L'Ordre teutonique va maintenant pouvoir combattre efficacement les païens dans cette région.;[From.GetTitledName] hat uns gnädigerweise die Grafschaft [Root.County.GetFullName] abgetreten. Jetzt kann der Deutsche Orden die Heiden dieser Region effizient bekämpfen.;;[From.GetTitledName] nos ha cedido cortésmente el [Root.County.GetFullName]. Ahora la Orden Teutónica podrá combatir con eficacia a los paganos de esta región.;;;;;;;;;x
EVTDESC8703;In an effort to defend [FromFrom.PrimaryTitle.GetName] against pagan attacks, [FromFrom.GetTitledFirstName] has granted the Teutonic Order the [From.County.GetFullName]. This county has never been fully settled and many of the population are still heathens. This noble gesture could help protect the endangered frontier of [FromFrom.PrimaryTitle.GetName] as well as further the Holy War against pagans.;Pour défendre [FromFrom.PrimaryTitle.Get_le_RealmFull] contre les attaques païennes, [FromFrom.Get_le_TitledFirstName] a accordé [From.County.Get_le_RealmFull] à l'Ordre teutonique. Ce comté n'a jamais été totalement colonisé et la majeure partie de la population est encore composée de païens. Ce noble geste pourrait contribuer à protéger la frontière [FromFrom.PrimaryTitle.Get_du_Realm], actuellement en danger, afin de poursuivre la guerre sainte contre les païens.;Im Bestreben der Verteidigung von [FromFrom.PrimaryTitle.GetName] gegen heidnische Angriffe hat [FromFrom.GetTitledFirstName] dem Deutschen Orden die Grafschaft [From.County.GetFullName] gewährt. Diese Provinz wurde nie vollständig besiedelt, und die Bevölkerung ist größtenteils immer noch heidnisch. Diese noble Geste könnte dabei helfen, die gefährdete Grenze von [FromFrom.PrimaryTitle.GetName] zu schützen und den Heiligen Krieg gegen die Heiden voran zu treiben.;;En un esfuerzo por defender a [FromFrom.PrimaryTitle.GetName] contra los ataques paganos, [FromFrom.GetTitledFirstName] ha concedido a la Orden Teutónica el [From.County.GetFullName]. Esta provincia nunca se ha poblado completamente y muchos habitantes son aún paganos. Este noble gesto podría ayudar a proteger la frontera en peligro de [FromFrom.PrimaryTitle.GetName] además de reforzar la Guerra Santa contra los paganos.;;;;;;;;;x
EVTDESC8720;The Teutonic Order wishes to expand into the Baltics in order to better fight the heathens. To show my support, perhaps I should offer them a county of mine?;L'Ordre Teutonique souhaite s'établir dans la Baltique pour mieux combattre les païens. Afin de montrer mon soutien, je devrais peut-être leur offrir l'un de mes comtés ?;Der Teutonische Orden möchte in den Ostseeraum expandieren, um die Heiden besser bekämpfen zu können. Sollte ich ihnen vielleicht eine meiner Grafschaften anbieten, um ihnen meine Unterstützung zu zeigen? ;;La Orden Teutónica desea expandirse en el territorio Báltico a fin de combatir mejor a los paganos. Para mostrar mi apoyo, ¿debería quizás ofrecerle uno de mis condados?;;;;;;;;;x
EVTDESC8721;My liege,\nI wish to support The Teutonic Order by grating them a county, and seek your approval.\n\nYour humble vassal,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nJe souhaite soutenir l'Ordre teutonique en leur donnant un comté, et je souhaite votre accord.\n\nVotre humble vassal,\n[From.GetTitledName];Mein Fürst,\nich möchte den Teutonischen Orden unterstützen, indem ich ihm eine Grafschaft übergebe, und hoffe auf Eure Zustimmung.\n\nEuer ergebener Vasall\n[From.GetTitledName];;Mi señor,\ndeseo apoyar a la Orden Teutónica otorgándole un condado y solicito vuestra aprobación.\n\nVuestro humilde vasallo,\n[From.GetTitledName];;;;;;;;;x
EVTDESC8722;My liege,\nMy vassal, [FromFrom.GetTitledName] wishes to support The Teutonic Order by grating them a county. I would of course not allow such an important decision without first seeking your approval.\n\nYour humble vassal,\n[From.GetTitledName];M[Player.GetOnA][Player.GetLordLady],\n[FromFrom.Get_Le_TitledName], m[FromFrom.GetOnA] vassal[FromFrom.Get_E], souhaite soutenir l'Ordre teutonique en leur donnant un comté. Il est évident que je ne prendrai pas une décision aussi importante sans venir chercher votre accord.\n\nVotre humble vassal[From.Get_E],\n[From.GetTitledName];Mein Fürst,\nmein Vasall [FromFrom.GetTitledName] möchte den Teutonischen Orden unterstützen, indem er ihm eine Grafschaft übergibt. Eine solch wichtige Entscheidung würde ich natürlich nicht gewähren, ohne zuerst Eure Zustimmung einzuholen.\n\nEuer ergebener Vasall\n[From.GetTitledName];;Mi señor,\nMi vasallo [From.GetTitledName] desea apoyar a la Orden Teutónica otorgándole un condado. Por supuesto, jamás permitiría tan importante decisión sin solicitar primero su aprobación.\n\nSu humilde vasallo,\n[From.GetTitledName];;;;;;;;;x
EVTDESC8723;Your generous offer of grating a county to The Teutonic Order has met with my approval.\n[From.GetTitledName];Votre offre généreuse qui vise à donner un comté à l'Ordre Teutonique a ma bénédiction.\n[From.GetTitledName];Euer großzügiges Angebot, an den Teutonischen Orden eine Grafschaft abzutreten, findet meine Billigung.\n[From.GetTitledName];;Vuestra generosa oferta de otorgar un condado a la Orden Teutónica cuenta con mi aprobación.\n[From.GetTitledName] ;;;;;;;;;x
EVTDESC8724;I will not permit that you cede any territory to The Teutonic Order!\n[From.GetTitledName];Je ne permettrai pas que vous cédiez une terre à l'Ordre Teutonique !\n[From.GetTitledName];Ich werde es nicht gestatten, dass Ihr irgendwelches Land an den Teutonischen Orden abtretet!\n[From.GetTitledName];;¡No permitiré que se ceda ningún territorio a la Orden Teutónica!\n[From.GetTitledName];;;;;;;;;x
