EVTOPTFUS_FROM_TRUTH_BOMB_TT;§Y[From.GetFirstName]§! might be pleased with you.;§Y[From.GetFirstName]§! pourrait être content[From.Get_E] de vous.;§Y[From.GetFirstName]§! könnte mit Euch zufrieden sein.;;§Y[From.GetFirstName]§! podría estar encantad[From.GetOA] contigo.;;;;;;;;;x

EVTDESC_ZE_12210;Languishing in the dungeon, you have recently made a new friend. It's a small, scruffy rat that keeps coming up to you and cuddling up in your lap.;Languissant au cachot, vous vous êtes fait un nouvel ami. C'est un petit rat miteux qui revient régulièrement vous voir et s'allonge sur vos genoux.;Im Kerker habt Ihr vor Kurzem mit jemandem Freundschaft geschlossen. Es handelt sich um eine Ratte, der es gefällt, Euch zu besuchen und sich in Eurem Schoss zusammenzurollen.;;Languideciendo en la mazmorra, recientemente has hecho un nuevo amigo. Es una pequeña y desaliñada rata que sigue viniendo a ti y se acurruca en tu regazo.;;;;;;;;;x
EVTDESC_ZE_12220;Languishing in my dungeon, one night I suddenly wake up with a cold feeling of apprehension. As I stare into the darkness, a hissing, evil voice speaks to me: 'I am the Dread King of Darkness. This dungeon is my realm, and I demand that you serve me.'.;Languissant au cachot, je me suis réveillé une nuit avec un glacial sentiment d'appréhension. Alors que je fixais les ténèbres, une voix maléfique s'est adressée à moi : « Je suis le terrifiant seigneur de l'ombre. Ce cachot est mon royaume, et j'exige ton service. »;Eines Nachts, verloren im Nichts meiner Zelle, erwache ich, von kaltem Grausen erfüllt. Atemlos starre ich in die Dunkelheit, aus der eine Stimme des Bösen mich anspricht: "Ich bin der Fürst der Dunkelheit, Herrscher über den Kerker. Du, als mein Diener, wirst mir gehorchen.";;Languideciendo en mi mazmorra, una noche de repente me despierto con una sensación fría de  aprehensión. Al mirar fijamente a la oscuridad, una voz siseante, maligna me habla: 'Soy el temible Rey de las tinieblas. Esta mazmorra es mi reino, y exijo que me sirvas'.;;;;;;;;;x
EVTDESC_ZE_12221;Late one night, the Dread King of Darkness appears to me again: 'Servant! You must find me the three dark stones of sorcery. They have been stolen from me and hidden in this dungeon. Know that I do not abide failure!';Tard dans la nuit, le terrifiant seigneur de l'ombre m'est de nouveau apparu : « Serviteur ! Tu dois trouver pour moi les trois pierres sombres de sorcellerie. Elles m'ont été volées et dissimulées dans ce cachot. Sache que je ne tolèrerai aucun échec ! »;In tiefer Nacht erscheint der Fürst der Dunkelheit ein weiteres Mal: "Diener! Finde die Steine der schwarzen Kunst. Man stahl sie mir und versteckte sie in diesem Kerker. Doch wisse, dass ich Versagen nicht dulde!";;Más tarde una noche, el Temible Rey de las tinieblas se me vuelve a aparecer: '¡Siervo! Debes encontrar las tres piedras oscuras de brujería. Me las robaron ya las escondieron en este calabozo. ¡Que sepas que no tolero el fracaso!';;;;;;;;;x
EVTDESC_ZE_12222;Eventually, I managed to recover the three dark stones of sorcery for the Dread King of Darkness. They only look like three ordinary little stones, but surely the King will be pleased.;J'ai fini par récupérer les trois pierres sombres de sorcellerie pour le terrifiant seigneur de l'ombre. Elles ressemblent à des pierres ordinaires, mais il ne fait aucun doute que le seigneur sera satisfait.;Nach einer Weile gelingt es mir schließlich, die drei Steine der schwarzen Kunst für den Fürsten der Dunkelheit zu finden. Zwar scheint es sich bloß um drei kleine, gewöhnliche Steine zu handeln, aber der Fürst dürfte damit zufrieden sein.;;Al final He conseguido recuperar las tres piedras oscuras de brujería para el Temible Rey de las tinieblas. Sólo parecen tres piedras normales, pero seguramente el Rey estará contento.;;;;;;;;;x
EVTDESC_ZE_12223;I never managed to recover the three dark stones of sorcery. I now fear that the Dread King of Darkness will come and punish me for my failure.;Je n'ai jamais réussi à récupérer les pierres sombres de sorcellerie. J'ai peur dorénavant que le terrifiant seigneur de l'ombre vienne me punir pour mon échec.;Ich schaffte es einfach nicht, die drei Steine der schwarzen Kunst zu finden. Nun fürchte ich, dass der Fürst der Dunkelheit mich aufsucht und mich für mein Versagen bestraft.;;No consigo recuperar las tres piedras oscuras de brujería. Ahora temo que el Temible Rey de las tinieblas venga y me castigue por mi fracaso.;;;;;;;;;x
EVTDESC_ZE_12225;My war with the Dread King of Darkness has begun. Every night he sends his legions of ghosts and shadows to assault me.;Ma guerre contre le terrifiant seigneur de l'ombre a débuté. Chaque nuit, il envoie ses légions de fantômes et d'ombres contre moi.;Mein Krieg mit dem Fürsten der Dunkelheit hat begonnen. Jede Nacht traktiert er mich mit Legionen aus Geistern und Schatten, die mich angreifen sollen.;;Mi guerra con el Temible Rey de las tinieblas ha comenzado. Cada noche envía a sus legiones de fantasmas y sombras para atacarme.;;;;;;;;;x
EVTDESC_ZE_12226;In my valiant nightly battles against the Dread King of Darkness, I have finally reached the tipping point and forced my enemy to his knees.;Dans mes valeureuses batailles nocturnes contre le terrifiant seigneur de l'ombre, j'ai fini par atteindre un point critique et j'ai forcé mon ennemi à mettre un genou à terre.;In meinem heldenhaften Kampf gegen den Fürsten der Dunkelheit gelang es mir schließlich, die Schlacht zu meinen Gunsten zu wenden und den Feind in die Knie zu zwingen.;;En mi valientes batallas nocturnas contra el Temible Rey de las tinieblas, finalmente he alcanzado el punto de inflexión y he forzado a mi enemigo a doblar la rodilla.;;;;;;;;;x
EVTDESC_ZE_12227;I am exhausted from my nightly battles with the Dread King of Darkness, yet he is steadily advancing against me. It seems that the time for surrender has come.;Ces batailles nocturnes contre le terrifiant seigneur de l'ombre m'épuisent, mais il progresse constamment face à moi. On dirait que le moment de se rendre approche.;Ich bin erschöpft von den nächtlichen Auseinandersetzungen mit dem Fürsten der Dunkelheit, der seinen Vormarsch stetig fortsetzt. Alles deutet darauf hin, dass die Stunde meiner Kapitulation nicht mehr fern ist.;;Estoy agotad[Root.GetOA] de mis luchas nocturnas con el Temible Rey de las tinieblas, y sin embargo, sigue avanzando constantemente contra mí. Parece que ha llegado el momento de la rendición.;;;;;;;;;x
EVTDESC_ZE_12230;Languishing in the dungeon, I have realized that there is someone in the cell next to me. I can hear [event_ze_12230_prisoner.GetHerHim] sighing, coughing and complaining sometimes.;Languissant au cachot, j'ai réalisé qu'il y avait quelqu'un dans la cellule adjacente. Je peux l'entendre soupirer, tousser et parfois se plaindre.;Nach einiger Zeit im Kerker ist mir aufgefallen, dass sich jemand in der Zelle neben mir befindet. Manchmal höre ich, wie [event_ze_12230_prisoner.GetSheHe] seufzt oder hustet, dann sich beklagt.;;Me he dado cuenta que hay alguien languideciendo en una celda contigua. A veces [event_ze_12230_prisoner.GetHerHim] oigo suspirar, toser y quejarse.;;;;;;;;;x
EVTDESC_ZE_12234;It turns out that my fellow prisoner's name is [From.GetTitledName]. We have had many whispered conversations in the darkness, quickly becoming friends under these dismal circumstances.;On dirait que le nom de l'autre prisonnier est [From.GetTitledName]. Nous avons eu de nombreuses conversations en murmurant dans le noir, et une amitié est née rapidement dans ces lugubres circonstances.;Wie sich herausstellte, ist mein Mitgefangener [From.GetTitledName]. Flüsternd unterhielten wir uns in der Dunkelheit unseres Kerkers und wurden unter Bedingungen, wie sie grausiger nicht hätten sein können, Freunde.;;Resulta que mi colega de prisión se llama [From.GetTitledName]. Hemos tenido muchas conversaciones susurradas en la oscuridad, convirtiéndonos rápidamente en amigos bajo estas circunstancias lamentables.;;;;;;;;;x
EVTDESC_ZE_12236;My attemps to make contact with the other prisoner were met only with silence.;Mes tentatives pour entrer en contact avec l'autre prisonnier n'ont obtenu que le silence en guise de réponse.;Meine Versuche zur Kontaktaufnahme wurden mit einem Schweigen quittiert.;;Mi intento de contactar con el otro preso solo encontró silencio.;;;;;;;;;x

EVTDESCA_ZE_12000;I've come across [haughty_events_char_1.GetTitledFirstNameWithNick] kissing one of the servant folk in a hallway.;J'ai croisé [haughty_events_char_1.Get_only_le_Title][haughty_events_char_1.GetTitledFirstNameWithNick] en train d'embrasser l'un des serviteurs dans les couloirs.;Ich habe gesehen, wie [haughty_events_char_1.GetTitledFirstNameWithNick] im Gang einen Dienstboten küsste.;;Me he encontrado a [haughty_events_char_1.GetTitledFirstNameWithNick] besando a un sirviente en un pasillo.;;;;;;;;;x
EVTDESCA_ZE_12002;As I'm spending a pleasant moment alone with the attractive cook, the wretched child [From.GetFirstName] comes upon us and promptly starts chiding me about morals!;Alors que je passe un bon moment en cuisine en charmante compagnie, l'incorrigible [From.GetFirstName] vient vers nous et commence à me faire la morale !;Gerade als es bei meinem Techtelmechtel mit dem Koch interessant wird, kommt dieses verwünschte Kind, [From.GetFirstName], zu uns und beginnt, mir einen Vortrag über Moral zu halten.;;Cuando estoy pasando un momento agradable a solas con el cocinero atractivo, el desgraciado de [From.GetFirstName] nos encuentra y al punto comienza a reprenderme sobre la moral.;;;;;;;;;x
