#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# job_lord_spiritual.txt

#########################
#
#	Lord spiritual events
#
#########################

# The Lord Spiritual converts a province!
evt_lordspiritual_001_title;County Religion Converted;Conversion religieuse d'un comté;Grafschaftsreligion konvertiert;;Condado convertido;;;;;;;;;x
evt_lordspiritual_001_desc_a;The people in [Root.Location.GetName], or, at least, most of them, have embraced the [Root.Religion.GetName] faith!;Les habitants de [Root.Location.GetName], ou, du moins, la plupart d'entre eux, ont embrassé la foi [Root.Religion.GetName] !;Die Menschen in [Root.Location.GetName], oder zumindest die meisten von ihnen, sind zum [Root.Religion.GetName]en Glauben übergetreten!;;¡Los habitantes de [Root.Location.GetName], o al menos la mayoría, se han unido al [Root.Religion.GetName]!;;;;;;;;;x
evt_lordspiritual_001_option_a;My hard work has paid off!;Mes efforts ont payé !;Meine Anstrengungen haben sich ausgezahlt!;;¡Mis esfuerzos han dado su fruto!;;;;;;;;;x
evt_lordspiritual_001_option_a_tooltip;Send a letter to my liege!;J'envoie une lettre à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige !;Schickt einen Brief an meinen Lehnsherrn!;;¡Envía una carta a mi señor!;;;;;;;;;x

# The Lord Spiritual informs his liege of the conversion
evt_lordspiritual_002_desc_a;My liege, I am pleased to report the success of my mission to [From.Location.GetName]. The majority of the population have been converted to the [From.Religion.GetName] faith!\nYour humble [From.GetLordSpiritualName]\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nJ'ai le plaisir de vous informer que ma mission en [From.Location.GetName] a porté ses fruits. Les habitants se sont majoritairement convertis à la foi [From.Religion.GetName] !\n\nVotre humble [From.GetLordSpiritualName],\n[From.GetTitledName];Mein Lehnsherr,\nmit Freuden melde ich Euch den Erfolg meiner Mission in [From.Location.GetName]. Der Großteil der Bevölkerung ist zum [From.Religion.GetName]en Glauben übergetreten!\n\nEuer ergebener [Root.GetLordSpiritualName]\n[From.GetTitledName];;Mi señor, me complace informar del éxito de mi misión a [From.Location.GetName]. ¡La mayoría de la población ha sido convertida a la fe [From.Religion.GetName]!\nTu humilde [Root.GetLordSpiritualName]\n[From.GetTitledName];;;;;;;;;x

# Informs top liege
evt_lordspiritual_003_desc_a;The County of §Y[From.Location.GetName]§! has been converted to the §Y[From.Religion.GetName]§! faith.;Le comté de §Y[From.Location.GetName]§! a été converti à la foi §Y[From.Religion.GetName]§!.;Die Grafschaft von §Y[From.Location.GetName]§! wurde zum §Y[From.Religion.GetName]en§! Glauben konvertiert.;;El Condado de §Y[From.Location.GetName]§! se ha convertido a la fe §Y[From.Religion.GetName]§!;;;;;;;;;x


# The Lord Spiritual converts a subject character
evt_lordspiritual_101_title;Subject Religion Converted;Conversion religieuse d'un sujet;Untertanenreligion konvertiert;;Súbdito convertido;;;;;;;;;x
evt_lordspiritual_101_desc_a;Due to my tireless efforts, a humble subject in [Root.Location.GetName] has embraced the [Root.Religion.GetName] faith!;Mes infatigables efforts ont payé. Un humble sujet de [Root.Location.GetName] a embrassé la foi [Root.Religion.GetName] !;Dank meiner unermüdlichen Anstrengungen ist ein Untertan in [Root.Location.GetName] zum [Root.Religion.GetName]en Glauben übergetreten!;;¡Gracias a mi inagotable esfuerzo, un humilde súbdito de [Root.Location.GetName] se ha convertido al [Root.Religion.GetName]!;;;;;;;;;x
evt_lordspiritual_101_option_a;No one can resist the true faith!;Personne ne peut résister à la vraie foi !;Niemand kann sich dem wahren Glauben widersetzen!;;¡Nadie se puede resistir a la fe verdadera!;;;;;;;;;x
evt_lordspiritual_101_option_a_tooltip;[This.GetTitledName] embraces the [Root.Religion.GetName] faith;[This.Get_Le_TitledName] embrasse la foi [Root.Religion.GetName].;[This.GetTitledName] nimmt den [Root.Religion.GetName]en Glauben an;;[This.GetTitledName] se ha unido al [Root.Religion.GetName].;;;;;;;;;x

# Inform the target character about this
evt_lordspiritual_102_desc_a;The [From.GetJobTitle] of [From.Host.PrimaryTitle.GetName], [From.GetTitledName], has strongly influenced me and I have decided to convert to the [From.Religion.GetName] faith!;[From.Get_Le_TitledName], [From.Get_le_JobTitle] [From.Host.PrimaryTitle.Get_du_Realm], a réussi à me convaincre et j'ai décidé de me convertir à la foi [Root.Religion.GetName] !;Der [From.GetJobTitle] von [From.Host.PrimaryTitle.GetName], [From.GetTitledName], hat mich stark beeinflusst, und ich habe beschlossen, ein [From.Religion.GetName]er Konvertit zu werden!;;¡El [From.GetJobTitle] de [From.Host.PrimaryTitle.GetName], [From.GetTitledName], ha sido una gran influencia para mí y he decidido convertirme al [Root.Religion.GetName]!;;;;;;;;;x
evt_lordspiritual_102_option_a;I will truly embrace [From.Religion.GetName];Désormais, j'embrasserai la foi [Root.Religion.GetName];Ich werde inbrünstig glauben;;Me uniré con devoción al [Root.Religion.GetName].;;;;;;;;;x

# Inform Lord Spiritual's Liege about this
