#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ANTI_POPE_CESSATION_LOG;The Anti-Papacy of §Y$ANTIPOPE$§! has ended.;L'Anti-papauté du §Y$ANTIPOPE$§! a pris fin.;Gegenpapsttum von §Y$ANTIPOPE$§! ist beendet.;;El antipapado de §Y$ANTIPOPE$§! ha terminado.;;;;;;;;;x
CRUSADE_DESC_DRO_3;Since there are good $RELIGION$ claimants to the Crown of §Y$TITLE$§!, all gained territory will be given to the strongest candidate - currently §Y$RULER$§!. Claimants who contribute to the war are prioritized.;Comme il y a de bons prétendants de religion $RELIGION$ à la couronne de §Y$TITLE$§!, toute les terres conquises seront données au candidat le plus légitime, soit actuellement §Y$RULER$§!.\nLes prétendants contribuant à la guerre y gagneront en légitimité et seront de ce fait priorisé.;Weil es gute $RELIGION$e Titelforderer für die Krone von §Y$TITLE$§! gibt, wird das gesamte eroberte Territorium an den stärksten Kandidaten übergegeben - aktuell ist dies §Y$RULER$§!. Titelforderer, die zum Krieg beitragen, haben ein Vorrecht darauf.;;Como hay buenos pretendientes $RELIGION$ a la corona de §Y$TITLE$§!, todo el territorio conquistado se dará al candidato más fuerte – actualmente §Y$RULER$§!. Pretendientes que contribuyen a la guerra se priorizarán.;;;;;;;;;x
donate_money_to_assassins;Donate 300¤ to the Hashshashins;Donner 300¤ aux Hashshâshîns;Spendet den Hashshashin 300¤ ;;Donar 300¤ a los Hassasin;;;;;;;;;x
donate_money_to_assassins_desc;Donate money to the Hashshashins in exchange for [Player.Religion.GetPietyName].;Je peux donner de l'argent aux Hashshashin en échange de [Player.Religion.GetPietyName].;Ich kann den Hashshashin Geld spenden im Tausch gegen [Player.Religion.GetPietyName].;;Puedo hacer una donación a los Hassasin. A cambio obtendré [Player.Religion.GetPietyName].;;;;;;;;;x
donate_money_to_bektashi;Donate 300¤ to the Bektashi;Donner 300¤ aux Bektachis;Spendet den Bektaschi 300¤ ;;Donar 300¤ a los Bektashi;;;;;;;;;
donate_money_to_bektashi_desc;Donate money to the Bektashi in exchange for [Player.Religion.GetPietyName].;Je peux donner de l'argent aux Bektachis en échange de [Player.Religion.GetPietyName].;Ich kann den Bektaschi Geld spenden im Tausch gegen [Player.Religion.GetPietyName].;;Puedo hacer una donación a los Bektashi. A cambio obtendré [Player.Religion.GetPietyName].;;;;;;;;;x
donate_money_to_holy_sepulchre_desc;Donate money to the Brotherhood of the Holy Sepulchre in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Il est possible de donner de l'argent à la Confrérie du Saint-Sépulcre en échange de piété. Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Ich kann der Bruderschaft des Heiligen Grabes Geld spenden und erhalte dafür Pietät und den lebenslangen Respekt der [Root.Religion.GetName]e Kirche.;;Puedo hacer una donación a la Hermandad del Santo Sepulcro. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_knights_calatrava_desc;Donate money to the Knights of Calatrava in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Il est possible de donner de l'argent à l'Ordre de Calatrava en échange de piété. Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Ich kann den Rittern von Calatrava Geld spenden im Tausch gegen Pietät und lebenslangen Respekt durch die [Root.Religion.GetName]e Kirche.;;Puedo hacer una donación a los Caballeros de Calatrava. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_knights_hospitaler_desc;Donate money to the Knights Hospitaller in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Il est possible de donner de l'argent à l'Ordre des Hospitaliers en échange de piété. Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Mit einer Geldspende an die Johanniter kann ich Pietät und den lebenslangen Respekt der [Root.Religion.GetName]en Kirche erlangen.;;Puedo hacer una donación a los Caballeros Hospitalarios. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_knights_santiago_desc;Donate money to the Knights of Santiago in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;Il est possible de donner de l'argent à l'Ordre de Santiago en échange de piété. Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Ich kann den Jakobsrittern Geld spenden im Tausch gegen Pietät und lebenslangen Respekt durch die [Root.Religion.GetName]e Kirche.;;Puedo hacer una donación a los Caballeros de Santiago. A cambio obtendré la Piedad y el respeto de por vida de la iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_knights_templar;Donate 300¤ to the Templars;Donner 300¤ aux Templiers;Spendet den Tempelrittern 300¤ ;;Donar 300¤ a los Caballeros Templarios;;;;;;;;;x
