#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

evt_TITLE_LT_61006;By Any Other Name;Par un autre nom;Ein anderer Name;;Por cualquier otro nombre;;;;;;;;;x
evt_TITLE_LT_61008;Time to Go;Il est temps de partir;Zeit zu gehen;;Hora de irse;;;;;;;;;x

EVTDESC1_LT_61006;"My [Root.GetLordLady]!" [courtier.GetTitledFirstName] approaches me with excitement in [courtier.GetHerHis] eyes. "Would you do me the honor of bestowing a nickname upon me, my [Root.GetLordLady]?";« M[Root.GetOnA][Root.GetLordLady] ! », crie [courtier.Get_le_TitledFirstName] qui m'approche avec de l'excitation dans le regard. « Me feriez-vous l'honneur de me donner un surnom, M[Root.GetOnA][Root.GetLordLady] ? »;"Mein[Root.GeteFemale] [Root.GetLordLady]!, sagt [courtier.GetTitledFirstName] aufgeregt. "Würdet Ihr mir die Ehre erweisen und mir einen Spitznamen geben, mein[Root.GeteFemale] [Root.GetLordLady]?";;¡Mi [Root.GetLordLady]! [courtier.GetTitledFirstName] se acerca a mí con los ojos llenos de emoción. "¿Me concederíais el honor de otorgarme un apodo, mi [Root.GetLordLady]?";;;;;;;;;x
EVTDESC2_LT_61006;"My [Root.GetLordLady]!" [courtier.GetTitledFirstName] approaches me with an armful of scrolls. "Would you do me the honor of bestowing a nickname upon me, my [Root.GetLordLady]?";« M[Root.GetOnA][Root.GetLordLady] ! », crie [courtier.Get_le_TitledFirstName] qui m'approche avec une brassée de parchemins. « Me feriez-vous l'honneur de me donner un surnom, M[Root.GetOnA][Root.GetLordLady] ? »;"Mein[Root.GeteFemale] [Root.GetLordLady]!, sagt [courtier.GetTitledFirstName] mit einem Arm voller Schriftrollen. "Würdet Ihr mir die Ehre erweisen und mir einen Spitznamen geben, mein[Root.GeteFemale] [Root.GetLordLady]?";;¡Mi [Root.GetLordLady]! [courtier.GetTitledFirstName] se acerca a mí con un montón de pergaminos. "¿Me concederíais el honor de otorgarme un apodo, mi [Root.GetLordLady]?";;;;;;;;;x
EVTDESC3_LT_61006;"My [Root.GetLordLady]!" [courtier.GetTitledFirstName] approaches me with clothes stained with dirt and fire in [courtier.GetHerHis] eyes. "Would you do me the honor of bestowing a nickname upon me, my [Root.GetLordLady]?";« M[Root.GetOnA][Root.GetLordLady] ! », crie [courtier.Get_le_TitledFirstName] qui m'approche, les vêtements tachés de terre et les yeux qui pétillent. « Me feriez-vous l'honneur de me donner un surnom, M[Root.GetOnA][Root.GetLordLady] ? »;"Mein[Root.GeteFemale] [Root.GetLordLady]!, sagt [courtier.GetTitledFirstName] mit dreckiger Kleidung und feurigen Augen. "Würdet Ihr mir die Ehre erweisen und mir einen Spitznamen geben, mein[Root.GeteFemale] [Root.GetLordLady]?";;¡Mi [Root.GetLordLady]! [courtier.GetTitledFirstName] se acerca a mí con las ropas manchadas de tierra y fuego en la mirada. "¿Me concederíais el honor de otorgarme un apodo, mi [Root.GetLordLady]?";;;;;;;;;x
EVTDESC4_LT_61006;"My [Root.GetLordLady]!" [courtier.GetTitledFirstName] emerges from a gathering of courtiers and makes [courtier.GetHerHis] way over to me. "Would you do me the honor of bestowing a nickname upon me, my [Root.GetLordLady]?";« M[Root.GetOnA][Root.GetLordLady] ! », crie [courtier.Get_le_TitledFirstName] qui émerge d'un rassemblement de courtisans et se dirige vers moi. « Me feriez-vous l'honneur de me donner un surnom, M[Root.GetOnA][Root.GetLordLady] ? »;"Mein[Root.GeteFemale] [Root.GetLordLady]!, sagt [courtier.GetTitledFirstName] auf dem Rückweg von einer Hofversammlung. "Würdet Ihr mir die Ehre erweisen und mir einen Spitznamen geben, mein[Root.GeteFemale] [Root.GetLordLady]?";;¡Mi [Root.GetLordLady]! [courtier.GetTitledFirstName] surge de entre un grupo de cortesanos y se abre paso hasta mí. "¿Me concederíais el honor de otorgarme un apodo, mi [Root.GetLordLady]?";;;;;;;;;x
EVTDESC5_LT_61006;"My [Root.GetLordLady]!" [courtier.GetTitledFirstName] approaches me with a large ledger clutched in [courtier.GetHerHis] ink-stained hands. "Would you do me the honor of bestowing a nickname upon me, my [Root.GetLordLady]?";« M[Root.GetOnA][Root.GetLordLady] ! », crie [courtier.Get_le_TitledFirstName] qui m'approche, un grand livre tenu entre ses mains tachées d'encre. « Me feriez-vous l'honneur de me donner un surnom, M[Root.GetOnA][Root.GetLordLady] ? »;"Mein[Root.GeteFemale] [Root.GetLordLady]!, sagt [courtier.GetTitledFirstName] mit einem großen Buch in [courtier.GetHerHis] en mit Tinte verschmierten Händen. "Würdet Ihr mir die Ehre erweisen und mir einen Spitznamen geben, mein[Root.GeteFemale] [Root.GetLordLady]?";;¡Mi [Root.GetLordLady]! [courtier.GetTitledFirstName] se acerca a mí agarrando un gran libro con las manos manchadas de tinta. "¿Me concederíais el honor de otorgarme un apodo, mi [Root.GetLordLady]?";;;;;;;;;x
EVTDESC6_LT_61006;"My [Root.GetLordLady]!" [courtier.GetTitledFirstName] steps out of the shadows beside me with a sharp smile. "Would you do me the honor of bestowing a nickname upon me, my [Root.GetLordLady]?";« M[Root.GetOnA][Root.GetLordLady] ! » [courtier.Get_le_TitledFirstName] surgit soudain à côté de moi avec un grand sourire. « Me feriez-vous l'honneur de me donner un surnom, M[Root.GetOnA][Root.GetLordLady] ? »;"Mein[Root.GeteFemale] [Root.GetLordLady]!, sagt [courtier.GetTitledFirstName], als [courtier.GetSheHe] überraschend und mit einem scharfen Lächeln aus dem Schatten hervortritt. "Würdet Ihr mir die Ehre erweisen und mir einen Spitznamen geben, mein[Root.GeteFemale] [Root.GetLordLady]?";;¡Mi [Root.GetLordLady]! [courtier.GetTitledFirstName] sale a mi lado de entre las sombras con una sonrisa afilada. "¿Me concederíais el honor de otorgarme un apodo, mi [Root.GetLordLady]?";;;;;;;;;x

EVTDESC_LT_61008;A group of courtiers approach me, most of whom I barely even recognize.\n\n"We are taking our leave, my [Root.GetLordLady]. Do we go with your blessing?";Un groupe de courtisans s'approchent de moi, la plupart d'entre eux, je les reconnais à peine.\n\n« Nous voulons quitter la Cour, M[Root.GetOnA][Root.GetLordLady]. Avons-nous votre bénédiction ? »;Eine Gruppe von Höflingen kommt auf mich zu, von denen ich die meisten kaum wiedererkenne.\n\n"Wir reisen ab, mein[Root.GeteFemale] [Root.GetLordLady]. Haben wir Euren Segen?";;Un grupo de cortesanos, muchos a los que apenas reconozco, se me acerca.\n\n"Nos marchamos, mi [Root.GetLordLady]. ¿Tenemos vuestra bendición?";;;;;;;;;x
