#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# Trigger scopes

ANY_OPINION_TARGET_STARTS;Any Opinion Target;N'importe quelle cible d'opinion;Beliebiges Meinungsziel;;Algún opinión objetivo;;;;;;;;;x
NOT_ANY_OPINION_TARGET_STARTS;No Opinion Target;Aucune cible d'opinion;Keines Meinungsziel;;Ningún opinión objetivo;;;;;;;;;x

ANY_POT_TRIBAL_COUNTY_STARTS;Any Potential Tribal County;N'importe quel comté tribal potentiel;Beliebige potentielle Stammesgrafschaft;;Algún condado tribal en potencia;;;;;;;;;x
NOT_ANY_POT_TRIBAL_COUNTY_STARTS;No Potential Tribal County;Aucun comté tribal potentiel;Keine potentielle Stammesgrafschaft;;Ningún condado tribal en potencia;;;;;;;;;x

ANY_SPOUSE_STARTS;Any Spouse;N'importe quelle épouse;Beliebiger Ehepartner;;Algún cónyuge;;;;;;;;;x
NOT_ANY_SPOUSE_STARTS;No Spouse;Aucun épouse;Keiner Ehepartner;;Ningún cónyuge;;;;;;;;;x

ANY_TRAIT_HOLDER_STARTS;Any Character with trait ;N'importe quel personnage avec le trait de caractère ;Beliebiger Charakter mit der Eigenschaft;;Algún personaje con rasgo;;;;;;;;;x
NOT_ANY_TRAIT_HOLDER_STARTS;No Character with trait ;Aucun personnage avec le trait de caractère ;Keiner Charakter mit der Eigenschaft;;Ningún personaje con rasgo;;;;;;;;;x

ANY_CLAIMANT_STARTS;Any Claimant;N'importe quel prétendant;Beliebiger Anspruchsteller;;Algún demandante;;;;;;;;;x
NOT_ANY_CLAIMANT_STARTS;No Claimant;N'importe quel prétendant;Keiner Anspruchsteller;;Ningún demandante;;;;;;;;;x

ANY_FACTION_BACKER_STARTS;Any Faction Backer;N'importe quel partisan de la faction;Beliebiger Fraktionsunterstützer;;Partidario de cualquier facción;;;;;;;;;x
NOT_ANY_FACTION_BACKER_STARTS;No Faction Backer;N'importe quel partisan de la faction;Keiner Fraktionsunterstützer;;Partidario de cualquier facción;;;;;;;;;x

ANY_TRADE_POST_STARTS;Any Trade Post;N'importe quel comptoir;Beliebiger Handelsposten;;Algún Puesto Comercial;;;;;;;;;x
NOT_ANY_TRADE_POST_STARTS;No Trade Post;Aucun comptoir;Kein Handelsposten;;Ningún Puesto Comercial;;;;;;;;;x

ANY_ATTACKER_STARTS;Any Attacker;N'importe quel assaillant;Beliebiger Angreifer;;Algún atacante;;;;;;;;;x
NOT_ANY_ATTACKER_STARTS;No Attacker;Aucun assaillant;Keiner Angreifer;;Ningún atacante;;;;;;;;;x

ANY_DEFENDER_STARTS;Any Defender;N'importe quel défenseur;Beliebiger Verteidiger;;Algún defensor;;;;;;;;;x
NOT_ANY_DEFENDER_STARTS;No Defender;Aucun défenseur;Keiner Verteidiger;;Ningún defensor;;;;;;;;;x

ANY_CONSORT_STARTS;Any Concubine;N'importe quelle concubine;Beliebige Konkubine;;Algún Concubina;;;;;;;;;x
NOT_ANY_CONSORT_STARTS;No Concubine;Aucun concubine;Keine Konkubine;;Ningunha Concubina;;;;;;;;;x

ANY_PREVIOUS_HOLDER_STARTS;Any Previous Holder;N'importe quel propriétaire précédent;Beliebiger, vorheriger Inhaber;;Algún Propietario Anterior;;;;;;;;;x
NOT_ANY_PREVIOUS_HOLDER_STARTS;No Previous Holder;Aucun titulaire antérieur;Kein früherer Inhaber;;Ningún dueño anterior;;;;;;;;;x

DEMESNE_TITLE_STARTS;Any Held Title;N'importe quel titre détenu;Beliebiger gehaltener Titel;;Algún Título Poseído;;;;;;;;;x
NOT_DEMESNE_TITLE_STARTS;No Held Title;Aucun titre détenu;Träger keines Titels;;Ningún Título Sustentado;;;;;;;;x

ANY_PROVINCE_HOLDING_STARTS;Any Province Holding;N'importe quelle propriété de la province;Beliebiges Provinzbesitztum;;Algún posesión de provincia;;;;;;;;;x
NOT_ANY_PROVINCE_HOLDING_STARTS;No Province Holding;Aucun propriété de la province;Keines Provinzbesitztum;;Ningún posesión de provincia;;;;;;;;;x

ANY_CLAIM_STARTS;Any Claim;N'importe quelle revendication;Beliebiger Anspruch;;Algunha Reclamación;;;;;;;;;x
NOT_ANY_CLAIM_STARTS;No Claim;Aucun revendication;Keiner Anspruch;;Ningunha Reclamación;;;;;;;;;x

ANY_LOVER_STARTS;Any Lover;N'importe quel amant(e);Beliebiger Liebhaber;;Algunha amante;;;;;;;;;x
NOT_ANY_LOVER_STARTS;No Lover;Aucun amant(e);Keiner Liebhaber;;Ningunha amante;;;;;;;;;x

ANY_MERCENARY_BAND_STARTS;Any mercenary band;N'importe quelle bande de mercenaires;Beliebiger Söldnertrupp;;Algún compañía mercenaria;;;;;;;;;x
NOT_ANY_MERCENARY_BAND_STARTS;No mercenary band;Aucune bande de mercenaires;Keiner Söldnertrupp;;Ningunha compañía mercenaria;;;;;;;;;x

ANY_UNIT;Any Unit;N'importe quelle unité;Beliebige Einheit;;Algunha unidad;;;;;;;;;x
NOT_ANY_UNIT;No Unit;Aucun unité;Keine Einheit;;Ningunha unidad;;;;;;;;;x

ANY_FORT_STARTS;Any Fort;N'importe quel fort;Beliebige Festung;;Algún fortaleza;;;;;;;;x
NOT_ANY_FORT_STARTS;No Fort;Aucun fort;Keine Festung;;Ningunha fortaleza;;;;;;;;x

ANY_TRADE_ROUTE_PROVINCE_STARTS;Any Trade Route County;N'importe quelle route commerciale de comté;Beliebige Grafschaft mit Handelsroute;;Algún condado de ruta comercial;;;;;;;;;x
NOT_ANY_TRADE_ROUTE_PROVINCE_STARTS;No Trade Route County;Pas de route commerciale de comté;Grafschaft ohne Handelsroute;;Ningún condado de ruta comercial;;;;;;;;;x

ANY_SETTLEMENT;Any Holding;N'importe quelle propriété;Beliebiges Besitztum;;Algún posesión;;;;;;;;;x
NOT_ANY_SETTLEMENT;No Holding;Aucun propriété;Kein Besitztum;;Ningunha posesión;;;;;;;;;x

NO_TEMPLE_HOLDING;No Temple Holding;Aucune propriété religieuse;Kein Tempelbesitztum;;Algún Posesión del templo;;;;;;;;;x
DE_JURE_NO_KINGDOM;No Kingdom;Pas de royaume;Kein Königreich;;Sin reino;;;;;;;;;x

REALM_PROVINCE_STARTS;Any Realm Province;N'importe quelle province du pays;Beliebige Reichsprovinz;;Algunha provincia del reino;;;;;;;;x
NOT_REALM_PROVINCE_STARTS;No Realm Province;Aucune province du pays;Keine Reichsprovinz;;Ningunha provincia del reino;;;;;;;;x

ANY_ALLIED_CHARACTER_STARTS;Any Non-Aggression Pact Character;N'importe quelles les signataires d'un pacte de non-agression;Beliebiger Nichtangriffspakt-Charakter;;Algún personaje con Pacto de no agresión;;;;;;;;;x
NOT_ANY_ALLIED_CHARACTER_STARTS;No Non-Aggression Pact Character;Aucune signataire d'un pacte de non-agression;Keiner Nichtangriffspakt-Charakter;;Ningún personaje con Pacto de no agresión;;;;;;;;;x

ANY_FAVOR_HOLDER;Any favor holder;N'importe quel propriétaire de faveur;Beliebiger Inhaber eines Gefallens;;Cualquiera que tenga un favor;;;;;;;;;x
NOT_ANY_FAVOR_HOLDER;No favor holder;Aucun propriétaire de faveur;Keiner Inhaber eines Gefallens;;Ningún que tenga un favor;;;;;;;;;x

ANY_FAVOR_OWER;Any favor ower;N'importe quel débiteur de faveur;Beliebiger Schuldner eines Gefallens;;Cualquiera al que le deban un favor.;;;;;;;;;x
NOT_ANY_FAVOR_OWER;No favor ower;Aucun débiteur de faveur;Kein Schuldner eines Gefallens;;Ningún al que le deban un favor.;;;;;;;;;x

ANY_VOTER_STARTS;Any voter;N'importe quel votant;Beliebiger Stimmberechtigter;;Algún votante;;;;;;;;;x
NOT_ANY_VOTER_STARTS;No voter;Aucun votant;Kein Stimmberechtigter;;Ningún votante;;;;;;;;;x

ANY_LANDED_TITLE_STARTS;Any landed title;N'importe quel titre foncier;Beliebiger Titel mit Landbesitz;;Algún título de tierras;;;;;;;;;x
NOT_ANY_LANDED_TITLE_STARTS;No landed title;Aucun titre foncier;Kein Titel mit Landbesitz;;Ningún título de tierras;;;;;;;;;x

ANY_CHAR_STARTS;Any character;N'importe quel personnage;Beliebiger Charakter;;Algún personaje.;;;;;;;;;x
NOT_ANY_CHAR_STARTS;No character;Aucun personnage;Kein Charakter;;Ningún personaje.;;;;;;;;;x

ANY_ARTIFACT_OWNER_STARTS;Any Past or Present Artifact Owner;N'importe quel précédent ou actuel détenteur de l'artefact;Beliebiger vorherige oder gegenwärtige Artefaktbesitzer;;Algún propietario de artefacto pasado o presente;;;;;;;;;x
NOT_ANY_ARTIFACT_OWNER_STARTS;No Past or Present Artifact Owner;Aucun précédent ou actuel détenteur de l'artefact;Keiner vorherige oder gegenwärtige Artefaktbesitzer;;Ningún propietario de artefacto pasado o presente;;;;;;;;;x

ANY_BLOODLINE_MEMBER_STARTS;Any Bloodline Member;N'importe quel membre de la lignée;Beliebiges Mitglied der Blutlinie;;Algún miembro del linaje;;;;;;;;;x
NOT_ANY_BLOODLINE_MEMBER_STARTS;No Bloodline Member;Pas membre d'une lignée;Keine Blutlinienmitglieder;;No miembro del linaje;;;;;;;;;x

ANY_BLOODLINE_STARTS;Any Bloodline;N'importe quelle lignée;Beliebige Blutlinie;;Algún linaje;;;;;;;;;x
NOT_ANY_BLOODLINE_STARTS;No Bloodline;Pas de lignée;Keine Blutlinie;;Sin linaje;;;;;;;;;x

ANY_CRUSADE_DEFENDER_STARTS;Any Crusade Defender;N'importe quel défenseur à une croisade;Beliebiger Verteidiger eines Kreuzzugs;;Algún defensor contra la cruzada;;;;;;;;;x
NOT_ANY_CRUSADE_DEFENDER_STARTS;No Crusade Defender;Aucun défenseur à une croisade;Keiner Verteidiger eines Kreuzzugs;;Ningún defensor contra la cruzada;;;;;;;;;x

ANY_CRUSADE_PARTICIPANT_STARTS;Any Crusade Participant;N'importe quel participant à une croisade;Beliebiger Teilnehmer eines Kreuzzugs;;Algún participante de la cruzada;;;;;;;;;x
NOT_ANY_CRUSADE_PARTICIPANT_STARTS;No Crusade Participant;Aucun participant à une croisade;Keiner Teilnehmer eines Kreuzzugs;;Ningún participante de la cruzada;;;;;;;;;x

ANY_ELDERSHIP_TITLE_STARTS;Any Title of Eldership Representation;N'importe quel titre du Conseil des Anciens;Beliebiger Titel der Ältestenherrschaft;;Algún título de representación por antigüedad;;;;;;;;;x
NOT_ANY_ELDERSHIP_TITLE_STARTS;No Title of Eldership Representation;Aucun titre du Conseil des Anciens;Keiner Titel der Ältestenherrschaft;;Algún título de representación por antigüedad;;;;;;;;;x

ANY_ELECTOR_CHARACTER_STARTS;Any Succession Elector;N'importe quel électeur de la succession;Beliebiger Nachfolgewähler;;Algún elector de sucesión;;;;;;;;;x
NOT_ANY_ELECTOR_CHARACTER_STARTS;No Succession Elector;Aucun quel électeur de la succession;Keiner Nachfolgewähler;;Ningún elector de sucesión;;;;;;;;;x

ANY_KILL_LIST_CHARACTER_START;Any character in Kill List;N'importe quel personnage dans la liste de tués;Beliebiger Charakter in Tötungsliste;;Algún personaje en la lista de muertes;;;;;;;;;x
NOT_ANY_KILL_LIST_CHARACTER_START;No character in Kill List;Pas de personnage dans la liste de tués;Kein Charakter in der Tötungsliste;;No personajes en lista de muertes;;;;;;;;;x

ANY_OWNED_BLOODLINE_STARTS;Any Possessed Bloodline;N'importe quelle lignée possédée;Beliebige besessene Blutlinie;;Algún linaje poseído;;;;;;;;;x
NOT_ANY_OWNED_BLOODLINE_STARTS;No Possessed Bloodline;Pas de lignée possédée;Keine besessene Blutlinie;;Ningún posee linaje;;;;;;;;;x

ANY_UNIT_LEADERS_STARTS;Any Unit Leader;N'importe quel commandant d'unité;Beliebiger Einheitenanführer;;Algún líder de unidad;;;;;;;;;x
NOT_ANY_UNIT_LEADERS_STARTS;No Unit Leader;Aucun commandant d'unité;Keiner Einheitenanführer;;Ningún líder de unidad;;;;;;;;;x

CONNECTED_PROVINCE_STARTS;Any Connected Province;N'importe quelle province reliée;Beliebige verbundene Provinz;;Algún provincia conectada;;;;;;;;;x
NOT_CONNECTED_PROVINCE_STARTS;No Connected Province;Pas de province reliée;Keine verbundene Provinz;;Ningunha provincia conectada;;;;;;;;;x

DISCONNECTED_PROVINCE_STARTS;Any Disconnected Province;N'importe quelle province non reliée;Beliebige abgetrennte Provinz;;Algún provincia desconectada;;;;;;;;;x
NOT_DISCONNECTED_PROVINCE_STARTS;No Disconnected Province;Pas de province non reliée;Keine abgetrennte Provinz;;Ningunha provincia desconectada;;;;;;;;;x

DIRECT_DJ_VASSAL_TITLE_STARTS;Any De Jure Vassal Title;N'importe quel titre vassal de jure;Beliebiger De-jure-Vasallentitel;;Algún título vasallo de jure;;;;;;;;;x
NOT_DIRECT_DJ_VASSAL_TITLE_STARTS;No De Jure Vassal Title;Pas de titre vassal de jure;Kein De-jure-Vasallentitel;;Sin título vasallo de jure;;;;;;;;;x

ANY_NEIGHBOR_INDEPENDENT_RULER_STARTS;Any Neighbor Independent Ruler;N'importe quel dirigeant indépendant voisin;Beliebiger benachbarter unabhängiger Herrscher;;Algún gobernante vecino independiente;;;;;;;;;x
NOT_ANY_NEIGHBOR_INDEPENDENT_RULER_STARTS;No Neighbor Independent Ruler;Pas de dirigeant indépendant voisin;Kein unabhängiger benachbarter Herrscher;;Sin vecinos gobernantes independientes;;;;;;;;;x

ANY_TRIBUTARY_STARTS;Any Tributary;N'importe quel tributaire;Beliebiger Tributstaat;;Algún tributario;;;;;;;;;x
NOT_ANY_TRIBUTARY_STARTS;No Tributary;Pas tributaire;Kein Tributstaat;;Sin tributarios;;;;;;;;;x

ANY_PUPIL_STARTS;Any pupil;N'importe quel pupille;Beliebiger Schüler;;Algún pupilo;;;;;;;;;x
NOT_ANY_PUPIL_STARTS;No pupil;Aucun pupille;Kein Schüler;;Ningún pupilo;;;;;;;;;x

ANY_OWNED_WONDER_STARTS;Any Demesne Great Work;N'importe quel grand ouvrage du domaine;Beliebiges Großes Bauwerk in der Domäne;;Algún gran obra de la heredad;;;;;;;;;x
NOT_ANY_OWNED_WONDER_STARTS;No Demesne Great Work;Aucun grand ouvrage du domaine;Keines Großes Bauwerk in der Domäne;;Ningunha gran obra de la heredad;;;;;;;;;x

ANY_OWNED_WONDER_UPGRADE_STARTS;Any Demesne Great Work Feature;N'importe quelle caractéristique de grand ouvrage du domaine;Beliebige Verbesserung eines Großes Bauwerks in der Domäne;;Algún elemento de gran obra de la heredad;;;;;;;;;x
NOT_ANY_OWNED_WONDER_UPGRADE_STARTS;No Demesne Great Work Feature;Aucune caractéristique de grand ouvrage du domaine;Keine Verbesserung eines Großes Bauwerks in der Domäne;;Ningún elemento de gran obra de la heredad;;;;;;;;;x

ANY_PREVIOUS_WONDER_OWNER_STARTS;Any Previous Owner of Great Work;N'importe quel précédent détenteur de grand ouvrage;Beliebige vorherige Besitzer Gr0ßer Bauwerke;;Algún expropietario de gran obra;;;;;;;;;x
NOT_ANY_PREVIOUS_WONDER_OWNER_STARTS;No Previous Owner of Great Work;Aucun précédent détenteur de grand ouvrage;Kein vorherige Besitzer Gr0ßer Bauwerke;;Ningún expropietario de gran obra;;;;;;;;;x

ANY_REALM_WONDER_STARTS;Any Great Work in Realm;N'importe quel grand ouvrage du pays;Beliebiges Großes Bauwerk im Reich;;Algún gran obra del reino;;;;;;;;;x
NOT_ANY_REALM_WONDER_STARTS;No Great Work in Realm;Aucun grand ouvrage du pays;Keines Großes Bauwerk im Reich;;Ningún gran obra del reino;;;;;;;;;x

ANY_REALM_WONDER_UPGRADE_STARTS;Any Great Work Feature in Realm;N'importe quelle caractéristique de grand ouvrage du pays;Beliebige Verbesserung eines Großes Bauwerks im Reich;;Algún elemento de gran obra del reino;;;;;;;;;x
NOT_ANY_REALM_WONDER_UPGRADE_STARTS;No Great Work Feature in Realm;Aucune caractéristique de grand ouvrage du pays;Keine Verbesserung eines Großes Bauwerks im Reich;;Ningún elemento de gran obra del reino;;;;;;;;;x

ANY_UPGRADE_ON_WONDER;Any Feature on Great Work;N'importe quelle caractéristique d'un grand ouvrage;Beliebige Verbesserung bei einem Großen Bauwerk;;Algún elemento de gran obra;;;;;;;;;x
NOT_ANY_UPGRADE_ON_WONDER;No Feature on Great Work;Aucune caractéristique d'un grand ouvrage;Keine Verbesserung bei einem Großen Bauwerk;;Ningún elemento de gran obra;;;;;;;;;x

ANY_WONDER_OWNER_STARTS;Any Great Work Owner;N'importe quel détenteur de grand ouvrage;Beliebiger Besitzer Großer Bauwerke;;Algún propietario de gran obra;;;;;;;;;x
NOT_ANY_WONDER_OWNER_STARTS;No Great Work Owner;Aucun détenteur de grand ouvrage;Keiner Besitzer Großer Bauwerke;;Ningún propietario de gran obra;;;;;;;;;x

ANY_WONDER_STARTS;Any Great Work;N'importe quel grand ouvrage;Beliebiges Großes Bauwerk;;Algunha gran obra;;;;;;;;;x
NOT_ANY_WONDER_STARTS;Any Great Work;Aucun grand ouvrage;Keines Großes Bauwerk;;Ningunha gran obra;;;;;;;;;x

ANY_WONDER_UPGRADE_STARTS;Any Great Work Feature;N'importe quelle caractéristique de grand ouvrage;Beliebige Verbesserung eines Großes Bauwerks;;Algún elemento de gran obra;;;;;;;;;x
NOT_ANY_WONDER_UPGRADE_STARTS;No Great Work Feature;Aucune caractéristique de grand ouvrage;Keine Verbesserung eines Großes Bauwerks;;Ningún elemento de gran obra;;;;;;;;;x

ANY_ARTIFACT_STARTS;Any artifact owned;N'importe quel artefact possédé;Beliebiges Artefakt in Besitz;;Algún artefacto en posesión;;;;;;;;;x
NOT_ANY_ARTIFACT_STARTS;No artifact owned;Pas d'artefact possédé;Kein Artefakt in Besitz;;Ningún artefacto en posesión;;;;;;;;;x

ANY_CHARACTER_STARTS;Any character;N'importe quel personnage;Beliebiger Charakter;;Algún personaje;;;;;;;;;x
NOT_ANY_CHARACTER_STARTS;No character;Aucun personnage;Kein Charakter;;Ningún personaje;;;;;;;;;x

ANY_CONTROLLED_UNIT_STARTS;Any controlled army;N'importe quelle armée contrôlée;Beliebige kontrollierte Armee;;Algún ejército controlado;;;;;;;;;x
NOT_ANY_CONTROLLED_UNIT_STARTS;No controlled army;Aucune armée contrôlée;Keine kontrollierte Armee;;Ningún ejército controlado;;;;;;;;;x

ANY_QUEST_TARGETTING_THIS_STARTS;Any quest targeting;N'importe quelle cible de quête;Beliebiges Missionsziel;;Objetivo de algún misión;;;;;;;;;x
NOT_ANY_QUEST_TARGETTING_THIS_STARTS;No quest targeting;Aucune cible de quête;Keines Missionsziel;;Objetivo de ningún misión;;;;;;;;;x

ANY_QUESTER_STARTS;Any character with a mission;N'importe quel personnage avec une mission;Beliebiger Charakter mit einer Mission;;Algún personaje con misiones;;;;;;;;;x
NOT_ANY_QUESTER_STARTS;No character with a mission;Aucun personnage avec une mission;Keiner Charakter mit einer Mission;;Ningún personaje con misiones;;;;;;;;;x

ANY_QUEST_TARGET_STARTS;Any quest target;N'importe quel les cibles de quête;Beliebiger Missionsziele;;Algún objetivo de misión;;;;;;;;;x
NOT_ANY_QUEST_TARGET_STARTS;No quest target;Aucun cible de quête;Keiner Missionsziele;;Ningún objetivo de misión;;;;;;;;;x

ANY_SOCIETY_MEMBER_STARTS;Any society member;N'importe quel membre de société;Beliebiges Zirkelmitglied;;Algún miembro de la sociedad;;;;;;;;;x
NOT_ANY_SOCIETY_MEMBER_STARTS;No society member;Aucun membre de société;Keines Zirkelmitglied;;Ningún miembro de la sociedad;;;;;;;;;x

ANY_COURTIER_OR_VASSAL_STARTS;Any Courtier or Vassal;N'importe quel courtisan ou vassal;Beliebiger Höfling oder Vasall;;Algún cortesano o vasallo;;;;;;;;;x
NOT_ANY_COURTIER_OR_VASSAL_STARTS;No Courtier or Vassal;Aucun courtisan ou vassal;Keiner Höfling oder Vasall;;Ningún cortesano o vasallo;;;;;;;;;x

ANY_HOSPITAL_STARTS;Any Hospital;N'importe quel hôpital;Beliebiges Hospital;;Algún hospital;;;;;;;;;x
NOT_ANY_HOSPITAL_STARTS;No Hospital;Aucun hôpital;Keines Hospital;;Ningún hospital;;;;;;;;;x

ANY_PLAYER_STARTS;Any Player;N'importe quel joueur;Beliebiger Spieler;;Algún jugador;;;;;;;;;x
NOT_ANY_PLAYER_STARTS;No Player;Aucun joueur;Keiner Spieler;;Ningún jugador;;;;;;;;;x

ANY_BACKED_CHAR_STARTS;Any backed plotter;N'importe quel comploteur soutenu;Bel. unterstützter Verschwörer;;Algún complotador apoyado;;;;;;;;;x
NOT_ANY_BACKED_CHAR_STARTS;No backed plotter;Aucun comploteur soutenu;Kein unterstützter Verschwörer;;Ningún complotador apoyado;;;;;;;;;x

ANY_PLOTTER;Any plotter;N'importe quel comploteur;Beliebiger Verschwörer;;Algún complotador;;;;;;;;;x
NOT_ANY_PLOTTER;No plotter;Aucun comploteur;Keiner Verschwörer;;Ningún complotador;;;;;;;;;x

ANY_KNOWN_PLOTTER;Any known plotter;N'importe quel comploteur connu;Beliebiger bekannte Verschwörer;;Algún complotador cononcido;;;;;;;;;x
NOT_ANY_KNOWN_PLOTTER;No known plotter;Aucun comploteur connu;Keiner bekannte Verschwörer;;Ningún complotador cononcido;;;;;;;;;x

ANY_UNKNOWN_PLOTTER;Any unknown plotter;N'importe quel comploteur inconnu;Beliebiger unbekannte Verschwörer;;Algún complotador desconocido;;;;;;;;;x
NOT_ANY_UNKNOWN_PLOTTER;No unknown plotter;Aucun comploteur inconnu;Keiner unbekannte Verschwörer;;Ningún complotador desconocido;;;;;;;;;x

ANY_CHILD_STARTS;Any Child;N'importe quel enfant;Beliebiges Kind;;Algún hijo;;;;;;;;;x
NOT_ANY_CHILD_STARTS;No Child;Aucun enfant;Keines Kind;;Ningún hijo;;;;;;;;;x

ANY_COURTIER_STARTS;Any Courtier;N'importe quel courtisan;Beliebiger Höfling;;Algún cortesano;;;;;;;;;x
NOT_ANY_COURTIER_STARTS;No Courtier;Aucun courtisan;Keiner Höfling;;Ningún cortesano;;;;;;;;;x

ANY_CURRENT_ENEMY_STARTS;Any war enemy;N'importe quel ennemi;Beliebiger Kriegsgegner;;Algún enemigo de guerra;;;;;;;;;x
NOT_ANY_CURRENT_ENEMY_STARTS;No war enemy;Aucun ennemi;Keiner Kriegsgegner;;Ningún enemigo de guerra;;;;;;;;;x

ANY_DYNASTY_MEMBER_STARTS;Any Dynasty member;N'importe quel membre de la dynastie;Beliebiges Dynastiemitglied;;Algún miembro de la dinastía;;;;;;;;;x
NOT_ANY_DYNASTY_MEMBER_STARTS;No Dynasty member;Aucun membre de la dynastie;Keines Dynastiemitglied;;Ningún miembro de la dinastía;;;;;;;;;x

ANY_FRIEND_STARTS;Any Friend;N'importe quel ami;Beliebiger Freund;;Algún amigo;Qualsiasi amico;;;;;;;;x
NOT_ANY_FRIEND_STARTS;No Friend;Aucun ami;Keiner Freund;;Ningún amigo;;;;;;;;;x

ANY_INDEP_RULER_STARTS;Any independent ruler;N'importe quel seigneur indépendant;Beliebiger unabhängiger Herrscher;;Algún soberano independiente;;;;;;;;;x
NOT_ANY_INDEP_RULER_STARTS;No independent ruler;Aucun seigneur indépendant;Keiner unabhängiger Herrscher;;Ningún soberano independiente;;;;;;;;;x

ANY_LIEGE_STARTS;Any liege;N'importe quel seigneur lige;Beliebiger Lehnsherr;;Algún señor;;;;;;;;;x
NOT_ANY_LIEGE_STARTS;No Liege;Pas de seigneur lige;Kein Lehnsherr;;Sin señor;;;;;;;;;x

ANY_PLAYABLE_RULER_STARTS;Any playable ruler;N'importe quel seigneur jouable;Beliebiger spielbarer Herrscher;;Algún soberano jugable;;;;;;;;;x
NOT_ANY_PLAYABLE_RULER_STARTS;No playable ruler;Aucun seigneur jouable;Keiner spielbarer Herrscher;;Ningún soberano jugable;;;;;;;;;x

