#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# job_marshal.txt

#########################
#
#	Marshal events
#
#########################

# Military Accident
evt_marshal_001_title;Military Drill Accident;Accident militaire;Unfall bei der Militärausbildung;;Accidente en entrenamiento militar;;;;;;;;;x
evt_marshal_001_desc_a;I was skeptical about my visit to [Root.Location.GetName] to try and find some way to get into the thickheaded peasants how different sorts of military equipment should be best used. Of course they managed to fumble...;J'étais sceptique quant à ma visite à [Root.Location.GetName] pour tenter de montrer à ces abrutis de paysans comment utiliser différents équipements militaires. Et, bien sûr, ils se sont montrés maladroits...;Ich hatte meine Zweifel, als ich nach [Root.Location.GetName] gesandt wurde, um die schwierige Aufgabe anzupacken, den dumpfbäckigen Bauern die Feinheiten verschiedener Waffen zu erklären. Wie erwartet, haben sie sich trottelig aufgeführt ...;;Yo ya tenía mis reparos antes de ir a [Root.Location.GetName] a enseñarles a esos estúpidos campesinos cómo usar los distintos tipos de equipamiento militar. Y claro está, al final la liaron...;;;;;;;;;x
evt_marshal_001_option_a;They wounded me!;Ils m'ont blessé[Root.Get_E] !;Sie verwundeten mich!;;¡Me han herido!;;;;;;;;;x
evt_marshal_001_option_b;They maimed me!;Ils m'ont estropié[Root.Get_E] !;Sie verstümmelten mich!;;¡Me han lisiado!;;;;;;;;;x
evt_marshal_001_option_tooltip;Send a letter to my liege;J'envoie une lettre à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige.;Brief an meinen Lehnsherrn senden;;Envía una carta a mi señor.;;;;;;;;;x

# Liege gets a letter about Marshal being wounded
evt_marshal_002_desc_a;My liege, I was trying to teach the thickheaded peasants of [From.Location.GetName] how to use siege weapons when one of them dropped a boulder on my foot! I despair of ever teaching these idiots how to wage war...\n\nYour humble Marshal,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nAlors que j'essayais d'apprendre à ces abrutis de paysans de [From.Location.GetName] comment utiliser des armes de siège, l'un d'entre eux a laissé tomber une pierre sur mon pied ! Je désespère d'apprendre à ces idiots à faire la guerre...\n\nVotre humble maréchal,\n[From.GetTitledName];Mein Lehnsherr, während meines Versuchs, den dumpfen Bauern von [From.Location.GetName] den Einsatz von Belagerungswaffen zu erklären, ließ einer von ihnen einen Felsbrocken auf meinen Fuß fallen! Ich bezweifle, diesen Tölpeln jemals beibringen zu können, wie man Krieg führt ...\n\nEuer ergebener Marschall,\n[From.GetTitledName];;¡Mi señor, intentaba enseñarles a esos estúpidos campesinos de [From.Location.GetName] cómo usar armas de asedio cuando a uno de ellos se le cayó un pedrusco en mi pie! Ha sido un error instruir a estos idiotas en la guerra...\n\nSu humilde mariscal,\n[From.GetTitledName];;;;;;;;;x
evt_marshal_002_option_a;Oh dear...;Oh la la...;Gute Güte ...;;Madre mía...;;;;;;;;;x

# Liege gets a letter about Marshal being maimed
