# Special unit types
camel_cavalry;Camel Cavalry;Chameaux;Kamelkavallerie;;Caballería de Camellos;;;;;;;;x
camel_cavalry_defensive;Camel Cavalry Defense;Défense des chameaux;Kamelkavallerie Verteidigung;;Caballería de Camellos Defensivo;;;;;;;;x
camel_cavalry_morale;Camel Cavalry Morale;Moral des chameaux;Kamelkavallerie Moral;;Caballería de Camellos Moral;;;;;;;;x
camel_cavalry_offensive;Camel Cavalry Attack;Attaque des chameaux;Kamelkavallerie Angriff;;Caballería de Camellos Ofensivo;;;;;;;;x
horse_archers;Horse Archers;Archers à cheval;Berittene Bogenschützen;;Arqueros Montados;;;;;;;;x
horse_archers_defensive;Horse Archers Defense;Défense des archers à cheval;Berittene Bogenschützen Verteidigung;;Defensa de Arqueros Montados;;;;;;;;x
horse_archers_morale;Horse Archers Morale;Moral des archers à cheval;Berittene Bogenschützen Moral;;Arqueros Montados Moral;;;;;;;;x
horse_archers_offensive;Horse Archers Attack;Attaque des archers à cheval;Berittene Bogenschützen Angriff;;Ataque de Arqueros Montados;;;;;;;;x
war_elephants;War Elephants;Éléphants de guerre;Kriegselefanten;;Elefantes de Guerra;;;;;;;;x
war_elephants_defensive;War Elephants Defense;Défense des éléphants de guerre;Kriegselefanten Verteidigung;;Elefantes de Guerra Defensivo;;;;;;;;x
war_elephants_morale;War Elephants Morale;Moral des éléphants de guerre;Kriegselefanten Moral;;Elefantes de Guerra Moral;;;;;;;;x
war_elephants_offensive;War Elephants Attack;Attaque des éléphants de guerre;Kriegselefanten Angriff;;Elefantes de Guerra Ofensivo;;;;;;;;x

# Generic
monthly_grace;Monthly Grace;Grâce mensuelle;Monatliche Gunst;;Gracia mensual;;;;;;;;;x
religion_head_opinion;Religious Head Opinion;Opinion du chef religieux;Meinung des religiösen Oberhauptes;;Opinión de líder religioso;;;;;;;;;x

# Softcoded religion (group) modifiers
aztec_opinion;[aztec_pagan_reformed.GetName] Opinion;Opinion [aztec_pagan_reformed.GetName];[aztec_pagan_reformed.GetName]e Meinung;;Parecer [aztec_pagan_reformed.GetName];;;;;;;;;x
buddhist_opinion;[buddhist.GetName] Opinion;Opinion [buddhist.GetName];[buddhist.GetName]e Meinung;;Parecer [buddhist.GetName];;;;;;;;;x
catholic_opinion;[catholic.GetName] Opinion;Opinion [catholic.GetName];[catholic.GetName]e Meinung;;Parecer [catholic.GetName];;;;;;;;;x
christian_opinion;[christian.GetGroupName] Opinion;Opinion [christian.GetGroupName];[christian.GetGroupName]e Meinung;;Parecer [christian.GetGroupName];;;;;;;;;x
hellenic_pagan_opinion;[hellenic_pagan.GetName] Opinion;Opinion [hellenic_pagan.GetName];[hellenic_pagan.GetName]e Meinung;;Parecer [hellenic_pagan.GetName];;;;;;;;;x
hellenic_pagan_reformed_opinion;Reformed [hellenic_pagan_reformed.GetName] Opinion;Opinion [hellenic_pagan_reformed.GetName] réformée;Reformierte [hellenic_pagan_reformed.GetName]e Meinung;;Parecer [hellenic_pagan_reformed.GetName] reformado;;;;;;;;;x
hindu_opinion;[hindu.GetName] Opinion;Opinion [hindu.GetName];[hindu.GetName]e Meinung;;Parecer [hindu.GetName];;;;;;;;;x
indian_group_opinion;[indian_group.GetGroupName] Opinion;Opinion [indian_group.GetGroupName];[indian_group.GetGroupName]e Meinung;;Parecer [indian_group.GetGroupName];;;;;;;;;x
jain_opinion;[jain.GetName] Opinion;Opinion [jain.GetName];[jain.GetName]e Meinung;;Parecer [jain.GetName];;;;;;;;;x
jewish_group_opinion;[jewish_group.GetGroupName] Opinion;Opinion [jewish_group.GetGroupName];[jewish_group.GetGroupName]e Meinung;;Parecer [jewish_group.GetGroupName];;;;;;;;;x
miaphysite_opinion;[miaphysite.GetName] Opinion;Opinion [miaphysite.GetName];[miaphysite.GetName]e Meinung;;Parecer [miaphysite.GetName];;;;;;;;;x
muslim_opinion;[muslim.GetGroupName] Opinion;Opinion [muslim.GetGroupName];[muslim.GetGroupName]e Meinung;;Parecer [muslim.GetGroupName];;;;;;;;;x
