christian;Christian;chrétien;Christlich;;Cristiano;;;;;;;;;x

catholic;Catholic;catholique;Katholisch;;Católico;;;;;;;;;x
catholic_DESC;Catholicism is one of the oldest branches of Christianity and the one that has had the biggest impact on the history of Europe. The formal head of the religion is the Bishop of Rome - the Pope.;Le catholicisme est l'une des plus anciennes branches du christianisme et l'une des plus influentes sur l'histoire de l'Europe. Le chef officiel de cette religion est l'évêque de Rome : le pape.;Der Katholizismus ist einer der ältesten Zweige des Christentums und gleichzeitig der mit dem größten Einfluss auf die Geschichte Europas. Das offizielle Oberhaupt ist der Bischof von Rom - der Papst.;;El Catolicismo es una de las ramas más antiguas de la Cristiandad y el que ha tenido mayor impacto en la historia de Europa. El jefe oficial de la religión es el Obispo de Roma: el Papa.;;;;;;;;;

cathar;Cathar;cathare;Katharisch;;Cátaro;;;;;;;;;x
cathar_DESC;The Cathar, or Albigensian, heresy rejects confession and the holiness of the clergy and of the Pope. They only have a single sacrament - the Consolation - to remove sin and turn the believer into a Cathar 'Perfect'.;L'hérésie cathare, ou albigeoise, rejette la confession et le caractère sacré du clergé et du pape. Ils ne reconnaissent qu'un seul sacrement, celui du consolament, utilisé pour absoudre les péchés et être ordonné parfait.;Die Katharer (oder Albigenser) akzeptieren weder die Beichte noch die Heiligkeit der klerikalen Hierarchie oder des Papstes. Sie haben nur ein Sakrament - die Tröstung - die Reinigung von der Sünde.;;La herejía cátara, o albigense, rechaza la confesión y la santidad del clero y el Papa. Sólo tienen un Sacramento, la Consolación, que consiste en eliminar el pecado y convertir al creyente en un cátaro 'perfecto'.;;;;;;;;;x
cathar_FEATURES;§Y*§! Women may hold all councillor positions\n§Y*§! Women may lead armies;§Y*§! Les femmes peuvent occuper n'importe quel poste du Conseil\n§Y*§! Les femmes peuvent mener des armées au combat;§Y*§! Frauen können alle Ratspositionen bekleiden\n§Y*§! Frauen können Armeen befehligen;;§Y*§! Las mujeres pueden ocupar todos los puestos de consejero\n§Y*§!Las mujeres pueden dirigir ejércitos;;;;;;;;;x

fraticelli;Fraticelli;fraticelle;Fratizellisch;;Fraticelli;;;;;;;;;x
fraticelli_DESC;The Fraticelli, or 'Little Brethren', is a Catholic heresy that originated in the Fransiscan Order of monks. It is devoted to poverty and asceticism - especially for men of the cloth. Fraticelli heretics are violently opposed to Church wealth and displays of opulence.;Les fraticelles, ou « petits frères », sont des hérétiques catholiques qui ont pour origine l'ordre des moines franciscains. Ils consacrent leur vie – tout particulièrement les hommes de robe – à la pauvreté et à l'ascétisme. Les hérétiques fraticelles s'opposent violemment à la richesse de l'Église et à son opulence ostentatoire.;Die Fratizellen sind eine katholische Ketzerei mit Ursprung im Franziskanischen Orden. Höchstes Gebot sind Armut und Askese - insbesondere für Priester. Die Fratizellen wenden sich entschieden gegen den Reichtum der Kirche.;;Los fraticelli, o 'hermanos menores', son una herejía católica originada dentro de la Orden monástica Franciscana. Dedicados a la pobreza y al ascetismo, especialmente para los religiosos. Los fraticelli se opusieron violentamente a las riquezas de la Iglesia y sus muestras de opulencia.;;;;;;;;;x

waldensian;Waldensian;vaudoise;Waldenserisch;;Valdense;;;;;;;;;x
waldensian_DESC;Originally a reform movement within the Catholic church, Waldensian heretics are anti-clerical and advocate a return to vows of poverty. They are opposed to capital punishment and believe that laymen can also administer the sacraments. This heresy has no formal head and no special game mechanics.;Les hérétiques vaudois, d'abord issus d'un mouvement de réforme au sein de l'Église catholique, sont anticléricaux et prônent un retour au voeu de pauvreté. Ils sont contre la peine capitale et croient que les laïcs aussi peuvent administrer des sacrements. \n\nDans le jeu, cette hérésie n'a ni chef officiel ni mécanique spécifique.;Ursprünglich eine Reformbewegung der Katholischen Kirche, sind die Waldenser antiklerikal eingestellt und bewerben die Rückkehr zur Armut. Sie stehen außerdem gegen die Todesstrafe ein und glauben, dass auch Laien die Sakramente vergeben können. Diese Ketzerei hat kein offizielles Oberhaupt und keine speziellen Spielmechaniken.;;Originalmente un movimiento de reforma dentro de la iglesia Católica, los herejes Valdenses son anticlericales y abogan por una vuelta a los votos de pobreza. Se oponen a la pena capital y creen que los laicos también pueden aplicar los sacramentos. Esta herejía no tiene jefe oficial ni mecánica especial de juego.;;;;;;;;;x

lollard;Lollard;lollarde;Lollardisch;;Lolardo;;;;;;;;;x
lollard_DESC;Lollard heretics are opposed to perceived corruption within the Catholic Church. Like many Catholic heresies, they loathe the wealth and ostentation of the clergy and advocate a return to a more original form of Christianity. This heresy has no formal head and no special game mechanics.;Les hérétiques lollards s'opposent à la corruption perçue au sein de l'Église catholique. Comme plusieurs autres hérésies catholiques, ils exècrent l'ostentation et les richesses du clergé et prônent un retour à une forme plus originelle du christianisme. \n\nDans le jeu, cette hérésie n'a ni chef officiel ni mécanique spécifique.;Lollardische Ketzer stehen der vermeintlichen Korruption der Katholischen Kirche gegenüber. Ähnlich anderer katholischer Ketzereien lehnen sie den Reichtum und die Pracht der Priester ab und befürworten eine Rückkehr zum ursprünglichen Christentum. Diese Ketzerei hat kein offizielles Oberhaupt und keine speziellen Spielmechaniken.;;Los herejes Lolardos se oponen a la corrupción que se percibe dentro de la Iglesia Católica. Al igual que muchas herejías Católicas, detestan la riqueza y la ostentación del clero y abogan por un retorno a una forma más primitiva del Cristianismo. Esta herejía no tiene jefe oficial ni mecánica especial de juego.;;;;;;;;;x

orthodox;Orthodox;orthodoxe;Orthodox;;Ortodoxo;;;;;;;;;x
