# GetDharmic
string_Dharmic;Dharmic;dharmique;Dharmisch;;dhármico;;;;;;;;;x
string_Dharmic_alt;[indian_group.GetGroupName];;;;;;;;;;;;;x

# GetGermanic
string_Germanic;Germanic;germanique;Germanisch;;germánico;;;;;;;;;x
string_Germanic_alt;[norse_pagan_reformed.GetName];;;;;;;;;;;;;x

# GetNubia
string_Nubia;Nubia;Nubie;Nubien;;;;;;;;;;;x
string_Nubia_alt;[nubian.GetName]ia;[nubian.GetName]ie;[nubian.GetName]ien;;;;;;;;;;;x

# GetLongbowDesc
ca_culture_saxon_english_1_desc_RANDOM;The strong tradition of archery produces excellent bowmen. Here they can practise with their powerful longbows.;La vieille tradition de tir à l'arc produit d'excellents archers. Ils peuvent s'exercer ici avec leurs puissants arcs longs.;Die starke Tradition des Bogenschießens hat exzellente Bogenschützen hervorgebracht. Hier können sie mit ihren mächtigen Langbögen üben.;;La fuerte tradición del tiro con arco produce unos arqueros excelentes. Aquí pueden entrenar con sus poderosos arcos largos.;;;;;;;;;x
ca_culture_saxon_english_1_desc_REAL;The strong tradition of archery in England and Wales produces excellent bowmen. Here they can practise with their powerful longbows.;La vieille tradition de tir à l'arc en Angleterre et au Pays de Galles produit d'excellents archers. Ils peuvent s'exercer ici avec leurs puissants arcs longs.;Die starke Tradition des Bogenschießens in England und Wales hat exzellente Bogenschützen hervorgebracht. Hier können sie mit ihren mächtigen Langbögen üben.;;La fuerte tradición del tiro con arco en Inglaterra y Gales produce unos arqueros excelentes. Aquí pueden entrenar con sus poderosos arcos largos.;;;;;;;;;x

# GetMoors
ca_culture_moor_alt;[berber.GetName]s;;[berber.GetName];;;;;;;;;;;x

# GetMoorish
ca_culture_moorish_alt;[berber.GetName]ish;[berber.GetName];[berber.GetName];;[berber.GetName]a;;;;;;;;;x

# GetHimalayanDesc
ca_culture_tibetan_desc_altered;The hardy peoples of the mountains are experts at fighting in rough and rocky terrain.;Les peuples hardis de la montagne sont des experts au combat en terrain escarpé et rocailleux.;Die abgehärteten Bewohner der Berge sind Experten, wenn es darum geht, in rauen und bergigem Gelände zu kämpfen.;;Las duras gentes de las montañas son expertas en luchar en terreno abrupto y montañoso.;;;;;;;;;x
ca_culture_tibetan_desc_original;The hardy peoples of the Himalayas are experts at fighting in rough and mountainous terrain.;Les habitants de l'Himalaya sont des experts en combat en terrain montagneux.;Die abgehärteten Bewohner des Himalaya sind Experten, wenn es darum geht, in rauen und bergigem Gelände zu kämpfen.;;Las duras gentes del Himalaya son expertas en luchar en terreno abrupto y montañoso.;;;;;;;;;x

# GetSerbianDesc
ca_culture_group_south_slavic_1_desc_altered;This light cavalry force can trace its origins back centuries. Armed with spears and shields, they often serve in a support role, charging the enemy as soon as an opportunity presents itself.;La cavalerie légère trouve son origine des siècles plus tôt. Ses membres sont armés de lances et de boucliers et servent surtout à appuyer les autres unités. Ils chargent l'ennemi dès que l'occasion se présente.;Der Ursprung dieser leichten Kavallerie-Streitmacht lässt sich Jahrhunderte zurückverfolgen. Bewaffnet mit Speeren und Schilden, dienen sie häufig in einer unterstützenden Weise, und greifen den Feind an, sobald sich ihnen eine Gelegenheit bietet.;;Los orígenes de esta caballería ligera se remontan a hace siglos. Armada con lanzas y escudos, a menudo cumple una labor de apoyo y carga contra el enemigo tan pronto como se presenta la oportunidad.;;;;;;;;;x
ca_culture_group_south_slavic_1_desc_original;This light cavalry force can trace its origins back to Serbia. Armed with spears and shields, they often serve in a support role, charging the enemy as soon as an opportunity presents itself.;La cavalerie légère des Gusar trouve son origine en Serbie. Ses membres sont armés de lances et de boucliers et servent surtout à appuyer les autres unités. Ils chargent l'ennemi dès que l'occasion se présente.;Diese leichte Kavallerie-Streitmacht kann seine Herkunft bis nach Serbien zurückverfolgen. Bewaffnet mit Speeren und Schilden, dienen sie häufig in einer unterstützenden Weise, und greifen den Feind an, sobald sich ihnen eine Gelegenheit bietet.;;Los orígenes de esta caballería ligera se remontan a Serbia. Armada con lanzas y escudos, a menudo cumple una labor de apoyo y carga contra el enemigo tan pronto como se presenta la oportunidad.;;;;;;;;;x

# GetFlemishDesc
ca_culture_dutch_1_desc_altered;These urban militias are named after the mace they favor in battle. They have proven themselves more than once against armored cavalry.;Ces milices urbaines tirent leur nom de leur arme de prédilection sur le champ de bataille. Elles ont plus d'une fois fait leurs preuves contre la cavalerie lourde.;Diese städtische Miliz ist nach dem Morgenstern benannt, den sie im Kampf bevorzugen. Sie haben sich mehr als einmal gegen gepanzerte Kavallerie behauptet.;;Estas milicias urbanas llevan el nombre de la maza que esgrimen en la batalla. En más de una ocasión han mostrado su valía contra caballería acorazada.;;;;;;;;;x
ca_culture_dutch_1_desc_original;These urban militias are named after the Flemish goedendag mace they favor in battle. They have proven themselves more than once against armored cavalry.;Ces milices urbaines tirent leur nom du godendart flamand, leur arme de prédilection. Elles ont plus d'une fois fait leurs preuves contre la cavalerie lourde.;Diese städtische Miliz ist nach dem flämischen Morgenstern benannt, den sie im Kampf bevorzugen. Sie haben sich mehr als einmal gegen gepanzerte Kavallerie behauptet.;;Estas milicias urbanas llevan el nombre de la maza flamenca goedendag que esgrimen en la batalla. En más de una ocasión han mostrado su valía contra caballería acorazada.;;;;;;;;;x

# GetSpanishCatolica
string_catholic_spanish_a;_;;;;católica;;;;;;;;;x
string_catholic_spanish_dynamic;_;;;;[catholic.GetName]a;;;;;;;;;x

# GetRandomHREPrefix
hre_blessed;Blessed;Saint-;Gesegnetes;;Bendito;;;;;;;;;x
hre_divine;Divine;Divin ;Göttliches;;Divino;;;;;;;;;x
hre_hallowed;Hallowed;Saint-;Geheiligtes;;Santo;;;;;;;;;x
hre_holy;Holy;Saint-;Heiliges;;Sacro;;;;;;;;;x
hre_sacrosanct;Sacrosanct;Sacro-saint ;Sakrosanktes;;Sacrosanto;;;;;;;;;x

# GetFrenchCatholicisme
string_catholic_french_catholicisme;_;catholicisme;;;;;;;;;;;;x
string_catholic_french_dynamic_isme;_;[catholic.GetName]isme;;;;;;;;;;;;x

# GetDharmicOrRandom
string_holywar_dharmic;Dharmic;dharmique;Dharmisch;;Dhármico;;;;;;;;;x
string_holywar_random_name;[hindu.GetName], [buddhist.GetName] and [jain.GetName];[hindu.GetName], [buddhist.GetName] et [jain.GetName];[hindu.GetName], [buddhist.GetName] und [jain.GetName];;[hindu.GetName], [buddhist.GetName] y [jain.GetName];;;;;;;;;x

# GetChristendomOrRandom
string_random_group_name;[Root.Religion.GetGroupName];;;;;;;;;;;;;x
string_christendom;Christendom;chrétienté;Christlich;;Cristiandad;;;;;;;;;x

# GetJewsName
string_random_jews_name;[jewish.GetName]s;;[jewish.GetName]en;;;;;;;;;;;x
string_jews;Jews;juifs;Juden;;Judíos;;;;;;;;;x

# GetJewryName
string_jewry;Jewry;juifs;Jüdisch;;Judería;;;;;;;;;x

# GetChinaGermanic
string_germanic_like;Germanic;les cultures germaniques;Germanisch;;germánicas;;;;;;;;;x
string_germanic_random_like;[north_germanic.GetGroupName], [central_germanic.GetGroupName] and [west_germanic.GetGroupName];les groupes culturels [north_germanic.GetGroupName], [central_germanic.GetGroupName] et [west_germanic.GetGroupName];[north_germanic.GetGroupName], [central_germanic.GetGroupName] und [west_germanic.GetGroupName];; [north_germanic.GetGroupName]s, [central_germanic.GetGroupName]s y [west_germanic.GetGroupName]s;;;;;;;;;x

# GetChinaFinnoMagyar
string_finnomagyar_like;Finno-Magyar;les cultures finno-magyares;;;fino-magiares;;;;;;;;;x
string_finnomagyar_random_like;[finno_ugric.GetGroupName] and [magyar.GetGroupName];les groupes culturels [finno_ugric.GetGroupName] et [magyar.GetGroupName];[finno_ugric.GetGroupName] und [magyar.GetGroupName];;[finno_ugric.GetGroupName] y [magyar.GetGroupName];;;;;;;;;x

# GetChinaAfrican
string_african_like;African;les cultures africaines;Afrikanisch;;africano;;;;;;;;;x
string_african_random_like;[east_african.GetGroupName] and [west_african.GetGroupName];les cultures [east_african.GetGroupName]s et [west_african.GetGroupName]s;[east_african.GetGroupName] und [west_african.GetGroupName];; [east_african.GetGroupName]s y [west_african.GetGroupName]s;;;;;;;;;x

# GetChinaBaltoSlavic
string_baltoslavic_like;Balto-Slavic;les cultures balto-slaves;Balto-Slavisch;;baltoeslavo;;;;;;;;;x
string_baltoslavic_random_like;[baltic.GetGroupName], [east_slavic.GetGroupName], [west_slavic.GetGroupName], and [south_slavic.GetGroupName];les groupes culturels [baltic.GetGroupName], [east_slavic.GetGroupName], [west_slavic.GetGroupName] et [south_slavic.GetGroupName];[baltic.GetGroupName], [east_slavic.GetGroupName], [west_slavic.GetGroupName] und [south_slavic.GetGroupName];; [baltic.GetGroupName]s, [east_slavic.GetGroupName]s, [west_slavic.GetGroupName]s y [south_slavic.GetGroupName]s;;;;;;;;;x

# GetChinaZunist
string_zun_like;Zunist;zunistes;Zunistisch;;los zunistas;;;;;;;;;x
string_zun_random_like;[zun_pagan_reformed.GetName];;;;los [zun_pagan_reformed.GetName]s;;;;;;;;;x

# GetChinaJews
string_jew_like;Jew;juives;Jüdisch;;los judíos;;;;;;;;;x
