# Unused and/or EU3 holdovers ?

ADD_IDEA;Gain a $NEW$ idea.\n;Obtention d'une idée : $NEW$.\n;$NEW$ Idee.\n;$NEW$ - zyskana doktryna.\n;Ganancia de una idea en '$NEW$'.\n;Ottieni un'idea per: $NEW$.\n;$NEW$ szerzett egy új ötletet.\n;;;;;;;x
ADD_SUB_UNIT_EFFECT;Get $UNIT$ in $WHERE$;Envoyer $UNIT$ à $WHERE$;Erhaltet $UNIT$ in $WHERE$;Get $UNIT$ in $WHERE$;Obtener una unidad de $UNIT$ en $WHERE$.;Porta $UNIT$ a $WHERE$;Get $UNIT$ in $WHERE$;Získat $UNIT$ v $WHERE$;;;;;;x
ADVISOR_DEAD;The $TYPE$ $WHO$ dies.\n;Décès du : $TYPE$ $WHO$.\n;Der $TYPE$ $WHO$ stirbt.\n;$TYPE$ $WHO$ umiera.\n;Muere el $TYPE$ $WHO$.\n;$WHO$: $TYPE$ morto.\n;$WHO$ - $TYPE$ - meghalt.\n;;;;;;;x
AFFORD_SHIP_COST;You can not afford this ship. You need at least $COST$ ¤;Vous ne pouvez pas vous permettre ce navire. Il vous faut au moins $COST$.;Ihr könnt Euch dieses Schiff nicht leisten. Ihr benötigt mindestens $COST$ ¤;Nie staæ ciê na budowê tego okrêtu. Potrzebujesz przynajmniej $COST$ ¤.;No podéis permitiros este barco. Necesitáis al menos $COST$ ¤;Non puoi permetterti questa nave. TI servono almeno $COST$ ¤;Nincs elég pénzed erre a hajóra, legalább $COST$ dukátra van szükséged.;Na tuto loï nemáte peníze. Potøebujete alespoò $COST$ ¤;;;;;;x
AGRESSION_WAR_NAME;$ORDER$War of $FIRST$ Aggression;$ORDER$Guerre d'agression $FIRST$;$ORDER$Krieg der $FIRST$ Aggression;Wojna $ORDER$ $FIRST$ ;$ORDER$ Guerra de Agresión de $FIRST$;$ORDER$ guerra di aggressione $FIRST$;$ORDER$War of $FIRST$ agresszió;$ORDER$ válka - $FIRST$ agrese;;;;;;x
ALLIANCEOFFDESC;Do you wish to offer an Alliance to $COUNTRY$. Doing so will oblige us to assist each other in times of war.;Voulez-vous proposer une alliance à $COUNTRY$ ? Cela nous obligera à nous porter mutuellement assistance en cas de guerre.;Möchtet Ihr $COUNTRY$ ein Bündnis anbieten? Dies wird uns verpflichten, einander in Kriegszeiten beizustehen.;Czy chcesz zaproponowaæ zawarcie sojuszu pañstwu: $COUNTRY$? Podpisuj¹c go, bêdziemy zobligowani do wzajemnej pomocy w razie wojny.;¿Deseáis ofrecerle una alianza a $COUNTRY$? Si lo hacéis, estaremos obligados mutuamente a ayudarnos en tiempos de guerra.;Vuoi offrire un'alleanza a: $COUNTRY$? Questo ci obbligherà a sostenerci a vicenda in tempi di guerra.;Szeretnél szövetséget ajánlani $COUNTRY$ nemzetének? Ha így döntesz, akkor kötelességetek lesz egymás kisegíteni a háborús idõkben.;Chcete nabídnout alianci $COUNTRY$. Pokud tak uèiníme, budeme si muset navzájem pomáhat v èasech války.;;;;;;x
ALLIANCEREQDESC;$ACTOR$ offers us an Alliance. By doing so we are promising to help each other in times of war.;$ACTOR$ nous propose une alliance. Si nous acceptons, nous nous engageons à nous porter mutuellement assistance en cas de guerre.;$ACTOR$ bietet uns ein Bündnis an. Hierdurch versprechen wir, einander in Kriegszeiten beizustehen.;$ACTOR$ proponuje nam zawarcie sojuszu. Zgadzaj¹c siê, zobowi¹zujemy siê pomagaæ sobie wzajemnie w wypadku wojny.;$ACTOR$ nos ofrece una alianza. Si la aceptamos, nos comprometeremos a ayudarles en tiempos de guerra.;$ACTOR$ ci propone un'alleanza. Accettando, ci impegniamo ad aiutarci a vicenda in tempi di guerra.;$ACTOR$ szövetséget ajánlott nekünk. Így téve meg kell ígérnünk nekik, hogy háború esetén egymást fogjuk segíteni.;$ACTOR$ nám nabízí spojenectví. Pøijmeme-li ho, budeme si muset navzájem pomáhat v èase války.;;;;;;x
ALLIEDWITH;Allied with the $LIST$.;Allié à : $LIST$.;Verbündet mit $LIST$.;Sojusz z $LIST$.;Alianza con $LIST$.;Alleato con: $LIST$.;Szövetségesei: $LIST$.;V alianci s $LIST$.;;;;;;x
ARMYTRADITION_EFFECT;$DIRECTION$ $VALUE$ army tradition\n;$DIRECTION$ $VALUE$ en tradition militaire\n;$DIRECTION$ $VALUE$ Armeetradition\n;$DIRECTION$ $VALUE$ tradycji wojskowej\n;Una $DIRECTION$ de $VALUE$ en tradición del ejército\n;Tradizione esercito: $DIRECTION$ $VALUE$\n;$DIRECTION$ $VALUE$ hadi szokás\n;;;;;;;x
ASSIGN_OFFICE_EFFECT;Appoint $CHAR$ to $NEW$.\n;Nomme $CHAR$ au poste de $NEW$.\n;$CHAR$ zu $NEW$ ernennen.\n;;Nombra $NEW$ a $CHAR$.\n;Nomina $CHAR$ $NEW$.;;;;;;;;x
BADBOY_EFFECT;$DIRECTION$ $VALUE|-%$ Threat\n;$DIRECTION$ $VALUE|-%$ de menace\n;$DIRECTION$ $VALUE|-%$ Bedrohung\n;;$DIRECTION$ $VALUE|-%$ Amenaza\n;;;;;;;;;xBADBOY0;We have an honorable reputation.;Nous avons une excellente réputation.;Wir haben einen ehrenvollen Ruf.;Cieszymy siê ogromnym szacunkiem.;Tenemos una reputación honorable.;Godiamo di una reputazione onorevole.;Tisztességes hírnévvel rendelkezünk.;Máme ctihodnou reputaci.;;;;;;x
BADBOY1;We have a respectable reputation.;Notre réputation est respectable.;Wir haben einen respektablen Ruf.;Cieszymy siê szacunkiem.;Tenemos una reputación respetable.;Godiamo di una reputazione rispettabile.;Jó hírnévvel rendelkezünk.;Máme respektuhodnou reputaci.;;;;;;x
BADBOY2;We have a slightly tarnished reputation.;Notre réputation est légèrement ternie.;Wir haben einen leicht zweifelhaften Ruf.;Nasza reputacja jest lekko nadszarpniêta.;Tenemos una reputación algo manchada.;Abbiamo una reputazione leggermente offuscata.;Egy kicsit homályos hírnévvel rendelkezünk.;Máme ponìkud pošpinìnou reputaci.;;;;;;x
BADBOY3;We have a tarnished reputation.;Notre réputation est ternie.;Wir haben einen zweifelhaften Ruf.;Mamy nadszarpniêt¹ reputacjê.;Tenemos una reputación manchada.;La nostra reputazione è offuscata.;Homályos hírnévvel rendelkezünk.;Máme poskvrnìnou reputaci.;;;;;;x
BADBOY4;We have a rather bad reputation.;Nous avons mauvaise réputation.;Wir haben einen eher schlechten Ruf.;Mamy raczej z³¹ reputacjê.;Tenemos una reputación bastante mala.;Abbiamo una reputazione piuttosto negativa.;Inkább rossz a hírnevünk.;Máme dost špatnou reputaci.;;;;;;x
BADBOY5;We have a very bad reputation;Nous avons très mauvaise réputation.;Wir haben einen sehr schlechten Ruf.;Cieszymy siê bardzo z³¹ reputacj¹.;Tenemos una reputación muy mala.;Abbiamo una reputazione molto negativa.;Elég rossz hírnevünk van.;Máme velmi špatnou reputaci.;;;;;;x
BADBOY6;We have an extremely bad reputation.;Notre réputation est extrêmement mauvaise.;Wir haben einen extrem schlechten Ruf.;Cieszymy siê niezwykle z³¹ reputacj¹.;Tenemos una reputación extremadamente mala.;Abbiamo una reputazione estremamente negativa.;Szélsõségesen rossz hírnevünk van.;Máme extrémnì špatnou reputaci.;;;;;;x
BADBOY7;We are dishonorable scum.;Nous ne sommes que des rebuts indignes.;Wir sind ehrloser Abschaum.;Jesteœmy uznawani za ³ajdaków.;Somos escoria sin honor.;Siamo considerati della feccia.;Gyalázatos hírnevünk van.;Jsme naprosto bezectní.;;;;;;x
BADBOY8;We are worse than dishonorable scum.;Nous sommes pires que des rebuts indignes.;Wir sind schlimmer als ehrloser Abschaum.;Lepsz¹ reputacjê maj¹ najgorsze szumowiny;Somos peores que la escoria sin honor.;Siamo considerati peggio della feccia.;Rosszabbak vagyunk még a gyalázatos söpredéktõl is.;Jsme horší než naprosto bezectní.;;;;;;x
BADBOY9;We are hated throughout the entire world.;Nous sommes détestés par la terre entière.;Wir sind in der ganzen Welt vollkommen verhasst.;Jesteœmy znienawidzeni na ca³ym œwiecie.;El mundo entero nos odia.;Siamo odiati dal mondo intero.;Az egész világ utál minket.;Nenávidí nás celý svìt.;;;;;;x
BADBOYOTHER0;They have an honorable reputation.;Ils ont une excellente réputation.;Sie haben einen ehrenvollen Ruf.;Ciesz¹ siê ogromnym szacunkiem.;Tienen una reputación honorable.;Godono di una reputazione onorevole.;Tisztességes hírnevük van.;Oni mají ctihodnou reputaci.;;;;;;x
BADBOYOTHER1;They have a respectable reputation.;Leur réputation est respectable.;Sie haben einen respektablen Ruf.;Ciesz¹ siê szacunkiem.;Tienen una reputación respetable.;Godono di una reputazione rispettabile.;Jó hírnevük van.;Oni mají respektuhodnou reputaci.;;;;;;x
BADBOYOTHER2;They have a slightly tarnished reputation.;Leur réputation est légèrement ternie.;Sie haben einen leicht zweifelhaften Ruf.;Ich reputacja jest lekko nadszarpniêta.;Tienen una reputación algo manchada.;Hanno una reputazione leggermente offuscata.;Egy kicsit homályos hírnevük van.;Oni mají ponìkud pošpinìnou reputaci.;;;;;;x
BADBOYOTHER3;They have a tarnished reputation.;Leur réputation est ternie.;Sie haben einen zweifelhaften Ruf.;Maj¹ nadszarpniêt¹ reputacjê.;Tienen una reputación manchada.;La loro reputazione è offuscata.;Homályos hírnevük van.;Oni mají poskvrnìnou reputaci.;;;;;;x
BADBOYOTHER4;They have a rather bad reputation.;Ils ont mauvaise réputation.;Sie haben einen eher schlechten Ruf.;Maj¹ raczej z³¹ reputacjê.;Tienen una reputación bastante mala.;Hanno una reputazione piuttosto negativa.;Egy kicsit rossz a hírnevük.;Oni mají dost špatnou reputaci.;;;;;;x
BADBOYOTHER5;They have a very bad reputation;Ils ont très mauvaise réputation.;Sie haben einen sehr schlechten Ruf.;Ciesz¹ siê bardzo z³¹ reputacj¹;Tienen una reputación muy mala.;Hanno una reputazione molto negativa.;Elég rossz a hírnevük.;Oni mají velmi špatnou reputaci.;;;;;;x
BADBOYOTHER6;They have an extremely bad reputation.;Notre réputation est extrêmement mauvaise.;Sie haben einen extrem schlechten Ruf.;Ciesz¹ siê niezwykle z³¹ reputacj¹.;Tienen una reputación extremadamente mala.;Hanno una reputazione estremamente negativa.;Szélsõségesen rossz hírnevük van.;Oni mají extrémnì špatnou reputaci.;;;;;;x
BADBOYOTHER7;They are dishonorable scum.;Ce ne sont que des rebuts indignes.;Sie sind ehrloser Abschaum.;S¹ uznawani za ³ajdaków.;Son escoria sin honor.;Sono considerati della feccia.;Gyalázatos hírnevük van.;Jsou naprosto bezectní.;;;;;;x
BADBOYOTHER8;They are worse than dishonorable scum.;Ils sont pires que des rebuts indignes.;Sie sind schlimmer als ehrloser Abschaum.;Lepsz¹ reputacjê maj¹ najgorsze szumowiny.;Son peores que la escoria sin honor.;Sono considerati peggio della feccia.;Rosszabbak még a leggyalázatosabb söpredéktõl is.;Jsou horší než naprosto bezectní.;;;;;;x
BADBOYOTHER9;They are hated throughout the entire world.;Ils sont détestés par la terre entière.;Sie sind in der ganzen Welt vollkommen verhasst.;S¹ znienawidzeni na ca³ym œwiecie.;El mundo entero les odia.;Sono odiati dal mondo intero.;Az egész világ utálja õket.;Nenávidí je celý svìt.;;;;;;x
BARBARIAN_POWER_EFFECT;$DIRECTION$ $VALUE$ barbarian power in $WHERE$\n;$DIRECTION$ $VALUE$ en puissance barbare à : $WHERE$\n;$DIRECTION$ $VALUE$ Barbarenmacht in $WHERE$\n;;$WHO$ tiene una $DIRECTION$ de $VALUE$ en fuerza bárbara\n;$WHERE$: $DIRECTION$ $VALUE$ potere barbaro\n;;;;;;;;x
CB_AGAINST;$NAME$' Casus Belli against $WHO$;Casus belli $NAME$' contre $WHO$;$NAME$' Kriegsgrund gegen $WHO$;;Casus belli de $NAME$ contra $WHO$;;;;;;;;;x
CB_AGAINST_TIMED;$NAME$' Casus Belli against $WHO$ until $DATE$;Casus belli $NAME$' contre $WHO$ jusqu'au $DATE$;$NAME$' Kriegsgrund gegen $WHO$ bis $DATE$;;Casus belli de $NAME$ contra $WHO$ hasta el $DATE$;;;;;;;;;x
CD_GIVESACCESS;Grants military access to $LIST$.;Accorde l'accès militaire à : $LIST$.;Gewährt Militärzugang an $LIST$.;Zgadza siê na przemarsz wojsk: $LIST$.;Concede acceso militar a $LIST$.;Garantisce l'accesso militare a: $LIST$.;Katonai hozzáférést biztosít nekik: $LIST$.;Poskytuje vojenský pøístup $LIST$.;;;;;;x
CD_HASACCESS;Has military access through $LIST$.;A un accès militaire à : $LIST$.;Hat Militärzugang von $LIST$.;Otrzyma³ zgodê na przemarsz wojsk przez $LIST$.;Tiene acceso militar a través de $LIST$. ;Ha l'accesso militare a: $LIST$.;Katonai hozzáféréssel rendelkeznek a területéhez: $LIST$.;Má vojenský pøístup skrze $LIST$.;;;;;;x
CH_ADD_RIVAL;$WHO$ became a rival.;$WHO$ est devenu un rival.;$WHO$ wurde ein Rivale.;;Se gana la rivalidad de $WHO$.;$WHO$ è diventato un rivale.;;;;;;;;x
CH_ALLEGIANCE;Joined $WHERE$.;A rejoint $WHERE$.;Schloss sich $WHERE$ an.;;Se une a $WHERE$.;Partecipa a $WHERE$.;;;;;;;;x
CH_BATTLE_RESULT_LONG;He had §Y$US$§! men and faced §Y$THEM$§! under §Y$ENEMY$§!. He lost §Y$OUR_LOSSES$§!, while inflicting §Y$THEIR_LOSSES$§! on the enemy.;Il avait §Y$US$§! hommes et a affronté §Y$THEM$§! sous §Y$ENEMY$§!. Il a perdu §Y$OUR_LOSSES$§!, en infligeant §Y$THEIR_LOSSES$§! pertes à l'ennemi.;Er hatte §Y$US$§! Männer und stand den §Y$THEM$§! unter §Y$ENEMY$§! gegenüber. Er verlor §Y$OUR_LOSSES$§! und tötete §Y$THEIR_LOSSES$§! Feinde.;;Tenía §Y$US$§! hombres y se ha enfrentado a §Y$THEM$§! de los §Y$ENEMY$§!. Pierde §Y$OUR_LOSSES$§!, aunque provoca §Y$THEIR_LOSSES$§! bajas al enemigo.;Aveva §Y$US$§! uomini e ha affrontato §Y$THEM$§! sotto §Y$ENEMY$§!. Ha perso §Y$OUR_LOSSES$§!, infliggendo §Y$THEIR_LOSSES$§! perdite al nemico.;;;;;;;;x
CH_BATTLE_RESULT_SHORT;$RESULT$ $NAME$;$RESULT$ $NAME$;$RESULT$ $NAME$;;$RESULT$ $NAME$;$RESULT$ $NAME$;;;;;;;;x
CH_BORN;Born;Date de naissance ;Geboren;;Nace;È nato;;;;;;;;x
CH_CULTURE_CHANGE;Turned into a $CULTURE$.;A adopté la culture $CULTURE$.;Wurde zu $CULTURE$.;;Se ha convertido a la cultura $CULTURE$.;Passato a: $CULTURE$.;;;;;;;;x
CH_DEC;decreased;a diminué;gesunken;;decrecido;peggiorata;;;;;;;;x
CH_DIED;Died;Date de décès ;Starb;;Muere;È morto;;;;;;;;x
CH_DIPLOMACY_CHANGE;Diplomacy $DIRECTION$ by $CHANGE$;Diplomatie $DIRECTION$ de $CHANGE$;Diplomatie $DIRECTION$ um $CHANGE$;;Diplomacia: $DIRECTION$ en $CHANGE$;;;;;;;;;x
CH_DIVORCE;Divorced $WHO$.;A divorcé de $WHO$.;Wurde von $WHO$ geschieden.;;Se divorcia de $WHO$.;Ha divorziato da $WHO$.;;;;;;;;x
CH_FAMILY_CHANGE;Adopted into $FAMILY$;Adoption par $FAMILY$;Adoptiert von $FAMILY$;;Adoptado(a) por los $FAMILY$;Adottato nella famiglia $FAMILY$;;;;;;;;x
CH_FERTILITY_CHANGE;Fertility $DIRECTION$ by $CHANGE$;Fertilité $DIRECTION$ de $CHANGE$;Fruchtbarkeit $DIRECTION$ um $CHANGE$;;$DIRECTION$ $CHANGE$ de fertilidad;Fertilità $DIRECTION$ di $CHANGE$;;;;;;;;x
CH_GAIN_FRIEND;Gained $WHO$ as a friend;A gagné $WHO$ comme ami;Bekam $WHO$ zum Freund;;Se gana la amistad de $WHO$;Ha guadagnato l'amicizia di $WHO$;;;;;;;;x
CH_GAIN_TRAIT;Gained '$TRAIT$';A le trait '$TRAIT$';Erhielt "$TRAIT$";;Gana el rasgo '$TRAIT$';Ha guadagnato '$TRAIT$';;;;;;;;x
CH_GAINED_TITLE;Became $TITLE$;Est $TITLE$;Wurde $TITLE$;;Se ha convertido en $TITLE$;;;;;;;;;x
CH_GUARDIAN;Educated by $WHERE$;Éducation par $WHERE$;Erzogen von $WHERE$;;Educado por $WHERE$;;;;;;;;;x
CH_HEALTH_CHANGE;Health $DIRECTION$ by $CHANGE$;Santé $DIRECTION$ de $CHANGE$;Gesundheit $DIRECTION$ um $CHANGE$;;Salud: $DIRECTION$ en $CHANGE$;;;;;;;;;x
CH_INC;increased;a augmenté;angestiegen;;aumentado;migliorata;;;;;;;;x
CH_INTRIGUE_CHANGE;Intrigue $DIRECTION$ by $CHANGE$;Intrigue $DIRECTION$ de $CHANGE$;Intrige $DIRECTION$ um $CHANGE$;;Intriga: $DIRECTION$ en $CHANGE$;;;;;;;;;x
