#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
AIREASON_ENEMY_IS_TRIBUTARY;Enemy is my Tributary;L'ennemi est mon tributaire;Feind ist mir tributpflichtig;;El enemigo es mi tributario;;;;;;;;;x
AIREASON_NO_PORT;Desires coastal counties;Souhaite des comtés côtiers;Möchte Küstenprovinzen;;Deseas provincias costeras;;;;;;;;;x
AIREASON_NOT_DUCHY;Desires a duchy;Souhaite un duché;Möchte ein Herzogtum;;Deseas un ducado;;;;;;;;;x
AIREASON_TRIBUTARY_WAR_AGAINST_TRIBUTARY;Tributary war against my Tributary;Guerre tributaire contre mon tributaire;Tributkrieg gegen meinen Tributstaat;;Guerra tributaria contra mi tributario;;;;;;;;;x
AIREASON_WAR_AGAINST_TRIBUTARY;War against my Tributary;Guerre contre mon tributaire;Krieg gegen meinen Tributstaat;;Guerra contra mi tributario;;;;;;;;;x
AIREASON_WAR_FROM_TRIBUTARY;Interests in my Tributary;Intérêts envers mon tributaire;Interesse an dem Tributstaat;;Intereses en mi tributario;;;;;;;;;x
ALL_UNITS;All Units;Toutes les unités;Alle Einheiten;;Todas las unidades;;;;;;;;;x
ANY_MERCENARY_BAND_STARTS;Any mercenary band;N'importe quelle bande de mercenaires;Beliebiger Söldnertrupp;;Cualquier compañía mercenaria;;;;;;;;;x
ANY_UNIT;Any Unit;N'importe quelle unité;Beliebige Einheit;;Cualquier unidad;;;;;;;;;x
BARONY_DESTROYED;This barony has been destroyed;Cette baronnie a été détruite;Diese Baronie wurde zerstört;;Esta baronía ha sido destruida.;;;;;;;;;x
CALL_ALL_NOT_INDEPENDENT;Cannot Call Tribal or Nomadic Vassals since you are not an independent ruler.;Impossible d'appeler les vassaux tribaux ou nomades car vous n'êtes pas un dirigeant indépendant.;Stammes- und Nomadenvasallen können nicht gerufen werden, da Ihr kein unabhängiger Herrscher seid.;;No se puede llamar a vasallos tribales o nómadas puesto que no eres un gobernante independiente.;;;;;;;;;x
CALL_ALL_NOT_TRIBAL;Cannot Call Tribal or Nomadic Vassals since you are not Tribal;Impossible d'appeler les vassaux tribaux ou nomades car vous n'avez pas un gouvernement tribal;Stammes- und Nomadenvasallen können nicht gerufen werden, da Ihr keine Stammesregierung habt;;No puede llamar a vasallos tribales o nómadas ya que no eres tribal.;;;;;;;;;x
CALL_ALL_TRIBAL_CONTROL;Cannot Call Tribal or Nomadic Vassals as they give us Liege Levies instead;Impossible d'appeler les vassaux tribaux ou nomades, ils nous envoient des troupes seigneuriales à la place;Stammes- und Nomadenvasallen können nicht gerufen werden, da sie uns stattdessen Lehnstruppen stellen;;No se puede llamar a vasallos tribales o nómadas mientras nos den a cambio levas de vasallos;;;;;;;;;x
CALL_ALL_TRIBAL_VASSALS;Call all Tribal and Nomadic Vassals to War;Appeler tous les vassaux tribaux ou nomades à la guerre;Alle Stammes- und Nomandenvasallen zu den Waffen rufen;;Llamar a todos los vasallos tribales y nómadas a la guerra;;;;;;;;;x
CANNOT_BUILD;Your government doesn't allow you to build this.;Votre gouvernement ne vous permet pas de construire ce bâtiment;Eure Regierungsform lässt dieses Bauprojekt nicht zu.;;Tu gobierno no te permite construir esto.;;;;;;;;;x
CANNOT_BUY_RET_CURRENT_MANPOWER;\nYou cannot create this retinue, you do not have enough §YManpower§!.;\nVous ne pouvez pas créer cette escorte, vous ne disposez pas de suffisamment d'§Yeffectifs§!.;\nIhr könnt dieses Gefolge nicht erstellen, da Eure §YMannstärke§! zu gering ist.;;\nNo puede crear esta comitiva, no tienes suficiente §YManpower§!.;;;;;;;;;x
CANNOT_DESTROY_DURING_WAR;Cannot destroy contested title during war;Impossible de détruire le titre contesté pendant la guerre;Solange ein Krieg um den Titel geführt wird, kann er nicht zerstört werden.;;No se puede destruir un título impugnado durante la guerra;;;;;;;;;x
CLAN_FALLS_LOG;With the death of §Y$CLAN$§!, the mighty clan §Y$DYNASTY$§! has become extinct.;Avec la mort de §Y$CLAN$§!, le puissant clan de §Y$DYNASTY$§! s'est éteint.;Mit dem Tod von §Y$CLAN$§! endet die Geschichte des mächtigen Klans §Y$DYNASTY$§!.;;Con la muerte de §Y$CLAN$§!, el poderoso clan §Y$DYNASTY$§! se ha extinguido.;;;;;;;;;x
CLAN_FALLS_SETUP;Clan Falls;Le clan s'effondre;Klan geht unter;;Clan cae;;;;;;;;;x
CLAN_NAME;$DYNASTY$ Clan;Clan $DYNASTY$;$DYNASTY$ Klan;;Clan $DYNASTY$;;;;;;;;;x
CLAN_REVOLT;[Root.County.GetAdjective] Clan Revolt;Révolte de clan [Root.County.GetAdjective];[Root.County.GetAdjective] Klanrevolte;;Rebelión del clan [Root.County.GetAdjective];;;;;;;;;x
clan_revolt_desc;Clan revolts can rise up if the clan satisfaction is too low, and will try to better distribute the lands in a nomadic realm.;Des révoltes de clan peuvent survenir si le niveau de satisfaction est trop bas. Les clans tenteront de mieux répartir les terres dans un royaume nomade.;Zu einem Aufstand der Klans kommt es, wenn die Klanzufriedenheit zu niedrig ist. Ziel ist eine bessere Neuverteilung des Landbesitzes im Nomadenreich.;;Las revueltas de clanes pueden producirse si la satisfacción del clan es demasiado baja, y tratará de distribuir mejor las tierras en un reino nómada.;;;;;;;;;x
CLAN_RISES_LOG;A new clan has risen in $TITLE_ADJ$, under §Y$CLAN$§!.;Un nouveau clan a vu le jour en $TITLE_ADJ$, sous le clan de §Y$CLAN$§!.;Ein neuer Klan ist in $TITLE_ADJ$ unter der Führung von §Y$CLAN$§! entstanden.;;Un nuevo clan se ha elevado en $TITLE_ADJ$, bajo §Y$CLAN$§!.;;;;;;;;;x
CLAN_RISES_SETUP;Clan Rises;Le clan s'accroît;Ein Klan entsteht;;Asciende un clan;;;;;;;;;x
CLAN_SATISFACTION_REASON;$CLAN$ holds only §R$EMPTY_HOLDINGS$§! empty holdings compared to liege's §Y$LIEGE_EMPTY_HOLDINGS$§!.;$CLAN$ ne possède que §R$EMPTY_HOLDINGS$§! propriétés vides contre §Y$LIEGE_EMPTY_HOLDINGS$§! pour son seigneur.;$CLAN$ hält nur §R$EMPTY_HOLDINGS$§! freie Besitztümer im Vergleich zu den §Y$LIEGE_EMPTY_HOLDINGS$§! des Lehnsherrn.;;$CLAN$ sólo contienen §R$EMPTY_HOLDINGS$§! posesiones vacías comparadas con los vasallos §Y$LIEGE_EMPTY_HOLDINGS$§!.;;;;;;;;;x
COMBATVALUES;$NAME$\nDamage (£1£): §Y$DAMAGE$§!\nMorale Damage (£2£): §Y$MORALEDMG$§!\nDefence (£3£): §Y$DEFENCE$§!;$NAME$\nDégâts (£1) : §Y$DAMAGE$§!\nDégâts moraux (£2£) : §Y$MORALEDMG$§!\nDéfense (£3£) : §Y$DEFENCE$§!;$NAME$\nSchaden (£1£): §Y$DAMAGE$§!\nMoralschaden (£2£): §Y$MORALEDMG$§!\nVerteidigung (£3£): §Y$DEFENCE$§!;;$NAME$\nDaño (£1£)§Y$DAMAGE$§!\nDaño moral(£2£): §Y$MORALEDMG$§!: §Y$MORALEDMG$§!\nDefensa (£3£): §Y$DEFENCE$§!;;;;;;;;;x
COMBATVALUES_SUBUNIT;Damage per Soldier: §Y$DAMAGE$§!\nDefence per Soldier: §Y$DEFENCE$§!\n\nTotal Damage: §Y$TOTAL_DAMAGE$§!\nTotal Defence: §Y$TOTAL_DEFENCE$§!;Dégâts par soldat : §Y$DAMAGE$§!\nDéfense par soldat : §Y$DEFENCE$§!\n\nTotal des dégâts : §Y$TOTAL_DAMAGE$§!\nDéfense totale : §Y$TOTAL_DEFENCE$§!;Schaden pro Soldat: §Y$DAMAGE$§!\nVerteidigung pro Soldat: §Y$DEFENCE$§!\n\nGesamtschaden: §Y$TOTAL_DAMAGE$§!\nGesamtverteidigung: §Y$TOTAL_DEFENCE$§!;;Daño por soldado: §Y$DAMAGE$§!\nDefensa por soldado: §Y$DEFENCE$§!\n\nDaño total: §Y$TOTAL_DAMAGE$§!\nDefensa total: §Y$TOTAL_DEFENCE$§!;;;;;;;;;x
