#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# job_spymaster.txt

#########################
#
#	Spymaster events
#
#########################

# Plot Uncovered
evt_spymaster_001_title;Plot Uncovered;Complot déjoué;Verschwörung aufgedeckt;;Complot descubierto;;;;;;;;;x
evt_spymaster_001_desc_a;The rumors about a plot brewing here in [Root.Location.GetName] seems to be true.;Les rumeurs selon lesquelles un complot se tramerait à [Root.Location.GetName] semblent être vraies.;Die Gerüchte um eine Verschwörung hier in [Root.Location.GetName] scheinen wahr zu sein.;;Los rumores de que se cuece un complot aquí en [Root.Location.GetName] parecen ser verdaderos.;;;;;;;;;x
evt_spymaster_001_option_a;Hopefully I can uncover it in time.;J'espère pouvoir le déjouer à temps.;Hoffentlich kann ich sie noch zeitig aufdecken.;;Espero destaparlo a tiempo.;;;;;;;;;x

# The plotter is informed
evt_spymaster_002_desc_a;It seems that [From.GetTitledName], the spymaster of [From.Liege.GetTitledName], has been sent to [From.Location.GetName] to investigate rumors of a plot... Maybe he should be silenced before he finds out about my plot to [Root.GetPlot].;Visiblement, [From.Get_le_TitledName], le maître-espion [From.Liege.Get_du_TitledName] se trouve en [From.Location.GetName] pour enquêter sur des rumeurs de complot... Peut-être faudrait-il le réduire au silence avant qu'il ne découvre mon complot visant à [Root.GetPlot].;Es scheint, dass [From.GetTitledName], der Hofspitzel von [From.Liege.GetTitledName], nach [From.Location.GetName] gesandt wurde, um Gerüchte um eine Verschwörung zu untersuchen ... Vielleicht sollte man ihn zum Schweigen bringen, bevor er meine Verschwörung zum [Root.GetPlot] aufdeckt.;;Parece que han enviado a [From.GetTitledName], jefe de espías de [From.Liege.GetTitledName], a [From.Location.GetName] para investigar los rumores de complot... Quizás debamos silenciarlo antes de que descubra mi complot para [Root.GetPlot].;;;;;;;;;x
evt_spymaster_002_option_a;That might be necessary...;Ce sera peut-être nécessaire...;Das könnte notwendig sein ...;;Creo que sería necesario...;;;;;;;;;x
evt_spymaster_002_option_b;Have him killed immediately!;Éliminez-le immédiatement !;Er muss sterben, und zwar sofort!;;¡Que lo maten de inmediato!;;;;;;;;;x
evt_spymaster_002_option_c;Better not risk it.;Il vaut mieux ne prendre aucun risque.;Lieber nichts riskieren.;;Mejor no arriesgarse.;;;;;;;;;x

# Assassination attempt on the spymaster fails
evt_spymaster_003_desc_a;I caught a man trying to assassinate me! It turns out he was sent by [From.GetTitledName] to make sure I wouldn't find out about his plot to [From.GetPlot].;J'ai attrapé un homme qui tentait de m'éliminer ! Il avait été envoyé par [From.Get_le_TitledName] pour veiller à ce que je ne découvre pas son complot visant à [From.GetPlot].;Ich erwischte einen Mann beim Versuch, mich zu ermorden! Es stellte sich heraus, dass [From.GetTitledName] ihn ausgeschickt hatte, um sicherzustellen, dass ich nichts über seine Verschwörung bezüglich [From.GetPlot] herausfinde.;;¡Pillé a un hombre que intentaba asesinarme! Resulta que lo envió [From.GetTitledName] para asegurarse de que no descubriera su complot para [From.GetPlot].;;;;;;;;;x
evt_spymaster_003_option_a;I must report this to my liege!;Je dois le signaler à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige !;Ich muss meinem Fürsten Bericht erstatten!;;¡Debo informar de esto a mi señor!;;;;;;;;;x

# Spymaster informs liege about assassination attempt and plot
