RULE_ADVENTURERS;Adventurers;Aventuriers;Abenteurer;;Aventureros;;;;;;;;;x
RULE_ADVENTURERS_NONE_DESC;No Claimant or Raiding Adventurers will appear, with the exception of landless Nomads and specific event-spawned Adventurers.;Aucun prétendant ni aucun aventurier n'apparaîtront, hormis les nomades sans terre et les aventuriers engendrés par un événement.;Es erscheinen keine Anspruchsteller- und Plündererabenteurer außer landlosen Nomaden und speziellen, an Ereignisse gebundenen Abenteurern.;;Pretendiente y Aventureros asaltantes aparecerán por defecto.;;;;;;;;;x
RULE_ADVENTURERS_NORMAL_DESC;Claimant and Raiding Adventurers will appear as per default.;Les prétendants et les aventuriers apparaîtront comme par défaut.;Anspruchsteller- und Plündererabenteurer erscheinen standardmäßig.;;Durante el juego no aparecerán eventos que se pueden interpretar como sobrenaturales.;;;;;;;;;x
RULE_ADVENTURERS_ONLY_DESC;China can NOT launch Tributary wars or Major Invasions. Chinese Adventurers can spawn.;La Chine ne peut déclarer ni des guerres tributaires ni des invasions majeures. Les aventuriers chinois peuvent advenir.;China wird KEINE Tributkriege und KEINE großen Invasionen beginnen. Chinesische Abenteurer können auftauchen.;;China NO puede iniciar guerras tributarias o grandes invasiones. Pueden aparecer aventureros chinos;;;;;;;;;x
RULE_ADVENTURERS_RARE_DESC;Claimant and Raiding Adventurers will appear with less frequency.;Les prétendants et les aventuriers apparaîtront moins fréquemment.;Anspruchsteller- und Plündererabenteurer erscheinen weniger häufig.;;Flandes es parte del territorio De Jure del Sacro Imperio Romano;;;;;;;;;x
RULE_AI_INTRIGUE;§BWay of Life:§! AI Intrigue;Intrigue de l'IA (§BWay of Life§! - Mode de vie);§BWay of Life:§! KI-Intrigen;;§BWay of Life:§! Intriga IA;;;;;;;;;x
RULE_AI_INTRIGUE_OFF_DESC;AI rulers will never pick the Intrigue Focus.;Les dirigeants gérés par l'IA ne choisiront jamais comme intérêt l'intrigue;KI-Herrscher wählen niemals den Intrigenfokus.;;Los gobernantes IA nunca elegirán el Enfoque Intriga.;;;;;;;;;x
RULE_AI_INTRIGUE_ON_DESC;AI rulers with the Intrigue Focus will scheme and attempt to kidnap or murder other characters.;Les dirigeants gérés par l'IA ayant comme intérêt l'intrigue tenteront d'enlever ou de tuer d'autres personnages.;KI-Herrscher mit dem Intrigenfokus intrigieren und versuchen, andere Personen zu entführen oder zu ermorden.;;Los gobernantes IA con el Enfoque Intriga tramarán e intentarán secuestrar o asesinar a otros personajes.;;;;;;;;;x
RULE_AI_SEDUCTION;§BWay of Life:§! AI Seduction;Séduction de l'IA (§BWay of Life§! - Mode de vie);§BWay of Life:§! KI-Verführung;;§BWay of Life:§! Seducción IA;;;;;;;;;x
RULE_AI_SEDUCTION_OFF_DESC;AI rulers will never pick the Seduction Focus.;Les dirigeants gérés par l'IA ne choisiront jamais comme intérêt la séduction.;KI-Herrscher wählen niemals den Verführungsfokus.;;Los gobernantes IA nunca elegirán el Enfoque Seducción;;;;;;;;;x
