#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
AIREASON_AMBITION;Ambition;Ambition;Ambition;;Ambición;;;;;;;;;x
ANSWER_NO;No.;Non.;Nein.;;No.;;;;;;;;;x
ANSWER_YES;Yes.;Oui.;Ja.;;Sí.;;;;;;;;;x
ARMIES_INTERFACE_LABEL;§YArmies§!;§YArmées§!;§YArmeen§!;;§YEjércitos§!;§YEserciti§!;;;;;;;;x
BUILD_FORT_DESC;Forts can be built in any counties that you control, as well as in hostile provinces where you have troops present. They cost §Y$COST$§!¤ to build. Forts lock down your occupation of empty nomad provinces and negate the crushing Attrition penalty suffered in some Pagan homelands.;Vous pouvez construire des forts dans les comtés que vous contrôlez, y compris dans les comtés ennemis occupés. Construire un fort coûte §Y$COST$§!¤. Les forts pérennisent l'occupation de territoires nomades vides et annulent la forte attrition dans les terres païennes.;Der Bau von Forts ist in allen Provinzen, die von Euch kontrolliert werden, möglich, auch in feindlichen, wenn Ihr dort Truppen stationiert habt. Der Bau kostet §Y$COST$§!¤. Forts ermöglichen es, leere Nomadenprovinzen dauerhaft zu besetzen, und sie wirken der vernichtenden Zermürbung entgegen, die im Territorium mancher heidnischer Stämme auftritt.;;Las fortalezas pueden ser construidas en cualquier provincia que controlas, así como en las provincias hostiles donde tienes tropas presentes. Cuesta §Y$COST$§!¤ para construir. Las fortalezas bloquean tu ocupación de provincias nómadas vacías y anulan la penalización de desgaste aplastante sufrida en algunas tierras paganas.;;;;;;;;;x
CAPTAIN_female; ;; ;;;;;;;;;;;x
CLANS_MENU;§YClans§!;§YClans§!;§YKlans§!;;§YClanes§!;;;;;;;;x
COMBATS_INTERFACE_LABEL;§YLand Combat§!;§YBatailles§!;§YGefechte§!;§YWalki§!;§YCombates§!;§YCombattimento terrestre§!;§YCsaták§!;§YPozemní boj§!;;;;;;x
CONFIRM_BUILD_EXTRA_PRESTIGE_OR_PIETY_HOLDING_DESC;Are you sure you want to build a $TYPE$?\nIt will cost you §Y$COST$§! and will be finished on §Y$FINISHED$§!;Voulez-vous vraiment établir une propriété de type '$TYPE$' ?\nVous devrez payer §Y$COST$§! et cela s'achèvera le §Y$FINISHED$§!;$TYPE$ wirklich bauen?\nDies kostet §Y$COST$§! und wird fertiggestellt am §Y$FINISHED$§!.;;¿Seguro/a que deseas construir un/a $TYPE$?\n Te costará §Y$COST$§! y se terminará en §Y$FINISHED$§!;;;;;;;;;x
CONFIRM_DISBAND_TITLE_SUBUNIT;Do you wish to dismiss this regiment?;Souhaitez-vous démobiliser ce régiment ?;Wollt Ihr dieses Regiment entlassen?;;Deseas desmobilizar este regimiento?;;;;;;;;;x
CONTAINS_UNAVAILABLE_DECISION_UNLOCKS;Unlocks decisions not available for your character.;Débloque des décisions actuellement non disponibles pour votre personnage.;Ermöglicht Entscheidungen, die jetzt für Ihre Charakter nicht verfügbar sind.;;Desbloquea decisiones que no están actualmente disponibles para tu personaje.;;;;;;;;;x
DEMESNE_INTERFACE_LABEL;§YDemesne§!;§YDomaine§!;§YDomäne§!;;§YHeredad§!;;;;;;;;;x
DISBAND_SUBUNIT;Disband Regiment;Disperser le régiment;Regiment auflösen;;Disolver regimiento;;;;;;;;;x
DYNASTYTREE_INTERFACE_LABEL;§YDynasty Tree§!;§YArbre dynastique§!;§YDynastiebaum§!;;§YÁrbol dinástico§!;;;;;;;;;x
ENEMY_SIEGES_INTERFACE_LABEL;§YHostile Sieges§!;§YSièges hostiles§!;§YFeindliche Belagerungen§!;;§YAsedios hostiles§!;§YAssedi del nemico§!;;;;;;;;x
FACTIONS_MENU;§YFactions§!;§YFactions§!;§YFraktionen§!;;§YFacciones§!;;;;;;;;;x
