#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC24500;A Loving Marriage ends with my death.;Un mariage d'amour qui se termine par ma mort.;Eine Ehe voller Liebe endet mit meinem Tod.;;Un matrimonio feliz acaba con mi muerte.;;;;;;;;;x
EVTDESC24501;I keep thinking about [From.GetTitledFirstName]. She was the best of wives, and without her, I do so struggle to be a [Root.GetTitle]. Oh, how I miss her....;Je pense toujours [From.Get_au_TitledFirstName]. C'était la meilleure des épouses, et sans elle, il m'est difficile d'être un[Root.Get_E] [Root.GetTitle]. Oh, elle me manque tant...;Ich kann einfach nicht anders, als immerzu an [From.GetTitledFirstName] zu denken. Sie war eine wundervolle Gemahlin und ohne sie fällt es mir schwer, [Root.GetTitle] zu sein. Ach, wie ich sie vermisse ...;;Sigo pensando en [From.GetTitledFirstName]. Fue la mejor de las esposas, y sin ella me cuesta mucho ser un [Root.GetTitle]. Oh, cuánto la extraño....;;;;;;;;;x
EVTDESC24502;Who will my father trust in now?;À qui mon père se fiera-t-il maintenant ?;Wem wird mein Vater sich nun anvertrauen?;;¿En quién confiará ahora mi padre?;;;;;;;;;x
EVTDESC24503;The rest of my sons are nowhere near the abilities of [From.GetTitledFirstName]. He knew how to handle a sword, and would have been a great [Root.GetTitle] after my death.;Mes fils survivants, hélas, n'arrivent pas à la cheville [From.Get_du_TitledFirstName]. Lui, au moins, savait manier l'épée, et aurait été un grand [Root.GetTitle] après ma mort.;Meine verbleibenden Söhne haben bei weitem nicht die Fähigkeiten, die [From.GetTitledFirstName] hatte. Er wusste, wie man ein Schwert führte, und wäre ein großartiger [Root.GetTitle] nach meinem Tod gewesen.;;El resto de mis hijos ni se acercan a la capacidad de [From.GetTitledFirstName]. Sabía como blandir una espada, y hubiera sido un gran [Root.GetTitle] a mi muerte;;;;;;;;;x
EVTDESC24504;My wife is pregnant, but she better give birth to a decent son this time. Else she may 'accidentally' fall down from a tower.;Ma femme est enceinte, mais elle a intérêt de donner naissance à un fils convenable cette fois. Sinon, elle risque de tomber 'accidentellement' d'une tour.;Meine Gattin ist schwanger, aber dieses Mal sollte sie besser einen anständigen Sohn gebären. Sonst könnte sie "versehentlich" aus einem Turmfenster fallen.;;Mi esposa está encinta, pero será mejor que esta vez dé a luz a un hijo legítimo. Si no, podría caerse de una torre 'accidentalmente'.;;;;;;;;;x
EVTDESC24505;I hope the circumstances of my untimely death makes someone suspicious. I did NOT die a natural death...;J'espère que les circonstances de ma mort prématurée paraîtront suspectes à certains. Je n'ai pas succombé à une mort naturelle...;Ich hoffe, dass die Umstände meines frühen Todes jemanden Verdacht schöpfen lassen. Ich starb KEINEN natürlichen Tod ...;;Espero que las circunstancias de mi prematura muerte hagan sospechar a alguien. NO morí de muerte natural...;;;;;;;;;x
EVTDESC24506;[From.GetTitledFirstName] did not die a natural death, of that I am certain! I suspect one of the courtiers to be behind [From.GetTitledFirstName]'s unfortunate demise.;[From.Get_Le_TitledFirstName] n'a pas succombé à une mort naturelle, j'en suis certain[Root.Get_E] ! Je soupçonne l'un des courtisans d'être à l'origine de son triste décès.;[From.GetTitledFirstName] starb keinen natürlichen Tod, davon bin ich überzeugt! Ich verdächtige einen der Höflinge, hinter [From.GetTitledFirstName]s unglücklichem Ableben zu stecken.;;¡[From.GetTitledFirstName] no murió de muerte natural, eso seguro! Sospecho que un cortesano puede estar detrás de la triste desaparición de [From.GetTitledFirstName].;;;;;;;;;x
EVTDESC24507;[From.GetTitledFirstName] is certain someone murdered one of [From.GetHerHis] dear friends, and wants me to imprison the courtier who [From.GetSheHe] thinks is the murderer.;[From.Get_Le_TitledFirstName] est certain[From.Get_E] qu'une personne de la Cour a assassiné une personne pour qui [From.GetIlElle] éprouvait de l'amitié et veut que je l'emprisonne.;[From.GetTitledFirstName] ist sicher, dass jemand einen [From.GetHerHis]er guten Freunde ermordete, und will, dass ich den Höfling einkerkere, den [From.GetSheHe] für den Mörder hält.;;[From.GetTitledFirstName] está seguro de que alguien mató a uno de sus amigos y quiere que encierre al cortesano del que sospecha.;;;;;;;;;x
EVTDESC24510;I died while I was serving [Root.Liege.GetTitledFirstName], now I hope [Root.Liege.GetSheHe] will honor my last wish and bury me properly...;Je suis mort[Root.Get_E] alors que je servais [Root.Liege.Get_le_TitledFirstName]. J'espère à présent qu'[Root.Liege.GetIlElle] honorera ma dernière volonté et m'enterrera dignement...;Ich starb, während ich [Root.Liege.GetTitledFirstName] diente, nun hoffe ich, dass [Root.Liege.GetSheHe] meinen letzten Wunsch würdigen wird und mich ordentlich begraben lässt ...;;Fallecí mientras servía a [Root.Liege.GetTitledFirstName], ahora solo espero que [Root.Liege.GetSheHe] respete mi último deseo y me entierre adecuadamente...;;;;;;;;;x

EVTOPTA24500;For you, everything!;Tout pour toi !;Für Euch tue ich alles!;;¡Todo por ti!;;;;;;;;;x
