EVTTITLEHF25800;The Children's Crusade;La croisade des enfants;Der Kinderkreuzzug;;La Cruzada de los niños;;;;;;;;x
EVTTITLEHF25802;The death of [From.GetFirstName];La mort de [From.GetFirstName];Der Tod von [From.GetFirstName];;La muerte de [From.GetFirstName];;;;;;;;x
EVTTITLEHF25806;The Holy Child;Le saint enfant;Das heilige Kind;;El niño santo;;;;;;;;x
EVTTITLEHF25815;The Unmoving Sea;La mer immobile;Das unbewegte Meer;;El mar insensible;;;;;;;;x
EVTTITLEHF25816;The Coasts of Achaia;Les côtes d'Achaïe;Die Küste von Achaia;;Las costas de Acaya;;;;;;;;x
EVTTITLEHF25817;The Children at Nikaea;Les enfants de Nicée;Die Kinder sind in Nikäa;;Los niños en Nicea;;;;;;;;x
EVTTITLEHF25818;The Angels in Antioch;Les anges à Antioche;Die Engel von Antiochia;;Los ángeles en Antioquía;;;;;;;;x

EVTDESCAHF25800;I have received a vision from the Holy Ghost.\nOur Lord has ordered me to take up arms, rally the faithful and march on the Holy Land to take it away from the vile grasp of the infidels desecrating its hallowed grounds.;J'ai reçu une vision du Saint-Esprit.\nNotre Seigneur m'a ordonné de prendre les armes, de rallier les fidèles et de marcher sur la Terre sainte pour la libérer de l'emprise ignoble des infidèles qui profanent ses terres sanctifiées.;Ich habe eine Vision vom Heiligen Geist erhalten. Unser Herr hat mir befohlen zu den Waffen zu greifen, die Gläubigen zu versammeln und in das Heilige Land zu marschieren, um es aus der Kontrolle der Ungläubigen zu befreien, die die heiligen Stätten entweihen.;;He recibido una visión del Espíritu Santo.\nNuestro Señor me ha ordenado tomar las armas, reunir a los fieles y marchar a Tierra Santa para arrebatarla de las viles garras de los infieles que profanan sus tierras benditas.;;;;;;;;x
EVTDESCAHF25802;By permanently getting rid of [From.GetFirstName], I have ensured that [From.GetHerHis] misguided attempt to lead a Crusade to the Holy Land will never come to pass. All the children and peasants who had flocked to the banner of this [From.GetBoyGirl] have scattered to the four winds. They lament the loss of their beloved leader, still unable to grasp why would God allow [From.GetHerHim] to meet an untimely end before accomplishing [From.GetHerHis] divine task.\nAs unfortunate as [From.GetFirstName]'s fate was, it has undoubtedly saved the lives of countless people, who would have otherwise followed the child into the maws of certain doom at the hands of the infidels.;En me débarrassant définitivement de [From.GetFirstName], j'ai veillé à ce que sa tentative peu judicieuse de mener une croisade en Terre sainte ne se réalise jamais. Tous les enfants et les paysans qui s'étaient rassemblés sous la bannière de c[From.GetEEtte] [From.GetBoyGirl] se sont dispersés aux quatre vents. Ils déplorent la perte de leur chef bien-aimé[Root.Get_E], encore incapables de comprendre pourquoi Dieu a permis qu'[From.GetIlElle] se fasse tuer avant d'accomplir sa mission divine.\nAussi malheureux que soit le sort de [From.GetFirstName], cela a sans aucun doute sauvé la vie d'innombrables personnes qui auraient autrement suivi l'enfant dans ce destin tragique.;Indem ich [From.GetFirstName] endgültig losgeworden bin, habe ich sichergestellt, dass der fehlgeleitete Versuch einen Kreuzzug ins Heilige Land zu führen nie stattfinden wird. All die Kinder und Bauern, die zum [From.GetHerHis]em Banner geströmt waren, haben sich nun in alle Himmelsrichtungen verstreut. Sie beklagen den Verlust ihres geliebten Anführers und können noch immer nicht begreifen, warum Gott [From.Getihnsie] sterben lassen würde, bevor [From.GetSheHe] [From.GetHerHis]e göttliche Aufgabe erfüllen konnte.\nDennoch kann ich zumindest Trost darin finden, dass so bedauerlich der Tod von [From.GetFirstName] auch war, dieser zweifellos unzähligen Menschen das Leben gerettet hat, die ansonsten dem Kind in den sicheren Tod durch die Hände der Ungläubigen gefolgt wären.;;Al librarme para siempre de [From.GetFirstName], me he asegurado de que su intento insensato de dirigir una cruzada a Tierra Santa no tenga lugar. Todos los niños y campesinos que corrieron al estandarte de est[From.GetEA] [From.GetBoyGirl] se han dispersado a los cuatro vientos, llorando la pérdida de su amado líder, incapaces de comprender por qué Dios dejó que sufriera un final prematuro antes de cumplir su misión divina.\nSin embargo, por desgraciada que fuera su destino, no cabe duda que se han salvado las vidas de todos los que habrían seguido [From.GetAlAla] [From.GetBoyGirl] a una muerte cierta a manos de los infieles.;;;;;;;;x
EVTDESCAHF25804;By capturing [From.GetFirstName], I have put a stop to [From.GetHerHis] misguided attempt to lead a Crusade to the Holy Land.\n\nThe child languished in my dungeons, and [From.GetHerHis] foolish followers have already started to scatter to the four winds, unable to fathom why God would allow their beloved leader to be stopped so easily.;En capturant [From.GetFirstName], j'ai mis un terme à sa tentative peu judicieuse de mener une croisade en Terre sainte.\n\nL'enfant se morfond dans mes cachots et ses stupides partisans ont déjà commencé à se disperser aux quatre vents, incapables de comprendre pourquoi Dieu permettrait à leur chef bien-aimé d'être emprisonné si facilement.;Indem ich [From.GetFirstName] gefangen genommen habe, habe ich [From.GetHerHis]en fehlgeleiteten Versuch aufgehalten, einen Kreuzzug ins Heilige Land zu führen.\n\nDas Kind verrottet nun in meinen Verliesen und [From.GetHerHis]e dummen Anhänger haben sich bereits in alle Himmelsrichtungen verstreut, unfähig zu begreifen, warum Gott ist zulassen würde, dass ihr geliebter Anführer so leicht gestoppt würde.;;Al capturar a [From.GetFirstName] he puesto fin a su intento insensato de dirigir una cruzada a Tierra Santa.\n\n[From.GetElLaCap] [From.GetBoyGirl] languidece en mis mazmorras, y sus insensatos seguidores han empezado a dispersarse a los cuatro vientos, incapaces de comprender por qué Dios permitió que su amado líder fuera detenido tan fácilmente.;;;;;;;;x
