gov_african_chiefdom;[Religion.GetGroupName] [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] ([Religion.GetGroupName]);[Religion.GetGroupName]es [PrimaryTitle.GetTier];;[PrimaryTitle.GetTier] [Religion.GetName];;;;;;;;;x
gov_aristocratic_electorial_hre;Elective Aristocratic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime électoral et aristocratique);[PrimaryTitle.GetTier] (Aristokratisch und mit Elektorat);;[PrimaryTitle.GetTier] aristocrático electivo;;;;;;;;;x
gov_aristocratic_hereditary_hre;Hereditary Aristocratic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime héréditaire et aristocratique);[PrimaryTitle.GetTier] (Aristokratisch und mit Erbfolge);;[PrimaryTitle.GetTier] aristocrático hereditario;;;;;;;;;x
gov_aristocratic_republic;Aristocratic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime aristocratique);[PrimaryTitle.GetTier] (Aristokratisch);;[PrimaryTitle.GetTier] aristocrático;;;;;;;;;x
gov_aztec;Aztec Colony;Colonie aztèque;Aztekenkolonie;;Colonia azteca;;;;;;;;;x
gov_carolingian_hegemony;Carolingian Hegemony;Hégémonie carolingienne;Karolingische Hegemonie;;Hegemonía carolingia;;;;;;;;;x
gov_chiefdom;[Religion.GetGroupName] [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] ([Religion.GetGroupName]);[Religion.GetGroupName]es [PrimaryTitle.GetTier];;[PrimaryTitle.GetTier] [Religion.GetGroupName];;;;;;;;;x
gov_clan;[GetOnlyDynastyName] [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] des [GetOnlyDynastyName];[GetOnlyDynastyName] [PrimaryTitle.GetTier];;[PrimaryTitle.GetTier] [GetOnlyDynastyName];;;;;;;;;x
gov_crusader_kingdom;Crusader Kingdom;Royaume croisé;Kreuzfahrerkönigreich;;Reino cruzado;;;;;;;;;x
gov_crusader_state;Crusader State;État croisé;Kreuzfahrerstaat;;Estado cruzado;;;;;;;;;x
gov_default;Anarchy;Anarchie;Anarchie;;Anarquía;;;;;;;;;x
gov_duchy_viceroy;[Liege.PrimaryTitle.GetAdjective] Minor Viceroyalty;Vice-royauté mineure [Liege.PrimaryTitle.GetAdjective];[Liege.PrimaryTitle.GetAdjective] – Minderes Vizekönigreich;;Virreinato menor [Liege.PrimaryTitle.GetAdjective] ;;;;;;;;;x
gov_duchy_viceroy_byz;[Liege.PrimaryTitle.GetAdjective] Theme;Thème [Liege.PrimaryTitle.GetAdjective];[Liege.PrimaryTitle.GetAdjective] – Thema;;Thema [Liege.PrimaryTitle.GetAdjective];;;;;;;;;x
gov_electorial_absolute_autocracy;Elective Absolute Imperial Autocracy;Autocratie impériale (régime électoral et absolu);Absolute Kaiserliche Autokratie mit Elektorat;;Autocracia imperial absoluta electiva;;;;;;;;;x
gov_electorial_absolute_autocracy_norse;Elective Absolute Imperial Autocracy;Autocratie impériale (régime électoral et absolu);Absolute Kaiserliche Autokratie mit Elektorat;;Autocracia imperial absoluta electiva;;;;;;;;;x
gov_electorial_absolute_autocracy_tengri;Elective Absolute Imperial Autocracy;Autocratie impériale (régime électoral et absolu);Absolute Kaiserliche Autokratie mit Elektorat;;Autocracia imperial absoluta electiva;;;;;;;;;x
gov_electorial_absolute_hre;Elective Absolute [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime électoral et absolu);[PrimaryTitle.GetTier] (Absolut und mit Elektorat);;[PrimaryTitle.GetTier] absoluto electivo;;;;;;;;;x
gov_electorial_absolute_monarchy;Elective Absolute [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime électoral et absolu);[PrimaryTitle.GetTier] (Absolut und mit Elektorat);;[PrimaryTitle.GetTier] absoluto electivo ;;;;;;;;;x
gov_electorial_absolute_monarchy_norse;Elective Absolute [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime électoral et absolu);[PrimaryTitle.GetTier] (Absolut und mit Elektorat);;[PrimaryTitle.GetTier] absoluto electivo ;;;;;;;;;x
gov_electorial_absolute_monarchy_tengri;Elective Absolute [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime électoral et absolu);[PrimaryTitle.GetTier] (Absolut und mit Elektorat);;[PrimaryTitle.GetTier] absoluto electivo ;;;;;;;;;x
gov_electorial_aristocratic_autocracy;Elective Aristocratic Imperial Autocracy;Autocratie impériale (régime électoral et aristocratique);Aristokratische Kaiserliche Autokratie mit Elektorat;;Autocracia imperial aristocrática electiva;;;;;;;;;x
gov_electorial_aristocratic_autocracy_norse;Elective Aristocratic Imperial Autocracy;Autocratie impériale (régime électoral et aristocratique);Aristokratische Kaiserliche Autokratie mit Elektorat;;Autocracia imperial aristocrática electiva;;;;;;;;;x
gov_electorial_aristocratic_autocracy_tengri;Elective Aristocratic Imperial Autocracy;Autocratie impériale (régime électoral et aristocratique);Aristokratische Kaiserliche Autokratie mit Elektorat;;Autocracia imperial aristocrática electiva;;;;;;;;;x
gov_electorial_aristocratic_monarchy;Elective Aristocratic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime électoral et aristocratique);[PrimaryTitle.GetTier] (Aristokratisch und mit Elektorat);;[PrimaryTitle.GetTier] aristocrático electivo;;;;;;;;;x
gov_electorial_aristocratic_monarchy_norse;Elective Aristocratic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime électoral et aristocratique);[PrimaryTitle.GetTier] (Aristokratisch und mit Elektorat);;[PrimaryTitle.GetTier] aristocrático electivo;;;;;;;;;x
gov_electorial_aristocratic_monarchy_tengri;Elective Aristocratic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime électoral et aristocratique);[PrimaryTitle.GetTier] (Aristokratisch und mit Elektorat);;[PrimaryTitle.GetTier] aristocrático electivo;;;;;;;;;x
gov_electorial_danelaw;Elective Danelaw;Danelagh (régime électoral);Danelag (Elektorat);;Danelaw electivo;;;;;;;;;x
gov_electorial_despotic_autocracy;Elective Despotic Imperial Autocracy;Autocratie impériale (régime électoral et despotique);Despotische Kaiserliche Autokratie mit Elektorat;;Autocracia imperial despótica electiva;;;;;;;;;x
gov_electorial_despotic_autocracy_norse;Elective Despotic Imperial Autocracy;Autocratie impériale (régime électoral et despotique);Despotische Kaiserliche Autokratie mit Elektorat;;Autocracia imperial despótica electiva;;;;;;;;;x
gov_electorial_despotic_autocracy_tengri;Elective Despotic Imperial Autocracy;Autocratie impériale (régime électoral et despotique);Despotische Kaiserliche Autokratie mit Elektorat;;Autocracia imperial despótica electiva;;;;;;;;;x
gov_electorial_despotic_hre;Elective Despotic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime électoral et despotique);[PrimaryTitle.GetTier] (Despotisch und mit Elektorat);;[PrimaryTitle.GetTier] despótico electivo;;;;;;;;;x
gov_electorial_despotic_monarchy;Elective Despotic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime électoral et despotique);[PrimaryTitle.GetTier] (Despotisch und mit Elektorat);;[PrimaryTitle.GetTier] despótico electivo;;;;;;;;;x
gov_electorial_despotic_monarchy_norse;Elective Despotic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime électoral et despotique);[PrimaryTitle.GetTier] (Despotisch und mit Elektorat);;[PrimaryTitle.GetTier] despótico electivo;;;;;;;;;x
gov_electorial_despotic_monarchy_tengri;Elective Despotic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime électoral et despotique);[PrimaryTitle.GetTier] (Despotisch und mit Elektorat);;[PrimaryTitle.GetTier] despótico electivo;;;;;;;;;x
gov_electorial_despotic_monarchy_zoro;Elective Despotic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime électoral et despotique);[PrimaryTitle.GetTier] (Despotisch und mit Elektorat);;[PrimaryTitle.GetTier] despótico electivo;;;;;;;;;x
gov_electorial_zun;Elective [PrimaryTitle.GetTier] of the Sun;[PrimaryTitle.GetTier] du Soleil (régime électoral);Wahl-[PrimaryTitle.GetTier] der Sonne;;[PrimaryTitle.GetTier] electivo del Sol;;;;;;;;;x
gov_feudal_monarchy;Fedual Monarchy;Monarchie féodale;Feudale Monarchie;;Monarquía feudal;;;;;;;;;x
gov_grand_chiefdom;[Religion.GetGroupName] [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] ([Religion.GetGroupName]);[Religion.GetGroupName]es [PrimaryTitle.GetTier];;[PrimaryTitle.GetTier] [Religion.GetGroupName];;;;;;;;;x
gov_hereditary_absolute_autocracy;Hereditary Absolute Imperial Autocracy;Autocratie impériale (régime héréditaire et absolu);Absolute Kaiserliche Autokratie mit Erbfolge;;Autocracia imperial absoluta hereditaria;;;;;;;;;x
gov_hereditary_absolute_autocracy_indian;Absolute Imperial Autocracy;Autocratie impériale (régime absolu);Absolute Kaiserliche Autokratie;;Autocracia imperial absoluta;;;;;;;;;x
gov_hereditary_absolute_autocracy_norse;Hereditary Absolute Imperial Autocracy;Autocratie impériale (régime héréditaire et absolu);Absolute Kaiserliche Autokratie mit Erbfolge;;Autocracia imperial absoluta hereditaria;;;;;;;;;x
gov_hereditary_absolute_autocracy_tengri;Hereditary Absolute Imperial Autocracy;Autocratie impériale (régime héréditaire et absolu);Absolute Kaiserliche Autokratie mit Erbfolge;;Autocracia imperial absoluta hereditaria;;;;;;;;;x
gov_hereditary_absolute_hre;Hereditary Absolute [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime héréditaire et absolu);[PrimaryTitle.GetTier] (Absolut und mit Erbfolge);;[PrimaryTitle.GetTier] absoluto hereditario ;;;;;;;;;x
gov_hereditary_absolute_monarchy;Hereditary Absolute [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime héréditaire et absolu);[PrimaryTitle.GetTier] (Absolut und mit Erbfolge);;[PrimaryTitle.GetTier] absoluto hereditario;;;;;;;;;x
gov_hereditary_absolute_monarchy_indian;Absolute [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime absolu);[PrimaryTitle.GetTier] (Absolut);;[PrimaryTitle.GetTier] absoluto hereditario;;;;;;;;;x
gov_hereditary_absolute_monarchy_norse;Hereditary Absolute [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime héréditaire et absolu);[PrimaryTitle.GetTier] (Absolut und mit Erbfolge);;[PrimaryTitle.GetTier] absoluto hereditario;;;;;;;;;x
gov_hereditary_absolute_monarchy_tengri;Hereditary Absolute [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime héréditaire et absolu);[PrimaryTitle.GetTier] (Absolut und mit Erbfolge);;[PrimaryTitle.GetTier] absoluto hereditario;;;;;;;;;x
gov_hereditary_aristocratic_autocracy;Hereditary Aristocratic Imperial Autocracy;Autocratie impériale (régime héréditaire et aristocratique);Aristokratische Kaiserliche Autokratie mit Erbfolge;;Autocracia imperial aristocrática hereditaria;;;;;;;;;x
gov_hereditary_aristocratic_autocracy_indian;Aristocratic Imperial Autocracy;Autocratie impériale (régime aristocratique);Aristokratische Kaiserliche Autokratie;;Autocracia imperial aristocrática;;;;;;;;;x
gov_hereditary_aristocratic_autocracy_norse;Hereditary Aristocratic Imperial Autocracy;Autocratie impériale (régime héréditaire et aristocratique);Aristokratische Kaiserliche Autokratie mit Erbfolge;;Autocracia imperial aristocrática hereditaria;;;;;;;;;x
gov_hereditary_aristocratic_autocracy_tengri;Hereditary Aristocratic Imperial Autocracy;Autocratie impériale (régime héréditaire et aristocratique);Aristokratische Kaiserliche Autokratie mit Erbfolge;;Autocracia imperial aristocrática hereditaria;;;;;;;;;x
gov_hereditary_aristocratic_monarchy;Hereditary Aristocratic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime héréditaire et aristocratique);[PrimaryTitle.GetTier] (Aristokratisch und mit Erbfolge);;[PrimaryTitle.GetTier] aristocrático hereditario ;;;;;;;;;x
gov_hereditary_aristocratic_monarchy_indian;Aristocratic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime aristocratique);[PrimaryTitle.GetTier] (Aristokratisch);;[PrimaryTitle.GetTier] aristocrático;;;;;;;;;x
gov_hereditary_aristocratic_monarchy_norse;Hereditary Aristocratic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] (régime héréditaire et aristocratique);[PrimaryTitle.GetTier] (Aristokratisch und mit Erbfolge);;[PrimaryTitle.GetTier] aristocrático hereditario ;;;;;;;;;x
