# To keep The Validator from complaining about missing strings

# CBs

thankmars_rebellion_desc;dummy;;;;;;;;;;;;;x
powerful_vassal_takeover_war_desc;dummy;;;;;;;;;;;;;x
cb_install_antiking_desc;dummy;;;;;;;;;;;;;x
shia_caliphate_rising_desc;dummy;;;;;;;;;;;;;x
weaken_vassal_plot_desc;dummy;;;;;;;;;;;;;x
new_crusade_desc;dummy;;;;;;;;;;;;;x
claim_on_liege_plot_desc;dummy;;;;;;;;;;;;;x
shepherds_crusade_invasion_desc;dummy;;;;;;;;;;;;;x

# Artifacts

sword_3_battlefield_upgraded_desc;dummy;;;;;;;;;;;;;x
sword_2_battlefield_upgraded_desc;dummy;;;;;;;;;;;;;x
antiquity_book_fake_desc;dummy;;;;;;;;;;;;;x
antiquity_book_astronomy_desc;dummy;;;;;;;;;;;;;x
antiquity_book_history_desc;dummy;;;;;;;;;;;;;x
antiquity_book_architecture_desc;dummy;;;;;;;;;;;;;x
antiquity_book_philosophy_desc;dummy;;;;;;;;;;;;;x
antiquity_book_medicine_desc;dummy;;;;;;;;;;;;;x
antiquity_book_play_desc;dummy;;;;;;;;;;;;;x
antiquity_book_poetry_desc;dummy;;;;;;;;;;;;;x

# Event modifiers

cancel_crusade_cooldown;dummy;;;;;;;;;;;;;x
warrior_lodge_HF_12011_cooldown;dummy;;;;;;;;;;;;;x
warrior_lodge_HF_10052_cooldown;dummy;;;;;;;;;;;;;x
africa_heavy_rain_cooldown_3;dummy;;;;;;;;;;;;;x
africa_heavy_rain_cooldown_2;dummy;;;;;;;;;;;;;x
africa_heavy_rain_cooldown_1;dummy;;;;;;;;;;;;;x
africa_drought_cooldown_2;dummy;;;;;;;;;;;;;x
africa_drought_cooldown_1;dummy;;;;;;;;;;;;;x
africa_surplus_grain;dummy;;;;;;;;;;;;;x
africa_weather_updated;dummy;;;;;;;;;;;;;x
elder_demand_cooldown;dummy;;;;;;;;;;;;;x
flyting_challenge_cooldown;dummy;;;;;;;;;;;;;x
arm_wrestling_challenge_cooldown;dummy;;;;;;;;;;;;;x
reconquista_flavor_cooldown;dummy;;;;;;;;;;;;;x
reconquista_adventurer_cooldown;dummy;;;;;;;;;;;;;x
reconquista_commander_event_cooldown;dummy;;;;;;;;;;;;;x
reconquista_boat_event_cooldown;dummy;;;;;;;;;;;;;x
reconquista_pope_aid_event_cooldown;dummy;;;;;;;;;;;;;x
reconquista_preparation_duration;dummy;;;;;;;;;;;;;x
reconquista_mercenary_other_cooldown;dummy;;;;;;;;;;;;;x
reconquista_mercenary_cooldown;dummy;;;;;;;;;;;;;x
recently_challenged_rule_timer;dummy;;;;;;;;;;;;;x
has_recently_declined_duel_cooldown;dummy;;;;;;;;;;;;;x
northern_crusade_cooldown;dummy;;;;;;;;;;;;;x
hire_teutonic_honor_guard_cooldown;dummy;;;;;;;;;;;;;x
assassins_raise_troops_cooldown;dummy;;;;;;;;;;;;;x
crusade_event_meeting_caravan_cooldown;dummy;;;;;;;;;;;;;x
stable_attribute_improvement_target_cooldown;dummy;;;;;;;;;;;;;x
stable_attribute_improvement_cooldown;dummy;;;;;;;;;;;;;x
dynastic_meddling_target_cooldown;dummy;;;;;;;;;;;;;x
dynastic_meddling_cooldown;dummy;;;;;;;;;;;;;x
dismantle_factions_cooldown;dummy;;;;;;;;;;;;;x
endearing_noblemen_cooldown;dummy;;;;;;;;;;;;;x
drill_troops_cooldown;dummy;;;;;;;;;;;;;x
deflection_decision_cooldown;dummy;;;;;;;;;;;;;x
