#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# job_chancellor.txt

#########################
#
#	Chancellor events
#
#########################

# Attempt to improve relations with lord
evt_chancellor_001_title;Improved Relations with Lord;Meilleures relations avec le seigneur;Verbesserte Beziehungen zu Fürst;;La relación con el obispo mejora;;;;;;;;;x
evt_chancellor_001_desc_a;During my stay at the court of a noble in [Root.Location.GetName], I have done my utmost to present my liege in a more favourable light and have him recognized as the benevolent and peaceful ruler [Root.Liege.GetSheHe] is.;Lors de mon séjour à la Cour d'un noble de [Root.Location.GetName], j'ai tout mis en oeuvre pour présenter m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige sous un jour des plus flatteurs et faire ressortir sa nature bienveillante et pieuse.;Während meines Besuches am Hofe eines lokalen Adligen in [Root.Location.GetName] tat ich mein Möglichstes, meinen Lehnsherrn in einem günstigeren Licht erscheinen zu lassen und ihn als gütigen Herrscher und frommen [Root.Liege.Religion.GetName] darzustellen.;;Durante mi estancia en la corte de un noble de [Root.Location.GetName], hice todo lo posible por hablar bien de mi señoría en reconocimiento a la bondad y al carácter pacífico con la que [Root.Liege.GetSheHe] gobierna.;;;;;;;;;x
evt_chancellor_001_option_a;It seems as if I have succeeded!;Je pense avoir réussi !;Es scheint, ich hatte Erfolg!;;¡Parece que lo he logrado!;;;;;;;;;x

# Inform the noble
evt_chancellor_002_desc_a;During [From.GetHerHis] visit to my court, the [From.GetJobTitle] of [From.Host.PrimaryTitle.GetName], [From.GetTitledName], has really convinced me of what a benevolent and peaceful ruler [From.GetHerHis] liege [From.Host.GetTitledName] is.;Lors de sa venue au sein de ma Cour, [From.Get_le_JobTitle] [From.Host.PrimaryTitle.Get_du_Realm], [From.Get_le_TitledName], a réussi à me convaincre de la bienveillance et de la piété de s[From.Host.GetOnA] [From.Host.GetLordLady] lige, [From.Host.Get_le_TitledName].;Während [From.GetHerHis]es Besuchs an meinem Hof überzeugte mich der [From.GetJobTitle] von [From.Host.PrimaryTitle.GetName], [From.GetTitledName], was für ein gütiger und frommer Herrscher [From.GetHerHis] Lehnsherr [From.Host.GetTitledName] doch ist.;;Durante su visita a la corte, el [From.GetJobTitle] de [From.Host.PrimaryTitle.GetName], [From.GetTitledName], realmente me ha convencido de la benevolencia y el carácter pacífico de su monarca [From.Host.GetTitledName].;;;;;;;;;x
evt_chancellor_002_option_a;I feel a new appreciation for [From.Host.GetTitledName]!;J'apprécie davantage [From.Host.Get_le_TitledName]!;Ich sehe [From.Host.GetTitledName] nun in viel hellerem Licht!;;¡Creo que empiezo a apreciar a [From.Host.GetTitledName]!;;;;;;;;;x

# The liege is informed of the success
evt_chancellor_003_desc_a;My liege, my mission to [FromFrom.Location.GetName] has so far been a success! During my visit to the court of [From.GetBestName], I seem to have managed to make [From.GetHerHim] understand what a benevolent and peaceful ruler you really are and [From.GetSheHe] sends [From.GetHerHis] regards.\n\nYour humble [Root.GetChancellorName],\n[Root.job_chancellor.GetTitledFirstName];M[Root.GetOnA][Root.GetLordLady],\nMa mission en [FromFrom.Location.GetName] est un succès ! Lors de ma visite à la Cour [From.Get_only_du_Title][From.GetBestName], j'ai réussi à lui faire comprendre que vous régnez avec bienveillance, et [From.GetIlElle] vous transmet son bon souvenir.\n\nVotre humble [Root.GetChancellorName],\n[Root.job_chancellor.GetTitledFirstName];Mein Lehnsherr,\nmeine Mission in [FromFrom.Location.GetName] ist bislang ein Erfolg! Während meines Besuches am Hof von [From.GetBestName] scheine ich [From.GetHerHim] überzeugt zu haben, dass Ihr ein gütiger und frommer Herrscher seid, und [From.GetSheHe] übermittelt [From.GetHerHis]e besten Grüße.\n\nEuer ergebener [Root.GetChancellorName]\n[Root.job_chancellor.GetTitledFirstName];;¡Mi señor, mi misión a [FromFrom.Location.GetName] ha sido un éxito! Durante mi visita a la corte de [From.GetBestName], logré que entendiera lo benévolo y pacífico que eres como gobernante y envía sus saludos.\n\nTu humilde [Root.GetChancellorName],\n[Root.job_chancellor.GetTitledFirstName];;;;;;;;;x
# Unused
EVTTOOLTIP20101;Send a letter to inform my liege;J'envoie une lettre à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige pour l'en informer.;Einen Brief an meinen Lehnsherrn senden;;Envía una carta para informar a mi señor.;;;;;;;;;x

