monastic_order_benedictine;[GetBenedictineSocietyName];[GetBenedictineSocietyName];[GetBenedictineSocietyName];;;;;;;;;;;x
monastic_order_benedictine_desc;[GetBenedictineSocietyDesc];[GetBenedictineSocietyDesc];[GetBenedictineSocietyDesc];;;;;;;;;;;x
monastic_order_benedictine_desc_random;The Diligent Ones is an old monastic community with 'Ora et Labora', meaning 'pray and labor', as their motto. Often recognized by their black habits, they worship [catholic.GetHighGodName] and find purpose in prayer and quiet contemplation as well as scholarly work.;Les Diligents sont une vieille communauté monastique, dont 'Ora et Labora', 'Prie et travaille', est la devise. Souvent reconnus par leurs habits noirs, ils rendent un culte au [catholic.GetHighGodName] et se consacrent à la prière et la contemplation silencieuse, aussi bien qu'aux travaux d'érudition.;Der Gewissenhaften sind eine alte Mönchsgemeinschaft, die dem Motto "Ora et Labora" ("Bete und arbeite") folgt. Man erkennt die Mitglieder oft an ihren schwarzen Kutten. Sie beten zu [catholic.GetHighGodName] und machen sich das Gebet, die stille Meditation sowie gelehrsame Arbeit zum Lebenszweck.;;Los Diligentes son una antigua comunidad monástica cuyo lema es "Ora et labora"(reza y trabaja). Se les reconoce por sus hábitos negros. Adoran a Dios y encuentran un propósito en la oración, la contemplación silenciosa y la labor académica.;;;;;;;;;x
monastic_order_benedictine_desc_real;The Benedictine Order is an old monastic community with 'Ora et Labora', meaning 'pray and labor', as their motto. Often recognized by their black habits, they worship God and find purpose in prayer and quiet contemplation as well as scholarly work.;L'Ordre des Bénédictins est une vieille communauté monastique, dont 'Ora et Labora', 'Prie et travaille', est la devise. Souvent reconnus par leurs habits noirs, ils rendent un culte à Dieu et se consacrent à la prière et la contemplation silencieuse, aussi bien qu'aux travaux d'érudition.;Der Benediktinerorden ist eine alte Mönchsgemeinschaft, die dem Motto "Ora et Labora" ("Bete und arbeite") folgt. Man erkennt die Mitglieder oft an ihren schwarzen Kutten. Sie beten zu Gott und machen sich das Gebet, die stille Meditation sowie gelehrsame Arbeit zum Lebenszweck.;;La Orden bendictina es una antigua comunidad monástica cuyo lema es "Ora et labora"(reza y trabaja). Se les reconoce por sus hábitos negros. Adoran a Dios y encuentran un propósito en la oración, la contemplación silenciosa y la labor académica.;;;;;;;;;x
monastic_order_benedictine_random;The Diligent Ones;Diligents;Die Gewissenhaften;;Los Diligentes;;;;;;;;;x
monastic_order_benedictine_real;The Benedictine Order;Ordre des Bénédictins;Benediktinerorden;;La Orden benedictina;;;;;;;;;x
monastic_order_buddhist;[GetSavakaSanghaSocietyName];[GetSavakaSanghaSocietyName];[GetSavakaSanghaSocietyName];;[GetSavakaSanghaSocietyName];;;;;;;;;x
monastic_order_buddhist_desc;[GetSavakaSanghaSocietyDesc];[GetSavakaSanghaSocietyDesc];[GetSavakaSanghaSocietyDesc];;[GetSavakaSanghaSocietyDesc];;;;;;;;;x
monastic_order_buddhist_desc_random;Members of [buddhist.GetName] monasteries are expected to follow a strict set of rules aiming to attain enlightenment through a simple and meditative life. Foreswearing all physical property except the bare necessities.;Les membres des monastères [buddhist.GetName]s sont censés suivre un ensemble de règles strictes visant à atteindre l'illumination à travers une vie simple et méditative. Ils renoncent ainsi à tous les biens matériels, hormis le minimum vital.;Von den Mitgliedern [buddhist.GetName]er Klöster wird die Einhaltung strenger Regeln erwartet, die durch ein einfaches und meditatives Leben die Erleuchtung ermöglichen sollen. Der Verzicht auf jede Form des physischen Besitzes bedeutet, dass sie nur von dem leben, was ihnen von anderen überlassen wird.;;Se espera que los miembros de los monasterios [buddhist.GetName] sigan una estricta serie de normas con la pretensión de alcanzar la iluminación mediante una vida sencilla y de meditación, renegando toda propiedad física, excepto las necesidades básicas.;;;;;;;;;x
monastic_order_buddhist_desc_real;Members of Buddhist monasteries are expected to follow a strict set of rules aiming to attain Nirvana through a simple and meditative life. Foreswearing all physical property except the bare necessities Bhikkus vow to live only of what others give them.;Les membres des monastères bouddhistes devraient suivre un ensemble strict de règles visant à atteindre le Nirvana par une vie simple et méditative. Renonçant à tous les biens matériels, hormis le minimum vital, les bhikkhus font le voeu de vivre seulement de ce que les autres leur donnent.;Von den Mitgliedern buddhistischer Klöster wird die Einhaltung strenger Regeln erwartet, die durch ein einfaches und meditatives Leben den Einzug ins Nirwana ermöglichen sollen. Der Verzicht auf jede Form des physischen Besitzes bedeutet, dass die Bhikkhus geloben, nur von dem zu leben, was ihnen von anderen überlassen wird.;;Se espera que los miembros de los monasterios budistas sigan una estricta serie de normas con la pretensión de alcanzar el nirvana mediante una vida sencilla y de meditación. Los bhikkus reniegan de toda propiedad física, excepto de las necesidades básicas y juran vivir solo con lo que otros les den.;;;;;;;;;x
monastic_order_buddhist_random;The Ardent Followers;Fervents Disciples;Die inbrünstigen Anhänger;;Los Seguidores fervorosos;;;;;;;;;x
