POPE_AIREASON_MODIFIER_EXCOM_TARGET_HAS_REPENTED_SINS;[FromFrom.GetTitledFirstName] has been already absolved of [FromFrom.GetHerHis] sins;[FromFrom.Get_Le_TitledFirstName] a déjà été absout[FromFrom.Get_E] de ses péchés;[FromFrom.GetTitledFirstName] wurde bereits von [FromFrom.GetHerHis]en Sünden befreit;;[FromFrom.GetTitledFirstName] ya recibió la absolución de sus pecados;;;;;;;;x
POPE_AIREASON_MODIFIER_BAPTIZED_BY_ME;[From.GetTitledFirstName] §YBaptized§! [Root.GetTitledFirstName];[From.Get_Le_TitledFirstName] a §Ybaptisé§! [Root.Get_le_TitledFirstName];[From.GetTitledFirstName] §Ytaufte§! [Root.GetTitledFirstName];;[From.GetTitledFirstName] §Ybautizó§! a [Root.GetTitledFirstName];;;;;;;;x
POPE_AIREASON_MODIFIER_BAPTIZED_BY_ME_TARGET;[From.GetTitledFirstName] §YBaptized§! [FromFrom.GetTitledFirstName];[From.Get_Le_TitledFirstName] a §Ybaptisé§! [FromFrom.Get_le_TitledFirstName];[From.GetTitledFirstName] §Ytaufte§! [FromFrom.GetTitledFirstName];;[From.GetTitledFirstName] §Ybautizó§! a [FromFrom.GetTitledFirstName];;;;;;;;x
POPE_AIREASON_MODIFIER_BAPTIZED_CHILD;[Root.GetTitledFirstName] was §YBaptized§! by the Pope;[Root.Get_Le_TitledFirstName] a été §Ybaptisé[Root.Get_E]§! par le pape;[Root.GetTitledFirstName] wurde vom Papst §Ygetauft§!;;[Root.GetTitledFirstName] fue §Ybautizad[Root.GetOA]§! por el Papa;;;;;;;;x
POPE_AIREASON_MODIFIER_BAPTIZED_CHILD_TARGET;[FromFrom.GetTitledFirstName] was §YBaptized§! by the Pope;[FromFrom.Get_Le_TitledFirstName] a été §Ybaptisé[FromFrom.Get_E]§! par le pape;[FromFrom.GetTitledFirstName] wurde vom Papst §Ygetauft§!;;[FromFrom.GetTitledFirstName] fue §Ybautizad[FromFrom.GetOA]§! por el papa;;;;;;;;x
POPE_AIREASON_MODIFIER_BISHOP_EDUCATION;[FromFrom.GetTitledFirstName] received a §YTheological Education§!;[FromFrom.Get_Le_TitledFirstName] a reçu une §Yéducation théologique§!;[FromFrom.GetTitledFirstName] hat eine §Ytheologische Ausbildung§! genossen;;[FromFrom.GetTitledFirstName] recibió §YEducación teológica§!;;;;;;;;x
POPE_AIREASON_MODIFIER_BISHOP_LEARNING;[FromFrom.GetTitledFirstName]'s §YLearning§!;L'§Yérudition§! [FromFrom.Get_du_TitledFirstName];§YBildung§! von [FromFrom.GetTitledFirstName];;El §Yaprendizaje§! de [FromFrom.GetTitledFirstName];;;;;;;;x
POPE_AIREASON_MODIFIER_CLAIM_ON_TARGET;[Root.GetTitledFirstName] has a claim on [FromFrom.GetTitledFirstName]'s title;[Root.Get_Le_TitledFirstName] a une revendication sur le titre [FromFrom.Get_du_TitledFirstName];[Root.GetTitledFirstName] hat einen Anspruch auf den Titel von [FromFrom.GetTitledFirstName];;[Root.GetTitledFirstName] tiene derechos sobre el título de [FromFrom.GetTitledFirstName];;;;;;;;x
POPE_AIREASON_MODIFIER_CLAIM_ON_TARGET_STRONG;[Root.GetTitledFirstName] has a strong claim on [FromFrom.GetTitledFirstName]'s title;[Root.Get_Le_TitledFirstName] a une revendication forte sur le titre [FromFrom.Get_du_TitledFirstName];[Root.GetTitledFirstName] hat einen starken Anspruch auf den Titel von [FromFrom.GetTitledFirstName];;[Root.GetTitledFirstName] tiene derechos fuertes sobre el título de [FromFrom.GetTitledFirstName];;;;;;;;x
POPE_AIREASON_MODIFIER_CLAIM_SAME_CLOSE_RELATIVE_OF_TARGET;[Root.GetTitledFirstName] is a close relative of [FromFrom.GetTitledFirstName];[Root.Get_Le_TitledFirstName] est un[Root.Get_E] proche parent[Root.Get_E] [FromFrom.Get_du_TitledFirstName];[Root.GetTitledFirstName] ist ein naher Verwandter von [FromFrom.GetTitledFirstName];;[Root.GetTitledFirstName] es familiar cercano de [FromFrom.GetTitledFirstName];;;;;;;;x
